Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.1887759119272232,2.0006680488586426,76.53177642822266,3.5914616244945075,4.387198536138796,-97.16583021672253,-16.38114,1.946263,22.064209,20.238691,-7.8461394,1.5525528,-10.815903,-23.469597,-13.233152,75.12791,-10.092015,-4.774008,-0.729034,-4.4978347,3.1921055,4.831678,13.95219,-37.174835,60.642124,1.1470295,11.248816,13.110831,-6.014722,-13.720507,40.955856,60.86883,-12.886946,6.6344905,-15.9335785
1,-0.1301238238811493,1.32136869430542,76.64742279052734,3.6681728921555043,4.396623337541377,-97.13248031488511,-15.366043,1.5039352,22.04185,19.191319,-7.831869,1.4869158,-12.1404085,-23.802387,-13.365802,75.98114,-10.823006,-5.2822223,-0.9817103,-4.4853354,3.1621425,4.3044767,14.039074,-37.30269,60.457615,1.3831438,11.329305,13.0946455,-5.454136,-13.650445,40.735264,60.92741,-12.503631,6.4879737,-16.548643
2,-0.06348954886198044,0.6800230741500854,76.7511215209961,3.744130065686161,4.4088253045572605,-97.0945812388614,-14.350843,1.0583736,22.00937,18.134436,-7.812267,1.4260287,-13.468062,-24.157679,-13.502631,76.89122,-11.590869,-5.8381042,-1.2229769,-4.484961,3.1254742,3.7810209,14.156454,-37.47086,60.263493,1.6010624,11.409181,13.069345,-4.8818016,-13.560427,40.498188,60.988518,-12.113323,6.322921,-17.175491
3,-0.0004073650052305311,0.03971704840660095,76.85850524902344,3.809624953635971,4.414628509314152,-97.06604224706192,-13.326433,0.6284726,21.973059,17.073545,-7.792552,1.3701198,-14.786399,-24.448137,-13.6124935,77.67842,-12.281669,-6.2940702,-1.4591299,-4.4838347,3.1059525,3.2739708,14.296595,-37.60342,60.02973,1.8347476,11.493899,13.052111,-4.3315477,-13.45585,40.25984,61.058643,-11.75359,6.1817694,-17.77844
4,0.050005409866571426,-0.6005371809005737,76.95740509033203,3.854972597493175,4.404659137429598,-97.0607653550714,-12.28153,0.23234329,21.939936,16.009974,-7.7758865,1.3185693,-16.083035,-24.586363,-13.666325,78.1618,-12.777139,-6.498679,-1.6900846,-4.4739423,3.1260073,2.7833004,14.456933,-37.641933,59.737953,2.1050146,11.587127,13.059596,-3.8035455,-13.340675,40.00111,61.116837,-11.493683,6.10996,-18.32208
5,0.0982000008225441,-1.2512588500976562,77.05948638916016,3.8798780321397164,4.363743747062042,-97.08652904889381,-11.199806,-0.12669091,21.91044,14.94878,-7.7616916,1.2839652,-17.33163,-24.585527,-13.696956,78.29265,-13.020022,-6.3908653,-1.9104984,-4.455421,3.2105594,2.3067799,14.636971,-37.56916,59.38108,2.4605327,11.695977,13.101725,-3.3120234,-13.217822,39.72078,61.163364,-11.350186,6.1463003,-18.832956
6,0.16035988926887512,-1.8772821426391602,77.13899230957031,3.888903011225463,4.30089436850648,-97.13420963854081,-10.087685,-0.45933622,21.881996,13.879609,-7.7470775,1.2602363,-18.543686,-24.48093,-13.714606,78.16601,-13.080919,-6.05914,-2.1275122,-4.4304748,3.3398557,1.8423884,14.835617,-37.41671,58.974884,2.871427,11.816253,13.167409,-2.8344715,-13.0887785,39.415752,61.191204,-11.304558,6.2609305,-19.31854
7,0.20117059350013733,-2.5123846530914307,77.20822143554688,3.8817566460565343,4.243159258197112,-97.19203854841022,-8.977769,-0.7667067,21.857708,12.805248,-7.736911,1.2187315,-19.760492,-24.22229,-13.660727,77.81309,-13.034698,-5.579512,-2.343953,-4.397475,3.478342,1.3954128,15.051347,-37.19357,58.524117,3.2622042,11.936209,13.242762,-2.3877084,-12.956012,39.11915,61.223915,-11.287038,6.3940425,-19.715107
8,0.2301339954137802,-3.1462385654449463,77.27186584472656,3.8580950274957244,4.217661821819535,-97.24845013567842,-7.9045706,-1.0491076,21.840826,11.731904,-7.736857,1.1319628,-21.022293,-23.76206,-13.475548,77.26625,-12.959081,-5.028788,-2.570774,-4.353716,3.5859327,0.9727115,15.282527,-36.90696,58.036346,3.551704,12.043646,13.31428,-1.9545043,-12.822215,38.8368,61.25973,-11.272768,6.486097,-19.958498
9,0.25718632340431213,-3.7815165519714355,77.31831359863281,3.812180961216478,4.232813129369438,-97.30879486601934,-6.872588,-1.3019575,21.842842,10.647874,-7.746228,0.9965999,-22.357372,-23.048782,-13.109181,76.526085,-12.883617,-4.436062,-2.8038774,-4.292101,3.6593628,0.5776166,15.52811,-36.5294,57.49633,3.7398083,12.147206,13.361115,-1.5715837,-12.690621,38.59085,61.323135,-11.214674,6.5193024,-19.994303
