Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.02957022190094,1.6453179121017456,76.00086975097656,5.868750625435618,2.0329600048626233,-77.73536839284408,8.502001,-3.8866565,-3.0234313,12.38872,-18.220304,-4.0974116,-26.81918,-19.086552,-14.821846,12.228879,-1.8939658,0.5094039,-17.466455,-10.501524,8.553928,-36.988464,29.676962,-36.500347,48.703827,11.8579,1.8685664,-0.5955682,20.482473,-10.617813,40.011696,81.378586,-2.1113284,0.41819304,-0.9973402
1,-0.8653135895729065,2.4157333374023438,76.0158920288086,6.095192560897578,1.7630301752213768,-77.69292839948854,8.741091,-4.4240594,-2.9597914,11.194645,-17.681515,-3.8091352,-26.205477,-19.973558,-17.213066,11.818787,-1.6719564,1.5186521,-17.363564,-10.65959,8.8334255,-37.27983,29.73063,-36.730873,48.527855,11.657075,1.769819,-0.69389796,20.755201,-10.603922,39.92006,81.31157,-1.7861173,0.33938774,-0.62926143
2,-0.7123759984970093,3.185098171234131,76.04509735107422,6.33118582829765,1.4849050646670023,-77.63044715013432,9.003048,-4.9733872,-2.9208612,9.961192,-17.139896,-3.5230484,-25.503613,-20.848845,-19.75522,11.26022,-1.3897445,2.6210213,-17.252262,-10.83915,9.123437,-37.641285,29.791647,-37.05336,48.35733,11.40524,1.6594027,-0.79080397,21.054554,-10.553677,39.79966,81.26116,-1.454925,0.26145,-0.26041773
3,-0.5662012696266174,3.9367313385009766,76.0943374633789,6.515602197977211,1.2251357472434985,-77.60645434587965,9.246212,-5.4567194,-2.8500748,8.739463,-16.567667,-3.2379184,-24.890919,-21.625978,-22.088291,11.038158,-1.2048633,3.5337849,-17.105,-10.978825,9.403352,-37.922276,29.852156,-37.30238,48.194443,11.21086,1.5790067,-0.8873679,21.262909,-10.452697,39.694,81.26519,-1.1525728,0.1824801,0.09651726
4,-0.415642648935318,4.680426597595215,76.17767333984375,6.590614330278411,1.0120003793275392,-77.6815240823256,9.425643,-5.801751,-2.6843674,7.5864487,-15.939914,-2.9526563,-24.55957,-22.255476,-23.83331,11.648782,-1.29182,3.96999,-16.897905,-11.004802,9.650565,-37.976402,29.879416,-37.294724,48.060024,11.194114,1.5678749,-0.98238564,21.290823,-10.335273,39.650032,81.31426,-0.9087196,0.10294866,0.43475786
5,-0.2593306005001068,5.433712005615234,76.28638458251953,6.546471111615691,0.855297155033875,-77.88195301125224,9.123268,-6.0195336,-2.343812,7.3728228,-15.698431,-2.6512718,-24.606478,-22.782225,-24.872265,13.290978,-1.7306592,3.7098536,-16.605284,-10.900212,9.862812,-37.77419,29.861742,-36.975513,47.950092,11.458,1.6631591,-1.1151122,21.126411,-10.212585,39.659756,81.39656,-0.7339665,0.024292797,0.77992195
6,-0.12446925789117813,6.168774127960205,76.41075897216797,6.439010873241909,0.7226520648404252,-78.15752795156038,8.755777,-6.1575727,-1.9162267,7.2754974,-15.44015,-2.3365479,-24.869493,-23.269547,-25.40706,15.588506,-2.388555,2.9514716,-16.265463,-10.725846,10.053519,-37.391815,29.799568,-36.434505,47.86837,11.9230175,1.8321517,-1.2751663,20.832714,-10.092854,39.706417,81.492805,-0.61062384,-0.053323008,1.1289662
7,-0.005943547934293747,6.893444061279297,76.5389175415039,6.301170799247614,0.5840487130985048,-78.45769624094697,8.3995,-6.2444806,-1.4706362,7.189508,-15.130525,-2.035148,-25.16208,-23.68349,-25.536413,18.170597,-3.1132736,2.0349464,-15.92054,-10.530182,10.229598,-36.85807,29.698412,-35.75827,47.83428,12.405663,2.01333,-1.3821548,20.440172,-9.980851,39.805946,81.57865,-0.53045654,-0.13470803,1.4335126
8,0.10965773463249207,7.6014227867126465,76.66899871826172,6.141836909554419,0.42402885651892075,-78.74646633186855,8.065965,-6.2832,-1.0580841,7.1166015,-14.7921505,-1.7762874,-25.340399,-23.951792,-25.356565,20.727228,-3.7712393,1.3045851,-15.600472,-10.3345375,10.394828,-36.197754,29.568962,-35.028446,47.861713,12.722312,2.1474104,-1.3526093,19.970514,-9.879967,39.97149,81.636665,-0.4884918,-0.2239872,1.6450479
9,0.20889411866664886,8.288341522216797,76.80149841308594,5.934098766915881,0.2392483548004432,-79.04273378909662,7.763479,-6.238291,-0.6671083,7.05962,-14.425646,-1.568975,-25.410383,-24.015753,-24.841993,23.303719,-4.3742747,0.82485825,-15.300078,-10.1209955,10.553523,-35.3598,29.408283,-34.17792,47.933678,12.860935,2.219747,-1.141443,19.403639,-9.792302,40.250286,81.685684,-0.5059189,-0.3357427,1.779786
10,0.3044279217720032,8.978097915649414,76.93803405761719,5.673776492489763,0.044621329306972796,-79.3625400419608,7.477263,-6.1089745,-0.27530983,7.014029,-14.018862,-1.397687,-25.457754,-23.887344,-23.957495,26.030096,-4.9726686,0.43538895,-15.004651,-9.873635,10.699024,-34.347645,29.216232,-33.194798,48.03826,12.898391,2.262069,-0.7999923,18.736347,-9.719,40.620255,81.72134,-0.5795101,-0.46306482,1.8547639
11,0.3887968957424164,9.660088539123535,77.08346557617188,5.403537845937286,-0.1407816485260667,-79.6727777851048,7.1750717,-5.9504995,0.09167601,6.9782047,-13.572831,-1.2539043,-25.50788,-23.612642,-22.766064,28.827126,-5.532153,0.151114,-14.718029,-9.615001,10.814471,-33.28165,29.018604,-32.267113,48.205933,12.7626095,2.284885,-0.3863333,18.012,-9.660047,40.991787,81.69999,-0.6622526,-0.57910126,1.8220325
12,0.4579102694988251,10.335038185119629,77.22601318359375,5.159281784511767,-0.3002910921190283,-79.93814427619728,6.8205705,-5.8105555,0.4062877,6.9643097,-13.095155,-1.1295539,-25.583826,-23.23843,-21.337519,31.630306,-6.028583,-0.014871855,-14.467755,-9.378758,10.895705,-32.154186,28.814466,-31.403797,48.386078,12.557759,2.3026652,0.034178592,17.25453,-9.608745,41.300514,81.584915,-0.70495856,-0.6572958,1.635004
13,0.5167254209518433,11.005256652832031,77.37210083007812,4.936111808517116,-0.4201851271784921,-80.14521709757018,6.4057655,-5.683466,0.65377086,6.9462,-12.552451,-1.0321052,-25.740923,-22.686827,-19.497002,34.4713,-6.439797,-0.022409705,-14.256437,-9.155948,10.929547,-31.023174,28.621986,-30.718174,48.62292,12.141455,2.3004856,0.49833643,16.460066,-9.562398,41.552673,81.377235,-0.66907406,-0.684733,1.2552564
14,0.5633348822593689,11.680617332458496,77.51904296875,4.715940417634953,-0.5095252827415008,-80.3165546755261,5.946461,-5.54427,0.8524227,6.9267063,-11.951058,-0.9634976,-25.952885,-21.91857,-17.291697,37.40078,-6.80225,0.14248827,-14.0721855,-8.937693,10.924594,-29.841198,28.44246,-30.137259,48.89794,11.545816,2.2742221,1.0206252,15.611506,-9.517782,41.776535,81.097565,-0.59171516,-0.6780943,0.7162942
