Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.26622241735458374,-2.3585400581359863,78.58291625976562,0.8794782869680965,-0.5341106685662039,89.27195665507934,2.8500977,3.2917917,19.136475,8.219175,-8.723043,-0.7028561,3.16916,-6.3689227,-18.652243,9.039582,-13.830129,4.3892684,-3.9515097,-1.0115347,4.997528,0.50346386,15.621569,-33.334152,62.10552,20.194815,-6.5668406,-4.736589,-1.6603304,-11.959621,23.644577,64.1862,-18.263613,-1.4841442,5.058341
1,-0.28624430298805237,-2.380776882171631,78.58138275146484,0.9173412368729816,-0.5624820855988999,89.2465019594369,2.8807108,3.2248912,19.171583,8.187743,-8.691567,-0.67300975,3.03648,-6.4841228,-18.594866,9.339487,-13.930711,4.4647627,-3.9469774,-1.0611539,5.06023,0.4607711,15.635231,-33.35709,62.089333,20.210022,-6.57225,-4.7565293,-1.7348081,-11.961851,23.667461,64.21283,-18.250898,-1.4775836,5.0338373
2,-0.308000773191452,-2.405076742172241,78.57881927490234,0.9560315982075188,-0.5892158949240461,89.22157372745177,2.91067,3.1565216,19.205988,8.154165,-8.658962,-0.6435604,2.9018085,-6.600737,-18.536882,9.640301,-14.031864,4.5426106,-3.9407487,-1.1114149,5.121036,0.4249004,15.656092,-33.386913,62.061985,20.214209,-6.575202,-4.777372,-1.8012222,-11.969442,23.697245,64.2299,-18.229206,-1.4684385,5.008379
3,-0.33400362730026245,-2.4311249256134033,78.57620239257812,0.9940043299076854,-0.6189585076552678,89.1955469740396,2.941547,3.0901673,19.241373,8.125016,-8.628754,-0.61310214,2.7724416,-6.7143464,-18.479685,9.93429,-14.128977,4.6159177,-3.9364512,-1.1602168,5.189994,0.39687037,15.691766,-33.417595,62.01513,20.220352,-6.582854,-4.800354,-1.8614905,-11.988396,23.725239,64.23057,-18.207708,-1.4641584,4.9891143
4,-0.36378243565559387,-2.459010362625122,78.57311248779297,1.0255650830088843,-0.6567370649752291,89.16667282387145,2.9777784,3.0279882,19.279669,8.101953,-8.602512,-0.5801516,2.6570046,-6.8197956,-18.42452,10.21082,-14.215878,4.6776342,-3.9385438,-1.2041214,5.2637215,0.3504783,15.711898,-33.448986,61.99714,20.241318,-6.602019,-4.8183885,-1.9372268,-12.003264,23.74863,64.24893,-18.193806,-1.4709377,4.9748406
5,-0.396687775850296,-2.4890353679656982,78.5725326538086,1.0513506535883634,-0.7061186819848273,89.13280806425081,3.0219634,2.9728005,19.32248,8.088599,-8.582639,-0.5446709,2.5588384,-6.915391,-18.371763,10.470042,-14.292386,4.7239323,-3.9452796,-1.2417248,5.348159,0.3031295,15.733308,-33.483955,61.977707,20.275303,-6.636184,-4.833599,-2.019638,-12.023082,23.772434,64.27159,-18.18713,-1.4956478,4.9754505
6,-0.4275917410850525,-2.522221803665161,78.57080841064453,1.0735737279956439,-0.763419690942718,89.09518904116678,3.0728934,2.9218082,19.3688,8.080842,-8.567414,-0.50724405,2.473663,-7.0040507,-18.32036,10.714756,-14.360337,4.7590585,-3.9489155,-1.2697235,5.4575734,0.28817633,15.793612,-33.532227,61.881996,20.301287,-6.678784,-4.8551307,-2.068064,-12.085482,23.795656,64.22693,-18.170553,-1.5328828,4.997683
7,-0.46173766255378723,-2.553887367248535,78.57086181640625,1.0930867765870012,-0.8234125250177671,89.05773410837661,3.1228075,2.871626,19.415096,8.076628,-8.55275,-0.4674865,2.3945205,-7.0893435,-18.270298,10.94741,-14.421039,4.788094,-3.9643834,-1.2999148,5.559954,0.24298593,15.828921,-33.57975,61.844162,20.339773,-6.7266717,-4.8682,-2.1448197,-12.124733,23.815825,64.22236,-18.160328,-1.5697331,5.008044
8,-0.5004698634147644,-2.590712547302246,78.57058715820312,1.1132167204826884,-0.8799169932840667,89.02398717368783,3.1652029,2.8183236,19.45841,8.070872,-8.533313,-0.42497882,2.3123696,-7.1755643,-18.220547,11.174023,-14.477842,4.816215,-3.9822044,-1.3286062,5.671546,0.19896317,15.889519,-33.651546,61.77804,20.36236,-6.7660885,-4.882771,-2.1964188,-12.190727,23.822384,64.16184,-18.132446,-1.593412,5.005763
9,-0.5403381586074829,-2.635213851928711,78.57144927978516,1.1335605902751729,-0.9306978820160949,88.99846219031727,3.1959717,2.7623775,19.494272,8.066011,-8.509435,-0.3796748,2.2312791,-7.260263,-18.175283,11.382666,-14.526251,4.84213,-4.0117493,-1.3601397,5.7782264,0.13933495,15.950837,-33.741074,61.728363,20.381453,-6.7966366,-4.894138,-2.2482727,-12.2521305,23.822672,64.0875,-18.099386,-1.5907253,4.975319
10,-0.5801470875740051,-2.681776523590088,78.57206726074219,1.1528785178415506,-0.9791491615291732,88.97799398465507,3.2188854,2.7057748,19.525684,8.064282,-8.483769,-0.33180937,2.1539776,-7.342301,-18.133316,11.57466,-14.566684,4.8637786,-4.0461993,-1.3927114,5.889089,0.0753948,16.028622,-33.850647,61.668633,20.394192,-6.822807,-4.9055614,-2.2900004,-12.322637,23.812391,63.983154,-18.061262,-1.5723988,4.929979
11,-0.6218473315238953,-2.7266931533813477,78.57199096679688,1.173476763324849,-1.0280549390185822,88.95492775088603,3.2409256,2.6454165,19.559984,8.059046,-8.454463,-0.28126034,2.0701566,-7.4281626,-18.086748,11.773173,-14.606965,4.8854017,-4.085389,-1.4301561,6.0023184,0.0007760732,16.110727,-33.973755,61.61747,20.394386,-6.844377,-4.9117675,-2.3337739,-12.389418,23.792303,63.874157,-18.004103,-1.5571631,4.873459
