Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.5793908834457397,0.12067569047212601,50.26737594604492,0.13184543874153007,18.425922236902068,-89.42342284625074,-87.560196,2.124188,-11.1890745,108.87594,-37.289864,-10.75573,-87.77598,-13.9300165,3.0185676,110.752716,-40.28926,5.435726,2.3956497,0.20410307,29.793802,-46.451263,26.78778,-36.720516,-18.620947,15.578831,5.9773874,10.713359,-55.32602,-32.099953,31.952204,-2.276239,-2.168547,-1.564754,-20.58326
1,0.5862728953361511,0.10980227589607239,50.27555847167969,0.13102661620818587,18.431886354103455,-89.42517819888569,-87.54366,2.131772,-11.172762,108.868904,-37.307888,-10.746896,-87.7581,-13.937526,3.0238943,110.74388,-40.309742,5.4317684,2.4165015,0.20786345,29.793802,-46.48449,26.773825,-36.727592,-18.610296,15.465905,5.93851,10.683209,-55.324917,-32.107838,31.973766,-2.262887,-2.0302677,-1.7199781,-20.572845
2,0.5942124128341675,0.10096919536590576,50.28095245361328,0.1315817124680485,18.436545528549093,-89.42820066295825,-87.52468,2.1411893,-11.154391,108.86039,-37.327106,-10.7376585,-87.73985,-13.944018,3.0305796,110.73441,-40.331264,5.4261866,2.4339864,0.21786903,29.793802,-46.51494,26.746475,-36.72821,-18.596539,15.349458,5.89559,10.65582,-55.347748,-32.126587,32.016827,-2.232637,-1.8675089,-1.8845242,-20.568398
3,0.6058515310287476,0.08659012615680695,50.2894172668457,0.1315371386112963,18.443024987517813,-89.42793588886656,-87.50878,2.1462967,-11.137939,108.85148,-37.343517,-10.728945,-87.72244,-13.953129,3.0371203,110.72571,-40.3519,5.424451,2.450789,0.22428003,29.793802,-46.539528,26.733109,-36.72897,-18.595448,15.24694,5.862391,10.618314,-55.354004,-32.13661,32.043766,-2.215818,-1.7331823,-2.0299923,-20.55955
4,0.6118060350418091,0.07449746876955032,50.297218322753906,0.12998865715458188,18.452078454891755,-89.41940134656936,-87.497444,2.1409037,-11.125869,108.84362,-37.360165,-10.72066,-87.70416,-13.96701,3.0424511,110.71675,-40.371067,5.4323273,2.4642375,0.24095714,29.793802,-46.56265,26.712221,-36.723614,-18.597256,15.18896,5.8509445,10.550431,-55.36711,-32.156067,32.07229,-2.1992526,-1.6344545,-2.1262727,-20.558245
5,0.6207631826400757,0.06449725478887558,50.3079833984375,0.12951571274015636,18.463362700768798,-89.39616491760164,-87.490395,2.116965,-11.117512,108.834816,-37.372536,-10.714569,-87.685104,-13.989222,3.0501308,110.70761,-40.39012,5.4559326,2.4674606,0.24492425,29.793802,-46.581184,26.709787,-36.72107,-18.610706,15.210969,5.884015,10.432624,-55.38062,-32.159843,32.07679,-2.1856325,-1.5872597,-2.1549244,-20.551083
6,0.6249167323112488,0.05259052664041519,50.31868362426758,0.12799153667448154,18.47862889423618,-89.36290796775107,-87.49,2.0800653,-11.113715,108.82579,-37.383198,-10.709824,-87.666794,-14.016987,3.0572057,110.69896,-40.40626,5.490078,2.4674413,0.2695714,29.793802,-46.593163,26.699211,-36.70037,-18.64042,15.287117,5.9450455,10.266985,-55.399395,-32.181324,32.089104,-2.1719074,-1.5730448,-2.1342323,-20.555214
7,0.6373353004455566,0.02987661026418209,50.31731033325195,0.12179456514036965,18.496442878139923,-89.33024413086409,-87.49375,2.0434937,-11.115298,108.819305,-37.393936,-10.70454,-87.648735,-14.044989,3.0588157,110.68683,-40.4228,5.525532,2.479036,0.30645072,29.793802,-46.607174,26.681257,-36.68714,-18.671072,15.353431,5.999023,10.112267,-55.390995,-32.22464,32.085632,-2.1890583,-1.5881764,-2.0933428,-20.56137
8,0.6468411087989807,0.016981834545731544,50.32417678833008,0.10972615396218936,18.515848922936804,-89.30907493490167,-87.49977,2.021292,-11.120525,108.814644,-37.40773,-10.695734,-87.63141,-14.0638485,3.0530012,110.67257,-40.440166,5.552894,2.4953847,0.3369683,29.793802,-46.62477,26.667824,-36.683655,-18.684858,15.344123,6.0137734,10.020369,-55.38853,-32.264156,32.074852,-2.2092733,-1.6095834,-2.0650795,-20.56444
9,0.6545357704162598,0.004009543918073177,50.33194351196289,0.09024656041631768,18.539992796716007,-89.30122622803695,-87.512375,2.0167038,-11.130323,108.814095,-37.42482,-10.680848,-87.61824,-14.074592,3.0363038,110.654816,-40.45914,5.566013,2.5148277,0.36500776,29.793802,-46.64112,26.659473,-36.681633,-18.68646,15.196246,5.9613266,10.002841,-55.387737,-32.294567,32.061245,-2.2383,-1.6616886,-2.0505302,-20.569067
