Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.7044832706451416,0.07176317274570465,57.72405242919922,-2.905610691561095,19.28762618607031,-9.17919547839454,-63.656506,16.674803,8.273284,101.48104,-47.605625,1.4125863,-84.623116,-23.807524,15.470823,63.385532,-13.667727,-6.769138,3.8348927,5.725349,29.793802,-69.96635,37.897305,-41.993477,-9.72001,-7.1398373,-7.39623,13.373411,-73.46223,-49.18191,32.09314,1.577326,17.327465,-8.910184,-23.90442
1,-0.6516945362091064,-0.45972928404808044,57.615142822265625,-2.8771800564400265,19.348219439143662,-9.220224804955707,-63.893925,16.936502,7.4884577,101.77097,-47.57979,0.6793276,-83.96356,-23.806614,16.523804,60.861572,-12.833274,-6.020484,3.8894672,5.8651376,29.793802,-70.07002,37.689663,-41.976055,-9.712051,-7.2290144,-7.400347,13.440191,-73.426125,-49.3092,31.904034,1.4715383,17.663952,-9.1068,-23.780846
2,-0.596576988697052,-1.0128220319747925,57.49679183959961,-2.842428727251882,19.40759265321402,-9.25285283995666,-64.13127,17.182709,6.7113657,102.05443,-47.552937,-0.045563363,-83.29306,-23.879208,17.604347,58.281456,-12.03007,-5.2661157,3.9274278,5.99239,29.793802,-70.17472,37.470642,-41.966114,-9.681726,-7.305702,-7.4011874,13.511483,-73.42321,-49.412025,31.729458,1.3947959,18.023787,-9.314914,-23.650835
3,-0.5478209853172302,-1.5745019912719727,57.361324310302734,-2.81753604948094,19.459474467491365,-9.29338652338525,-64.36228,17.439548,5.9141545,102.34599,-47.5326,-0.786511,-82.5819,-23.898384,18.64775,55.749565,-11.165136,-4.5489388,3.9775996,6.1287837,29.793802,-70.28594,37.24231,-41.954884,-9.647333,-7.38605,-7.408603,13.572987,-73.366905,-49.485836,31.529924,1.3066745,18.303009,-9.499909,-23.5266
4,-0.4838324189186096,-2.1420278549194336,57.22129440307617,-2.812444195983331,19.495517688545643,-9.358397167921758,-64.57525,17.7302,5.076913,102.65771,-47.52326,-1.5666952,-81.8056,-23.743532,19.608582,53.381428,-10.155259,-3.9150515,4.032069,6.24258,29.793802,-70.40142,37.016624,-41.94874,-9.588068,-7.4585404,-7.4296317,13.612816,-73.3765,-49.546562,31.366085,1.2764112,18.554125,-9.632296,-23.410265
5,-0.4137568771839142,-2.7223927974700928,57.06706619262695,-2.84125376971245,19.516944125808923,-9.457164355030452,-64.78166,18.074986,4.1899853,103.0027,-47.523254,-2.391197,-80.93841,-23.341997,20.462742,51.194298,-9.117948,-3.7706895,4.1275635,6.375283,29.793802,-70.517654,36.791203,-41.932415,-9.541077,-7.537732,-7.4657474,13.623982,-73.301025,-49.57986,31.15786,1.2265527,18.62564,-9.692364,-23.298904
6,-0.3449299931526184,-3.3215019702911377,56.89992904663086,-2.891047604935719,19.526668294774264,-9.580030842591786,-64.98138,18.455809,3.270362,103.36954,-47.531677,-3.247458,-80.021225,-22.781424,21.256056,49.14826,-8.054089,-3.9710658,4.235028,6.4962,29.793802,-70.62668,36.571037,-41.915047,-9.489553,-7.6064587,-7.511557,13.616069,-73.24574,-49.594532,30.95672,1.207528,18.627823,-9.702688,-23.187021
7,-0.26129743456840515,-3.935532331466675,56.72247314453125,-2.947577029278783,19.524013908531852,-9.715721757110629,-65.16275,18.846617,2.316782,103.73833,-47.551212,-4.1347737,-79.10446,-22.161879,22.037119,47.25439,-6.717359,-3.7146306,4.3369117,6.595576,29.793802,-70.752106,36.364292,-41.903217,-9.416597,-7.6889286,-7.5708427,13.594557,-73.22839,-49.59676,30.783678,1.2186496,18.638266,-9.685729,-23.099943
8,-0.16676844656467438,-4.575450897216797,56.53711700439453,-2.9917080029679903,19.506656084849073,-9.850911871305447,-65.30826,19.219038,1.3328104,104.09089,-47.585358,-5.0520797,-78.20418,-21.564098,22.87621,45.492172,-4.8868046,-2.1642113,4.3802643,6.6183524,29.793802,-70.868126,36.18699,-41.90706,-9.301555,-7.757709,-7.6447163,13.568121,-73.445045,-49.617287,30.751883,1.3496932,18.873775,-9.668385,-23.054962
9,-0.09987509250640869,-5.201267242431641,56.342063903808594,-3.0470147419355635,19.484964107309416,-10.00586940055307,-65.4372,19.581009,0.2766167,104.4378,-47.643387,-6.026975,-77.1413,-20.821428,24.002174,43.642406,-2.1501145,1.4898089,4.5082808,6.7394943,29.793802,-70.93927,35.98831,-41.865505,-9.29981,-7.860639,-7.760055,13.528885,-73.05271,-49.535084,30.429703,1.1338124,18.724186,-9.630151,-23.11553
