Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.04851485788822174,-2.1013424396514893,77.947021484375,0.19633368601120366,-3.4613489168731038,83.66637507715372,6.708613,2.059644,6.2854486,8.122732,-13.520252,-2.6167455,2.5555856,-3.21177,-8.37012,14.170424,-11.634125,2.998949,-0.95006293,-0.30120003,7.4825487,5.795893,8.6831,-13.424019,62.576202,1.761255,2.1027927,9.2049,0.3240819,-9.6443815,22.47504,65.57046,-18.70871,-2.4305224,-10.039509
1,0.055522046983242035,-2.094339609146118,77.9457778930664,0.19904246718904722,-3.46897943601122,83.69002304768856,6.7201533,2.0590672,6.268596,8.124444,-13.526913,-2.618785,2.5757782,-3.215126,-8.389075,14.174333,-11.646177,3.0069282,-0.9757599,-0.3214461,7.4898877,5.8199177,8.689043,-13.434249,62.585957,1.6835734,2.0783265,9.233308,0.33368078,-9.641727,22.478619,65.57913,-18.727299,-2.4193294,-10.0700865
2,0.06123964115977287,-2.0859670639038086,77.94509887695312,0.20183627010932056,-3.473893098086194,83.71551076576688,6.728645,2.0572639,6.250566,8.125942,-13.533138,-2.6193495,2.5930066,-3.2198346,-8.409229,14.179078,-11.658434,3.0163398,-0.9960379,-0.34659868,7.4874196,5.8610263,8.706832,-13.462891,62.5784,1.5837078,2.0550735,9.266851,0.3533908,-9.636799,22.482254,65.58516,-18.746908,-2.4095776,-10.102087
3,0.06634266674518585,-2.0757334232330322,77.94349670410156,0.2034218210953966,-3.4839222512995303,83.73763981272046,6.7430882,2.057589,6.2348037,8.127416,-13.540011,-2.6228564,2.6157467,-3.222154,-8.42706,14.182084,-11.670096,3.022926,-1.0192344,-0.36599228,7.49911,5.887984,8.714368,-13.480715,62.58429,1.5107229,2.0318847,9.293015,0.36354476,-9.6357765,22.487654,65.591324,-18.757689,-2.3955426,-10.13374
4,0.07266231626272202,-2.0678627490997314,77.94181823730469,0.2037814049893802,-3.5058467207828845,83.75115106931958,6.771683,2.0623803,6.224903,8.128454,-13.548355,-2.6337311,2.6494386,-3.2191865,-8.438867,14.183912,-11.681475,3.0224595,-1.0382204,-0.381808,7.5337744,5.9114795,8.722084,-13.513186,62.593597,1.4724231,2.012862,9.30481,0.36572957,-9.635669,22.502611,65.59496,-18.735685,-2.3690147,-10.1696825
5,0.08028887957334518,-2.06252384185791,77.94060516357422,0.1993732387476076,-3.546388059299547,83.75270126088441,6.823802,2.0747209,6.222985,8.12558,-13.558329,-2.6595733,2.7009897,-3.2075703,-8.442425,14.184885,-11.69496,3.0096138,-1.0486919,-0.3930983,7.599323,5.938376,8.7351265,-13.581927,62.600594,1.4775671,1.996864,9.2990885,0.36042458,-9.636704,22.5348,65.59121,-18.646826,-2.3230345,-10.218622
6,0.08927527070045471,-2.061494827270508,77.939208984375,0.19178959498035408,-3.6003550607351307,83.74587817472369,6.893677,2.0920987,6.2268167,8.119416,-13.569677,-2.695829,2.7658381,-3.1898668,-8.44014,14.184378,-11.709298,2.988062,-1.055282,-0.40079597,7.6913433,5.960822,8.748935,-13.663516,62.610565,1.5236803,1.9821993,9.2773695,0.3475431,-9.638632,22.572752,65.580444,-18.51845,-2.2644243,-10.273945
7,0.09646645933389664,-2.0628039836883545,77.93844604492188,0.18492516060309824,-3.6564150253835095,83.73560383198414,6.96299,2.109965,6.233167,8.117769,-13.581545,-2.728886,2.8313458,-3.171645,-8.435177,14.183105,-11.720985,2.9669926,-1.0511857,-0.40957087,7.7899046,5.9811363,8.771567,-13.765823,62.61905,1.5665444,1.9752886,9.251034,0.33914062,-9.643389,22.615013,65.56526,-18.389706,-2.2015862,-10.32573
8,0.10229487717151642,-2.066054105758667,77.93760681152344,0.1807206858623735,-3.7044549033933167,83.72750138446115,7.0177064,2.1227632,6.238566,8.123126,-13.590877,-2.74495,2.8872774,-3.1585228,-8.431143,14.179293,-11.724989,2.955677,-1.0518273,-0.41831797,7.883905,5.9853134,8.783382,-13.842638,62.64081,1.599375,1.9789777,9.2275,0.31655893,-9.646933,22.663353,65.57163,-18.31419,-2.1448267,-10.361462
9,0.10436508059501648,-2.067401170730591,77.93614959716797,0.18013784859462437,-3.744564734718019,83.72248298282467,7.0542135,2.127697,6.242451,8.141648,-13.597132,-2.7332313,2.931785,-3.1541173,-8.428228,14.174748,-11.718316,2.9608805,-1.0422775,-0.43125066,7.9682007,5.9777846,8.798789,-13.933127,62.670296,1.5833389,2.0023353,9.214114,0.29702002,-9.653776,22.733562,65.58915,-18.296347,-2.0875843,-10.378115
10,0.10308900475502014,-2.0694737434387207,77.93514251708984,0.18195617964569297,-3.7815955899954283,83.71779752913008,7.079237,2.128222,6.2464213,8.172272,-13.602996,-2.7034817,2.9707963,-3.1545742,-8.424872,14.168611,-11.703466,2.9761646,-1.0294127,-0.44606057,8.055328,5.956582,8.811718,-14.019434,62.708126,1.5512297,2.0398774,9.202578,0.27013928,-9.662032,22.817036,65.617584,-18.319605,-2.0283053,-10.380628
