Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.332831382751465,0.03292916715145111,77.73029327392578,0.11429164195801919,-2.5412280691621443,-1.994074646392306,3.6445537,4.815801,12.025677,8.316036,-10.162066,-3.7067127,2.4690957,-5.8942623,-15.067355,9.349862,-8.8564,5.66019,-3.2390294,0.39267802,7.881304,1.9929564,18.463657,-33.445072,55.104553,-5.3962336,-1.0824097,-3.5276408,-4.0572357,-14.923836,40.307446,50.62229,-5.2160425,3.464194,-1.2905968
1,-2.343231439590454,0.029652301222085953,77.72830200195312,0.13576849000190527,-2.5545626828159365,-2.126800875018065,3.691242,4.815952,12.15342,8.300355,-10.165193,-3.6878803,2.3245826,-5.92265,-14.931003,9.602046,-8.962707,5.678857,-3.210781,0.33386526,7.928015,2.0478508,18.511646,-33.455082,55.059097,-5.403992,-1.0771303,-3.5445108,-4.048869,-14.921343,40.306774,50.569077,-5.1980042,3.4446342,-1.3321022
2,-2.351989507675171,0.023143379017710686,77.72599029541016,0.15491921981466678,-2.5683083472855617,-2.2577333395123973,3.736689,4.818811,12.279365,8.288914,-10.170996,-3.6694882,2.1871164,-5.9460435,-14.796977,9.841175,-9.062031,5.694429,-3.1804225,0.2816099,7.971714,2.0918581,18.548306,-33.467236,55.0311,-5.411194,-1.0735896,-3.561938,-4.0413055,-14.918515,40.307575,50.520714,-5.178822,3.4254549,-1.3717412
3,-2.365257501602173,0.02521626651287079,77.72257995605469,0.17845298615485633,-2.5814843782795966,-2.391939920849869,3.7835443,4.8164816,12.408349,8.272748,-10.173887,-3.6500704,2.0379913,-5.976153,-14.659201,10.101048,-9.172523,5.717788,-3.1560295,0.23012896,8.011826,2.1233964,18.55937,-33.476044,55.03224,-5.4101744,-1.0715346,-3.5728364,-4.030734,-14.917143,40.305344,50.475475,-5.1668267,3.4064975,-1.4160638
4,-2.378059148788452,0.01602819934487343,77.71894073486328,0.21452832724813076,-2.592099028214366,-2.534962356130134,3.8351932,4.7994256,12.545794,8.241488,-10.168312,-3.6280153,1.8526165,-6.0275807,-14.510594,10.427117,-9.318415,5.7602115,-3.1235,0.15504059,8.0534,2.1670752,18.596308,-33.50509,55.011635,-5.4147215,-1.0650057,-3.5733256,-4.0090456,-14.911139,40.27853,50.42233,-5.164593,3.3860147,-1.471506
5,-2.393845319747925,0.0074296994134783745,77.71465301513672,0.26277099348729155,-2.5998728555983623,-2.6890144190743417,3.8899846,4.7683744,12.69276,8.198901,-10.155752,-3.6029916,1.6345345,-6.097812,-14.351993,10.81053,-9.498367,5.8313107,-3.1005974,0.06789748,8.0936165,2.2104023,18.621004,-33.533268,55.005424,-5.405684,-1.0558426,-3.552999,-3.9798934,-14.90466,40.241135,50.367928,-5.18094,3.3625767,-1.544421
6,-2.4081978797912598,0.0016886078519746661,77.70701599121094,0.319930276904503,-2.6055862374196592,-2.850957338940039,3.9479854,4.7268715,12.846573,8.145999,-10.136954,-3.5758898,1.3925205,-6.1810966,-14.186125,11.236075,-9.70337,5.923387,-3.0773182,-0.030218747,8.133323,2.2540643,18.644863,-33.570786,55.003315,-5.390619,-1.0433023,-3.517447,-3.9428456,-14.895925,40.188908,50.31102,-5.2101784,3.3372467,-1.6299874
7,-2.428267240524292,-0.004240252543240786,77.69842529296875,0.38641557139646016,-2.61056185960029,-3.017172053489673,4.009514,4.674293,13.00518,8.083612,-10.113426,-3.5470996,1.1212884,-6.2796206,-14.011688,11.718033,-9.935738,6.021541,-3.0434055,-0.14506857,8.174182,2.2936525,18.676462,-33.62592,55.000412,-5.3843,-1.0304286,-3.4836178,-3.892461,-14.881495,40.10186,50.248055,-5.25311,3.3133845,-1.7159259
8,-2.4462947845458984,-0.011116944253444672,77.68778228759766,0.46255221669045526,-2.615953523012122,-3.1828359449882595,4.0725513,4.610512,13.165096,8.014954,-10.087102,-3.5171623,0.81829715,-6.394357,-13.828921,12.264786,-10.194636,6.110769,-3.0126286,-0.2780899,8.215355,2.3336525,18.716002,-33.68085,54.99982,-5.3905225,-1.0228349,-3.4691541,-3.844724,-14.861034,39.99724,50.187744,-5.2884274,3.2966175,-1.7937026
9,-2.4616637229919434,-0.021371593698859215,77.67566680908203,0.5452755713520804,-2.621012818787363,-3.346713522900773,4.1338115,4.539087,13.324552,7.944803,-10.061169,-3.4847825,0.48131877,-6.521875,-13.63845,12.879586,-10.479031,6.1801324,-2.99853,-0.42254284,8.254322,2.3793135,18.749653,-33.71447,55.008064,-5.409667,-1.0249553,-3.4850318,-3.8013701,-14.841866,39.889256,50.125504,-5.317041,3.2926571,-1.8554573
