Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.2850967645645142,3.7023563385009766,77.49876403808594,-0.21998927524796294,-9.38675996870132,-92.13415333939575,5.264946,11.457337,18.042095,12.222684,-7.958007,-7.670402,14.033454,-7.215758,-17.052328,12.318188,-15.958456,7.309441,-6.411923,-1.3628743,9.415387,-17.43844,26.90651,-24.962965,51.880432,-21.499256,-0.6871937,-4.257144,-9.534933,-24.474447,20.146387,41.157394,25.032743,9.248929,-5.063288
1,-1.2737659215927124,3.694624900817871,77.49678802490234,-0.2565675393901637,-9.357721931425807,-92.12271987794095,5.1083984,11.526177,18.006903,12.500726,-8.088418,-7.6524034,14.051047,-7.173114,-17.056442,12.220666,-15.9039755,7.322187,-6.436835,-1.3400108,9.391245,-17.472742,26.920645,-25.00876,51.907394,-21.493511,-0.7081299,-4.266493,-9.522089,-24.486116,20.212534,41.142822,25.117825,9.202581,-5.0948677
2,-1.2585608959197998,3.68540096282959,77.49553680419922,-0.29299746494279644,-9.327819153403642,-92.11132834840313,4.9505334,11.59594,17.971413,12.778629,-8.218281,-7.634231,14.067189,-7.1296535,-17.060507,12.123698,-15.849252,7.3338785,-6.467468,-1.3159469,9.356942,-17.507404,26.9432,-25.075638,51.942963,-21.510555,-0.73190695,-4.2719755,-9.514885,-24.511059,20.312347,41.13482,25.233747,9.151085,-5.1330395
3,-1.243241310119629,3.6740102767944336,77.49433135986328,-0.3268829720565643,-9.299777936368724,-92.10082017479549,4.798237,11.662089,17.937136,13.050432,-8.346014,-7.6157265,14.085845,-7.0887365,-17.063875,12.026727,-15.795616,7.3477225,-6.4963565,-1.2913033,9.329721,-17.54019,26.96537,-25.130857,51.970436,-21.523626,-0.75427186,-4.28317,-9.501629,-24.541636,20.402191,41.11628,25.341284,9.10437,-5.1677027
4,-1.2259552478790283,3.6623244285583496,77.49236297607422,-0.35918441296082976,-9.275777227245964,-92.09126505651167,4.655711,11.721088,17.90484,13.314581,-8.472463,-7.5966735,14.110096,-7.05345,-17.066324,11.930968,-15.7454605,7.366666,-6.5252657,-1.2667694,9.309121,-17.56598,26.98923,-25.175415,51.98218,-21.545582,-0.773694,-4.300526,-9.480304,-24.583138,20.493143,41.084023,25.447033,9.066858,-5.20622
5,-1.2066200971603394,3.6476385593414307,77.49103546142578,-0.38648248678107877,-9.25850009101476,-92.0819170812279,4.5299344,11.76864,17.874659,13.56237,-8.59351,-7.5773926,14.145015,-7.0255127,-17.068733,11.833974,-15.7001915,7.393075,-6.547133,-1.2488898,9.293209,-17.606752,27.003141,-25.209827,52.007584,-21.572853,-0.7908154,-4.329238,-9.459398,-24.614933,20.570501,41.060177,25.533075,9.0426,-5.2441173
6,-1.1831870079040527,3.632704973220825,77.48915100097656,-0.4113730525385296,-9.24555705458188,-92.07257420603744,4.4146957,11.8086,17.845612,13.80049,-8.711504,-7.55803,14.187491,-7.0026155,-17.07112,11.734903,-15.657452,7.424862,-6.5714397,-1.2316701,9.279525,-17.640982,27.015732,-25.23596,52.02441,-21.614267,-0.8055518,-4.3624587,-9.435109,-24.6564,20.659575,41.028946,25.626049,9.028588,-5.2889957
7,-1.1597203016281128,3.6190640926361084,77.48566436767578,-0.4336629787708196,-9.23344118516485,-92.06611026186957,4.303978,11.845604,17.819632,14.034599,-8.829644,-7.53795,14.2291765,-6.982962,-17.071281,11.639925,-15.615894,7.4582725,-6.595556,-1.2120851,9.269773,-17.679218,27.024992,-25.255178,52.04194,-21.649603,-0.82123685,-4.4015617,-9.411408,-24.702063,20.74472,40.99861,25.709864,9.013347,-5.3311186
8,-1.1330780982971191,3.6029603481292725,77.48391723632812,-0.4590797103194983,-9.218019268459797,-92.0646127055815,4.1852655,11.88763,17.797293,14.283684,-8.958074,-7.5155864,14.256836,-6.9655194,-17.066612,11.564019,-15.578281,7.4895344,-6.620932,-1.1864674,9.261574,-17.722128,27.032019,-25.276453,52.060947,-21.670654,-0.8410177,-4.442032,-9.388788,-24.750631,20.825878,40.97117,25.783339,8.986131,-5.3702993
9,-1.102872610092163,3.588423252105713,77.48029327392578,-0.4883508103448742,-9.198081800153929,-92.06724456670617,4.060829,11.9329405,17.77755,14.538959,-9.091297,-7.4915156,14.272275,-6.9499307,-17.059174,11.500362,-15.538655,7.517213,-6.6461983,-1.159492,9.252396,-17.77569,27.036564,-25.301533,52.088215,-21.664358,-0.8670484,-4.4856687,-9.374698,-24.788536,20.893852,40.964928,25.83397,8.939807,-5.3963947
10,-1.0714340209960938,3.571761131286621,77.47819519042969,-0.5186735309252353,-9.17573660434134,-92.07313423466486,3.9329486,11.979617,17.759926,14.800215,-9.229686,-7.464909,14.278947,-6.9369445,-17.049364,11.448788,-15.500094,7.543346,-6.674838,-1.128114,9.24467,-17.829313,27.040695,-25.325476,52.11128,-21.644016,-0.8969041,-4.5317464,-9.360183,-24.83253,20.962189,40.95908,25.877722,8.883081,-5.417673
