Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.26053377985954285,2.7017605304718018,76.36468505859375,2.43668178079671,-3.71437440232325,-89.04131249773664,3.2184327,7.008969,16.822823,18.217983,-18.219988,-7.8035336,-0.97609353,-14.245082,-13.634948,27.357506,-21.323153,10.34441,-0.17169765,-1.4820274,3.692626,0.13250452,24.223953,-43.958916,48.90611,-0.3717758,4.041917,-2.994925,-3.2879603,-22.028168,43.885662,50.143845,5.6889114,18.526308,0.79488605
1,-0.25234928727149963,2.7128849029541016,76.36820220947266,2.4455887612282554,-3.7083215129472644,-89.03490822540104,3.2169352,6.98627,16.8189,18.181011,-18.193825,-7.8015833,-0.9922989,-14.262571,-13.635365,27.361149,-21.317965,10.344053,-0.16204438,-1.4843621,3.7194383,0.06738308,24.27118,-43.731647,48.603176,-1.019162,4.025454,-3.1935391,-3.2878635,-22.048834,43.854057,50.112316,5.6997128,18.528677,0.76733583
2,-0.24573472142219543,2.7210144996643066,76.37350463867188,2.4555900201617633,-3.7048073374638477,-89.02887717361311,3.2201884,6.9620357,16.815565,18.14055,-18.16643,-7.800121,-1.0050343,-14.281013,-13.635178,27.363785,-21.31351,10.343626,-0.167807,-1.4882555,3.7501032,0.02925205,24.333904,-43.47863,48.281258,-1.6224583,4.0157886,-3.4129353,-3.2987552,-22.069237,43.8405,50.08181,5.7130866,18.531776,0.7386722
3,-0.24213385581970215,2.733569860458374,76.37580108642578,2.4648129650192017,-3.6963091314768888,-89.02202813286422,3.213766,6.9405913,16.811092,18.107212,-18.141733,-7.7977123,-1.0243582,-14.29767,-13.636006,27.367567,-21.307404,10.3433275,-0.17307366,-1.4912456,3.7776847,-0.018951774,24.400473,-43.23284,47.945236,-2.3080769,4.001569,-3.596779,-3.312288,-22.085344,43.8268,50.05685,5.7294884,18.533144,0.7103331
4,-0.23930524289608002,2.7432477474212646,76.37609100341797,2.4685321280419013,-3.6753456910758606,-89.0132477935714,3.185237,6.925713,16.804035,18.087564,-18.121754,-7.792971,-1.0605625,-14.310196,-13.638978,27.37513,-21.29729,10.343387,-0.17908588,-1.4892409,3.7974992,-0.08907671,24.46768,-42.99649,47.576874,-3.1909342,3.9711657,-3.6919835,-3.3266566,-22.097443,43.813026,50.036194,5.7517014,18.531239,0.6830598
5,-0.2391185611486435,2.761167287826538,76.37601470947266,2.4671689933130883,-3.634831263676541,-89.002850206503,3.121157,6.921331,16.793688,18.092516,-18.111307,-7.7840495,-1.1236045,-14.316105,-13.644347,27.38909,-21.28119,10.344472,-0.1885761,-1.4797946,3.8058581,-0.1829647,24.541954,-42.77115,47.16127,-4.3610296,3.9213305,-3.6747692,-3.3455837,-22.107382,43.802273,50.01891,5.7896323,18.524323,0.65239877
6,-0.24010245501995087,2.776492118835449,76.37550354003906,2.4633709925134726,-3.5803888071830503,-88.99130867299014,3.0316408,6.924419,16.780935,18.115026,-18.107538,-7.772248,-1.2056464,-14.317301,-13.651503,27.40754,-21.260756,10.3462925,-0.19703355,-1.4648356,3.8049555,-0.29780263,24.616741,-42.557514,46.718044,-5.7346654,3.8544157,-3.57735,-3.3646472,-22.114708,43.7896,50.00433,5.8368444,18.513744,0.6198733
7,-0.23490500450134277,2.7878577709198,76.3770980834961,2.457663184397036,-3.5239303889333176,-88.9775432089837,2.9372735,6.9288573,16.766487,18.140442,-18.1042,-7.760659,-1.2896668,-14.31769,-13.66071,27.425335,-21.239182,10.34743,-0.2083698,-1.4489602,3.8045778,-0.42400628,24.698462,-42.34735,46.249252,-7.1802206,3.7685802,-3.4333546,-3.3857944,-22.120586,43.780968,49.99317,5.8816614,18.502436,0.5942077
8,-0.22871825098991394,2.797023057937622,76.38008117675781,2.4519457276300107,-3.476994504872977,-88.96056243151821,2.8596947,6.9290376,16.75106,18.151558,-18.093876,-7.7525024,-1.3580198,-14.320451,-13.672403,27.436352,-21.218914,10.346523,-0.20714785,-1.4318678,3.806152,-0.59082586,24.748795,-42.16125,45.81596,-8.563039,3.6607904,-3.2716968,-3.3950598,-22.122679,43.761955,49.989437,5.9061604,18.49335,0.58476
9,-0.22182664275169373,2.81085467338562,76.38130950927734,2.4503381591606503,-3.4424477796488944,-88.93847023271874,2.801509,6.923959,16.73394,18.14749,-18.075232,-7.750614,-1.4080435,-14.327159,-13.687727,27.442583,-21.201962,10.340685,-0.23351151,-1.4211929,3.8283584,-0.72178364,24.842674,-41.934036,45.308865,-9.882453,3.5279226,-3.0930347,-3.422831,-22.12438,43.7709,49.98631,5.918701,18.486757,0.5983223
