Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.014601083472371101,2.163689613342285,78.17881774902344,1.3263853320374535,1.4357093527220046,-93.29941273140561,-1.5579855,6.2499094,19.004272,12.96583,-12.050327,-6.4397283,-4.051587,-9.085988,-2.3471832,14.343575,-11.44651,9.952599,4.72763,1.1924728,4.980064,-13.427679,14.055628,-51.120724,71.39708,-1.4448395,-1.9337649,-0.66850203,1.5078224,-19.634144,29.010042,56.21325,-12.174622,-1.5597663,-3.9305356
1,0.029079118743538857,2.1798956394195557,78.17768859863281,1.325969349646756,1.4149423129012146,-93.29511784783942,-1.5935423,6.2429814,18.986546,13.063454,-12.092416,-6.378864,-4.031519,-9.103097,-2.348669,14.322978,-11.420177,10.000811,4.7514114,1.186466,4.975531,-13.4181595,14.037606,-50.968094,71.45353,-1.3485957,-1.9390925,-0.5954767,1.5345573,-19.655197,28.98413,56.219055,-12.180011,-1.5594469,-3.9099844
2,0.04663961008191109,2.196476697921753,78.17774963378906,1.326667844404993,1.3950462984984089,-93.29173755663238,-1.6296164,6.2351484,18.968811,13.160462,-12.132724,-6.3157434,-4.0129805,-9.120889,-2.3487575,14.302919,-11.3939705,10.051191,4.7703137,1.1770638,4.9695497,-13.408976,14.02819,-50.82955,71.506325,-1.2612872,-1.9412707,-0.519435,1.5516049,-19.670614,28.966866,56.23508,-12.186742,-1.5590898,-3.889253
3,0.06838816404342651,2.211371898651123,78.17076873779297,1.3255169886195772,1.3734471112464597,-93.28638336193607,-1.6646302,6.2290936,18.95106,13.25852,-12.176424,-6.2570844,-3.992589,-9.13764,-2.3514187,14.284409,-11.368937,10.097212,4.780633,1.1717508,4.965884,-13.394482,14.02153,-50.674706,71.55488,-1.1866308,-1.9497621,-0.45007098,1.5659614,-19.687984,28.955038,56.25066,-12.188195,-1.5590928,-3.8714666
4,0.09709788113832474,2.228543281555176,78.16756439208984,1.3202075859988975,1.3477393022867448,-93.27614007700106,-1.6962851,6.2273655,18.93335,13.356936,-12.226617,-6.209787,-3.9664717,-9.151885,-2.3599281,14.2671175,-11.345342,10.132511,4.7868576,1.1716483,4.964025,-13.374088,14.0187435,-50.50655,71.60065,-1.1536303,-1.9739147,-0.39641133,1.5844985,-19.707905,28.941364,56.2627,-12.175854,-1.5603863,-3.8614647
5,0.12294089049100876,2.246180772781372,78.16585540771484,1.3072805642097363,1.3151081145174124,-93.25800162919454,-1.7212359,6.234814,18.915934,13.454063,-12.284931,-6.184637,-3.9300632,-9.159981,-2.3789349,14.251361,-11.323418,10.150502,4.7969265,1.1763008,4.9637074,-13.361676,14.021599,-50.36245,71.65483,-1.2185944,-2.0289555,-0.36562818,1.6179998,-19.722155,28.913603,56.26739,-12.143824,-1.5635207,-3.8688767
6,0.1467432975769043,2.256908655166626,78.16441345214844,1.2890031158727573,1.277447955421315,-93.23399171738922,-1.7417438,6.24884,18.898357,13.550843,-12.349263,-6.174991,-3.8864343,-9.163621,-2.4054775,14.236919,-11.30297,10.156243,4.8023653,1.1860754,4.967102,-13.348421,14.03007,-50.215477,71.70856,-1.3396045,-2.105257,-0.35144573,1.6555313,-19.734999,28.881054,56.268837,-12.098671,-1.567655,-3.8879275
7,0.1649664342403412,2.2726263999938965,78.1611099243164,1.2711442661754986,1.2398285973506038,-93.20973440656672,-1.7633581,6.2600336,18.880812,13.650171,-12.417846,-6.161505,-3.8444388,-9.170403,-2.431236,14.2251005,-11.284348,10.160777,4.8046575,1.1968285,4.9702587,-13.328438,14.046828,-50.06344,71.75283,-1.4731663,-2.177148,-0.34280705,1.6905279,-19.750214,28.85023,56.271687,-12.053161,-1.5730784,-3.9018853
8,0.1967524141073227,2.2883191108703613,78.15872955322266,1.2598870557705266,1.2073517760057737,-93.1906974392987,-1.7921895,6.258999,18.863226,13.756221,-12.489513,-6.1247616,-3.8127117,-9.187988,-2.4484591,14.216714,-11.267692,10.175112,4.815917,1.2015378,4.9665494,-13.305293,14.065834,-49.922775,71.792656,-1.5830406,-2.2190812,-0.32737803,1.7213706,-19.765276,28.818367,56.284096,-12.021037,-1.5801094,-3.8953335
9,0.2399972379207611,2.3083133697509766,78.1586685180664,1.2580503695555794,1.1826234863962664,-93.180838114292,-1.8276203,6.2401032,18.847027,13.864217,-12.560511,-6.059349,-3.796402,-9.220173,-2.4523737,14.212647,-11.252332,10.203196,4.831822,1.2017388,4.956041,-13.266758,14.088988,-49.767067,71.812355,-1.6346244,-2.2127907,-0.29836112,1.7420686,-19.788286,28.788313,56.306026,-12.005365,-1.5908467,-3.85446
10,0.2904902696609497,2.3239221572875977,78.1524887084961,1.2619914897915172,1.1625796542343205,-93.17645218000158,-1.8676759,6.2094393,18.831633,13.974919,-12.6332445,-5.97573,-3.7918885,-9.26253,-2.4479032,14.216372,-11.240981,10.238793,4.859567,1.1976769,4.936715,-13.231253,14.105405,-49.630745,71.837776,-1.6776582,-2.1772044,-0.26199138,1.7613052,-19.810495,28.752062,56.337936,-11.999198,-1.6046053,-3.7920606
11,0.3297824561595917,2.338045120239258,78.146240234375,1.2678749977154247,1.1434837315798896,-93.1713477273812,-1.9148818,6.1756,18.814085,14.097856,-12.713783,-5.878187,-3.788106,-9.309316,-2.4418893,14.218467,-11.229778,10.277882,4.8788395,1.198029,4.9219093,-13.17772,14.12941,-49.4532,71.843216,-1.6820983,-2.1364193,-0.23073386,1.7822437,-19.85206,28.726334,56.35542,-11.998253,-1.6160555,-3.7242932
12,0.3574329912662506,2.352468967437744,78.14231872558594,1.2718677911754073,1.1218047676595582,-93.15945380500126,-1.972154,6.1470413,18.791605,14.243347,-12.809066,-5.7711043,-3.7788262,-9.354963,-2.4408221,14.219693,-11.220548,10.316382,4.906997,1.1935345,4.904721,-13.13461,14.145711,-49.28877,71.87522,-1.693669,-2.117979,-0.21265519,1.8093936,-19.882679,28.699856,56.37799,-12.005307,-1.621603,-3.6758893
13,0.3900676369667053,2.3689417839050293,78.13752746582031,1.2733721912800062,1.096997136396781,-93.13766019615584,-2.045763,6.1273937,18.761763,14.422505,-12.9258585,-5.6484513,-3.7610273,-9.39813,-2.4457037,14.215451,-11.212878,10.35371,4.9249673,1.187929,4.8920765,-13.086359,14.164944,-49.09037,71.91576,-1.6856357,-2.1331685,-0.2183883,1.8377043,-19.915726,28.691458,56.394173,-12.020227,-1.6183219,-3.646902
14,0.43090367317199707,2.3814666271209717,78.13445281982422,1.2743916825707107,1.0709192596459605,-93.1098551570765,-2.133127,6.1118937,18.72662,14.628663,-13.059843,-5.5103035,-3.7397482,-9.441523,-2.453274,14.209777,-11.207815,10.3918295,4.942192,1.1785213,4.878857,-13.041769,14.184616,-48.890778,71.97041,-1.677061,-2.1671078,-0.23947053,1.8656285,-19.943989,28.693787,56.41293,-12.041755,-1.6093587,-3.6288648
15,0.4839366674423218,2.402000904083252,78.13156127929688,1.27440087506497,1.043166680449381,-93.07983163468936,-2.2206526,6.0957637,18.68957,14.838779,-13.196604,-5.3702116,-3.715534,-9.486306,-2.4637353,14.204008,-11.201855,10.430645,4.95163,1.17148,4.8673916,-12.986485,14.208924,-48.67586,72.02054,-1.6611012,-2.2035413,-0.26202363,1.8900822,-19.97361,28.70517,56.43555,-12.068847,-1.5974646,-3.6237068
16,0.5307736992835999,2.419651746749878,78.12928009033203,1.273546896116032,1.0134009382599258,-93.05137423528497,-2.2952473,6.074247,18.654173,15.030667,-13.322204,-5.2416916,-3.688771,-9.533142,-2.4770288,14.199901,-11.192006,10.470191,4.9473643,1.1740671,4.8615527,-12.907092,14.250603,-48.448925,72.0393,-1.648741,-2.2261,-0.27246845,1.912661,-20.016146,28.727186,56.453476,-12.093771,-1.5849075,-3.6321805
