Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.29873353242874146,4.912816524505615,78.01538848876953,2.1256664232322144,-3.270422812202743,-92.91220960629447,8.557772,3.2911038,17.990997,6.9696627,-10.357503,-5.019204,0.41234902,-9.091348,-9.797989,20.633163,-17.013062,6.2724032,-1.7494758,-3.3255374,8.322382,-6.4597363,18.940012,-48.775673,63.661095,5.96599,-3.3449662,2.8509262,-6.8886337,-13.384007,40.654194,67.8384,18.460712,-7.9136233,4.3760266
1,0.30086222290992737,4.947057247161865,78.01898956298828,2.1541952222536978,-3.188256565853086,-92.94985382791144,8.4482,3.2591934,18.032024,6.953139,-10.323991,-5.0204725,0.22229041,-9.121822,-9.73592,20.73661,-17.014162,6.2712026,-1.8223383,-3.343807,8.26442,-6.4367857,18.970373,-48.741493,63.691586,5.8554792,-3.354372,2.8444388,-6.8087163,-13.385659,40.48244,67.94212,18.55546,-7.986367,4.333556
2,0.3049126863479614,4.984107494354248,78.01871490478516,2.1829453435320247,-3.1061735620377946,-92.98880946205611,8.34038,3.2271135,18.07481,6.934496,-10.2895355,-5.0228734,0.03159906,-9.15196,-9.671848,20.841486,-17.015614,6.2704406,-1.8375652,-3.3646216,8.194638,-6.2695622,18.994833,-48.520554,63.62396,6.005543,-3.3563323,2.8376396,-6.687011,-13.39522,40.249527,68.0198,18.639004,-8.058788,4.2966695
3,0.30432647466659546,5.021568298339844,78.02159118652344,2.210671928813036,-3.0237733220081964,-93.02481968954142,8.230351,3.1968954,18.114264,6.918677,-10.25672,-5.023321,-0.15639246,-9.180357,-9.612099,20.940767,-17.01488,6.2688255,-1.924239,-3.378143,8.149416,-6.3173285,19.02596,-48.565002,63.700027,5.7965765,-3.3722754,2.8289492,-6.6057286,-13.413872,40.08369,68.10525,18.732775,-8.128572,4.2539763
4,0.30448272824287415,5.059996604919434,78.02323913574219,2.2338582731826397,-2.940129415970647,-93.05336727014945,8.113652,3.171331,18.145014,6.9079585,-10.225065,-5.0190396,-0.33798647,-9.20552,-9.563362,21.02649,-17.008682,6.264998,-1.9761189,-3.389443,8.094768,-6.2882686,19.053423,-48.505997,63.7381,5.765344,-3.393879,2.8148873,-6.47334,-13.439228,39.87582,68.192055,18.82369,-8.1944275,4.201839
5,0.30698245763778687,5.097575664520264,78.0268325805664,2.254435332985308,-2.855743863751593,-93.07281470298436,7.9912014,3.1482153,18.164526,6.9012027,-10.195735,-5.007138,-0.51134497,-9.229302,-9.528837,21.096216,-16.99628,6.2585115,-2.0304155,-3.3954303,8.0548315,-6.2732024,19.099958,-48.45201,63.775658,5.7416935,-3.4309702,2.7884154,-6.2999573,-13.495215,39.649967,68.25224,18.910583,-8.252865,4.1325045
6,0.3067128360271454,5.1383209228515625,78.03117370605469,2.2732947780107176,-2.770629122598716,-93.08575145790572,7.8643084,3.1268017,18.176165,6.8972955,-10.167835,-4.9898376,-0.6795761,-9.252532,-9.504372,21.15607,-16.980375,6.2500234,-2.107861,-3.3974094,8.011333,-6.263365,19.137886,-48.38471,63.840504,5.726347,-3.4807358,2.7563496,-6.120711,-13.549107,39.447735,68.334656,19.007246,-8.309175,4.047247
7,0.30870458483695984,5.17650032043457,78.03634643554688,2.2890034693352557,-2.6842095973086657,-93.09457116042188,7.73262,3.1089447,18.183548,6.8978467,-10.1401205,-4.971565,-0.8423985,-9.272189,-9.484977,21.2027,-16.958248,6.2401633,-2.1854415,-3.3936214,7.9742703,-6.268205,19.185291,-48.330856,63.90845,5.7222967,-3.531717,2.7226753,-5.915947,-13.62496,39.24157,68.4028,19.106653,-8.359113,3.9669409
8,0.3115091919898987,5.21461820602417,78.04032897949219,2.3013880702063956,-2.5957402976812585,-93.10184279522649,7.5954766,3.0972066,18.190475,6.9036427,-10.110457,-4.95679,-1.0019959,-9.284969,-9.465713,21.237785,-16.929962,6.2293673,-2.2721326,-3.3834052,7.9341025,-6.289173,19.229904,-48.287727,63.994183,5.740163,-3.5747154,2.6952174,-5.707005,-13.702378,39.053593,68.48985,19.215006,-8.4039545,3.9063818
9,0.313410222530365,5.253721714019775,78.04560852050781,2.3067090157039107,-2.5021803949265147,-93.10554648391664,7.4495015,3.0936575,18.195942,6.9147987,-10.0780525,-4.9481907,-1.1618044,-9.288806,-9.447066,21.262806,-16.895338,6.217155,-2.360858,-3.363333,7.89562,-6.327858,19.285315,-48.269825,64.07839,5.791512,-3.601034,2.6701148,-5.4743056,-13.8042,38.8638,68.55926,19.344141,-8.439533,3.8744562
10,0.3145869970321655,5.292489528656006,78.05184173583984,2.307173420414987,-2.404979841048829,-93.1051815861726,7.29538,3.0970232,18.198431,6.9315505,-10.043922,-4.942881,-1.3206655,-9.285577,-9.431351,21.278818,-16.85582,6.2033052,-2.4676342,-3.339766,7.845545,-6.3829236,19.327885,-48.25837,64.19781,5.873083,-3.6191459,2.6479843,-5.251903,-13.884875,38.695343,68.67659,19.491085,-8.472544,3.8564107
11,0.31537187099456787,5.334123611450195,78.05550384521484,2.3045578123615464,-2.3097993822039258,-93.10515893321785,7.14175,3.1051948,18.200562,6.9519567,-10.009035,-4.9369245,-1.4727736,-9.276926,-9.41601,21.284597,-16.81188,6.189296,-2.5602994,-3.3052886,7.812451,-6.454352,19.390995,-48.26837,64.301285,5.949797,-3.639292,2.631997,-4.9888096,-14.009706,38.52116,68.75185,19.622717,-8.496538,3.8528545
12,0.31672203540802,5.375713348388672,78.05915069580078,2.2983198998314154,-2.2222561714736937,-93.10951969421806,6.996082,3.1172526,18.204447,6.975259,-9.974575,-4.92657,-1.6129495,-9.26307,-9.399097,21.280901,-16.765894,6.1760936,-2.655297,-3.2626765,7.788389,-6.535465,19.455204,-48.268932,64.41639,6.001722,-3.675059,2.63151,-4.723482,-14.14038,38.385166,68.85144,19.71765,-8.518573,3.8524566
13,0.3191792070865631,5.41556978225708,78.06372833251953,2.2901555870808665,-2.148924709213493,-93.11917269701533,6.8652563,3.1333776,18.209438,7.002864,-9.940782,-4.908616,-1.731759,-9.243511,-9.381016,21.262882,-16.716166,6.1653023,-2.7470737,-3.2115214,7.781978,-6.631044,19.521389,-48.26872,64.547775,6.0202246,-3.7395146,2.6531098,-4.4498954,-14.277597,38.285595,68.972336,19.766348,-8.542883,3.8577316
14,0.3182593286037445,5.458504676818848,78.0685806274414,2.2788026403167176,-2.084917391457734,-93.13186740071198,6.743958,3.154235,18.21458,7.032946,-9.90601,-4.8858466,-1.8345672,-9.217615,-9.362767,21.231739,-16.66235,6.15579,-2.8382366,-3.152458,7.78779,-6.7411046,19.590292,-48.270878,64.69396,6.019456,-3.8228896,2.691293,-4.168642,-14.422654,38.21523,69.112366,19.78341,-8.567129,3.870904
15,0.3164456784725189,5.500585556030273,78.07209777832031,2.265936255364157,-2.0190816793518938,-93.14711618863063,6.544953,3.204248,18.217827,7.2339272,-9.959456,-4.8639226,-1.9394176,-9.188416,-9.342627,21.198359,-16.608198,6.145173,-2.9290404,-3.0869257,7.794067,-6.8601027,19.661892,-48.265423,64.84264,6.005447,-3.9025142,2.7350273,-3.8816202,-14.574747,38.166924,69.26636,19.774899,-8.582671,3.8856206
