Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0208197720348835,1.8024100065231323,78.2422866821289,0.02064098866136864,4.204635650263616,-89.64678610275101,-5.015329,4.568239,14.169506,9.655416,-9.274692,-2.6144278,-4.488529,-8.222944,-17.687883,16.105923,-13.908119,6.101623,-1.950712,-3.179359,5.8204403,-5.7340755,19.701967,-38.199516,63.74557,7.5249376,0.61628044,13.659461,2.0034907,-13.022414,18.458916,63.41665,-2.2036467,-6.350066,-3.4650116
1,0.023624271154403687,1.797037959098816,78.23918151855469,0.02176937264411945,4.207689378578461,-89.65008817503286,-5.0155277,4.5677147,14.169374,9.658498,-9.278596,-2.6060085,-4.4856877,-8.221926,-17.679028,16.095346,-13.905952,6.1096883,-1.9465001,-3.1905186,5.818591,-5.715592,19.716812,-38.19727,63.71778,7.53213,0.6173228,13.638213,2.000997,-13.02353,18.471403,63.427406,-2.211013,-6.347307,-3.45282
2,0.021065957844257355,1.7936875820159912,78.24099731445312,0.022940574498982087,4.21085500761112,-89.65338856765057,-5.0148954,4.566858,14.169016,9.659109,-9.280938,-2.5969229,-4.4823513,-8.2206745,-17.669807,16.083248,-13.9032,6.118474,-1.9384663,-3.2005002,5.8165183,-5.707645,19.72042,-38.198277,63.7051,7.5428925,0.6180187,13.617365,1.9991632,-13.024647,18.477139,63.43964,-2.2221081,-6.3444285,-3.4410143
3,0.022057512775063515,1.7932460308074951,78.23980712890625,0.023944756005763942,4.213718275659704,-89.65661781254046,-5.014273,4.566187,14.169044,9.66037,-9.284017,-2.5892446,-4.47964,-8.21966,-17.661509,16.07347,-13.901532,6.125817,-1.9391222,-3.2089636,5.8122153,-5.6823635,19.733503,-38.191406,63.674072,7.549273,0.61949813,13.597933,1.996404,-13.030898,18.499292,63.450554,-2.2237635,-6.341301,-3.429372
4,0.02005266584455967,1.7870731353759766,78.2406234741211,0.024574038157158775,4.215359260360206,-89.6597983777634,-5.011076,4.565387,14.170298,9.658519,-9.285927,-2.5851398,-4.476839,-8.219036,-17.65552,16.067406,-13.902009,6.129726,-1.9305879,-3.2189302,5.8097157,-5.677165,19.736177,-38.190693,63.666786,7.5524745,0.619183,13.584734,1.9971383,-13.033213,18.505121,63.46023,-2.236042,-6.3385377,-3.4202142
5,0.02227075584232807,1.7798235416412354,78.23872375488281,0.024875182685094543,4.214721147818997,-89.66341220996676,-5.0024447,4.5639477,14.173431,9.650458,-9.286278,-2.586809,-4.4728594,-8.219085,-17.652576,16.065554,-13.9055395,6.128463,-1.9238911,-3.2270358,5.8045807,-5.6646028,19.73862,-38.185787,63.655228,7.5468917,0.61864704,13.578177,2.0004816,-13.036685,18.516127,63.46861,-2.2492836,-6.335983,-3.4151063
6,0.023375919088721275,1.7744958400726318,78.23806762695312,0.024711044042413633,4.212550296078038,-89.66710168483385,-4.992145,4.5628657,14.177535,9.642205,-9.287445,-2.5926394,-4.4692802,-8.219786,-17.651815,16.069307,-13.912353,6.1234956,-1.9161792,-3.2359028,5.800689,-5.6557326,19.739819,-38.17974,63.64934,7.5355415,0.61660445,13.577434,2.0042453,-13.039934,18.525406,63.475697,-2.2665975,-6.3335357,-3.4139323
7,0.02394913136959076,1.778153657913208,78.23844909667969,0.024515185440206956,4.210914864432022,-89.67018798779712,-4.982353,4.56137,14.181962,9.632798,-9.287474,-2.5987911,-4.4666505,-8.220791,-17.6524,16.073908,-13.91895,6.1176677,-1.9204235,-3.2423406,5.793224,-5.633684,19.741617,-38.156815,63.63538,7.529681,0.61622286,13.578928,2.0073826,-13.049852,18.55165,63.48125,-2.2740917,-6.3299522,-3.4113631
8,0.024810634553432465,1.7737064361572266,78.23942565917969,0.02394269780307478,4.212025363963146,-89.67151360671069,-4.9781876,4.5608516,14.185257,9.628335,-9.288055,-2.6016586,-4.465908,-8.221268,-17.653982,16.07611,-13.922123,6.1136274,-1.9128492,-3.2509847,5.7884054,-5.6321454,19.74169,-38.15418,63.63355,7.521882,0.6189742,13.580264,2.0096831,-13.051369,18.556839,63.490955,-2.280069,-6.3268323,-3.4023435
9,0.026279952377080917,1.7712764739990234,78.23989868164062,0.023723962716702216,4.218733526593009,-89.67212849015675,-4.9802785,4.559989,14.189554,9.623618,-9.285002,-2.5998664,-4.471912,-8.222217,-17.65516,16.078026,-13.921331,6.110989,-1.9269879,-3.2570848,5.769867,-5.6114483,19.741488,-38.1308,63.62508,7.5232115,0.62947136,13.581488,2.0069153,-13.068227,18.603792,63.50801,-2.2502491,-6.321413,-3.3827753
10,0.02607659250497818,1.7662591934204102,78.2410888671875,0.022894057429251057,4.228676978075077,-89.67114594842954,-4.9899025,4.560645,14.192997,9.626037,-9.283284,-2.5957584,-4.4820695,-8.222641,-17.657778,16.079813,-13.917658,6.108498,-1.9231774,-3.266912,5.754399,-5.611243,19.74113,-38.129025,63.626316,7.5254745,0.6446917,13.5835705,2.0061188,-13.074145,18.620493,63.528465,-2.2223792,-6.3160024,-3.3566744
11,0.02827564813196659,1.7638438940048218,78.24345397949219,0.022245701473868465,4.23794229363449,-89.66917590922543,-4.999218,4.5608387,14.19566,9.629019,-9.282031,-2.5902874,-4.489848,-8.223351,-17.66082,16.079674,-13.913149,6.108407,-1.9290445,-3.2752948,5.73423,-5.6062284,19.739868,-38.12577,63.62921,7.52382,0.6595685,13.586552,2.0048325,-13.085663,18.654413,63.54956,-2.1844685,-6.310741,-3.3302279
12,0.02917460724711418,1.7594542503356934,78.2447280883789,0.022168726207357402,4.242095071589991,-89.66596354439433,-5.002138,4.5596538,14.195858,9.631141,-9.283584,-2.5847256,-4.489709,-8.224973,-17.663982,16.07721,-13.910221,6.1129303,-1.9387877,-3.2831578,5.717411,-5.5966043,19.737186,-38.114166,63.629364,7.5281034,0.6696745,13.588511,2.0078053,-13.101816,18.684214,63.56218,-2.160292,-6.307043,-3.306558
13,0.031595777720212936,1.756246566772461,78.24500274658203,0.02315425624810715,4.238727532965467,-89.66066013812053,-4.998323,4.5568295,14.19243,9.637299,-9.29179,-2.577659,-4.478828,-8.228588,-17.667109,16.074007,-13.910929,6.125984,-1.9468608,-3.2920587,5.7064567,-5.5893173,19.733559,-38.10121,63.63181,7.5344453,0.67262596,13.588464,2.0170739,-13.116651,18.698277,63.567326,-2.162398,-6.3082037,-3.2874
