Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.20283132791519165,3.1991188526153564,77.5272216796875,0.6934488966270183,0.5943662313064887,-88.93674348508375,1.3948721,9.975773,24.985088,13.258874,-13.628134,-8.735499,4.267338,-10.695191,-32.79273,12.026079,-13.682193,9.064633,-0.6171698,1.1213254,5.9152045,5.1703243,17.107756,-23.83135,59.17961,4.6023154,0.6535288,-3.0685225,-3.0292435,-18.460682,32.674118,62.290592,15.240777,8.919899,-1.4100581
1,-0.20056387782096863,3.241715908050537,77.53364562988281,0.6993169013838717,0.6847553163113856,-88.98713265351722,1.295308,9.961624,25.03622,13.200554,-13.5644045,-8.715387,4.095122,-10.705504,-32.732807,12.053866,-13.651526,9.032978,-0.620341,1.1277628,5.9346924,5.1594687,17.111725,-23.840647,59.149525,4.5878654,0.65576935,-3.0621016,-3.0593553,-18.470125,32.654915,62.26452,15.257211,8.937477,-1.4100574
2,-0.1980205476284027,3.2840352058410645,77.54032897949219,0.7052310785046941,0.7754861210442556,-89.03872705988704,1.1963661,9.9464245,25.088955,13.140419,-13.499664,-8.695227,3.9218569,-10.716334,-32.67145,12.081844,-13.620783,9.001719,-0.6114635,1.1329956,5.956185,5.137214,17.116241,-23.862747,59.124332,4.5714707,0.65962124,-3.0555565,-3.0782843,-18.481262,32.61783,62.226196,15.269428,8.958313,-1.4093622
3,-0.19543145596981049,3.3278043270111084,77.54651641845703,0.7110657476092503,0.865153832800831,-89.08826152528596,1.0974913,9.932535,25.139057,13.082251,-13.43612,-8.675086,3.7524006,-10.724993,-32.61285,12.106201,-13.588621,8.969755,-0.60664696,1.1393812,5.9757824,5.1180573,17.119148,-23.881596,59.102108,4.5548677,0.66095996,-3.0476844,-3.1032817,-18.489075,32.58746,62.2002,15.279849,8.973706,-1.409224
4,-0.19560225307941437,3.3658108711242676,77.5532455444336,0.71449462995579,0.9515390401926271,-89.13348534897108,0.99880606,9.922461,25.184044,13.030116,-13.375383,-8.655047,3.5908816,-10.730036,-32.559414,12.125706,-13.555131,8.936006,-0.59748966,1.1444571,5.9976735,5.091153,17.121515,-23.901903,59.09241,4.537355,0.6572606,-3.0368373,-3.1130042,-18.496399,32.553158,62.16344,15.2786455,8.981033,-1.4124231
5,-0.1961785852909088,3.4023425579071045,77.56055450439453,0.7156869637440496,1.03418302409087,-89.17233839570959,0.9012038,9.915535,25.221409,12.982654,-13.316893,-8.634269,3.4398005,-10.730637,-32.5139,12.1385565,-13.519665,8.898063,-0.5979765,1.1486015,6.019659,5.070173,17.122267,-23.908365,59.090908,4.5191026,0.64480436,-3.0217743,-3.1228883,-18.499817,32.534832,62.133537,15.267234,8.974109,-1.4209886
6,-0.19468359649181366,3.4403176307678223,77.56867218017578,0.7151242178564635,1.1140928428171233,-89.20655345478286,0.8032267,9.91182,25.253405,12.941154,-13.261241,-8.6131115,3.296273,-10.727862,-32.474186,12.146727,-13.482755,8.857173,-0.60071284,1.1524504,6.042665,5.049454,17.122303,-23.909948,59.096523,4.499254,0.62607485,-3.0038693,-3.1264427,-18.501389,32.52177,62.101093,15.247425,8.957624,-1.432758
7,-0.19435815513134003,3.4753270149230957,77.57540893554688,0.7131508377010889,1.1918996717049357,-89.23893765736179,0.70517194,9.911062,25.282663,12.904715,-13.208312,-8.593007,3.1580753,-10.721871,-32.436855,12.14974,-13.444279,8.817773,-0.60552406,1.1570957,6.0663414,5.0310225,17.122154,-23.90942,59.102425,4.482294,0.6076197,-2.9848135,-3.1295152,-18.502195,32.512035,62.07296,15.224696,8.938003,-1.4448787
8,-0.19514542818069458,3.520427703857422,77.58173370361328,0.7105065335578664,1.2680290613196339,-89.27254039812529,0.60539776,9.913819,25.312029,12.877288,-13.160319,-8.575438,3.0247765,-10.711935,-32.398705,12.143944,-13.402588,8.7842,-0.6121294,1.1627694,6.0902815,5.0128465,17.122032,-23.908813,59.10646,4.472573,0.5948772,-2.9679148,-3.134206,-18.502634,32.504147,62.050816,15.205764,8.922828,-1.4540318
9,-0.19581954181194305,3.5629966259002686,77.58531188964844,0.7068944955242326,1.342593593102755,-89.30789235731827,0.50227654,9.921887,25.341202,12.862679,-13.11934,-8.561892,2.895558,-10.69735,-32.358864,12.129767,-13.358796,8.759718,-0.62019724,1.1687781,6.117459,4.9867835,17.122196,-23.909325,59.113712,4.471339,0.5889375,-2.9529982,-3.1450446,-18.502684,32.496563,62.03894,15.18727,8.913755,-1.4571295
