Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.02111092209815979,2.1580564975738525,77.5641098022461,0.4065880252626696,-0.9822048485020194,-91.64528054538421,3.3842714,11.057857,26.942755,12.164189,-13.041024,-9.266206,-0.10202662,-11.176044,-23.691576,15.102368,-12.432191,8.429725,-1.7510124,1.004826,5.768758,1.4819062,18.410484,-24.383833,58.720615,0.985429,1.7583345,-2.834337,-4.4846253,-19.706833,25.718239,65.47867,20.043406,8.8698845,-0.29745346
1,0.025950133800506592,2.137360095977783,77.5643539428711,0.40026449715878826,-0.9738107605900018,-91.65276962729888,3.413687,11.058092,26.954912,12.125337,-13.037348,-9.277406,-0.056478757,-11.151307,-23.696308,15.016039,-12.404748,8.441936,-1.7343819,1.0133762,5.7691464,1.492715,18.415789,-24.399158,58.69168,0.9360634,1.7468389,-2.8337784,-4.485639,-19.726784,25.81233,65.456184,20.239334,8.890103,-0.33116645
2,0.026313258334994316,2.112964391708374,77.5667953491211,0.39299891187075037,-0.9653430310841701,-91.66089884773861,3.4447448,11.056763,26.968077,12.082589,-13.031832,-9.288295,-0.011937464,-11.127344,-23.69994,14.930501,-12.377434,8.454309,-1.7240015,1.0235001,5.7673874,1.5055821,18.416826,-24.40795,58.666084,0.8898851,1.7343975,-2.83125,-4.496479,-19.747578,25.925089,65.44215,20.45233,8.912968,-0.36642998
3,0.025396892800927162,2.090089797973633,77.56851959228516,0.3856514095582636,-0.9569674598562324,-91.66764237838233,3.4744437,11.057306,26.979733,12.043208,-13.027715,-9.2996645,0.034899633,-11.101717,-23.705591,14.842244,-12.349076,8.466401,-1.7183036,1.0356727,5.766004,1.5199229,18.414667,-24.410778,58.640984,0.84283876,1.7220684,-2.832129,-4.50645,-19.767553,26.026463,65.428986,20.638851,8.929156,-0.399236
4,0.025344351306557655,2.0692670345306396,77.57035827636719,0.3754400366267387,-0.9491001970430549,-91.67088695158442,3.500661,11.062071,26.987282,12.011333,-13.026754,-9.31218,0.08659704,-11.073027,-23.716148,14.748674,-12.318461,8.477986,-1.7256383,1.0536721,5.7674646,1.5431309,18.408117,-24.400574,58.608566,0.78998196,1.7106013,-2.841321,-4.5117707,-19.791336,26.102978,65.41052,20.763788,8.930038,-0.42533913
5,0.025303388014435768,2.0446619987487793,77.57098388671875,0.3623337089399113,-0.9417982150012499,-91.669164551571,3.5223649,11.073344,26.98922,11.990201,-13.030001,-9.327035,0.14597991,-11.039149,-23.734127,14.646394,-12.284261,8.4881315,-1.7317489,1.0722246,5.7718854,1.5629303,18.402857,-24.3912,58.575947,0.7216654,1.7002801,-2.8627021,-4.5026317,-19.800175,26.109184,65.39206,20.781128,8.902277,-0.44225538
6,0.02414238080382347,2.0199098587036133,77.57196807861328,0.3464213861663845,-0.9349427374701684,-91.66397343671649,3.5404549,11.089152,26.987246,11.977103,-13.036161,-9.343454,0.21066076,-11.001714,-23.757257,14.537691,-12.2472,8.497353,-1.7465507,1.0943389,5.7767863,1.5886093,18.395407,-24.374842,58.53894,0.6413887,1.6907189,-2.8922818,-4.4893613,-19.806238,26.081823,65.37628,20.729948,8.854503,-0.45272103
7,0.022645797580480576,1.9956718683242798,77.57276153564453,0.33070107285071,-0.9280996910906741,-91.65725961304082,3.5575936,11.105637,26.983423,11.965732,-13.043621,-9.359441,0.27654716,-10.963847,-23.781715,14.428126,-12.210027,8.507192,-1.7602104,1.1162906,5.7829614,1.6098406,18.386482,-24.36083,58.50623,0.5652292,1.6819363,-2.924549,-4.4742107,-19.809517,26.04084,65.35988,20.658056,8.806396,-0.4608586
8,0.02201232500374317,1.9723389148712158,77.57472229003906,0.31713311967371177,-0.9212879466385848,-91.65158426972957,3.5761693,11.119326,26.980356,11.950487,-13.050657,-9.372957,0.3382367,-10.929051,-23.803246,14.326051,-12.177033,8.519381,-1.7656243,1.1329865,5.7896523,1.6199292,18.37821,-24.35676,58.483498,0.50784755,1.6743957,-2.9543493,-4.4602194,-19.811443,26.014248,65.33936,20.617584,8.776931,-0.47148132
9,0.019899195060133934,1.9486874341964722,77.5748291015625,0.305105233623085,-0.9144194114231057,-91.64817371809782,3.597545,11.128814,26.978994,11.928495,-13.056851,-9.382535,0.39492413,-10.897781,-23.819563,14.2316885,-12.148423,8.535731,-1.7597964,1.1449237,5.7957144,1.612857,18.368309,-24.36804,58.479168,0.47391814,1.6690011,-2.9817207,-4.4528065,-19.815014,26.01713,65.31918,20.627987,8.77365,-0.4878839
