Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.12399163097143173,2.173017978668213,77.91514587402344,0.34278263009204785,0.545270056462622,-92.8470454691436,2.3496096,5.0037527,4.603629,7.0189457,-11.162342,-6.385958,0.9638887,-5.1987796,4.6769824,8.458622,-11.117634,7.4229755,1.9824136,-0.5654027,5.2736177,-4.1247234,12.171398,-41.94171,72.090454,4.9620495,-1.7588782,7.435547,-0.36982584,-12.123398,29.883238,62.817238,-16.900082,0.35793963,-3.5514681
1,-0.12510836124420166,2.1712536811828613,77.91490936279297,0.34208911428758493,0.54692679373219,-92.84704406334413,2.349435,5.005766,4.603188,7.0195265,-11.164632,-6.3876204,0.964146,-5.1968794,4.6767144,8.457726,-11.119155,7.420486,1.979914,-0.5633805,5.2694864,-4.1207924,12.1732855,-41.940735,72.08698,4.9630175,-1.7648576,7.438296,-0.35642928,-12.127316,29.88087,62.811672,-16.916086,0.33535692,-3.5805237
2,-0.12800514698028564,2.1677112579345703,77.91487884521484,0.3409907947435949,0.5489302211599939,-92.84697574816309,2.3493385,5.0079527,4.602724,7.019534,-11.167076,-6.38957,0.96271235,-5.1946945,4.6763906,8.459624,-11.122182,7.417454,1.9805065,-0.5622169,5.2650642,-4.115119,12.176265,-41.94028,72.08058,4.968094,-1.7712917,7.4414506,-0.32849923,-12.133344,29.872364,62.791893,-16.940397,0.31239834,-3.6134477
3,-0.12849199771881104,2.1683149337768555,77.9148941040039,0.3402268840291698,0.5506142474922563,-92.84705189975134,2.351579,5.009757,4.602551,7.015309,-11.166806,-6.39106,0.9655502,-5.192878,4.6760273,8.453944,-11.121153,7.4153643,1.979433,-0.5610643,5.2601438,-4.1118994,12.177474,-41.94037,72.07874,4.968992,-1.776067,7.4441996,-0.3131712,-12.135732,29.868504,62.78552,-16.956182,0.2905577,-3.6418276
4,-0.12889660894870758,2.1649277210235596,77.91475677490234,0.3397209872422688,0.5522092775580488,-92.84744105088545,2.350105,5.0114775,4.6022277,7.019371,-11.170306,-6.391452,0.9631472,-5.190927,4.6770687,8.458634,-11.125049,7.4156017,1.9798691,-0.56146044,5.2548027,-4.1098404,12.178656,-41.941906,72.077705,4.965801,-1.7751021,7.4455605,-0.29922912,-12.138126,29.864754,62.777836,-16.961664,0.27336028,-3.6602936
5,-0.13193495571613312,2.1590821743011475,77.91482543945312,0.3397787093007645,0.553784940382203,-92.84891945628797,2.3506384,5.012667,4.6026773,7.0193524,-11.170185,-6.389985,0.9648661,-5.189327,4.679507,8.454579,-11.12321,7.4202666,1.9802835,-0.5627312,5.2491956,-4.1093717,12.179159,-41.943123,72.078125,4.954185,-1.7638038,7.445086,-0.2926143,-12.139163,29.86391,62.771873,-16.948763,0.26253173,-3.664716
6,-0.1334698349237442,2.1568591594696045,77.91510009765625,0.3399819582185766,0.5556410554726331,-92.85109702084308,2.3510785,5.013531,4.6034064,7.0196795,-11.169364,-6.387117,0.96810186,-5.187934,4.6831512,8.446129,-11.118193,7.4280157,1.9835987,-0.56593746,5.24139,-4.1096587,12.180725,-41.94953,72.07899,4.933799,-1.7434884,7.442982,-0.28201312,-12.1428385,29.865475,62.759697,-16.920605,0.25577366,-3.660047
7,-0.13446874916553497,2.154945135116577,77.91584777832031,0.3404731537465546,0.5566446507866419,-92.85286000051615,2.3524065,5.0142164,4.6038914,7.0198627,-11.168675,-6.384392,0.97082096,-5.1866097,4.6864104,8.441387,-11.115718,7.4350867,1.9847801,-0.56885475,5.2357864,-4.1113997,12.181405,-41.95275,72.08099,4.917108,-1.7257177,7.4408393,-0.2802647,-12.144516,29.868132,62.754715,-16.892496,0.2514215,-3.6507964
8,-0.13615940511226654,2.1528923511505127,77.91648864746094,0.340639949302604,0.556113895011016,-92.85296698961707,2.3552067,5.0151076,4.603712,7.020189,-11.169451,-6.383118,0.9740129,-5.1851773,4.687408,8.441183,-11.117417,7.4376383,1.9852399,-0.5721947,5.230834,-4.113788,12.182237,-41.959797,72.08444,4.9069495,-1.7186993,7.439798,-0.280292,-12.146707,29.875017,62.75376,-16.870462,0.24823435,-3.6440704
9,-0.13788840174674988,2.148770332336426,77.91634368896484,0.34055014594679045,0.5534083776317292,-92.8512457487311,2.3604333,5.016471,4.603396,7.020365,-11.172452,-6.3839793,0.9802816,-5.183838,4.6855307,8.443154,-11.123872,7.433482,1.9850414,-0.5744882,5.2294583,-4.116473,12.182807,-41.96395,72.08637,4.9128895,-1.7275585,7.440841,-0.28254333,-12.14808,29.879324,62.756935,-16.866114,0.24489431,-3.6398559
