Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.023807531222701073,2.3961381912231445,78.21722412109375,0.22467742838947635,-3.228984205590704,-93.74999583458101,6.4153514,7.603536,23.48931,6.8875246,-8.9952345,-6.2181225,1.7883533,-10.205429,-13.407795,9.047891,-6.066843,10.05512,-1.7419771,-1.9396819,12.335563,-7.938267,18.860807,-37.759243,52.02682,9.18771,-0.7952628,-2.2162669,-7.1371317,-15.680874,26.75887,53.335133,29.888582,7.7312956,2.4197924
1,0.024642841890454292,2.401996612548828,78.21825408935547,0.2241131312337347,-3.237776572351679,-93.75587877491824,6.425006,7.6058,23.495632,6.886706,-8.994688,-6.217951,1.7986873,-10.20086,-13.4005995,9.03546,-6.05898,10.054769,-1.7342987,-1.9412475,12.295641,-8.027628,18.944176,-37.71505,51.148293,8.987791,-1.226047,-1.4150125,-7.29568,-15.719201,26.690523,52.432373,30.748577,7.9016304,2.2546792
2,0.022645557299256325,2.4060347080230713,78.21855163574219,0.22258988482203115,-3.247082880484138,-93.76182770364143,6.4356313,7.608342,23.502083,6.886234,-8.99503,-6.218034,1.8102142,-10.195803,-13.393384,9.021944,-6.0509806,10.0543585,-1.7289195,-1.94626,12.265742,-8.0894575,19.067034,-37.671406,50.236397,8.778529,-1.6764054,-0.60780853,-7.439731,-15.774614,26.625488,51.510815,31.590944,8.084651,2.093468
3,0.021496564149856567,2.40739369392395,78.21916198730469,0.22096866683490718,-3.254926208915715,-93.76763432221523,6.4442763,7.6102295,23.508293,6.8850713,-8.994046,-6.217714,1.8193698,-10.191394,-13.38636,9.009619,-6.042784,10.054025,-1.7234381,-1.9516546,12.240478,-8.139106,19.214697,-37.61293,49.25577,8.5922985,-2.0964832,0.16532098,-7.575752,-15.838778,26.553007,50.544704,32.480564,8.244851,1.9261453
4,0.024778267368674278,2.412135601043701,78.22087860107422,0.2222164781865258,-3.259518010620931,-93.77341139885885,6.4478035,7.6108947,23.514034,6.884193,-8.99183,-6.2163854,1.822681,-10.188875,-13.379654,9.000202,-6.0340734,10.054032,-1.7136804,-1.9553605,12.215592,-8.194129,19.379221,-37.527256,48.169827,8.456007,-2.4375355,0.8632462,-7.708031,-15.908266,26.460598,49.504745,33.483612,8.346336,1.7458732
5,0.02459690161049366,2.4228479862213135,78.22152709960938,0.22292634274689416,-3.2587696424133386,-93.77938521490759,6.444062,7.6093955,23.519297,6.8835077,-8.987964,-6.2136703,1.8177222,-10.188339,-13.373059,8.993575,-6.0240245,10.05461,-1.6968031,-1.9559203,12.1864395,-8.25663,19.55502,-37.411182,46.966667,8.359853,-2.6689432,1.4923806,-7.8352304,-15.981484,26.341362,48.381615,34.643,8.385325,1.5428436
6,0.024150783196091652,2.4267261028289795,78.22212219238281,0.22521841993721767,-3.25433602586101,-93.78551945419805,6.4357767,7.6063867,23.524382,6.8815823,-8.9819355,-6.2100105,1.8073972,-10.189434,-13.366587,8.9873495,-6.011839,10.055718,-1.6748673,-1.953675,12.153433,-8.325213,19.73902,-37.274685,45.679188,8.290943,-2.8213537,2.0707908,-7.9555316,-16.057518,26.201887,47.195908,35.912285,8.376795,1.3247329
7,0.028141558170318604,2.430593490600586,78.2221450805664,0.22863883724931705,-3.2494643659830627,-93.79090074658363,6.4251647,7.6034336,23.528515,6.8811903,-8.975936,-6.205872,1.7963674,-10.190786,-13.36127,8.981322,-5.9993653,10.05664,-1.6503928,-1.949201,12.120575,-8.403831,19.928347,-37.11888,44.32956,8.27869,-2.936352,2.5745296,-8.076204,-16.135635,26.054146,45.963757,37.230637,8.313851,1.1114411
8,0.02818101830780506,2.438072443008423,78.22216033935547,0.22931386979623572,-3.2476556463276323,-93.79467110745053,6.4173193,7.601528,23.531565,6.879969,-8.969962,-6.2016883,1.7899169,-10.1908655,-13.358128,8.972848,-5.9864383,10.056755,-1.6265879,-1.942586,12.092448,-8.495889,20.120226,-36.944202,42.938725,8.35355,-3.0554972,2.9794705,-8.20229,-16.214123,25.90807,44.698826,38.534103,8.191075,0.92369616
9,0.028119666501879692,2.449648857116699,78.22244262695312,0.22952336822326203,-3.248417004448516,-93.7959020622534,6.4105544,7.601376,23.532333,6.8783865,-8.963528,-6.196497,1.786545,-10.189807,-13.358263,8.963444,-5.973494,10.05586,-1.6039892,-1.9335667,12.068558,-8.601767,20.311888,-36.745243,41.51331,8.542606,-3.188535,3.258856,-8.33406,-16.292025,25.767048,43.40683,39.79694,7.989927,0.7817249
