Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.240065336227417,1.592197060585022,77.8502197265625,-1.5303615578718257,-4.872680877238953,-88.41472501704449,5.863605,6.3255954,-8.434232,10.906921,-15.6842,-7.736526,6.490181,-1.3476777,-3.5334308,11.520861,-11.888428,2.6048205,-0.2216712,-0.052131727,9.059229,0.56441426,13.067468,-34.847275,61.078117,14.581036,3.666018,-2.7419407,-5.1954927,-13.049302,55.423943,64.35054,-7.746384,5.3136654,-9.216847
1,0.2379039227962494,1.5874316692352295,77.85041046142578,-1.5293422788818867,-4.882694348104743,-88.42599598960624,5.8788953,6.3276243,-8.421884,10.909802,-15.690255,-7.7382026,6.496326,-1.3458023,-3.5185564,11.530368,-11.894918,2.6025932,-0.2639904,-0.07632249,9.061932,0.62082464,13.103748,-34.770313,61.019745,14.583316,3.670453,-2.739983,-5.209997,-13.063069,55.062748,64.27486,-7.8756237,4.6352487,-9.071472
2,0.23853397369384766,1.5905128717422485,77.84815979003906,-1.5275042774388023,-4.893742266654957,-88.43781963457977,5.8947425,6.329783,-8.408916,10.914524,-15.697809,-7.739723,6.503702,-1.343885,-3.5029814,11.539954,-11.901594,2.6005127,-0.2938828,-0.09549676,9.063664,0.6585989,13.125356,-34.7091,60.984726,14.581145,3.6739764,-2.73511,-5.212411,-13.089144,54.740883,64.21316,-8.026042,3.9678125,-8.940464
3,0.23768234252929688,1.5880584716796875,77.84675598144531,-1.5277532865804848,-4.902629692533278,-88.44854943631495,5.907633,6.331898,-8.39709,10.919022,-15.704117,-7.7415066,6.509252,-1.3417221,-3.4887114,11.548282,-11.907363,2.598251,-0.29128468,-0.11589905,9.071394,0.68022984,13.157953,-34.683277,60.946472,14.572983,3.678215,-2.7321951,-5.1744633,-13.167717,54.266624,64.02495,-8.148359,3.2807662,-8.779146
4,0.23763689398765564,1.5882786512374878,77.84710693359375,-1.5270247804032444,-4.9058055982000885,-88.45677042717142,5.9125175,6.334012,-8.388006,10.9242525,-15.708668,-7.7440467,6.508258,-1.3396261,-3.477688,11.556188,-11.911494,2.5957696,-0.3279327,-0.13831553,9.071545,0.7215453,13.183387,-34.61672,60.904617,14.576467,3.6814325,-2.7286856,-5.131073,-13.281079,53.58797,63.66316,-8.141885,2.544507,-8.552268
5,0.237789586186409,1.5907111167907715,77.84735107421875,-1.5301955434864174,-4.901529967641412,-88.46088539441348,5.907651,6.336749,-8.384183,10.929095,-15.709474,-7.74812,6.50003,-1.3365241,-3.4708009,11.560454,-11.912107,2.5922525,-0.38417095,-0.16291969,9.065688,0.7710742,13.205291,-34.528408,60.861298,14.588715,3.6842418,-2.724861,-5.0525203,-13.437699,52.594532,63.098213,-7.952405,1.7143921,-8.210458
6,0.23779499530792236,1.5884108543395996,77.84820556640625,-1.5334232582268985,-4.891782822119048,-88.46216887341042,5.8942327,6.3399234,-8.383971,10.936302,-15.708881,-7.753213,6.4849772,-1.3327464,-3.466841,11.5662775,-11.912685,2.5879989,-0.4472085,-0.18825462,9.056572,0.82243353,13.225371,-34.433163,60.817368,14.605271,3.6871114,-2.7207916,-4.932391,-13.6415205,51.36464,62.3616,-7.6330323,0.82149667,-7.7817655
7,0.24004040658473969,1.5870064496994019,77.84922790527344,-1.5356412492640106,-4.8795574966975614,-88.46307617808456,5.8781614,6.342094,-8.383167,10.941491,-15.707048,-7.757912,6.4675236,-1.3301866,-3.4647095,11.570084,-11.9112,2.5845704,-0.51661617,-0.21803297,9.0432415,0.8764007,13.24506,-34.33753,60.777077,14.622602,3.6893947,-2.7168682,-4.7969866,-13.896714,50.010555,61.45206,-7.2863684,-0.05335468,-7.340509
8,0.2433319389820099,1.5887048244476318,77.84988403320312,-1.53774646239769,-4.867639440584497,-88.46610205794461,5.864264,6.3423796,-8.377094,10.94195,-15.704953,-7.7608027,6.4487524,-1.3310871,-3.463221,11.5764065,-11.910454,2.5834744,-0.5933303,-0.25546044,9.024891,0.934361,13.265686,-34.24634,60.743343,14.6380205,3.6904488,-2.7137187,-4.6727557,-14.206422,48.644596,60.36562,-7.0183015,-0.83155155,-6.9648623
9,0.24721896648406982,1.5944424867630005,77.84915924072266,-1.5369475321726753,-4.856021742876821,-88.47243881076831,5.8541603,6.3407283,-8.363081,10.934608,-15.702607,-7.7617164,6.428355,-1.3361626,-3.4632387,11.585426,-11.910144,2.5846334,-0.68043464,-0.301919,9.000576,1.0012406,13.288201,-34.151352,60.71263,14.649716,3.689041,-2.7135816,-4.548279,-14.572695,47.265724,59.072636,-6.7703347,-1.4965504,-6.6528354
10,0.2524983286857605,1.596668004989624,77.84978485107422,-1.5341998014892273,-4.8435354379319095,-88.4805963639288,5.843575,6.3373384,-8.344024,10.924864,-15.70105,-7.7612767,6.4052534,-1.3441015,-3.4650264,11.596714,-11.910124,2.5873587,-0.7796838,-0.35617545,8.970971,1.0772213,13.313414,-34.05001,60.68194,14.659436,3.6857061,-2.7158976,-4.408415,-14.996953,45.827377,57.57763,-6.5167985,-2.0885744,-6.3701468
