Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.07797705382108688,2.076059103012085,78.1359634399414,0.03236672235462415,-0.5500908621647419,-92.80465802339853,4.997493,7.8588014,15.831783,6.9509645,-9.880917,-7.7771287,2.0390923,-9.5243225,-15.379929,7.9959793,-8.81867,7.351754,-0.27891958,1.5757918,6.4959006,-0.6599873,15.66978,-38.568874,56.29865,-25.619884,7.995488,2.9283173,-8.238558,-12.172622,43.041992,58.88497,17.601927,16.153542,-16.218119
1,0.08813168853521347,2.066683769226074,78.13517761230469,0.03401241689733397,-0.5455501159291606,-92.79413206692047,4.994624,7.8521276,15.824994,6.9512224,-9.883203,-7.7691245,2.0416656,-9.530085,-15.380805,7.996283,-8.825302,7.357681,-0.27655202,1.5611571,6.4931407,-0.63964516,15.694016,-38.552105,56.26922,-25.610014,8.0070305,2.8620942,-8.237051,-12.165544,43.044132,58.885242,17.62682,16.16313,-16.244595
2,0.08770179748535156,2.0590078830718994,78.13591003417969,0.03666284607534736,-0.5406656315336987,-92.78307927005623,4.991772,7.8451233,15.817976,6.951246,-9.885525,-7.7603292,2.045082,-9.535716,-15.3817625,7.9944835,-8.831054,7.364476,-0.2700032,1.5494173,6.4867315,-0.6339048,15.702853,-38.541805,56.264572,-25.600836,8.016205,2.792656,-8.231163,-12.162845,43.045,58.885277,17.656864,16.173788,-16.275469
3,0.0938023030757904,2.0533711910247803,78.13648223876953,0.038935456631438034,-0.5364091952454138,-92.77314556776422,4.989493,7.8389716,15.811576,6.951476,-9.888117,-7.753091,2.0473933,-9.541084,-15.382642,7.995366,-8.837405,7.3695126,-0.26468098,1.5384679,6.481619,-0.6266458,15.709532,-38.5296,56.257076,-25.591219,8.02445,2.7312388,-8.22616,-12.160638,43.04543,58.883194,17.679134,16.18283,-16.297672
4,0.09164395928382874,2.0484070777893066,78.13758850097656,0.04022113272150612,-0.5332253403209631,-92.76606277805932,4.988758,7.83473,15.806151,6.9515033,-9.891301,-7.7497225,2.0505557,-9.544522,-15.383931,7.9949903,-8.84175,7.369936,-0.26494136,1.5276259,6.479291,-0.6101609,15.720417,-38.504795,56.236183,-25.575268,8.031349,2.6862931,-8.226776,-12.157006,43.048557,58.879288,17.683937,16.188572,-16.299273
5,0.08568868786096573,2.0413498878479004,78.13735961914062,0.03986354577562285,-0.531011589366103,-92.76340784876795,4.9895453,7.832961,15.8024235,6.9517727,-9.895687,-7.751847,2.0495625,-9.546456,-15.384529,8.001673,-8.846915,7.361798,-0.2569377,1.5176563,6.474942,-0.60245425,15.725137,-38.493347,56.225086,-25.566715,8.032472,2.6681707,-8.223046,-12.155009,43.04605,58.86764,17.668032,16.187943,-16.269169
6,0.09062222391366959,2.036310911178589,78.13729095458984,0.03756425706736788,-0.5295248456340658,-92.7635945512153,4.991392,7.8327775,15.799663,6.9514155,-9.900252,-7.757895,2.0447023,-9.547986,-15.3847065,8.015624,-8.853915,7.3477054,-0.25174874,1.5081857,6.473903,-0.5869775,15.730224,-38.470707,56.20142,-25.548069,8.033458,2.6657135,-8.222318,-12.152464,43.03809,58.85097,17.626768,16.184345,-16.212856
7,0.09254561364650726,2.034022331237793,78.13743591308594,0.03526140979298856,-0.5294946430175508,-92.76507666663956,4.9950385,7.833588,15.797867,6.9516244,-9.905577,-7.765285,2.0431151,-9.548288,-15.385487,8.026037,-8.859345,7.3346896,-0.24485171,1.4993186,6.4726987,-0.57531303,15.733481,-38.454235,56.182297,-25.5367,8.030157,2.6747062,-8.221322,-12.150396,43.030678,58.834373,17.583681,16.178602,-16.155247
8,0.0952438935637474,2.0318751335144043,78.13597106933594,0.03352022445484621,-0.5310325248124143,-92.76599680733311,5.000959,7.834154,15.797235,6.951714,-9.911014,-7.771347,2.046711,-9.54858,-15.387201,8.030982,-8.8639965,7.3299937,-0.2370849,1.4930253,6.472406,-0.5696053,15.734267,-38.446632,56.16824,-25.537199,8.022654,2.685824,-8.218975,-12.149492,43.027008,58.818184,17.555143,16.173603,-16.120064
9,0.08665087819099426,2.0278327465057373,78.13436126708984,0.033604264800247315,-0.5372858774504402,-92.76659890788268,5.013453,7.8337355,15.798524,6.9516397,-9.917745,-7.7762537,2.0616846,-9.5491495,-15.3908,8.02584,-8.86726,7.340025,-0.23845881,1.4857333,6.478374,-0.5536972,15.735892,-38.42642,56.1444,-25.537004,8.009333,2.7062414,-8.218461,-12.147546,43.018898,58.8039,17.520472,16.169067,-16.097252
10,0.09372783452272415,2.0198800563812256,78.13267517089844,0.034163067931116294,-0.5460941444152779,-92.76751327731404,5.029428,7.8335795,15.801358,6.951937,-9.925575,-7.7811823,2.0843203,-9.548948,-15.395932,8.011782,-8.868044,7.3593073,-0.24030118,1.4802243,6.4860115,-0.5423378,15.737086,-38.41355,56.124023,-25.55114,7.989981,2.7347763,-8.216987,-12.145532,43.016647,58.789333,17.499552,16.162884,-16.091768
11,0.08826176822185516,2.016430616378784,78.13030242919922,0.03383507195585455,-0.5543529560870891,-92.76804172271555,5.045044,7.833379,15.804464,6.951436,-9.932287,-7.7847095,2.1059492,-9.548787,-15.400572,7.998616,-8.869025,7.3778086,-0.24149387,1.475514,6.4921494,-0.5329102,15.737529,-38.40456,56.105816,-25.56692,7.9705596,2.7622979,-8.216381,-12.144269,43.015907,58.776726,17.480932,16.15917,-16.096281
12,0.09661947190761566,2.0098257064819336,78.12994384765625,0.03504328768992628,-0.5581250125214942,-92.76815541089903,5.054165,7.833593,15.806722,6.9518466,-9.9372835,-7.7855067,2.117308,-9.5490265,-15.4023485,7.994801,-8.872008,7.3853073,-0.23871392,1.4707931,6.4929733,-0.528575,15.737667,-38.39577,56.093327,-25.57527,7.9573646,2.7762945,-8.216433,-12.142859,43.015507,58.764576,17.462948,16.161463,-16.107903
13,0.08933117240667343,2.006126880645752,78.13070678710938,0.03384796702303954,-0.5566488086670512,-92.76685422967803,5.055865,7.8337913,15.807417,6.9521317,-9.938999,-7.781072,2.1151664,-9.550066,-15.400061,8.003651,-8.876495,7.3744183,-0.23404504,1.4665594,6.4897213,-0.5243079,15.737561,-38.383392,56.07998,-25.569553,7.9528046,2.7755613,-8.216683,-12.141487,43.01479,58.750233,17.435925,16.173605,-16.132372
14,0.08570919185876846,2.002373695373535,78.1316146850586,0.033155951541682376,-0.5506905024086203,-92.7648726116835,5.051721,7.8343163,15.807575,6.952546,-9.938523,-7.7728357,2.1022696,-9.551566,-15.39461,8.022694,-8.882911,7.351936,-0.22742066,1.4626302,6.481928,-0.52353156,15.737156,-38.367165,56.070045,-25.553776,7.9544635,2.762059,-8.2184305,-12.139859,43.01484,58.736668,17.406252,16.191664,-16.16748
15,0.09743912518024445,1.996363639831543,78.13313293457031,0.03281746455241934,-0.5440220818562613,-92.76299382208657,5.0462284,7.834584,15.807629,6.9530673,-9.937694,-7.7652783,2.0871413,-9.553603,-15.388735,8.044263,-8.890798,7.3298445,-0.22879991,1.4580699,6.4758306,-0.5208973,15.735778,-38.334503,56.060062,-25.527363,7.9586143,2.7412705,-8.226029,-12.13571,43.018833,58.7241,17.37648,16.214163,-16.203562
16,0.09911490231752396,1.9936704635620117,78.13382720947266,0.03149033351039322,-0.540889133674854,-92.76134363346775,5.0451736,7.835158,15.807011,6.953226,-9.938615,-7.762869,2.0829167,-9.553742,-15.386624,8.052292,-8.895152,7.31976,-0.22474968,1.4552788,6.4692793,-0.5204883,15.735285,-38.323742,56.053066,-25.51666,7.9579716,2.7266526,-8.232211,-12.134501,43.01869,58.713108,17.360237,16.235722,-16.231785
17,0.09814728051424026,1.9920024871826172,78.13312530517578,0.030112235142251777,-0.5423416868532885,-92.75943916391965,5.049548,7.8350453,15.805419,6.953638,-9.943144,-7.7686276,2.0917478,-9.552963,-15.389604,8.044967,-8.896868,7.3292656,-0.22516918,1.451551,6.4686184,-0.52035236,15.734199,-38.303555,56.047844,-25.50666,7.9553294,2.7063937,-8.240584,-12.131714,43.015175,58.69598,17.354025,16.269775,-16.260445
18,0.09495431184768677,1.9858094453811646,78.1324234008789,0.02962811848102732,-0.5464013112396636,-92.756559075943,5.057869,7.834313,15.80257,6.9523115,-9.948845,-7.7794952,2.11005,-9.551097,-15.396432,8.02552,-8.895774,7.350633,-0.22595319,1.4481704,6.469177,-0.5210898,15.733431,-38.287262,56.04498,-25.500206,7.951459,2.6816795,-8.251502,-12.129661,43.00978,58.679558,17.356667,16.31157,-16.289877
19,0.09585410356521606,1.9837543964385986,78.1301040649414,0.028571284866821853,-0.5516900885621705,-92.75615000780424,5.0667367,7.8351207,15.801218,6.9532495,-9.955602,-7.791203,2.128888,-9.548265,-15.40239,8.006304,-8.894809,7.3727183,-0.23064555,1.4452676,6.4734645,-0.5212277,15.7325325,-38.268078,56.041225,-25.49146,7.945231,2.665754,-8.265112,-12.126585,42.999844,58.66561,17.35593,16.342407,-16.300043
20,0.09936797618865967,1.9813232421875,78.1285171508789,0.02721591127561682,-0.5549117249932242,-92.76134301837291,5.0755444,7.838047,15.804659,6.952358,-9.960067,-7.7991443,2.140026,-9.543929,-15.402966,7.9946446,-8.894018,7.3843136,-0.23827079,1.4424696,6.4736433,-0.5188389,15.73195,-38.259792,56.037777,-25.490139,7.9338875,2.6771944,-8.27655,-12.122793,42.98971,58.661793,17.349543,16.33981,-16.274832
21,0.08832965046167374,1.9778075218200684,78.12789916992188,0.02515584274166399,-0.5565249500923676,-92.77602012440643,5.084289,7.8457165,15.816043,6.952836,-9.962905,-7.8011317,2.1413674,-9.536402,-15.395226,7.9929166,-8.891996,7.3790474,-0.2506381,1.4417061,6.4747615,-0.51190984,15.732213,-38.2642,56.029594,-25.490004,7.9133306,2.7324884,-8.293263,-12.11814,42.96982,58.679867,17.321447,16.285526,-16.184309
22,0.09695972502231598,1.9707586765289307,78.12812042236328,0.0222933359431501,-0.5569403754531094,-92.79756781554369,5.092883,7.8560534,15.832837,6.95311,-9.963924,-7.7998743,2.134465,-9.527467,-15.381764,8.001861,-8.892087,7.364011,-0.26390803,1.440242,6.473,-0.5038595,15.733878,-38.286285,56.02212,-25.49904,7.8850365,2.8205311,-8.30645,-12.112743,42.94357,58.70757,17.285309,16.195168,-16.050823
23,0.08582620322704315,1.967358946800232,78.1283187866211,0.02033059043497098,-0.5568138823474029,-92.81906182693652,5.101422,7.8665113,15.849885,6.953083,-9.965201,-7.798521,2.1255689,-9.518687,-15.367518,8.013576,-8.8936,7.348298,-0.27036762,1.4390625,6.469302,-0.49936914,15.736767,-38.317997,56.01659,-25.512928,7.858315,2.9091268,-8.316552,-12.10695,42.91082,58.737083,17.24905,16.098597,-15.91372
24,0.0800207331776619,1.966249942779541,78.12858581542969,0.017133597830376216,-0.5566836443850774,-92.8323078295286,5.1077485,7.8744197,15.860236,6.9541655,-9.9685955,-7.8003564,2.1247773,-9.511062,-15.3593,8.014115,-8.893629,7.3408675,-0.2668794,1.4368117,6.4639163,-0.5020454,15.741191,-38.34847,56.01625,-25.52617,7.8418207,2.9654763,-8.321095,-12.099622,42.873726,58.755783,17.223164,16.027872,-15.815891
25,0.0807715430855751,1.9610930681228638,78.12835693359375,0.014295000386708582,-0.5563711281643615,-92.83522654159472,5.1125193,7.8786483,15.862323,6.954339,-9.974499,-7.807978,2.1314538,-9.506037,-15.358141,8.006504,-8.896148,7.3465705,-0.2666165,1.4369985,6.4565263,-0.5052053,15.743089,-38.354153,56.019047,-25.533585,7.8396616,2.9758313,-8.323891,-12.096655,42.857513,58.758713,17.21677,15.994306,-15.768183
26,0.08138009905815125,1.9568400382995605,78.1278305053711,0.011525328010399646,-0.5558153339758947,-92.8311596258673,5.116305,7.880671,15.858831,6.953807,-9.982029,-7.8190413,2.1435716,-9.501923,-15.361957,7.9918528,-8.899138,7.359749,-0.2620514,1.4377021,6.448847,-0.51165944,15.745619,-38.352173,56.023388,-25.537518,7.8467,2.9588325,-8.326239,-12.0928,42.83898,58.755676,17.215769,15.980801,-15.74575
