Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.3052195906639099,2.016047477722168,78.19039154052734,0.44342802929502373,-2.5991498345667576,-96.97997966608996,8.082553,8.945372,28.142658,7.0308294,-8.426528,-6.470343,4.756375,-8.767546,0.073350385,6.913448,-9.858935,12.438356,-0.45641968,-1.743511,7.9104342,5.686093,21.780163,-35.77923,41.786003,8.754589,1.8311137,-0.9742549,-0.7941437,-17.609512,37.72401,45.907978,5.340351,6.844313,-7.1241956
1,0.3061230778694153,2.0115609169006348,78.18982696533203,0.43990878901643665,-2.602246008994753,-96.98101424790075,8.090211,8.947467,28.145773,7.0301895,-8.430808,-6.472288,4.7625504,-8.765546,0.074445106,6.9131327,-9.860397,12.437847,-0.45303202,-1.746512,7.9154015,5.69467,21.785568,-35.77978,41.771976,8.7573,1.8335501,-0.9751505,-0.79570144,-17.61094,37.725967,45.898125,5.3479023,6.84273,-7.1210766
2,0.30717039108276367,2.0071308612823486,78.19053649902344,0.4373356686457853,-2.6056864465257363,-96.98202777824774,8.097641,8.950748,28.148788,7.031023,-8.43588,-6.4745483,4.7688484,-8.7629385,0.07567075,6.913461,-9.862004,12.437096,-0.4505008,-1.7497288,7.9205284,5.7060294,21.796154,-35.780434,41.75429,8.758323,1.8355851,-0.97627825,-0.7980225,-17.614061,37.731106,45.88819,5.3584313,6.840982,-7.118293
3,0.3087499737739563,2.0042669773101807,78.18922424316406,0.43469177297042483,-2.6083407623959456,-96.98310406799503,8.103803,8.953025,28.15164,7.0321574,-8.440521,-6.476334,4.774213,-8.761263,0.07670889,6.9137063,-9.863787,12.43678,-0.44814336,-1.7525189,7.9251294,5.715734,21.800615,-35.780807,41.73905,8.760336,1.8384655,-0.97651625,-0.79935926,-17.615503,37.734158,45.87746,5.365937,6.8393455,-7.1156983
4,0.3070298731327057,2.001366138458252,78.18926239013672,0.43556237784955315,-2.6089798810846103,-96.98441937990037,8.108936,8.952096,28.15451,7.029693,-8.442608,-6.47711,4.7770367,-8.761923,0.07749682,6.9136477,-9.865854,12.437526,-0.44821337,-1.7575649,7.927806,5.7287006,21.809542,-35.77946,41.72007,8.760015,1.8412157,-0.97567815,-0.80177236,-17.618622,37.739006,45.867836,5.3700433,6.8362646,-7.1132417
5,0.3085363805294037,1.9984440803527832,78.18946838378906,0.4387595718955519,-2.60677408515095,-96.98608817038243,8.110504,8.946986,28.157265,7.0263376,-8.442602,-6.476067,4.775759,-8.766432,0.077780925,6.913773,-9.868455,12.440633,-0.4492833,-1.7643472,7.927806,5.7372704,21.813702,-35.778103,41.70799,8.759523,1.8439038,-0.9718889,-0.8020514,-17.619902,37.738407,45.85724,5.36365,6.831915,-7.1097336
6,0.30767643451690674,1.9950913190841675,78.18903350830078,0.443169156573386,-2.6028702041632563,-96.98794571592965,8.108886,8.939828,28.159786,7.0244393,-8.442337,-6.473938,4.7719774,-8.773123,0.07778017,6.914004,-9.871566,12.445318,-0.45069614,-1.7722862,7.9256725,5.7424564,21.814472,-35.777546,41.70069,8.757928,1.8464289,-0.96684086,-0.8032525,-17.620106,37.73736,45.849224,5.3534036,6.826804,-7.106957
7,0.31055042147636414,1.9937077760696411,78.18732452392578,0.44804530449322927,-2.597987950327674,-96.98980283486223,8.108462,8.930455,28.162182,7.017286,-8.43933,-6.4716196,4.7671614,-8.780705,0.07769992,6.914244,-9.875,12.449308,-0.4528289,-1.7807698,7.922871,5.7493496,21.816149,-35.77614,41.69162,8.755907,1.8497725,-0.9611602,-0.8041523,-17.620396,37.73437,45.8414,5.34011,6.820802,-7.1035857
8,0.3104310631752014,1.991927981376648,78.18675231933594,0.45209221869903626,-2.594513277904298,-96.9914841402618,8.109523,8.924209,28.164045,7.0110846,-8.437432,-6.4707575,4.7644744,-8.785537,0.077888295,6.9144826,-9.879011,12.450047,-0.45286724,-1.7864163,7.922606,5.759286,21.819632,-35.7733,41.675194,8.755052,1.8546716,-0.9599953,-0.8032549,-17.620762,37.729023,45.83293,5.3278623,6.814878,-7.100959
9,0.31119391322135925,1.9898900985717773,78.18656921386719,0.4510593745187477,-2.5939694345571365,-96.99267216283792,8.112518,8.923758,28.16388,7.008879,-8.438768,-6.4724245,4.766185,-8.785763,0.07773483,6.9145875,-9.884404,12.444563,-0.4505138,-1.7885705,7.9238157,5.76298,21.822514,-35.772453,41.66541,8.748344,1.8589364,-0.9665887,-0.8025064,-17.621014,37.728527,45.82864,5.3264675,6.8077683,-7.1043963
10,0.3130407929420471,1.9871463775634766,78.1862564086914,0.4474107020697607,-2.5945444964702045,-96.99336625915673,8.115481,8.926382,28.162275,7.010434,-8.442872,-6.475469,4.769664,-8.783858,0.077324264,6.914709,-9.890787,12.435087,-0.447184,-1.788351,7.925642,5.7636914,21.82292,-35.772465,41.659508,8.739103,1.8624625,-0.9765451,-0.8015155,-17.621027,37.729332,45.8256,5.329801,6.800565,-7.1098275
11,0.3138881325721741,1.9844399690628052,78.18585205078125,0.4454891373312788,-2.595269238501894,-96.99470088949093,8.119935,8.929187,28.161892,7.00971,-8.445802,-6.478718,4.7728634,-8.7810755,0.078070134,6.9156165,-9.896866,12.426271,-0.4435423,-1.786823,7.927539,5.7646155,21.824427,-35.772854,41.651215,8.730533,1.8679209,-0.9884118,-0.79962194,-17.620998,37.734188,45.82338,5.336111,6.7925577,-7.11808
12,0.31482967734336853,1.981218695640564,78.18574523925781,0.44300401048904287,-2.593501367030736,-96.99709832300901,8.120797,8.92991,28.164103,7.010063,-8.448452,-6.4804792,4.772055,-8.780552,0.08067273,6.916135,-9.900217,12.423011,-0.44138342,-1.7876257,7.9272256,5.7665567,21.825462,-35.77365,41.643967,8.729962,1.8716506,-0.99389994,-0.80067766,-17.62091,37.73945,45.822983,5.3395805,6.788055,-7.12139
13,0.3161086142063141,1.9783148765563965,78.18594360351562,0.4454061542702986,-2.5880452508165797,-97.00111243359059,8.119224,8.926933,28.170938,7.006454,-8.4476795,-6.480208,4.7661295,-8.782541,0.08620804,6.9157286,-9.898981,12.428638,-0.43892452,-1.7907795,7.925447,5.76767,21.826017,-35.775906,41.637928,8.743389,1.8738762,-0.9920042,-0.80373186,-17.620783,37.743717,45.821774,5.3386145,6.7876596,-7.1174564
14,0.3166622817516327,1.9768774509429932,78.18572235107422,0.44845349114851196,-2.5797776599315743,-97.00686868662417,8.117206,8.920214,28.181784,6.9973993,-8.443621,-6.478582,4.7559524,-8.786595,0.09452945,6.9151053,-9.894828,12.440091,-0.43680435,-1.7952639,7.920899,5.770981,21.826477,-35.78062,41.630047,8.764945,1.876807,-0.98343706,-0.8099349,-17.620491,37.7504,45.824005,5.3375926,6.7898107,-7.1100607
15,0.31722769141197205,1.97714364528656,78.18697357177734,0.45252225577612526,-2.5715477674357112,-97.01266743466786,8.113101,8.914369,28.192163,6.9934134,-8.442129,-6.47665,4.7452626,-8.790934,0.10301787,6.91456,-9.890263,12.451902,-0.4353459,-1.799778,7.9153094,5.7744074,21.826908,-35.7868,41.623253,8.784602,1.878707,-0.9739255,-0.81733596,-17.619568,37.76005,45.82864,5.338603,6.792533,-7.103598
16,0.3187772035598755,1.9740571975708008,78.18607330322266,0.45422751617042584,-2.5660330470705746,-97.01736659040208,8.112099,8.90988,28.199322,6.987463,-8.440012,-6.475301,4.737884,-8.793649,0.1094868,6.9150815,-9.88902,12.458425,-0.4329816,-1.8028828,7.9135423,5.7747073,21.826937,-35.78864,41.617886,8.798132,1.8787555,-0.9708221,-0.8210511,-17.618877,37.763733,45.829903,5.337614,6.7942657,-7.0997777
17,0.3201092779636383,1.9712791442871094,78.1856689453125,0.4549632039252108,-2.563893327452753,-97.02103566265244,8.112738,8.907687,28.201397,6.9864326,-8.4413395,-6.4742093,4.73621,-8.795026,0.11326047,6.9140496,-9.891438,12.456996,-0.4297786,-1.8048048,7.9153957,5.7729545,21.82677,-35.786705,41.61288,8.800047,1.8765129,-0.9757124,-0.820835,-17.617895,37.764343,45.828365,5.339197,6.7943397,-7.1027246
18,0.32100048661231995,1.9705305099487305,78.18580627441406,0.4541584655914458,-2.5638162746408772,-97.02379515114868,8.113904,8.907402,28.200249,6.987635,-8.443869,-6.473169,4.7360544,-8.795238,0.1154708,6.91483,-9.897271,12.450981,-0.42639923,-1.8050065,7.9184327,5.771298,21.82666,-35.784546,41.607372,8.794561,1.8727161,-0.9833963,-0.81855804,-17.61754,37.763496,45.825966,5.3429747,6.7935653,-7.1085553
19,0.3213427662849426,1.9699782133102417,78.18500518798828,0.45377091564058725,-2.5648818409565513,-97.02670076250344,8.116826,8.907357,28.198845,6.9879084,-8.446376,-6.472821,4.7373505,-8.794986,0.11735903,6.9157534,-9.902906,12.444113,-0.42365256,-1.8058568,7.9256454,5.766638,21.826021,-35.773018,41.603302,8.790886,1.8681048,-0.9968777,-0.8148831,-17.615063,37.7584,45.82046,5.3416,6.7932215,-7.115293
20,0.3225257098674774,1.9679216146469116,78.18479919433594,0.4525050993326137,-2.565470053530485,-97.02883417036752,8.119105,8.908619,28.19852,6.9884233,-8.44884,-6.4738274,4.738603,-8.7936945,0.11865372,6.9160647,-9.904993,12.439969,-0.42244688,-1.8048531,7.929565,5.763923,21.82577,-35.76867,41.60053,8.786445,1.865754,-1.0035962,-0.81396013,-17.613909,37.75705,45.819656,5.338709,6.793061,-7.116384
21,0.32265064120292664,1.9659512042999268,78.18525695800781,0.4486669957900462,-2.5664649691026002,-97.03065903560427,8.122787,8.91165,28.20079,6.9872947,-8.450899,-6.47741,4.740421,-8.790472,0.119677044,6.91653,-9.901429,12.439826,-0.42422625,-1.8022505,7.9344587,5.761065,21.825401,-35.76325,41.59958,8.786543,1.8655536,-1.006481,-0.81346637,-17.611937,37.756012,45.81713,5.328431,6.793851,-7.1104846
22,0.3256305158138275,1.9660032987594604,78.18263244628906,0.44494485870576317,-2.5676605593840516,-97.03189776291958,8.125983,8.917263,28.203886,6.988226,-8.45414,-6.4828844,4.7433176,-8.785498,0.11995711,6.915737,-9.893511,12.441752,-0.42703113,-1.7977138,7.938011,5.7589355,21.825191,-35.761364,41.6,8.785734,1.8670952,-1.0050914,-0.8137313,-17.610405,37.756714,45.81619,5.316335,6.79485,-7.100646
23,0.3246108591556549,1.9644262790679932,78.18441772460938,0.44020661054689564,-2.568084451544874,-97.03308507533998,8.129421,8.921425,28.207352,6.9862776,-8.455675,-6.488081,4.7454677,-8.781104,0.12028673,6.914821,-9.885952,12.444207,-0.42971343,-1.793364,7.9405017,5.756389,21.825066,-35.760647,41.60144,8.784555,1.8693744,-1.003025,-0.8132967,-17.60876,37.75826,45.81491,5.303584,6.7964015,-7.090015
24,0.3255020081996918,1.9622031450271606,78.18563842773438,0.43794614702648954,-2.566723115604893,-97.03469658674199,8.130209,8.9229145,28.209894,6.9847403,-8.456901,-6.4910245,4.7445893,-8.779358,0.1213182,6.9145746,-9.882854,12.4458275,-0.4316106,-1.7914793,7.9410458,5.751841,21.825026,-35.760155,41.60525,8.781339,1.8713055,-1.0032384,-0.81349945,-17.606728,37.760918,45.8155,5.292029,6.7987084,-7.081106
25,0.32685670256614685,1.9614043235778809,78.184326171875,0.43898060379249115,-2.5614464220146953,-97.03693805502623,8.126688,8.919539,28.211002,6.9818506,-8.456401,-6.4911942,4.738471,-8.781938,0.123527676,6.9144425,-9.885786,12.446317,-0.43253386,-1.7926245,7.937647,5.746267,21.825129,-35.758465,41.610435,8.776563,1.8724957,-1.0089493,-0.81129193,-17.604416,37.76351,45.81484,5.2801237,6.802882,-7.074779
26,0.32808104157447815,1.9600192308425903,78.18386840820312,0.4433684163097754,-2.5535344449463038,-97.03966776623402,8.120588,8.913115,28.211391,6.9772067,-8.454194,-6.4897327,4.728746,-8.787047,0.12645628,6.91426,-9.892305,12.446363,-0.43295422,-1.7960429,7.9317975,5.7401476,21.825682,-35.75542,41.61594,8.771277,1.8738815,-1.0180068,-0.80833274,-17.600256,37.766617,45.81373,5.2673755,6.808875,-7.0693865
27,0.3279469907283783,1.9590003490447998,78.18444061279297,0.4479530903161261,-2.545947335393421,-97.04240703431263,8.1151085,8.905579,28.21197,6.972117,-8.451843,-6.486818,4.7189565,-8.793299,0.12954862,6.914838,-9.90016,12.446342,-0.4322428,-1.7988527,7.927149,5.7339864,21.826021,-35.75394,41.620945,8.765526,1.8751302,-1.0250554,-0.8061656,-17.598625,37.769146,45.81355,5.257112,6.813436,-7.0639486
28,0.3302888870239258,1.9581243991851807,78.1846694946289,0.45110274273373696,-2.5412501852747282,-97.04513966255769,8.112767,8.899798,28.213917,6.9686537,-8.450888,-6.482886,4.7133546,-8.798036,0.13213605,6.915121,-9.90645,12.446279,-0.43128097,-1.8016642,7.9269104,5.7267003,21.826418,-35.753212,41.62667,8.75996,1.8768157,-1.0253009,-0.8057987,-17.597164,37.773674,45.81423,5.2523723,6.8150644,-7.0600796
29,0.3316902220249176,1.9593443870544434,78.18318176269531,0.45359714756398106,-2.541693580935421,-97.0479326212367,8.115216,8.896171,28.217274,6.969536,-8.453266,-6.4762897,4.7139792,-8.8019085,0.13400137,6.9160123,-9.911129,12.44614,-0.4310752,-1.8048248,7.933697,5.719042,21.827099,-35.754375,41.63227,8.753251,1.8794221,-1.0131352,-0.810382,-17.595188,37.784637,45.81908,5.2578335,6.8107805,-7.059329
30,0.33158040046691895,1.9569369554519653,78.1823959350586,0.4556995765544459,-2.544788249462744,-97.05039170627549,8.119791,8.893635,28.221292,6.9731293,-8.457587,-6.467411,4.7184644,-8.805428,0.13506843,6.915964,-9.914766,12.445986,-0.42922878,-1.8064551,7.944488,5.712813,21.827486,-35.756817,41.63561,8.747591,1.8822356,-0.9939959,-0.8157775,-17.594435,37.794197,45.82418,5.268999,6.802915,-7.058679
31,0.3331773281097412,1.95352041721344,78.18233489990234,0.4557407947723756,-2.5487676354267013,-97.05324551785606,8.125074,8.892348,28.226217,6.978001,-8.462928,-6.459621,4.7239647,-8.807963,0.13661875,6.916027,-9.917544,12.445961,-0.4286931,-1.8080236,7.956223,5.7050943,21.827877,-35.760975,41.640675,8.739717,1.8853972,-0.9727398,-0.82455605,-17.594114,37.809406,45.832184,5.2841587,6.7948666,-7.060085
