Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.013122034259140491,1.9406925439834595,78.38610076904297,0.13484794938041755,-0.2554519692522323,-90.9947603671912,2.0592918,7.451575,16.427713,11.535486,-12.630025,-5.716722,-1.2747122,-8.028867,-9.067889,12.949277,-9.718867,6.3067536,1.7704716,-0.9895313,7.37605,-2.9157875,13.092509,-31.99128,61.86173,22.453388,-4.516981,10.28058,-3.3423436,-12.667114,37.393055,60.740536,-18.67053,-0.6256407,-9.859241
1,0.01133314985781908,1.9389325380325317,78.38225555419922,0.15800205466173473,-0.22193399799529642,-91.00092838344973,1.9968683,7.43375,16.42558,11.599894,-12.658945,-5.7246428,-1.4101706,-8.07354,-9.047584,13.161625,-9.817423,6.3016386,1.7610761,-1.011467,7.314739,-3.035333,13.11326,-32.167465,61.972237,22.502855,-4.2081757,9.905187,-3.4309015,-12.681363,37.581203,60.800953,-18.581934,-0.1810356,-9.369149
2,0.01236285176128149,1.9363723993301392,78.3769760131836,0.18104163318573763,-0.18733980716820303,-91.00844783774349,1.9364505,7.41531,16.423286,11.657609,-12.685503,-5.7323813,-1.5437965,-8.116697,-9.026018,13.367191,-9.912797,6.296675,1.7494211,-1.0327029,7.255834,-3.1449149,13.12803,-32.32474,62.07479,22.568954,-3.9011576,9.582048,-3.5135262,-12.690564,37.743225,60.850754,-18.483828,0.26386875,-8.898098
3,0.010863681323826313,1.929184079170227,78.37174224853516,0.2051812331669058,-0.15494051638099843,-91.01324946910562,1.871039,7.3985653,16.420954,11.730815,-12.717834,-5.740628,-1.6805029,-8.162086,-9.006993,13.585527,-10.0145855,6.29185,1.7406731,-1.0557244,7.1846766,-3.2737296,13.154991,-32.532547,62.20043,22.595705,-3.5911536,9.157467,-3.6085002,-12.70752,37.972908,60.930565,-18.40397,0.7109577,-8.395069
4,0.010227633640170097,1.926253318786621,78.36649322509766,0.2305268862847718,-0.129447068807452,-91.01131031351623,1.8014485,7.384074,16.41947,11.827247,-12.756034,-5.750112,-1.8180364,-8.212673,-8.995222,13.825166,-10.127274,6.2870617,1.735852,-1.0799612,7.11295,-3.476222,13.193867,-32.789852,62.393993,22.586023,-3.2823386,8.464678,-3.7591467,-12.736055,38.303925,61.091496,-18.426403,1.1532985,-7.79162
5,0.007216198835521936,1.9270457029342651,78.3611068725586,0.25734753234625185,-0.10816504273506693,-91.00396616785476,1.7240155,7.374063,16.424435,11.950245,-12.799385,-5.7615886,-1.9603328,-8.267685,-8.9914055,14.086743,-10.250716,6.2819467,1.7315909,-1.1047041,7.0373526,-3.7308924,13.255115,-33.10683,62.631,22.529345,-2.9581816,7.4639125,-3.9550593,-12.788117,38.774128,61.319107,-18.609953,1.6074035,-7.074034
6,0.005030024331063032,1.9355188608169556,78.35340118408203,0.28432651696700334,-0.09013398805679079,-90.9924763578211,1.6406003,7.3676453,16.433641,12.094023,-12.847681,-5.7745543,-2.1058846,-8.3257065,-8.992805,14.364984,-10.382533,6.2761207,1.7332015,-1.1289703,6.9570413,-4.0358787,13.320263,-33.472065,62.918922,22.443892,-2.6242073,6.242689,-4.185128,-12.850342,39.336628,61.603725,-18.914001,2.0653086,-6.2718697
7,0.0014173474628478289,1.9246770143508911,78.34371185302734,0.3154097751322954,-0.08197271523505176,-90.97320784008268,1.5547111,7.3607764,16.43615,12.261182,-12.905413,-5.786787,-2.249242,-8.390193,-9.000068,14.6654215,-10.526183,6.2713976,1.7406,-1.1537347,6.8730583,-4.4284034,13.383353,-33.893574,63.293373,22.32588,-2.304636,4.8286233,-4.4666524,-12.915408,39.97148,61.969402,-19.216703,2.4922085,-5.3936987
8,-0.0026495172642171383,1.9203379154205322,78.33265686035156,0.3491834149107672,-0.08958885613773362,-90.94237392732494,1.471132,7.349225,16.42037,12.450485,-12.974899,-5.7991695,-2.3854184,-8.464155,-9.013052,14.992927,-10.685047,6.2688036,1.7273813,-1.1801176,6.8015184,-4.8867955,13.495104,-34.354713,63.697796,22.16357,-2.0239613,3.2402797,-4.7916226,-13.036408,40.703377,62.36082,-19.371431,2.8604958,-4.445394
9,-0.0036991455126553774,1.9187341928482056,78.32018280029297,0.3884143547255229,-0.11411273538012476,-90.8994307477702,1.3949107,7.3284664,16.383698,12.651936,-13.052426,-5.809634,-2.5117657,-8.550161,-9.031757,15.345112,-10.85868,6.2699785,1.7175275,-1.2099242,6.7390895,-5.4448667,13.625488,-34.903614,64.17344,21.927765,-1.7810307,1.4008747,-5.1548214,-13.182218,41.505226,62.79905,-19.406397,3.1723306,-3.4146295
