Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.07398869842290878,1.846257209777832,78.301513671875,1.2960841306874342,1.8918615441230757,-92.41270521344089,-2.138663,1.9593967,8.837081,6.9625,-4.881175,-2.9172683,-0.14912912,-7.357129,-15.248576,7.129138,-10.190677,4.952234,-1.2158903,-0.5347636,5.2870636,-3.0709958,12.852553,-41.67227,61.576385,17.36555,1.8755167,5.1424866,-11.689963,-10.874028,49.019005,66.56694,-5.7923565,5.4096003,-3.4060483
1,-0.07846064120531082,1.8406500816345215,78.3033447265625,1.2961986914417294,1.897485652328827,-92.41069450287401,-2.1402576,1.9598117,8.83152,6.9615326,-4.8822823,-2.919245,-0.14970134,-7.3565836,-15.2539015,7.1294107,-10.194334,4.9493575,-1.218534,-0.54280573,5.281432,-3.0584457,12.8602295,-41.678658,61.55196,17.37865,1.8770174,5.122484,-11.695472,-10.8619375,49.024433,66.5678,-5.62473,5.373623,-3.3658838
2,-0.0813862606883049,1.8349287509918213,78.30108642578125,1.296249472162965,1.903378970377661,-92.40862383623427,-2.1426322,1.9604764,8.825775,6.961729,-4.8838115,-2.9211862,-0.15002151,-7.3557487,-15.259636,7.1279006,-10.196351,4.946179,-1.2208123,-0.5504936,5.275757,-3.0492244,12.864586,-41.68485,61.532715,17.393557,1.8782386,5.1009173,-11.695994,-10.853656,49.026943,66.561264,-5.4505296,5.336589,-3.3217614
3,-0.08189912140369415,1.8299721479415894,78.29991149902344,1.2964619244507205,1.9087169540611866,-92.40672588877904,-2.143222,1.9607579,8.820475,6.95964,-4.884442,-2.923178,-0.15023012,-7.3551316,-15.264734,7.1278877,-10.199988,4.9436064,-1.2214224,-0.5578922,5.269534,-3.0392923,12.869093,-41.694622,61.51243,17.404135,1.8796014,5.0835233,-11.70095,-10.843483,49.032528,66.56244,-5.291159,5.3031883,-3.2850924
4,-0.08059445023536682,1.8217096328735352,78.3007583618164,1.296557503272482,1.9123731243130633,-92.40519602157116,-2.1422524,1.9612776,8.816188,6.9583335,-4.8861136,-2.9253983,-0.14753446,-7.354311,-15.26837,7.125992,-10.204133,4.942604,-1.2236596,-0.56170845,5.269218,-3.0348756,12.870225,-41.697575,61.496227,17.412415,1.8775457,5.0748577,-11.701214,-10.839853,49.032433,66.54921,-5.19468,5.2825317,-3.2642963
5,-0.08427397906780243,1.8169118165969849,78.30093383789062,1.2976691058697138,1.913189305410814,-92.40354527975212,-2.1378427,1.9611007,8.812237,6.9565907,-4.8882227,-2.9277112,-0.1418583,-7.3543444,-15.270311,7.1244135,-10.211077,4.944054,-1.2173309,-0.56641275,5.2714047,-3.0325267,12.87105,-41.7049,61.4795,17.419477,1.8765585,5.078863,-11.708362,-10.836737,49.03529,66.54152,-5.1337404,5.273124,-3.2630215
6,-0.08503814041614532,1.8108643293380737,78.3001708984375,1.2990888225230133,1.9122673823649128,-92.40240149694317,-2.131376,1.9608085,8.809048,6.9551973,-4.8910565,-2.9301646,-0.13294148,-7.35412,-15.271005,7.1202903,-10.218499,4.947147,-1.2111181,-0.56965125,5.2770133,-3.0335603,12.871796,-41.713455,61.46532,17.419655,1.8731242,5.0934744,-11.7149515,-10.832996,49.038204,66.528656,-5.1215544,5.275221,-3.2782297
7,-0.08915095776319504,1.804555892944336,78.29789733886719,1.3000571442881577,1.9107400416876403,-92.40132002563338,-2.1240375,1.9610642,8.806876,6.953615,-4.894515,-2.932944,-0.123681724,-7.353417,-15.270977,7.117383,-10.226705,4.9505215,-1.2008882,-0.57305425,5.2818108,-3.0360305,12.872922,-41.73074,61.452274,17.410915,1.8699266,5.112511,-11.723324,-10.824535,49.039745,66.523605,-5.1413918,5.284154,-3.3050466
8,-0.0892152339220047,1.7984745502471924,78.29762268066406,1.2997695765786095,1.9110858333170293,-92.40031593799071,-2.117744,1.9628199,8.806159,6.9505773,-4.8981786,-2.936326,-0.11639439,-7.3510027,-15.271476,7.1133633,-10.231449,4.952829,-1.1928438,-0.57562214,5.2844014,-3.038762,12.873274,-41.73973,61.44084,17.405565,1.8645827,5.12305,-11.729992,-10.818843,49.039864,66.517204,-5.191382,5.295565,-3.3317647
9,-0.09209903329610825,1.7895774841308594,78.29766082763672,1.2975418626616668,1.9140656762163575,-92.39989947948736,-2.1146193,1.9671474,8.8083935,6.948703,-4.9037275,-2.940565,-0.11350979,-7.346241,-15.271959,7.1114273,-10.232576,4.9537787,-1.1848866,-0.5789585,5.2823534,-3.0409482,12.873282,-41.742863,61.431427,17.401682,1.8567326,5.122556,-11.736256,-10.816686,49.04192,66.512314,-5.279584,5.310456,-3.3603818
