Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.027938636019825935,2.0555989742279053,78.11209106445312,0.07705818039855207,-1.257621031614554,-90.25411964876493,0.042004995,3.9249017,5.8254213,13.213693,-12.708409,-4.0844765,-0.9983845,-4.4269996,4.8291993,10.598821,-9.826923,6.5656195,-2.1571922,-0.45881402,7.223401,-5.355937,14.759087,-42.08079,64.38625,-3.08542,0.023079539,5.3380814,-4.425984,-11.727137,32.87317,57.348225,-10.794826,1.015786,1.8571017
1,-0.02790650725364685,2.0549874305725098,78.11333465576172,0.07511300468233949,-1.2562677477995061,-90.25407320965533,0.038261257,3.924302,5.8169727,13.218442,-12.711491,-4.0758524,-0.9958674,-4.4273734,4.827505,10.590383,-9.81689,6.5606465,-2.16266,-0.46324122,7.248266,-5.349099,14.786235,-42.031876,64.345,-3.1324096,0.022234574,5.3343263,-4.60591,-11.74165,32.55415,57.5255,-10.037034,1.0199534,1.8530601
2,-0.02632114663720131,2.0556724071502686,78.11575317382812,0.07490143214593854,-1.2543123750226253,-90.25307459911305,0.034310225,3.9237087,5.806883,13.222525,-12.714346,-4.067079,-0.99216783,-4.427948,4.8247848,10.57959,-9.805578,6.555305,-2.1486387,-0.46581236,7.274334,-5.357292,14.80965,-42.007282,64.31339,-3.188723,0.020502513,5.330305,-4.7542405,-11.767954,32.24269,57.67953,-9.311836,1.0170708,1.8389652
3,-0.02446778491139412,2.0552244186401367,78.11653900146484,0.07385948151061723,-1.253358998855329,-90.25397540778798,0.032073338,3.9234078,5.8001547,13.22549,-12.716483,-4.0585713,-0.9881265,-4.4280834,4.823864,10.567883,-9.793695,6.5506806,-2.1496415,-0.46724862,7.2996516,-5.36179,14.8252,-41.963455,64.28812,-3.2340777,0.01796969,5.327495,-4.9334526,-11.796938,31.888542,57.84421,-8.525298,1.0277226,1.8500525
4,-0.023953573778271675,2.056197166442871,78.11695098876953,0.07241367363586602,-1.2547922621076057,-90.25980480467035,0.033075638,3.9241927,5.8017654,13.227809,-12.718264,-4.0507083,-0.9836103,-4.427341,4.827554,10.556336,-9.782597,6.5475893,-2.1302285,-0.46910483,7.3366847,-5.3790035,14.845922,-41.938934,64.257675,-3.2700129,0.016691575,5.3252144,-5.141897,-11.854687,31.346008,57.97849,-7.608658,1.0719606,1.9351921
5,-0.022188542410731316,2.0622518062591553,78.11709594726562,0.07045942550557582,-1.260264638858349,-90.27033074370055,0.038627736,3.9262555,5.813837,13.230096,-12.719764,-4.0429516,-0.9762284,-4.425402,4.835236,10.543062,-9.772302,6.547051,-2.1284373,-0.46949142,7.379067,-5.3889937,14.86386,-41.886627,64.22501,-3.2826607,0.015458486,5.3236814,-5.408353,-11.927362,30.658432,58.12703,-6.5416627,1.1637284,2.1266189
6,-0.018298009410500526,2.0646560192108154,78.11768341064453,0.06901238559473881,-1.2686054801964974,-90.28433668105322,0.048117865,3.9289243,5.83353,13.230802,-12.720335,-4.035258,-0.9670505,-4.422903,4.8459115,10.529084,-9.763084,6.5483403,-2.129714,-0.46951592,7.4266615,-5.4008007,14.879903,-41.826614,64.19487,-3.2822328,0.012934963,5.3226414,-5.7097025,-12.016668,29.85094,58.278545,-5.3702984,1.2927932,2.3935273
7,-0.01531664002686739,2.0673840045928955,78.11759948730469,0.06674316444692723,-1.2767588153822158,-90.3030230845222,0.058393713,3.9328706,5.8580217,13.230811,-12.720449,-4.029008,-0.9596989,-4.4191537,4.861463,10.514757,-9.752271,6.5496984,-2.1333528,-0.46994224,7.4789405,-5.4136395,14.895864,-41.763466,64.16109,-3.2701516,0.011889814,5.323619,-6.05826,-12.123828,28.910755,58.412704,-4.0753727,1.4460071,2.6678066
8,-0.010558295994997025,2.0715885162353516,78.11798858642578,0.06344545368913983,-1.281919094361207,-90.32761747732009,0.06586052,3.9383876,5.884493,13.232258,-12.72145,-4.0253634,-0.96033245,-4.4135256,4.8838925,10.505761,-9.740279,6.549417,-2.1390896,-0.47276074,7.5350056,-5.4286723,14.914072,-41.704132,64.123535,-3.250564,0.011143439,5.3281255,-6.468253,-12.2511215,27.824259,58.511723,-2.639222,1.6074494,2.8816795
9,-0.0056860679760575294,2.0748112201690674,78.11918640136719,0.05970996768059738,-1.2801616085636531,-90.35514435049575,0.066395156,3.9457881,5.907947,13.233811,-12.721609,-4.025533,-0.97030956,-4.4058948,4.910977,10.499496,-9.725184,6.545637,-2.1505625,-0.4778286,7.5925198,-5.4401536,14.936441,-41.639683,64.07622,-3.2223852,0.010240137,5.3373213,-6.9350743,-12.401023,26.565004,58.58302,-1.0273584,1.7859753,3.0568564
