Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.21489779651165009,1.553570032119751,77.91040802001953,0.6934983111001521,1.5250394796272728,-93.46059319582568,-1.4127886,8.326554,26.35934,14.431564,-13.5674305,-6.1871004,-5.5878286,-9.267332,-14.875538,15.412883,-10.767333,5.9676385,-1.8237652,-1.2642933,7.399063,1.772423,24.963156,-31.75179,48.997185,17.858662,7.320677,-1.0717806,-5.079524,-24.137053,45.60445,49.73302,-12.561486,1.2282299,-1.7008265
1,0.21902334690093994,1.5400454998016357,77.90373229980469,0.6804429121660036,1.5297136543152394,-93.43945662124783,-1.4723064,8.363806,26.325516,14.567616,-13.644218,-6.1847277,-5.601491,-9.267333,-14.883102,15.467568,-10.802646,5.972984,-1.8360634,-1.2435231,7.4182196,1.8001282,24.980726,-31.712543,48.922207,17.851295,7.324126,-1.0484505,-5.2049904,-24.173914,45.462887,49.576824,-12.421488,1.2284718,-1.7034453
2,0.22271044552326202,1.5286837816238403,77.89852905273438,0.6665566043696729,1.5337834835294393,-93.4184712380479,-1.5309472,8.401741,26.290876,14.703827,-13.722216,-6.182403,-5.6143723,-9.266467,-14.889987,15.522326,-10.83799,5.97865,-1.8304255,-1.2200632,7.4437304,1.8249348,25.005655,-31.684597,48.834885,17.846746,7.3274317,-1.0274199,-5.2654676,-24.252533,45.271286,49.351437,-12.299114,1.2266262,-1.7015023
3,0.22591637074947357,1.5171244144439697,77.89192199707031,0.6533538978986698,1.539217172252062,-93.39731100247009,-1.5913333,8.4388,26.257692,14.83944,-13.797929,-6.180186,-5.628909,-9.26661,-14.898597,15.577057,-10.873331,5.9835696,-1.8301436,-1.1930399,7.469151,1.839334,25.025326,-31.66088,48.759563,17.83267,7.3296933,-1.0048194,-5.3155622,-24.348074,45.067234,49.097885,-12.210211,1.2305312,-1.6953692
4,0.23110425472259521,1.503873586654663,77.88654327392578,0.6422315915228961,1.5479958911282594,-93.37609756686409,-1.6557362,8.473441,26.228703,14.97441,-13.8689,-6.178094,-5.648283,-9.270029,-14.91097,15.63316,-10.909326,5.9866943,-1.8322597,-1.1624693,7.49352,1.8544134,25.040003,-31.634806,48.686695,17.81843,7.330174,-0.97979623,-5.374847,-24.45769,44.844803,48.81889,-12.182381,1.2469964,-1.6792846
5,0.2362074851989746,1.4931246042251587,77.88046264648438,0.6337358018865445,1.55959547320956,-93.35498604033451,-1.7234967,8.505279,26.205679,15.108051,-13.932809,-6.177118,-5.6716766,-9.277583,-14.9301605,15.690545,-10.946846,5.9872355,-1.8355131,-1.1286292,7.5197544,1.8668731,25.051264,-31.608,48.616447,17.798185,7.327384,-0.94932336,-5.4548106,-24.58296,44.612747,48.52214,-12.231299,1.2770836,-1.6554099
6,0.23938611149787903,1.485537052154541,77.87691497802734,0.6272214359151675,1.5732895234988626,-93.3338293092133,-1.7934296,8.535042,26.186989,15.240055,-13.9913,-6.1769753,-5.698669,-9.288305,-14.953861,15.750168,-10.98598,5.985916,-1.8451844,-1.0926751,7.5439615,1.8774159,25.059652,-31.57972,48.5525,17.769781,7.3221555,-0.9155195,-5.5086493,-24.724255,44.345665,48.180183,-12.3725195,1.3173064,-1.6252083
7,0.244666188955307,1.4758466482162476,77.8731918334961,0.6214960015749651,1.5908160171569912,-93.31247960319828,-1.867585,8.562839,26.16976,15.370856,-14.047767,-6.175612,-5.730182,-9.300524,-14.977663,15.809197,-11.023744,5.984036,-1.850118,-1.0530577,7.5706043,1.8865598,25.066147,-31.554312,48.48523,17.747265,7.317258,-0.88335395,-5.603169,-24.881226,44.082645,47.83414,-12.501104,1.3675923,-1.5823189
8,0.24972040951251984,1.4644358158111572,77.86766052246094,0.6158676854310465,1.6137885576799644,-93.29041258486386,-1.9487009,8.589484,26.15075,15.502972,-14.105118,-6.171107,-5.768042,-9.313024,-14.997058,15.866773,-11.058238,5.982867,-1.8615375,-1.0109524,7.592082,1.8922112,25.070637,-31.53224,48.42452,17.729004,7.314606,-0.8591073,-5.684648,-25.052763,43.7802,47.439247,-12.631995,1.4282728,-1.5208244
9,0.2568123936653137,1.452833890914917,77.86339569091797,0.6095750402574566,1.6433920145392975,-93.26788020575532,-2.0336728,8.6131935,26.131422,15.628056,-14.164938,-6.1624975,-5.8113766,-9.324485,-15.008785,15.918442,-11.087309,5.9821057,-1.8744487,-0.96470547,7.604447,1.9085435,25.072742,-31.509846,48.358265,17.728516,7.3149023,-0.84588873,-5.757594,-25.239325,43.434757,46.998875,-12.748812,1.5070015,-1.426896
10,0.2681120038032532,1.4442343711853027,77.85932159423828,0.6032223286246224,1.6785048770420097,-93.24504991229745,-2.1249657,8.6354065,26.112282,15.753918,-14.226711,-6.150916,-5.861031,-9.336493,-15.015782,15.968799,-11.113924,5.9814105,-1.8884937,-0.9148615,7.611751,1.9263839,25.072552,-31.49084,48.291893,17.736261,7.3169303,-0.8399572,-5.8297367,-25.440733,43.057384,46.520424,-12.863677,1.6011394,-1.3076618
11,0.2756738066673279,1.4364066123962402,77.85306549072266,0.5976807924988929,1.7172659732497653,-93.22132938102813,-2.219487,8.65535,26.09103,15.874626,-14.283731,-6.1377,-5.914882,-9.349361,-15.023652,16.017721,-11.137017,5.981539,-1.9017305,-0.8633786,7.6208267,1.9420553,25.071293,-31.472742,48.226086,17.750862,7.3207755,-0.8366348,-5.9213724,-25.657291,42.670128,46.02212,-12.966451,1.6950483,-1.1880507
12,0.28194695711135864,1.4297993183135986,77.84898376464844,0.5931844449939141,1.757841535692357,-93.196327149088,-2.3167882,8.673577,26.064714,15.989093,-14.331657,-6.124281,-5.973843,-9.364179,-15.037675,16.071468,-11.158987,5.9833193,-1.9191236,-0.81342524,7.63575,1.945349,25.07066,-31.455341,48.170864,17.76155,7.3265104,-0.83160967,-6.0199404,-25.890339,42.27606,45.496716,-13.07639,1.7731446,-1.0931288
13,0.2876007556915283,1.4228767156600952,77.84520721435547,0.5898341445656886,1.7993497174456439,-93.16853740153378,-2.4165986,8.690445,26.03042,16.09714,-14.367014,-6.10983,-6.034471,-9.380499,-15.063497,16.126263,-11.175963,5.9874325,-1.939456,-0.7642307,7.658098,1.9504215,25.071665,-31.42767,48.11296,17.777922,7.3368273,-0.82170093,-6.1231956,-26.139875,41.875343,44.946457,-13.183304,1.8240427,-1.0297139
14,0.2914178967475891,1.4198232889175415,77.84449768066406,0.5871550885980389,1.8429416667285594,-93.13869536675595,-2.5193543,8.705829,25.990288,16.199213,-14.392951,-6.0940256,-6.097431,-9.398038,-15.096961,16.18051,-11.188291,5.9932647,-1.9620906,-0.7151822,7.685681,1.9594936,25.074945,-31.39138,48.049778,17.801966,7.350776,-0.8100096,-6.239847,-26.406187,41.46879,44.375828,-13.281782,1.8585007,-0.9844132
15,0.2966138422489166,1.417629599571228,77.84326171875,0.586095115139215,1.8896259032978877,-93.10972843475346,-2.6224859,8.7173815,25.950138,16.290329,-14.412867,-6.0788465,-6.1671877,-9.417175,-15.128747,16.237988,-11.200855,5.9997883,-1.9851235,-0.6673303,7.716989,1.9685163,25.080961,-31.354248,47.984367,17.831528,7.363086,-0.802581,-6.3751616,-26.689095,41.060467,43.77967,-13.383784,1.8947067,-0.9513341
16,0.30149024724960327,1.4177122116088867,77.84215545654297,0.5875349567451307,1.9404692446674674,-93.08456185607638,-2.7230058,8.723045,25.915607,16.365376,-14.430465,-6.066279,-6.2478886,-9.438097,-15.149719,16.301176,-11.218476,6.0058923,-2.009298,-0.6231184,7.7498226,1.9634534,25.090176,-31.329653,47.930107,17.856432,7.3683357,-0.80501735,-6.5300856,-26.99025,40.652927,43.150528,-13.508378,1.9504782,-0.9246444
17,0.30606502294540405,1.4193472862243652,77.8366928100586,0.592010032519757,1.995474488982504,-93.06327078602024,-2.8186836,8.721197,25.886772,16.41923,-14.44739,-6.058027,-6.338926,-9.46037,-15.156448,16.36876,-11.2437,6.012548,-2.0293913,-0.5818994,7.7810674,1.9720646,25.102509,-31.303602,47.86466,17.900635,7.3611326,-0.8233162,-6.702148,-27.310366,40.24793,42.4902,-13.659747,2.028813,-0.9109907
18,0.3094908893108368,1.4244508743286133,77.83318328857422,0.5987179175779245,2.054212027387846,-93.04460008052263,-2.911295,8.713635,25.860933,16.455448,-14.461301,-6.0526524,-6.438447,-9.483642,-15.154198,16.439354,-11.273183,6.019869,-2.0509186,-0.5438292,7.81429,1.9700617,25.118448,-31.286343,47.807396,17.943413,7.3455863,-0.85292673,-6.890504,-27.650108,39.845127,41.79749,-13.831156,2.1207428,-0.91078734
19,0.31430280208587646,1.4262009859085083,77.82928466796875,0.6072886357842442,2.1168186982757513,-93.02929645708909,-3.002775,8.701291,25.840681,16.478128,-14.469719,-6.047358,-6.5478277,-9.509004,-15.146818,16.515362,-11.302852,6.025614,-2.0723379,-0.50759625,7.850936,1.9588655,25.13765,-31.277477,47.754536,17.98279,7.3308706,-0.8839718,-7.1024466,-28.009478,39.440983,41.07381,-14.0077305,2.2268963,-0.90715986
20,0.31842026114463806,1.4339097738265991,77.82572174072266,0.6179634156089818,2.1834665838419496,-93.01814819497369,-3.100237,8.687991,25.827362,16.504265,-14.471804,-6.039273,-6.667904,-9.537559,-15.13827,16.598015,-11.327447,6.0276628,-2.0919704,-0.4726482,7.887874,1.9647456,25.159122,-31.261139,47.68477,18.03385,7.326496,-0.9070908,-7.3313255,-28.389366,39.025997,40.312817,-14.18307,2.3475463,-0.8833563
21,0.3236333131790161,1.4442260265350342,77.82350158691406,0.6311826550569125,2.255367861723723,-93.01182224723772,-3.2032926,8.671921,25.823303,16.529503,-14.463556,-6.0276203,-6.8017097,-9.570859,-15.128892,16.690418,-11.345498,6.0251603,-2.1156788,-0.44025204,7.9287224,1.9417089,25.183392,-31.265148,47.63445,18.068321,7.336773,-0.92212397,-7.590552,-28.791513,38.61196,39.516254,-14.347967,2.4875042,-0.8276718
22,0.3310180902481079,1.4524028301239014,77.82210540771484,0.646652424804931,2.331991180529561,-93.00974089635774,-3.3097844,8.652888,25.8269,16.550304,-14.447116,-6.0139475,-6.947094,-9.607429,-15.116951,16.789406,-11.35886,6.0193005,-2.1364396,-0.40908575,7.968531,1.9379774,25.209328,-31.262218,47.565475,18.123325,7.3560476,-0.93365926,-7.868451,-29.216562,38.193176,38.6838,-14.510396,2.6449707,-0.7505147
23,0.3376927375793457,1.4624172449111938,77.82240295410156,0.6629775938631706,2.4110871149319903,-93.01077951559635,-3.4195437,8.63351,25.834673,16.571205,-14.428994,-5.998933,-7.0996337,-9.64486,-15.102541,16.892254,-11.371115,6.0110598,-2.1558113,-0.3778873,8.011374,1.9446783,25.236929,-31.252888,47.48605,18.177456,7.378662,-0.93775576,-8.159679,-29.663504,37.760292,37.813156,-14.679616,2.8105028,-0.67036444
24,0.3451961278915405,1.474774956703186,77.8215103149414,0.6787023359103931,2.4903106638041046,-93.01372335314144,-3.531001,8.616242,25.843357,16.593817,-14.41453,-5.9833097,-7.2535863,-9.680132,-15.086251,16.994312,-11.384678,6.0014567,-2.1782343,-0.34632915,8.067362,1.9017961,25.267397,-31.269085,47.443428,18.172075,7.398647,-0.9297409,-8.472441,-30.129581,37.309055,36.908173,-14.860892,2.974764,-0.60584444
