Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.05605451390147209,0.4816112518310547,76.5665283203125,2.136128686586487,12.852208919313421,-88.10002125291071,-30.607391,4.9347105,11.846983,25.901505,-8.295163,-0.6860122,-31.992926,-12.013413,-16.715714,30.047697,-9.850818,1.3943679,-3.3227112,0.08873134,29.793802,-30.268309,16.390562,-44.059002,59.505634,8.132848,-2.941472,5.5755568,-30.199116,-18.29799,28.730059,57.65477,8.836126,-5.8902564,-7.8792624
1,0.060666199773550034,0.4632135331630707,76.56395721435547,2.144690442836124,12.879489739745967,-88.08523480597881,-30.630737,4.919161,11.842505,25.9141,-8.306865,-0.685524,-32.027386,-12.0366125,-16.710943,30.095469,-9.880543,1.3993886,-3.314677,0.08145849,29.793802,-30.286016,16.358326,-44.079945,59.57428,8.169455,-2.931811,5.5690174,-30.217407,-18.294212,28.535704,57.338924,9.384451,-5.9495587,-7.725538
2,0.06561700999736786,0.44422614574432373,76.56138610839844,2.1530376099772837,12.9068005700476,-88.07046222537817,-30.655083,4.9038167,11.837869,25.928976,-8.319716,-0.6850097,-32.062443,-12.059867,-16.705816,30.14449,-9.91044,1.4043062,-3.2971401,0.07180498,29.793802,-30.30728,16.328306,-44.11611,59.644173,8.201766,-2.9204102,5.5649714,-30.221472,-18.27927,28.3112,57.02449,9.911494,-6.0092454,-7.569532
3,0.06925033777952194,0.42424705624580383,76.55957794189453,2.16142119655641,12.93320626452166,-88.0555631873961,-30.677834,4.8886266,11.833063,25.942152,-8.332072,-0.68467426,-32.095333,-12.0826845,-16.701895,30.190924,-9.940057,1.409204,-3.280271,0.058234643,29.793802,-30.329983,16.301432,-44.15148,59.715214,8.230991,-2.9104922,5.558274,-30.243284,-18.256054,28.09462,56.715168,10.442242,-6.066299,-7.4156785
4,0.07244788110256195,0.4045143127441406,76.55838775634766,2.16933752736838,12.958640501283202,-88.0403195245347,-30.69714,4.873653,11.827711,25.949963,-8.34239,-0.68467444,-32.122494,-12.103816,-16.701363,30.229025,-9.967947,1.4141417,-3.2706203,0.04329307,29.793802,-30.347506,16.284117,-44.173954,59.775887,8.256408,-2.904785,5.5422215,-30.28291,-18.230097,27.892427,56.38664,10.973543,-6.1163855,-7.2667813
5,0.07554515451192856,0.38509640097618103,76.55599212646484,2.176696137042296,12.982531261738698,-88.02443326103692,-30.712091,4.858971,11.8215685,25.951488,-8.350521,-0.68517727,-32.14292,-12.123302,-16.705488,30.257862,-9.99447,1.4194906,-3.2576795,0.027678367,29.793802,-30.369747,16.270422,-44.195374,59.83563,8.271726,-2.9048495,5.509606,-30.327616,-18.195356,27.6832,56.03445,11.483256,-6.154466,-7.124466
6,0.07619380950927734,0.3652319312095642,76.55475616455078,2.1837655584172624,13.005020011380783,-88.00808053376217,-30.724009,4.8446674,11.814872,25.949064,-8.357237,-0.68604934,-32.15751,-12.141313,-16.713152,30.27893,-10.019573,1.4251232,-3.2448196,0.009077671,29.793802,-30.39532,16.259573,-44.214024,59.897053,8.280049,-2.9090662,5.46618,-30.39006,-18.15016,27.479551,55.678055,11.984555,-6.1846986,-6.9880123
7,0.07697538286447525,0.34656161069869995,76.55389404296875,2.190291862790827,13.026946826656227,-87.99175918556642,-30.733746,4.8306713,11.807656,25.943457,-8.362853,-0.6870523,-32.169678,-12.158136,-16.722132,30.296381,-10.043825,1.4301517,-3.2388222,-0.009342205,29.793802,-30.415955,16.255457,-44.222214,59.949024,8.289739,-2.9149332,5.424647,-30.4646,-18.108807,27.284275,55.29663,12.496772,-6.2152114,-6.8525796
8,0.07872746884822845,0.3265058994293213,76.55291748046875,2.1957279618766,13.048626509409585,-87.9759053234547,-30.743647,4.8181105,11.799426,25.939816,-8.369711,-0.6880974,-32.18012,-12.173259,-16.731113,30.3117,-10.066982,1.4336611,-3.2360673,-0.027024312,29.793802,-30.434467,16.255804,-44.22878,59.993675,8.304218,-2.9195797,5.400421,-30.543238,-18.071598,27.077612,54.877094,13.021886,-6.255417,-6.7136087
9,0.0802389457821846,0.3073698878288269,76.55342102050781,2.198769932861257,13.069020174219304,-87.96103155838755,-30.752728,4.807979,11.789446,25.938864,-8.378488,-0.6893446,-32.188328,-12.185806,-16.740509,30.326616,-10.090251,1.4329536,-3.222201,-0.049544167,29.793802,-30.460617,16.259657,-44.25634,60.041313,8.3310175,-2.91937,5.4035106,-30.634428,-18.02352,26.837877,54.43728,13.57027,-6.311697,-6.566877
