Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.1708739846944809,1.9627556800842285,77.73454284667969,0.1710154589472612,-0.802997365243113,-91.2110608971175,4.14312,8.46844,10.688591,6.9875026,-9.524797,-9.0361395,6.158789,-7.718753,-16.160486,6.9644265,-12.3492155,9.377084,-1.295775,0.94800097,5.8404355,3.2228563,18.311256,-35.975246,56.289024,9.258829,-0.42810598,-3.8275604,1.8458167,-15.201017,43.812027,62.412407,15.133214,6.1946993,4.254726
1,0.16423343122005463,1.9540963172912598,77.73290252685547,0.17307805729160242,-0.7955853307631572,-91.19816738365951,4.1401896,8.469895,10.675726,6.9822516,-9.520547,-9.044683,6.161242,-7.716462,-16.174831,6.964106,-12.356032,9.371827,-1.3336506,0.92782617,5.8085413,3.265672,18.33227,-35.93174,56.274742,9.275136,-0.43235704,-3.8437784,1.8787643,-15.208066,43.51661,62.388664,15.098769,5.978956,4.3394327
2,0.1581563949584961,1.9466794729232788,77.73184204101562,0.17375930968714187,-0.7882688122217583,-91.18473290933052,4.136148,8.471207,10.662073,6.9789324,-9.516824,-9.053329,6.163446,-7.7143774,-16.18988,6.9647555,-12.3633,9.366473,-1.3438547,0.9084064,5.777987,3.2847533,18.352022,-35.92167,56.275757,9.284109,-0.43846193,-3.8603654,1.9315153,-15.214665,43.191193,62.3647,15.034024,5.7718644,4.446611
3,0.15129901468753815,1.9382171630859375,77.73057556152344,0.17588736658258808,-0.7810773244772105,-91.17236144976113,4.1338606,8.473084,10.649939,6.9733458,-9.512912,-9.061823,6.1662307,-7.7114153,-16.203854,6.964331,-12.370314,9.361175,-1.325819,0.8857752,5.7494783,3.2845151,18.378271,-35.940437,56.28239,9.28862,-0.4412955,-3.8749104,1.9952917,-15.226856,42.806732,62.307877,14.990572,5.5473766,4.5164623
4,0.1438150554895401,1.9302146434783936,77.73094940185547,0.17588682934136318,-0.7740898037579109,-91.1626515300988,4.1312213,8.477857,10.640953,6.9703646,-9.512146,-9.070106,6.168167,-7.706362,-16.215038,6.9651847,-12.378744,9.355921,-1.3274549,0.8598195,5.716093,3.3005385,18.399734,-35.92094,56.286327,9.314273,-0.43815577,-3.8847322,2.0303454,-15.2445135,42.401554,62.215836,15.039915,5.277947,4.4846373
5,0.13300135731697083,1.9223036766052246,77.73139953613281,0.17417173755753304,-0.7676298438645943,-91.1552831725942,4.130495,8.486223,10.635723,6.9674125,-9.515127,-9.077795,6.1713505,-7.698303,-16.224003,6.96542,-12.388549,9.350577,-1.3263152,0.8297097,5.6806946,3.3170452,18.419922,-35.884644,56.292324,9.373507,-0.42431915,-3.8937535,2.0648398,-15.273649,41.929665,62.072994,15.197573,4.9308996,4.3192596
6,0.12765678763389587,1.914563775062561,77.73172760009766,0.17009812540293703,-0.7615210067893011,-91.14962903883273,4.130914,8.497349,10.633096,6.964155,-9.520253,-9.085159,6.175106,-7.687719,-16.231146,6.965652,-12.3997345,9.345123,-1.3134599,0.7984761,5.6463823,3.3287206,18.442068,-35.84774,56.297115,9.452422,-0.40269428,-3.902194,2.114606,-15.325027,41.39468,61.87039,15.426876,4.5300226,4.061016
7,0.12146793305873871,1.905117154121399,77.7316665649414,0.16546915798968953,-0.7552253622628022,-91.14687420899759,4.1312056,8.509452,10.633096,6.962161,-9.526009,-9.092703,6.17733,-7.6762996,-16.235544,6.96592,-12.40991,9.33994,-1.315599,0.76525074,5.610175,3.3508632,18.459742,-35.783493,56.299976,9.526365,-0.38147596,-3.9016054,2.1264079,-15.388448,40.84929,61.627434,15.698004,4.1301584,3.7590342
8,0.11459262669086456,1.8977317810058594,77.73054504394531,0.1617439801813753,-0.748031241144979,-91.1481624100984,4.1330237,8.52032,10.636203,6.95646,-9.526909,-9.101033,6.1763206,-7.665309,-16.235756,6.966059,-12.417143,9.335198,-1.3121568,0.7311339,5.57663,3.3663507,18.478771,-35.72519,56.301884,9.550554,-0.3677147,-3.8835146,2.0907798,-15.482453,40.28354,61.30994,15.967935,3.790171,3.4668283
9,0.1097368448972702,1.8822437524795532,77.72785186767578,0.15962169775915602,-0.738378953738496,-91.15092619515525,4.132166,8.529394,10.638983,6.9502125,-9.521511,-9.111661,6.170375,-7.655447,-16.234346,6.965629,-12.419918,9.332285,-1.3145477,0.694491,5.541974,3.3862278,18.497932,-35.65356,56.297504,9.501567,-0.36460605,-3.8357008,2.002639,-15.607331,39.72729,60.92032,16.251598,3.5263062,3.177432
