Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.13727770745754242,1.4380344152450562,78.20408630371094,0.44602494120077885,0.43396697879889096,-89.68559902137963,-0.48441517,7.6586676,4.1110506,7.5746613,-7.062321,-8.38722,3.4998133,-8.114543,-12.416262,6.9546003,-10.29223,8.632117,-1.0638797,0.2111863,6.155474,1.9553511,23.44486,-40.41085,61.542366,11.899516,-8.737285,-2.033312,1.8338625,-21.059439,46.616688,60.76524,-10.3238325,-3.184222,-1.8935843
1,-0.14226582646369934,1.4289735555648804,78.20586395263672,0.45470790978569775,0.4745982855351583,-89.69761886917932,-0.5156341,7.6540327,4.126801,7.5561156,-7.031118,-8.388469,3.4521463,-8.118489,-12.4019575,6.9533844,-10.289648,8.644449,-1.0515444,0.2084639,6.202252,1.7633016,23.519144,-40.31027,61.428246,11.718814,-8.859445,-1.9480923,1.7355052,-21.116425,46.53361,60.6258,-10.498424,-3.4795613,-2.1882677
2,-0.14618723094463348,1.4226874113082886,78.2085952758789,0.4643277760993492,0.5120561260186844,-89.71056853307954,-0.54140455,7.648518,4.1438923,7.536761,-7.000208,-8.390068,3.4091418,-8.123389,-12.38704,6.9522505,-10.289174,8.658989,-1.0396622,0.20290461,6.25273,1.5950296,23.615986,-40.216423,61.29531,11.535659,-8.979725,-1.8667978,1.6547612,-21.186514,46.45114,60.474163,-10.6772785,-3.779061,-2.4775498
3,-0.15238818526268005,1.4241740703582764,78.20972442626953,0.4730750254299392,0.5561364966127539,-89.72172099045089,-0.5777146,7.644729,4.1583424,7.5179267,-6.968118,-8.390995,3.357001,-8.126185,-12.373575,6.9510407,-10.285151,8.669018,-1.028473,0.19747569,6.3109393,1.4188943,23.732048,-40.09842,61.118347,11.350843,-9.10305,-1.788081,1.5629573,-21.268242,46.355545,60.28588,-10.85722,-4.066958,-2.7754998
4,-0.1619694083929062,1.4284937381744385,78.21202087402344,0.4770505148595001,0.6168193507693219,-89.72861569768692,-0.637409,7.6459413,4.1665196,7.494132,-6.9293437,-8.39044,3.2827904,-8.123401,-12.363853,6.948668,-10.272175,8.66764,-1.0183547,0.19451018,6.382246,1.2047803,23.869532,-39.924915,60.86713,11.163973,-9.234791,-1.7115328,1.4241146,-21.365047,46.242485,60.038677,-11.024454,-4.328036,-3.0956986
5,-0.1685108244419098,1.4333369731903076,78.21460723876953,0.4742081861242283,0.6960951320641355,-89.7312432559803,-0.72490144,7.6536994,4.167725,7.46887,-6.888139,-8.387681,3.1836154,-8.113264,-12.356954,6.946928,-10.250412,8.64954,-1.0100865,0.1953351,6.465685,0.9540414,24.031343,-39.680416,60.535675,10.987483,-9.370919,-1.650465,1.2421867,-21.478897,46.1126,59.7225,-11.184058,-4.538776,-3.4490287
6,-0.17762358486652374,1.447213888168335,78.21858215332031,0.46617905066226234,0.7888981320806454,-89.73082621477566,-0.83255917,7.666734,4.163721,7.442773,-6.845225,-8.383486,3.066358,-8.097579,-12.352203,6.9452596,-10.221783,8.619444,-1.0040649,0.19868492,6.559552,0.68223834,24.217827,-39.381897,60.136307,10.81827,-9.51018,-1.6010612,1.028163,-21.6102,45.97371,59.351788,-11.334506,-4.7138615,-3.825228
7,-0.18309958279132843,1.4619885683059692,78.22393035888672,0.45728474493445603,0.8944552151020484,-89.72631077592123,-0.9584587,7.6816077,4.1545787,7.4112067,-6.792236,-8.37881,2.931274,-8.079415,-12.352113,6.9428935,-10.186352,8.585992,-1.0025451,0.20301223,6.66741,0.38472822,24.428928,-39.04557,59.662697,10.632269,-9.66213,-1.5380231,0.78316414,-21.759655,45.803673,58.918,-11.485124,-4.8940535,-4.205306
8,-0.18979866802692413,1.482330083847046,78.23030853271484,0.4474573408284934,1.0120675495436482,-89.7168940618907,-1.1025139,7.695492,4.1399384,7.3740435,-6.723572,-8.374644,2.778404,-8.061374,-12.3594055,6.939532,-10.144455,8.557492,-1.0057943,0.20693304,6.793412,0.05319125,24.664183,-38.692074,59.110126,10.402835,-9.836303,-1.4359624,0.5008132,-21.929283,45.5888,58.41751,-11.63423,-5.1202807,-4.5706477
9,-0.19294632971286774,1.5051827430725098,78.23622131347656,0.43698867242662714,1.1402684742681661,-89.70117894509777,-1.264613,7.70938,4.1169972,7.3334064,-6.6371098,-8.372371,2.6106339,-8.042774,-12.3778925,6.93523,-10.097025,8.536359,-1.0157272,0.21099435,6.9366674,-0.31095922,24.923712,-38.321083,58.480965,10.110952,-10.0435505,-1.2898865,0.1996003,-22.120197,45.303745,57.842587,-11.815262,-5.4061103,-4.914281
