Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.2576945424079895,2.2061028480529785,77.5031509399414,0.26286355594549493,0.5358478147829799,-86.44606438209001,0.5251269,6.6287546,9.708158,10.600735,-8.763333,-4.770267,1.0512116,-10.816647,-22.276117,16.145586,-16.231823,6.8706536,-3.1281226,-2.9031904,7.3601646,-7.235586,18.256193,-52.133503,64.40198,-2.3710005,3.1570253,6.1615753,-12.09144,-31.798872,1.2592951,-6.035002,15.930558,6.578266,-30.6522
1,-0.26335400342941284,2.2106616497039795,77.5036392211914,0.25984663440276046,0.5343123011992479,-86.45100137244948,0.52380234,6.6384797,9.712352,10.602894,-8.761163,-4.7701664,1.050793,-10.806468,-22.27378,16.140612,-16.227358,6.870008,-3.1398218,-2.89424,7.355468,-7.2481785,18.256409,-52.14419,64.41136,-2.3364625,3.1683247,6.146591,-12.092748,-31.800064,1.2646343,-6.0379944,15.944621,6.580855,-30.660353
2,-0.27071690559387207,2.2119390964508057,77.50389099121094,0.2554761987777555,0.5334639034556876,-86.45650362101341,0.5198212,6.650188,9.71681,10.6092005,-8.761107,-4.7698846,1.0512054,-10.793738,-22.27147,16.131155,-16.220268,6.8695054,-3.1311545,-2.885256,7.3314924,-7.270911,18.256872,-52.217953,64.43529,-2.3405197,3.1810443,6.1292896,-12.108481,-31.806448,1.2926724,-6.0011406,15.9660635,6.578,-30.695538
3,-0.27525317668914795,2.214850664138794,77.50511932373047,0.2518307514013112,0.531747278150389,-86.46075299257834,0.51805896,6.660911,9.720086,10.612258,-8.75951,-4.7705665,1.0527337,-10.781986,-22.270134,16.122965,-16.214529,6.868022,-3.1283453,-2.877971,7.3101044,-7.2912297,18.25689,-52.28133,64.4579,-2.3372645,3.1922321,6.1149974,-12.124412,-31.80848,1.3136503,-5.96533,15.983554,6.5748906,-30.718071
4,-0.280816912651062,2.2179055213928223,77.50580596923828,0.24737550722202312,0.527186869485317,-86.46048480737787,0.518667,6.672018,9.718543,10.61601,-8.759008,-4.7740006,1.0587106,-10.770057,-22.272896,16.116615,-16.211447,6.8636985,-3.1301475,-2.8740895,7.2880144,-7.316037,18.256844,-52.355877,64.48632,-2.3301244,3.2009823,6.104111,-12.133936,-31.807674,1.336294,-5.9342513,15.996087,6.573628,-30.735727
5,-0.2894552946090698,2.217705249786377,77.50592803955078,0.24153466690453348,0.519809064362978,-86.45393286609544,0.520935,6.685084,9.710171,10.621755,-8.760723,-4.7819633,1.072089,-10.75589,-22.28184,16.107576,-16.209631,6.8544354,-3.1381948,-2.8727255,7.263713,-7.345862,18.257126,-52.445038,64.52203,-2.321556,3.2052493,6.098282,-12.141269,-31.804296,1.3624313,-5.900326,16.005505,6.571615,-30.745914
6,-0.2973563075065613,2.219295024871826,77.50552368164062,0.23469566556990878,0.5106839134038403,-86.44341181833823,0.5232928,6.699391,9.6972,10.6305065,-8.765089,-4.7931156,1.0882858,-10.741181,-22.294468,16.101072,-16.21063,6.841611,-3.1389418,-2.8760848,7.2298546,-7.383369,18.257246,-52.57141,64.57012,-2.3293464,3.2067924,6.0985675,-12.147172,-31.797195,1.3896544,-5.8494725,16.010279,6.5668654,-30.75498
7,-0.30488696694374084,2.217319965362549,77.5051498413086,0.2282958461632337,0.49905105614781536,-86.43132748931058,0.5285269,6.7126594,9.682522,10.638013,-8.768386,-4.804669,1.1083646,-10.727136,-22.30857,16.09365,-16.211916,6.828887,-3.149987,-2.878718,7.201997,-7.4226794,18.257685,-52.687878,64.6154,-2.3243623,3.2081246,6.096444,-12.153248,-31.79024,1.4194942,-5.808839,16.013918,6.5657134,-30.759325
8,-0.3113512098789215,2.2231781482696533,77.50470733642578,0.22442698431869262,0.4852946125835464,-86.4213854091613,0.5353657,6.722776,9.669974,10.647115,-8.771407,-4.8138056,1.1276169,-10.717106,-22.319721,16.090225,-16.214684,6.819729,-3.152822,-2.8844874,7.166749,-7.467594,18.257374,-52.832672,64.666405,-2.332593,3.2125263,6.090967,-12.159363,-31.779533,1.4517211,-5.7570148,16.017317,6.565046,-30.769386
9,-0.31391242146492004,2.2268130779266357,77.50426483154297,0.22423056754705858,0.46937816752310235,-86.41577072476242,0.5455693,6.7280455,9.661253,10.654813,-8.772265,-4.819681,1.1454719,-10.7125225,-22.32596,16.090712,-16.219053,6.8164043,-3.1562092,-2.8911233,7.1319246,-7.514496,18.255484,-52.981514,64.716354,-2.3398924,3.2214136,6.077551,-12.169646,-31.766634,1.4880745,-5.705024,16.0214,6.568216,-30.783398
