Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.2535538375377655,-0.6644514203071594,78.52371978759766,-1.1552673794943553,2.7195782800162065,-92.77970073214796,2.0192156,6.7609944,6.757065,9.144068,-12.481222,-5.277882,0.033670973,-1.8867477,-7.9543276,6.9631352,-10.854881,3.3296192,-0.3544199,2.8444507,8.794743,-1.7354846,13.106189,-35.509724,51.67811,-3.2292268,4.62345,13.4887,-11.048549,-9.158328,32.234318,63.304985,8.259952,2.4238672,-10.347646
1,0.2670728266239166,-0.6831358075141907,78.5150375366211,-1.1398591578531565,2.7941002706927294,-92.83457656564578,2.0703206,6.7265253,6.8428903,8.945063,-12.448356,-5.2838326,-0.039577693,-1.9100405,-7.8850493,6.9637756,-10.89621,3.3628643,-0.35973415,2.8198805,8.777893,-1.7206047,13.122119,-35.48536,51.645214,-3.208891,4.6481776,13.4672,-11.01648,-9.144898,32.206768,63.25097,8.231723,2.4134712,-10.352951
2,0.2810513377189636,-0.7072393894195557,78.50445556640625,-1.1261889441601978,2.86441424446883,-92.88801956530644,2.1250389,6.6943173,6.9283395,8.748809,-12.416759,-5.290937,-0.11125377,-1.9323106,-7.8184667,6.973606,-10.944265,3.394898,-0.36351064,2.8006213,8.762273,-1.7102593,13.12921,-35.46415,51.62099,-3.1841438,4.6759133,13.446399,-10.978472,-9.137386,32.177906,63.19305,8.208984,2.4031467,-10.357335
3,0.2926579415798187,-0.7303263545036316,78.49209594726562,-1.1101841030354016,2.9425484008230365,-92.94237842257613,2.1645935,6.6602354,7.0113826,8.5639305,-12.393128,-5.2971087,-0.1999207,-1.9574124,-7.7482867,6.9980965,-10.997483,3.4289474,-0.3689163,2.7822564,8.740697,-1.7047155,13.13303,-35.45062,51.60288,-3.1772926,4.6949925,13.431338,-10.946833,-9.132609,32.162045,63.138653,8.190725,2.3928478,-10.364825
4,0.3035031259059906,-0.7587544322013855,78.48178100585938,-1.080452392507046,3.041235704834275,-93.00544514598185,2.181724,6.6091266,7.0978117,8.375996,-12.3674555,-5.29813,-0.32204968,-1.9976014,-7.661427,7.0368943,-11.051033,3.4698024,-0.36763036,2.7389522,8.709671,-1.7110199,13.142322,-35.42569,51.591858,-3.1787803,4.696874,13.410638,-10.91153,-9.124391,32.14526,63.06475,8.142159,2.3865895,-10.374654
5,0.31712716817855835,-0.7774581909179688,78.46812438964844,-1.0436689243781614,3.1656293335946533,-93.07810469601543,2.1608498,6.5502157,7.1830783,8.204469,-12.354847,-5.295093,-0.48549366,-2.0463605,-7.557362,7.091948,-11.105596,3.5240426,-0.36788726,2.6899767,8.65936,-1.7201009,13.153206,-35.409306,51.584972,-3.2234554,4.66707,13.403788,-10.893817,-9.119673,32.168427,62.993553,8.095703,2.3824673,-10.396293
6,0.33031365275382996,-0.7923830151557922,78.45214080810547,-1.0006087868021893,3.308547725238109,-93.15821877735266,2.114429,6.483714,7.2687397,8.041322,-12.349874,-5.288773,-0.67951447,-2.1034203,-7.4405165,7.159813,-11.164756,3.5881305,-0.37402487,2.6322558,8.59722,-1.7259018,13.168665,-35.38699,51.574646,-3.2920642,4.6152315,13.402751,-10.883671,-9.118731,32.224064,62.9139,8.048162,2.3812683,-10.426337
7,0.3429965376853943,-0.812900722026825,78.43376922607422,-0.9507816482938295,3.4631427520409663,-93.2373510244484,2.0416977,6.4105196,7.350516,7.9024515,-12.353652,-5.2795916,-1.1465964,-2.2008889,-7.3098125,7.781319,-11.509036,3.6466203,-0.39844966,2.5662806,8.533265,-1.7220573,13.198334,-35.353157,51.545967,-3.375639,4.5628653,13.397059,-10.876554,-9.123574,32.30953,62.825584,8.003571,2.380791,-10.456989
8,0.355276495218277,-0.8283855319023132,78.4101333618164,-0.892384963824128,3.6224784040620617,-93.30688843304101,1.9402782,6.329931,7.424076,7.807289,-12.3690195,-5.267502,-1.7151163,-2.317168,-7.1802554,8.611188,-11.953307,3.6840851,-0.43267006,2.4907446,8.472607,-1.7256635,13.2351465,-35.326744,51.513294,-3.4684527,4.5309,13.379605,-10.861866,-9.13381,32.392567,62.73319,7.9554605,2.378203,-10.479656
9,0.36365363001823425,-0.8388521075248718,78.38663482666016,-0.8212601627191125,3.7959488380596715,-93.36697265931583,1.8000704,6.23707,7.489595,7.7504063,-12.389121,-5.251102,-2.3369658,-2.4486115,-7.050706,9.518077,-12.420652,3.69243,-0.48361936,2.4007647,8.411506,-1.7267603,13.288534,-35.298508,51.460922,-3.5504305,4.535308,13.345751,-10.842694,-9.150509,32.478012,62.63296,7.9147716,2.3696132,-10.493031
