Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.06825762987136841,2.372615337371826,78.171630859375,1.447530396686887,-3.947038086378536,-94.8689545493625,6.2042065,1.8963532,4.552831,8.161142,-10.123715,-3.612232,7.7764645,-3.7309792,-10.463671,7.7760615,-13.397844,3.3678527,-0.7971982,1.2158401,9.087239,3.0345256,13.686895,-35.169407,51.18163,-6.2978454,5.062909,15.423843,-5.1320634,-10.119963,23.101006,64.91076,9.68616,2.0989342,-13.215266
1,0.06302966177463531,2.3713059425354004,78.17559814453125,1.447576342895391,-3.965061757622394,-94.90114089850219,6.2314253,1.9024951,4.591527,8.160978,-10.124833,-3.614588,7.7873106,-3.7256532,-10.432966,7.7804356,-13.394967,3.3699887,-0.77919686,1.2264386,9.118754,3.0370376,13.6977005,-35.197357,51.151207,-6.4031067,5.0245137,15.430056,-5.150518,-10.118835,23.108547,64.92432,9.741906,2.1048608,-13.257038
2,0.06111471354961395,2.3810224533081055,78.17613220214844,1.447733927237689,-3.984570086877613,-94.93568002962932,6.2607846,1.9087921,4.633456,8.160053,-10.125084,-3.6170328,7.797587,-3.7205136,-10.399938,7.788046,-13.392805,3.373131,-0.75618744,1.2369998,9.149997,3.0281913,13.705826,-35.230236,51.136253,-6.518281,4.9799886,15.43429,-5.166388,-10.118608,23.114437,64.93807,9.801962,2.1089838,-13.302144
3,0.059798721224069595,2.383147954940796,78.17662048339844,1.4475864822510776,-4.000499230332761,-94.96579505863134,6.286274,1.9149885,4.6692715,8.158131,-10.12547,-3.619363,7.8067675,-3.7152262,-10.37121,7.7919545,-13.390234,3.3741827,-0.7160543,1.2445489,9.1718855,3.0149732,13.722566,-35.302837,51.122383,-6.643158,4.940593,15.448194,-5.1672955,-10.119019,23.112072,64.94375,9.866368,2.1149354,-13.342103
4,0.06254356354475021,2.3797478675842285,78.17793273925781,1.4466264876763995,-4.008222570886167,-94.9847218807564,6.299171,1.9216326,4.6890516,8.159149,-10.128317,-3.6214275,7.8084426,-3.7099454,-10.353385,7.798452,-13.393321,3.3699002,-0.6998378,1.2442995,9.186416,3.0089486,13.731413,-35.332016,51.115383,-6.7067537,4.9144254,15.455513,-5.172737,-10.119744,23.114613,64.94579,9.90786,2.1293194,-13.358395
5,0.057807594537734985,2.378070116043091,78.17617797851562,1.444424124640498,-4.002536784520422,-94.98797403076408,6.293913,1.9296929,4.685151,8.162296,-10.135038,-3.6227927,7.8007917,-3.7031243,-10.350758,7.8020997,-13.402461,3.3547635,-0.6920498,1.229804,9.181314,3.012821,13.749233,-35.362083,51.107826,-6.7248893,4.907313,15.471977,-5.1686964,-10.121497,23.126156,64.933914,9.944704,2.160465,-13.340622
6,0.0552685484290123,2.375014305114746,78.17363739013672,1.4380359900226007,-3.9874512900942993,-94.97951939996663,6.274247,1.9393228,4.6638365,8.169174,-10.145037,-3.6237814,7.7861958,-3.6952047,-10.359377,7.803646,-13.415132,3.3320494,-0.70726943,1.2069926,9.166088,3.031324,13.764261,-35.358803,51.096508,-6.689932,4.9150467,15.488655,-5.1679325,-10.122646,23.15099,64.91598,9.96996,2.204663,-13.297033
7,0.04999547451734543,2.369300127029419,78.17241668701172,1.4347011022081178,-3.971596748336956,-94.9678736133023,6.2547183,1.9472164,4.639448,8.173445,-10.153521,-3.6249132,7.771466,-3.688848,-10.371375,7.8064394,-13.428736,3.3116329,-0.72083735,1.1846299,9.148003,3.0376363,13.769085,-35.355564,51.104343,-6.6421957,4.92607,15.501448,-5.166773,-10.122796,23.166039,64.90483,9.9798565,2.2413962,-13.254248
8,0.043887410312891006,2.3655881881713867,78.1733169555664,1.4329998743350492,-3.962181569100739,-94.96016002348964,6.2448683,1.9512961,4.625175,8.174514,-10.157809,-3.6270573,7.766315,-3.6853893,-10.380249,7.803782,-13.434841,3.303287,-0.7386373,1.1687614,9.135821,3.0490222,13.775507,-35.352726,51.103992,-6.6156178,4.9337287,15.505906,-5.164745,-10.122942,23.187342,64.90375,9.981421,2.2540562,-13.244273
9,0.04061596840620041,2.3617746829986572,78.17256164550781,1.4373031118483115,-3.9625161721716893,-94.95898546765719,6.2498503,1.9483637,4.6264863,8.170143,-10.155693,-3.6303337,7.7729154,-3.6877928,-10.384496,7.797089,-13.431207,3.3148093,-0.7554873,1.1638253,9.134074,3.0598464,13.7803545,-35.357513,51.09668,-6.6217227,4.936051,15.49575,-5.163046,-10.1231365,23.206863,64.92164,9.965775,2.2258642,-13.284386
