Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.740378737449646,0.0530710332095623,78.17852783203125,0.022731450762772373,1.806618946472923,-177.052550028037,-0.9303791,8.205374,8.445683,12.777904,-12.639824,-9.818844,1.5221953,-6.692777,-9.454104,11.32969,-13.46818,7.930913,-3.8547323,0.37590572,5.506201,-11.011954,18.013245,-39.96007,72.26172,-1.0104274,-2.4062812,1.7260972,2.9811926,-15.520735,21.688524,56.86886,-10.99386,-1.9139818,-1.5971568
1,1.7304219007492065,0.05364278331398964,78.16102600097656,-0.003069508779094071,1.8577365180915475,-177.06348718096166,-1.114483,8.256864,8.412025,13.084275,-12.880104,-9.787707,1.3835527,-6.6729198,-9.426596,11.52324,-13.612871,7.9348507,-3.8730252,0.40278524,5.4765873,-11.111261,18.029383,-40.089878,72.234215,-1.0107797,-2.381459,1.5953845,2.969626,-15.537785,21.739618,56.871124,-11.024442,-1.9158001,-1.6036382
2,1.7213069200515747,0.056634437292814255,78.13719177246094,-0.03014280339989381,1.9084205970357688,-177.07361866363888,-1.2978015,8.309701,8.377,13.389144,-13.118487,-9.757587,1.2522409,-6.6505675,-9.401273,11.702191,-13.748395,7.942497,-3.8771439,0.42934364,5.4450083,-11.213668,18.050703,-40.252136,72.205956,-1.0307306,-2.3564384,1.4578881,2.9744232,-15.5588665,21.77997,56.860893,-11.054964,-1.9191264,-1.6099993
3,1.7144056558609009,0.05812501162290573,78.11255645751953,-0.05527811732878099,1.960132831507899,-177.08525216690717,-1.483309,8.360239,8.34346,13.698046,-13.361175,-9.725323,1.1068029,-6.6325297,-9.371788,11.909996,-13.902194,7.942445,-3.879486,0.45396262,5.4184227,-11.324882,18.075317,-40.411472,72.17337,-1.0465466,-2.3318028,1.3306601,2.979335,-15.581281,21.81094,56.84551,-11.084148,-1.9215646,-1.6106735
4,1.7083866596221924,0.055817339569330215,78.08428955078125,-0.07442475201320649,2.0143735272505783,-177.1007972193488,-1.6751229,8.404884,8.31419,14.018159,-13.615486,-9.687847,0.92554146,-6.625645,-9.331625,12.188883,-14.100952,7.923359,-3.8833919,0.4719702,5.4004946,-11.457715,18.103508,-40.55678,72.13854,-1.0500063,-2.30858,1.2305897,2.9741716,-15.604466,21.832413,56.829353,-11.104143,-1.9208288,-1.600417
5,1.6967054605484009,0.05331869050860405,78.05416870117188,-0.0916073031762355,2.0744755804251955,-177.11977321082264,-1.8861436,8.448871,8.287527,14.367744,-13.89069,-9.647323,0.69878757,-6.626646,-9.278662,12.552244,-14.355723,7.880914,-3.893539,0.4878641,5.387535,-11.614238,18.129784,-40.677895,72.10376,-1.0286838,-2.2863517,1.1616958,2.9501314,-15.623867,21.846018,56.818542,-11.113726,-1.9155965,-1.5701802
6,1.6877796649932861,0.05381189286708832,78.02489471435547,-0.10665876761937625,2.138549592710863,-177.14136169907562,-2.1098204,8.491824,8.262917,14.73628,-14.179768,-9.604449,0.43895143,-6.633831,-9.216022,12.977048,-14.650608,7.821613,-3.905349,0.50109065,5.3785467,-11.790983,18.157606,-40.793568,72.06888,-0.9994394,-2.264932,1.1152351,2.9166126,-15.643109,21.849888,56.807533,-11.116563,-1.9072664,-1.5253185
7,1.6747102737426758,0.054120149463415146,77.99618530273438,-0.11130708082539638,2.2010698886847435,-177.1671680612969,-2.3217487,8.521145,8.24459,15.091107,-14.46725,-9.55366,0.15770015,-6.6558642,-9.145403,13.4527855,-14.973797,7.750147,-3.9061048,0.5030026,5.385119,-11.985216,18.204357,-40.92469,72.017944,-0.98578215,-2.2448835,1.0874692,2.8960385,-15.671929,21.8365,56.774246,-11.110831,-1.8979037,-1.4798805
8,1.6653541326522827,0.05122613534331322,77.96553039550781,-0.09627507734104947,2.256097177249665,-177.19861755500085,-2.4971316,8.524099,8.236747,15.3987665,-14.737066,-9.489251,-0.12985973,-6.7020893,-9.06866,13.962127,-15.313073,7.671559,-3.9122806,0.48320705,5.4080305,-12.193463,18.253147,-41.034473,71.977585,-0.97421545,-2.2295716,1.0798806,2.8656106,-15.697878,21.833405,56.752712,-11.095756,-1.8886371,-1.4584128
9,1.6531180143356323,0.04964493587613106,77.9355697631836,-0.054513676790171814,2.3029089142319137,-177.23600023903663,-2.6281636,8.490454,8.241268,15.643936,-14.983242,-9.408435,-0.43825638,-6.783024,-8.983955,14.53431,-15.677346,7.5818143,-3.9159338,0.4342621,5.4558516,-12.420623,18.326288,-41.159958,71.92873,-0.9943108,-2.2235205,1.0960975,2.835382,-15.72961,21.837475,56.725403,-11.061721,-1.880514,-1.4715852
10,1.6383556127548218,0.046815965324640274,77.90448760986328,0.008167870463419463,2.3444542087380844,-177.27854041915234,-2.7276947,8.428507,8.255993,15.844687,-15.213747,-9.314564,-0.7681577,-6.891496,-8.8904915,15.164566,-16.068354,7.480241,-3.9229527,0.36108515,5.517638,-12.667924,18.40041,-41.27313,71.89348,-1.0153583,-2.2250957,1.1374134,2.789759,-15.756288,21.853415,56.71464,-11.012006,-1.8722184,-1.5110314
11,1.6152660846710205,0.049402978271245956,77.8763427734375,0.08201467650112525,2.380660351277831,-177.32661366099344,-2.8035698,8.353093,8.279299,16.02207,-15.435806,-9.2108965,-1.0901024,-7.0103207,-8.790883,15.796215,-16.46318,7.3765817,-3.9288847,0.27351856,5.5911236,-12.922396,18.481764,-41.367985,71.85869,-1.0395445,-2.2231088,1.1899475,2.748022,-15.77864,21.862352,56.703754,-10.965559,-1.8632685,-1.551884
12,1.587568998336792,0.056369051337242126,77.84748840332031,0.1556430639247101,2.411063956540098,-177.38049317546356,-2.8582244,8.279244,8.310129,16.18536,-15.653853,-9.101126,-1.3754807,-7.1213083,-8.688622,16.374727,-16.840572,7.280406,-3.933965,0.18168794,5.6691723,-13.174581,18.56323,-41.429344,71.829124,-1.0616434,-2.207436,1.2418841,2.7185564,-15.793515,21.852694,56.692795,-10.9412365,-1.8526845,-1.5723451
13,1.5553654432296753,0.06500335037708282,77.82250213623047,0.23270224898195815,2.431068506323772,-177.4425210034206,-2.8838663,8.203159,8.351301,16.331505,-15.864286,-8.983114,-1.6184635,-7.228073,-8.581905,16.898449,-17.198183,7.1993084,-3.937381,0.08286448,5.7538533,-13.439282,18.633392,-41.469643,71.82847,-1.0906078,-2.1704063,1.2871293,2.7016008,-15.79807,21.811956,56.68469,-10.95525,-1.8366868,-1.5617145
14,1.5134830474853516,0.07099245488643646,77.80140686035156,0.3170732512793376,2.442308621115949,-177.51172828656925,-2.8803506,8.118986,8.402497,16.454233,-16.065962,-8.8560915,-1.8312283,-7.3369794,-8.470469,17.38731,-17.545889,7.126616,-3.9342327,-0.03327873,5.8546734,-13.687907,18.729948,-41.46243,71.79834,-1.09462,-2.1148312,1.328586,2.6983123,-15.792437,21.738783,56.667545,-10.998094,-1.8178445,-1.5309684
15,1.463358759880066,0.07732264697551727,77.7764892578125,0.39712415330352696,2.454130403094539,-177.5835528539155,-2.8717945,8.041884,8.455969,16.578642,-16.26975,-8.725339,-2.0220094,-7.4349737,-8.359125,17.839647,-17.882626,7.0503035,-3.935377,-0.14780118,5.9538503,-13.936417,18.828362,-41.43859,71.773155,-1.1190066,-2.05977,1.381506,2.6975083,-15.779572,21.6748,56.659122,-11.035233,-1.8021724,-1.4987881
