Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.172565221786499,-0.7568952441215515,72.8519287109375,0.36459503499009904,-2.2199540721075364,17.91814995514926,-26.736038,30.253563,10.393666,86.675446,-17.610037,-5.862462,-6.3381796,-18.782793,-36.87636,51.488144,-35.851887,3.1732678,1.0949279,-1.4550729,20.031996,5.921696,20.632597,-16.092525,55.037315,9.598997,-7.157116,12.15429,-8.711168,-14.491322,20.631191,29.725412,-14.062365,-6.0361156,-13.123157
1,-2.9343597888946533,-1.5257397890090942,72.56484985351562,0.19151079389661602,-2.4272591693040075,17.837337788306588,-25.462812,30.538847,11.1891575,88.95933,-18.518167,-5.290504,-7.4105425,-18.3426,-36.837822,52.53139,-36.127274,2.1030095,0.5207418,-1.2771944,20.301811,5.489034,20.740213,-15.931964,54.5686,9.901685,-7.114426,12.477411,-8.295599,-14.608292,20.580662,30.088577,-13.921978,-6.1835375,-13.427151
2,-3.703878879547119,-2.281877040863037,72.30180358886719,0.010063140048324645,-2.642271911242095,17.75281734568928,-24.18992,30.835508,11.935774,91.3252,-19.4914,-4.688001,-8.495341,-17.904016,-36.79393,53.63722,-36.4461,1.024676,-0.035812713,-1.0806917,20.612778,5.059342,20.868475,-15.773735,54.059597,10.195772,-7.077824,12.789278,-7.8248334,-14.807984,20.53084,30.35437,-13.746308,-6.339226,-13.722115
3,-4.467537879943848,-3.013786792755127,72.08155059814453,-0.1577135306400559,-2.8458265972612726,17.676197264568312,-22.815866,31.065424,12.756945,93.50562,-20.390017,-4.139653,-9.534653,-17.456705,-36.78342,54.617195,-36.694542,-0.04916597,-0.5815887,-0.89173573,20.909126,4.6219254,21.009201,-15.659082,53.542057,10.476315,-7.028557,13.088565,-7.2680535,-15.0521345,20.432007,30.521276,-13.561157,-6.4780364,-14.009488
4,-5.20509672164917,-3.726583242416382,71.91585540771484,-0.2910896107758627,-3.0191936326530806,17.618953252448975,-21.250832,31.146826,13.776493,95.236046,-21.06806,-3.7274778,-10.4754505,-16.994444,-36.84693,55.292953,-36.7516,-1.1040009,-1.1167943,-0.73737204,21.138273,4.169868,21.16935,-15.632179,53.037872,10.733945,-6.94932,13.369066,-6.582899,-15.3083315,20.230114,30.57256,-13.388609,-6.5746975,-14.289303
5,-5.929612159729004,-4.428928852081299,71.80042266845703,-0.38369320023115405,-3.1702468922644513,17.626211601907265,-19.452944,31.106203,15.074073,96.493935,-21.490147,-3.4298112,-11.279669,-16.550638,-37.045395,55.642582,-36.606514,-2.1220803,-1.6642326,-0.6301641,21.2939,3.6880739,21.36326,-15.732501,52.5412,10.966726,-6.8066216,13.6232195,-5.731156,-15.552195,19.875563,30.484764,-13.262091,-6.6058745,-14.55481
6,-6.658801555633545,-5.1436262130737305,71.73594665527344,-0.4468035268398529,-3.3049842692005815,17.67706561601729,-17.491247,30.955723,16.563158,97.40395,-21.721601,-3.213884,-11.988354,-16.124071,-37.34061,55.755646,-36.309746,-3.1124532,-2.2115462,-0.5624476,21.395391,3.1873367,21.5924,-15.932139,52.044865,11.174926,-6.6191835,13.855729,-4.7582803,-15.772115,19.404163,30.30096,-13.17085,-6.591546,-14.809324
7,-7.3873372077941895,-5.861841678619385,71.73362731933594,-0.48584378836266884,-3.402017133962269,17.683276868759886,-15.463192,30.58748,18.114197,97.92102,-21.75908,-3.1477191,-12.66467,-15.655862,-37.62968,55.618053,-35.8385,-4.098194,-2.7127833,-0.52795976,21.429361,2.7042649,21.843218,-16.16551,51.56345,11.35544,-6.448143,14.079097,-3.7512307,-15.962819,18.898256,30.101284,-13.06501,-6.5713315,-15.068906
8,-8.12476921081543,-6.5633955001831055,71.78392791748047,-0.5062759728326733,-3.4391733458495106,17.557210976140443,-13.481544,29.897932,19.593134,97.99899,-21.597609,-3.3021195,-13.369538,-15.084175,-37.813534,55.216274,-35.172245,-5.1036496,-3.1270566,-0.5172302,21.380835,2.2745235,22.095097,-16.360361,51.118347,11.510247,-6.3547215,14.308544,-2.8019176,-16.125002,18.445147,29.969591,-12.895868,-6.5847425,-15.350682
9,-8.847009658813477,-7.259511947631836,71.88648223876953,-0.5009558835163392,-3.419589866504981,17.22191948674456,-11.467717,28.913858,21.117466,97.60505,-21.187876,-3.701471,-14.11037,-14.365637,-37.83313,54.5122,-34.321133,-6.167338,-3.408828,-0.5289601,21.235655,1.9084542,22.336939,-16.510757,50.74416,11.69299,-6.3767295,14.556208,-1.9355799,-16.262375,18.09236,29.963291,-12.6031685,-6.65374,-15.700218
