Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.09481318295001984,2.7078299522399902,78.1950454711914,0.5136176565194189,-7.81566846028353,-85.77465495850694,7.1869264,3.342973,3.8137298,12.225469,-11.253646,-4.698756,11.445261,-8.004819,-16.913708,9.162632,-12.396425,6.5783687,-3.360295,0.24243067,12.520951,-10.083719,10.816054,-55.328762,63.298153,-3.6277864,-1.257263,8.773498,7.5310163,-4.6411276,9.234827,32.087013,112.99987,-38.991756,-17.97317
1,-0.09016048908233643,2.702592134475708,78.18826293945312,0.4829495215362398,-7.7491553996862805,-85.73637220564704,6.9687777,3.37154,3.758845,12.522644,-11.399676,-4.683092,11.381999,-7.9796805,-16.951412,9.168298,-12.410319,6.579188,-3.3733315,0.29265514,12.455791,-10.05523,10.780308,-55.244614,63.28825,-3.5904262,-1.2699345,8.809188,7.5361,-4.6314034,9.153223,32.093693,112.99987,-38.927433,-17.926094
2,-0.08237013220787048,2.694894790649414,78.18135833740234,0.45476265595410914,-7.686183533200338,-85.70012352383709,6.764102,3.3956602,3.7062273,12.801379,-11.537347,-4.667159,11.322024,-7.958775,-16.987354,9.176242,-12.425905,6.580621,-3.3881621,0.33748648,12.394133,-10.024967,10.744609,-55.15635,63.275482,-3.548675,-1.2794421,8.845262,7.5309634,-4.6156116,9.067948,32.118343,112.99987,-38.850945,-17.867968
3,-0.07594854384660721,2.6914172172546387,78.17316436767578,0.42193263934213054,-7.617782479576495,-85.66054969949306,6.5375323,3.4260457,3.6491768,13.11054,-11.688721,-4.6502056,11.256434,-7.932248,-17.026253,9.183172,-12.4404955,6.5812073,-3.3980253,0.38557026,12.325832,-9.981555,10.730747,-55.08873,63.234272,-3.5283265,-1.2870557,8.888049,7.556124,-4.606868,9.008064,32.080948,112.99987,-38.828697,-17.850887
4,-0.06618130952119827,2.689316987991333,78.16361999511719,0.3702184160134856,-7.532892693894796,-85.61102271977136,6.2414355,3.4782517,3.578532,13.519157,-11.885352,-4.632113,11.176396,-7.8850365,-17.074478,9.181767,-12.449532,6.578679,-3.4238367,0.45495883,12.254728,-9.9407625,10.711257,-54.959816,63.19585,-3.4664278,-1.2980783,8.918511,7.5301566,-4.5916963,8.909992,32.11787,112.99987,-38.752026,-17.788248
5,-0.05523102730512619,2.6902081966400146,78.15084838867188,0.3006466647999951,-7.427782330518463,-85.54941099452984,5.8660727,3.5513356,3.4916272,14.035111,-12.129749,-4.611441,11.076769,-7.817789,-17.133345,9.172785,-12.451902,6.5729055,-3.4505646,0.5389045,12.165883,-9.896094,10.694678,-54.823387,63.15327,-3.4088504,-1.3109311,8.951739,7.514042,-4.5772977,8.825842,32.115902,112.99987,-38.727592,-17.755672
6,-0.042800188064575195,2.6928462982177734,78.13700103759766,0.2177632908363025,-7.307915382553329,-85.47896894853945,5.433283,3.6394575,3.3924916,14.629199,-12.408989,-4.589052,10.963105,-7.7360177,-17.200047,9.159281,-12.450334,6.5647926,-3.4873316,0.6346597,12.066466,-9.84728,10.679496,-54.66213,63.10809,-3.3418915,-1.3258947,8.983532,7.486317,-4.5645323,8.745684,32.116062,112.99987,-38.717678,-17.727362
7,-0.03069501556456089,2.6947808265686035,78.12279510498047,0.1245797685377011,-7.182682949451314,-85.4053304999326,4.970878,3.738818,3.28743,15.2707,-12.710307,-4.5663815,10.844874,-7.6431117,-17.270605,9.14298,-12.448293,6.555404,-3.516807,0.7419338,11.963767,-9.794006,10.6697235,-54.508778,63.049973,-3.2867165,-1.3405346,9.019932,7.476154,-4.5573874,8.670729,32.076347,112.99987,-38.737965,-17.727098
8,-0.019564153626561165,2.694185495376587,78.10443878173828,0.023156603048208723,-7.061602632729477,-85.33346124055068,4.5072722,3.8456626,3.182171,15.928383,-13.020459,-4.5447726,10.729383,-7.5434833,-17.341274,9.132668,-12.45323,6.545859,-3.5440185,0.857895,11.866267,-9.734659,10.663676,-54.358078,62.98014,-3.2423844,-1.3550268,9.061352,7.4656396,-4.55437,8.599112,32.02154,112.99987,-38.772675,-17.753088
9,-0.006101446226239204,2.6915297508239746,78.08568572998047,-0.08763282990803102,-6.943081802644126,-85.26027877226569,4.0324545,3.963337,3.0731156,16.616873,-13.344533,-4.525668,10.61712,-7.433334,-17.416727,9.12416,-12.464326,6.5352073,-3.589511,0.9875595,11.779478,-9.666139,10.657762,-54.16789,62.893997,-3.192446,-1.3693241,9.103693,7.429059,-4.5561647,8.530442,31.970388,112.99987,-38.815582,-17.811571
10,0.006943610031157732,2.6922216415405273,78.06196594238281,-0.20901741658593476,-6.822805873482913,-85.18491206646459,3.5358458,4.092061,2.958753,17.346807,-13.687044,-4.5080204,10.5022545,-7.3126197,-17.496687,9.119286,-12.480943,6.5231795,-3.6179032,1.1279563,11.688961,-9.595602,10.655814,-54.010452,62.797546,-3.1731398,-1.382962,9.157256,7.4197145,-4.561486,8.462945,31.864775,112.99987,-38.897987,-17.916492
11,0.02648410201072693,2.692967414855957,78.03761291503906,-0.3348676358449341,-6.708665491582884,-85.11457165808524,3.0511491,4.224036,2.8480914,18.072296,-14.031694,-4.4897356,10.393894,-7.1884604,-17.571577,9.116142,-12.500452,6.5122375,-3.6500013,1.2753338,11.608036,-9.517534,10.656644,-53.838345,62.689133,-3.1489644,-1.3969358,9.209697,7.4017286,-4.5755696,8.404069,31.762772,112.99987,-38.97921,-18.020967
12,0.04737485572695732,2.6933212280273438,78.00977325439453,-0.4564742903575681,-6.6079137633748655,-85.05597162182042,2.6050727,4.3524323,2.749493,18.760376,-14.365352,-4.4686913,10.293591,-7.069825,-17.631649,9.127791,-12.526533,6.5046463,-3.6712627,1.4224862,11.534429,-9.431211,10.661163,-53.684025,62.573524,-3.126179,-1.4113103,9.2613945,7.3867517,-4.598852,8.359053,31.671421,112.99987,-39.05122,-18.098684
