Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.66843318939209,-0.3737931549549103,78.14298248291016,-0.35998949760767396,-5.466992284864349,2.492253294945847,5.5521307,6.478012,3.9849055,12.303164,-11.754514,-7.856252,6.3350263,-7.0789843,-8.41034,10.9932165,-12.889553,7.0311728,-2.5290747,-1.3331887,11.18047,-13.375252,11.932964,-55.903336,66.905754,-3.176249,-0.10333199,9.543589,-8.680028,-10.212395,38.10505,64.748375,-7.7824197,-6.3074903,5.0101523
1,-2.7067761421203613,-0.36104464530944824,78.14012908935547,-0.3652022066484429,-5.435310481249942,2.4503909524131195,5.386608,6.485762,4.013935,12.526715,-11.839666,-7.8343377,6.145657,-7.0945616,-8.344607,11.213021,-12.947318,7.0305905,-2.5379465,-1.3189253,11.158076,-13.392711,11.920429,-55.911324,66.92375,-3.1987782,-0.11461001,9.559596,-8.725783,-10.214468,38.10308,64.744606,-7.8066344,-6.328378,4.950857
2,-2.750033378601074,-0.3439925014972687,78.1344985961914,-0.3704251833719592,-5.405231759200316,2.4118528342705994,5.2246737,6.493218,4.040864,12.747116,-11.924082,-7.8130383,5.963143,-7.1098022,-8.282868,11.426671,-13.003818,7.030159,-2.5471067,-1.3037543,11.13588,-13.407462,11.908418,-55.922737,66.937325,-3.2241795,-0.124943815,9.57744,-8.769135,-10.216998,38.104973,64.73988,-7.8382425,-6.352077,4.8843894
3,-2.791832685470581,-0.32718127965927124,78.12769317626953,-0.3752806226048498,-5.372551668147768,2.366819425452311,5.0563803,6.500851,4.071687,12.974091,-12.010263,-7.79037,5.768266,-7.125283,-8.213302,11.651614,-13.062468,7.029672,-2.557336,-1.2895443,11.114793,-13.420727,11.902695,-55.92756,66.94454,-3.2451239,-0.13473178,9.592347,-8.816702,-10.218588,38.10131,64.73464,-7.854335,-6.3694997,4.8316617
4,-2.83305025100708,-0.30721819400787354,78.12059783935547,-0.3798057540299095,-5.338048506468846,2.30638466013929,4.8822956,6.509362,4.1122007,13.207177,-12.096177,-7.7644167,5.5570765,-7.1386595,-8.126211,11.885601,-13.117225,7.028745,-2.5675962,-1.2763809,11.096016,-13.432774,11.900004,-55.924656,66.94974,-3.2590613,-0.14319824,9.602245,-8.86572,-10.219485,38.088524,64.72322,-7.8261523,-6.370382,4.810987
5,-2.8859941959381104,-0.2911006808280945,78.11279296875,-0.3798702851111198,-5.2883923813772125,2.220649569652958,4.679524,6.5153456,4.1671715,13.467704,-12.191862,-7.732747,5.2840443,-7.1571765,-8.007572,12.186654,-13.195546,7.0255046,-2.5603564,-1.2598284,11.079866,-13.45755,11.892828,-55.899845,66.954475,-3.2529926,-0.152607,9.601395,-8.940855,-10.221389,38.034363,64.72179,-7.738686,-6.3465257,4.8588634
6,-2.9403235912323,-0.2663460671901703,78.10419464111328,-0.3794307611052028,-5.240862643529317,2.119165841786388,4.483188,6.521564,4.2316003,13.721924,-12.282883,-7.697446,5.006221,-7.172539,-7.872063,12.485465,-13.266599,7.0203624,-2.5397034,-1.2426947,11.073663,-13.488435,11.881277,-55.859234,66.96379,-3.2275915,-0.1616599,9.592603,-9.016077,-10.223754,37.946472,64.71263,-7.6157417,-6.302984,4.9526052
7,-2.9975898265838623,-0.24405717849731445,78.09410095214844,-0.37907793650976995,-5.183844460951917,2.012112149933342,4.2580147,6.529855,4.300099,14.007081,-12.384682,-7.660672,4.6967072,-7.188514,-7.727785,12.813539,-13.344178,7.0181866,-2.5286558,-1.2271777,11.066101,-13.526383,11.873553,-55.822426,66.97347,-3.2023642,-0.16903166,9.580758,-9.09673,-10.224702,37.85258,64.69904,-7.4886913,-6.260988,5.0409627
8,-3.074212074279785,-0.22322821617126465,78.08332824707031,-0.38046360037275034,-5.111461439781238,1.9115333460468686,3.9802566,6.54226,4.365973,14.348509,-12.50707,-7.624717,4.3480706,-7.2063394,-7.586399,13.176864,-13.430087,7.0236998,-2.5369341,-1.211808,11.060131,-13.583075,11.868495,-55.802155,66.983185,-3.1802158,-0.17102474,9.567622,-9.18731,-10.224449,37.732548,64.68136,-7.4158597,-6.2428093,5.079858
9,-3.1617655754089355,-0.20603574812412262,78.06800079345703,-0.38177671344633196,-5.02402184842753,1.8203534653933968,3.653692,6.556194,4.429701,14.739375,-12.650447,-7.591659,3.9614375,-7.2289395,-7.449096,13.576717,-13.527275,7.04113,-2.5464144,-1.1988189,11.0595045,-13.670567,11.8656025,-55.825397,66.992584,-3.1664078,-0.16134115,9.553294,-9.275149,-10.221807,37.549545,64.65174,-7.4436703,-6.264148,5.0529327
