Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.378692150115967,0.4771464169025421,77.70030212402344,0.27443580031262077,-0.612108208346384,0.9429625142838514,6.743948,6.4904323,19.7973,9.401421,-14.797515,-7.7764115,4.9067073,-9.090077,-23.53415,11.815709,-14.122136,7.5952535,-1.0240437,0.47164786,4.071853,10.021939,17.024576,-24.31678,54.956623,5.363969,3.253439,-0.9209628,0.6145855,-19.206135,29.467976,60.79556,11.578624,9.280795,-1.5112964
1,-2.374086618423462,0.48615801334381104,77.69210052490234,0.21281532821174634,-0.5628114372441329,0.9714626787549198,6.4235754,6.643267,19.712847,9.985779,-15.129302,-7.724162,4.8732195,-9.021171,-23.562721,11.796668,-14.130792,7.603456,-1.0403312,0.52693397,4.07002,10.009409,17.029644,-24.30881,54.924362,5.3189383,3.2396822,-0.8238834,0.59271663,-19.211437,29.455465,60.819267,11.551432,9.286516,-1.510643
2,-2.370936632156372,0.49453043937683105,77.67791748046875,0.15340570573057594,-0.5147708828720831,0.9999614971721603,6.1144295,6.7906213,19.62815,10.547776,-15.449857,-7.670575,4.841503,-8.954153,-23.590738,11.77662,-14.13878,7.610656,-1.0576546,0.5787816,4.067958,9.996475,17.033503,-24.301935,54.89604,5.2745447,3.2235801,-0.72268766,0.56913495,-19.213734,29.444387,60.847412,11.520687,9.291831,-1.5099818
3,-2.366386890411377,0.5023989081382751,77.65757751464844,0.08608554529333579,-0.46323788123431103,1.0293664395175743,5.782167,6.952956,19.538635,11.150498,-15.79094,-7.6180487,4.805828,-8.87908,-23.621426,11.756445,-14.147146,7.619173,-1.0746433,0.6392918,4.065716,9.983325,17.037832,-24.289728,54.86181,5.231793,3.211979,-0.63016224,0.54172057,-19.214691,29.427927,60.877365,11.492713,9.297064,-1.5091009
4,-2.3682243824005127,0.5094416737556458,77.63375854492188,0.0016467620885238818,-0.40387500965994727,1.060238512484914,5.3930564,7.1498103,19.439688,11.858429,-16.183876,-7.5687594,4.759802,-8.786948,-23.657461,11.738946,-14.158237,7.6313357,-1.0908209,0.71719533,4.0673575,9.971472,17.045431,-24.258356,54.807434,5.197882,3.2117238,-0.56088585,0.5103067,-19.21348,29.395798,60.900887,11.468204,9.303472,-1.5076431
5,-2.372982978820801,0.5198681950569153,77.60675811767578,-0.10753215581088715,-0.33061627390859105,1.0947619660543,4.920129,7.3958583,19.324755,12.710718,-16.647505,-7.5256634,4.6961164,-8.669523,-23.703024,11.724115,-14.173288,7.649663,-1.108675,0.82368106,4.0606623,9.957455,17.047846,-24.208654,54.740505,5.1657505,3.2287714,-0.5127744,0.4737881,-19.211092,29.355988,60.92185,11.4593315,9.311482,-1.5116673
6,-2.3782029151916504,0.5341479778289795,77.57857513427734,-0.23583188884920955,-0.2473308726556192,1.1320470814178745,4.3838925,7.678899,19.196178,13.672686,-17.162722,-7.48717,4.619582,-8.532455,-23.755968,11.710736,-14.190649,7.6721325,-1.1274431,0.9521238,4.0491557,9.941476,17.0474,-24.145061,54.663273,5.135872,3.257838,-0.4808692,0.4345707,-19.208294,29.308706,60.938835,11.460679,9.320849,-1.5185393
7,-2.3802900314331055,0.547152578830719,77.549072265625,-0.37366870618628734,-0.16401977081839747,1.16804091377558,3.8436794,7.971754,19.06552,14.64644,-17.689796,-7.448985,4.543383,-8.385783,-23.80913,11.697859,-14.208704,7.693983,-1.1531446,1.089041,4.053245,9.928069,17.043295,-24.049768,54.573067,5.130036,3.2891686,-0.47096154,0.3824046,-19.202002,29.248259,60.95789,11.451294,9.330008,-1.5189917
8,-2.380737781524658,0.562961995601654,77.51873016357422,-0.510430475251197,-0.09036717841966022,1.1990728454534956,3.357856,8.247289,18.944942,15.536089,-18.190039,-7.40641,4.4806614,-8.240645,-23.855963,11.6835785,-14.224376,7.7108564,-1.1713296,1.2279595,4.054623,9.915311,17.04004,-24.003544,54.495464,5.105113,3.3164184,-0.46775854,0.33264026,-19.198795,29.213413,60.9964,11.463142,9.334898,-1.5184596
9,-2.3780415058135986,0.5778085589408875,77.48700714111328,-0.6446404775252113,-0.028941882380760123,1.225704402945963,2.9368453,8.501862,18.83676,16.324785,-18.65947,-7.3583517,4.431142,-8.099487,-23.894808,11.676228,-14.240953,7.718513,-1.1875952,1.3640337,4.072142,9.902461,17.03622,-23.972723,54.420883,5.08366,3.3313842,-0.4794682,0.27890027,-19.195732,29.180838,61.045822,11.478589,9.339587,-1.5099878
10,-2.3702096939086914,0.6017417311668396,77.45673370361328,-0.7807411522585568,0.025360875718961663,1.2494794581216089,2.5526917,8.747995,18.735586,17.057762,-19.115726,-7.3072896,4.3887405,-7.9577336,-23.929062,11.674884,-14.258848,7.720508,-1.1992912,1.5030261,4.098383,9.887207,17.031492,-23.959784,54.349506,5.060672,3.3404713,-0.5044681,0.22344658,-19.192541,29.148504,61.104687,11.501015,9.343722,-1.4972028
11,-2.3554930686950684,0.6225064992904663,77.42743682861328,-0.9169080746438037,0.07353981517925078,1.266762258530134,2.2008522,8.984683,18.642765,17.747084,-19.558596,-7.253108,4.3571057,-7.8168564,-23.957743,11.668064,-14.274629,7.723841,-1.2056893,1.6416968,4.127567,9.874204,17.028168,-23.964773,54.28122,5.0388155,3.3548625,-0.54303557,0.16853903,-19.191137,29.129759,61.173286,11.525928,9.341149,-1.4811486
12,-2.34062123298645,0.6552601456642151,77.39850616455078,-1.0516779431996226,0.11665791506722777,1.2741619301348617,1.8767865,9.211562,18.559574,18.404238,-19.988583,-7.1957474,4.3403606,-7.6773157,-23.98038,11.642737,-14.2842655,7.735398,-1.2032757,1.7799449,4.1608515,9.864435,17.023169,-23.983961,54.213856,5.0264983,3.385711,-0.5951921,0.107050285,-19.190725,29.1202,61.258514,11.5379925,9.325887,-1.4595547
13,-2.3220551013946533,0.6876463294029236,77.36835479736328,-1.184268031191638,0.15236858356832855,1.2667216523234,1.5875624,9.427297,18.489944,19.02326,-20.401262,-7.1324587,4.340882,-7.540057,-23.993956,11.595472,-14.284093,7.754584,-1.1914828,1.9132911,4.198195,9.860359,17.018562,-24.008863,54.14849,5.0451326,3.4448977,-0.66976994,0.047250524,-19.192743,29.132753,61.355667,11.533774,9.285586,-1.4313756
14,-2.301579236984253,0.7238437533378601,77.33570098876953,-1.3177751278209635,0.18134648923815566,1.248207040107306,1.3287044,9.637103,18.430817,19.60888,-20.802187,-7.0645022,4.35982,-7.400065,-24.000921,11.523628,-14.272559,7.7780414,-1.176604,2.0542212,4.2350674,9.866398,17.011423,-24.055317,54.083126,5.0693297,3.5240068,-0.75771433,-0.0363427,-19.198225,29.179482,61.494743,11.534957,9.225439,-1.3958235
15,-2.2736196517944336,0.760249674320221,77.30416870117188,-1.4473791428525646,0.20786827851661074,1.2261736006546045,1.0919296,9.835557,18.378113,20.162947,-21.19306,-6.9958534,4.386015,-7.266212,-24.004303,11.447467,-14.263831,7.810583,-1.1693461,2.1921437,4.270905,9.882519,16.999022,-24.105597,54.01848,5.0828824,3.6014924,-0.8513715,-0.11708643,-19.209656,29.24981,61.628574,11.540556,9.171524,-1.3633399
16,-2.2403500080108643,0.8069449067115784,77.27362823486328,-1.5721212273570262,0.23707565858900717,1.2089478757768373,0.86273223,10.023023,18.325554,20.698906,-21.581213,-6.931467,4.414814,-7.139856,-24.008907,11.371922,-14.264683,7.856143,-1.1762037,2.33026,4.3072867,9.902963,16.97437,-24.152641,53.95665,5.06049,3.6558638,-0.9383178,-0.19114518,-19.234516,29.32363,61.735794,11.550904,9.148618,-1.337329
17,-2.201744318008423,0.8498567938804626,77.2452392578125,-1.6922669905459897,0.26769640680030493,1.1987654302566544,0.6468597,10.198909,18.275276,21.209358,-21.967438,-6.877861,4.458226,-7.0156837,-24.01674,11.2761,-14.2696295,7.9187546,-1.1831536,2.4579048,4.346134,9.929365,16.957632,-24.208584,53.89335,4.982445,3.6760528,-1.0133044,-0.25605813,-19.254889,29.383455,61.823235,11.55269,9.171981,-1.3181392
18,-2.1586365699768066,0.8929757475852966,77.2164077758789,-1.8078155133895917,0.29793791629399236,1.1911177019135262,0.44768602,10.3634205,18.229563,21.693495,-22.349636,-6.830888,4.514924,-6.8948035,-24.024881,11.163277,-14.276628,7.9951997,-1.1925275,2.5786786,4.386406,9.965682,16.944994,-24.272493,53.82663,4.86584,3.6756797,-1.0831283,-0.31856358,-19.27306,29.444595,61.902267,11.550713,9.225159,-1.3033494
