Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.4920043647289276,2.315051317214966,76.04365539550781,-0.7482672428703707,-2.0534232310442935,-99.25687512135508,-3.3692298,19.767435,-3.4084108,67.03674,-6.4039383,5.68597,-19.543797,-12.197673,-7.1159573,33.299206,-8.339419,8.301007,-4.173292,-4.321729,4.6410785,6.7027354,29.118761,-15.408438,34.98979,13.744828,-4.9072647,-4.3142204,19.771866,-22.82551,18.952927,66.195755,13.385719,6.391961,7.760534
1,-0.5542476177215576,1.3571929931640625,75.64796447753906,-1.3242561122729732,-2.300361269946525,-99.49613901358192,-4.5671554,20.20274,-4.549155,70.26933,-8.130591,5.6786737,-19.210173,-11.097824,-7.5637364,35.571335,-10.9478,8.01784,-3.538383,-3.785206,5.0049744,7.195634,29.042427,-15.30049,36.029957,13.686939,-4.932072,-4.1751003,19.027124,-23.08681,19.060045,66.284256,13.400667,6.430475,7.577672
2,-1.588950514793396,0.41999056935310364,75.21634674072266,-1.9018207701692025,-2.5816576388090438,-99.7264170396511,-5.7156296,20.66917,-5.686331,73.614395,-9.936667,5.7033634,-18.919394,-9.946823,-8.005076,37.934067,-13.619598,7.7442055,-2.9637394,-3.1835165,5.380833,7.699911,28.883831,-15.149533,37.065426,13.678308,-4.9531293,-4.052254,18.380398,-23.491385,19.166702,66.229324,13.454502,6.4987907,7.433169
3,-2.6236963272094727,-0.4887855648994446,74.76991271972656,-2.46641916476541,-2.7977507979589067,-99.97025398418442,-6.976811,20.97627,-6.8491,76.8387,-11.678773,5.632235,-18.676718,-8.762422,-8.437804,40.16665,-16.18303,7.4467106,-2.3980224,-2.5417771,5.7036395,8.2234335,28.65182,-14.9709,38.125053,13.63466,-4.9956994,-3.892236,17.70196,-23.982965,19.326008,66.146996,13.492523,6.557241,7.2867236
4,-3.641848564147949,-1.381807804107666,74.34196472167969,-3.005756309201889,-2.850086293003699,-100.2522796919765,-8.507067,20.923132,-8.048214,79.7076,-13.206742,5.3310175,-18.48305,-7.5696344,-8.855415,42.04317,-18.460989,7.090652,-1.8058624,-1.8798409,5.90648,8.790736,28.338114,-14.754682,39.232834,13.482031,-5.0870843,-3.6431677,16.853273,-24.523628,19.612093,66.1505,13.46793,6.5678153,7.100559
5,-4.617405891418457,-2.2677481174468994,73.97129821777344,-3.5447215277820385,-2.661759730528993,-100.60599604424961,-10.397054,20.41185,-9.341827,82.209366,-14.4766245,4.6763983,-18.398087,-6.352102,-9.257203,43.502476,-20.381191,6.646504,-1.1513393,-1.1728166,5.929178,9.388797,27.924006,-14.484664,40.466454,13.169696,-5.254431,-3.2647946,15.7596035,-25.097591,20.09809,66.31785,13.348229,6.5078416,6.8343925
6,-5.560521125793457,-3.1387765407562256,73.66773986816406,-4.08362127013169,-2.3052265108873837,-101.01377647993466,-12.520136,19.556038,-10.664183,84.45146,-15.576124,3.761303,-18.394934,-5.117339,-9.6426735,44.659504,-22.041195,6.136952,-0.45355502,-0.43247434,5.8174133,10.000118,27.414137,-14.171374,41.80288,12.756787,-5.4777513,-2.7929962,14.476968,-25.692707,20.7366,66.6079,13.162858,6.398048,6.5087066
7,-6.470825672149658,-3.996182680130005,73.41133117675781,-4.571090086026936,-1.9050188077709338,-101.42236188144877,-14.717723,18.487255,-11.845183,86.36786,-16.537655,2.7886968,-18.337824,-3.926457,-10.002448,45.548115,-23.515673,5.6039095,0.2418488,0.27116308,5.6686435,10.639443,26.841772,-13.853221,43.112236,12.326512,-5.713533,-2.2898285,13.0769005,-26.282578,21.41578,66.938934,12.956394,6.2675896,6.181197
8,-7.373287677764893,-4.8496174812316895,73.19805145263672,-4.9546180219320375,-1.5829157661957913,-101.77534065184771,-16.852785,17.350311,-12.738395,87.883316,-17.374792,1.9730334,-18.08749,-2.8361957,-10.327419,46.20276,-24.880926,5.088388,0.8895438,0.8641451,5.583956,11.327543,26.25773,-13.577154,44.25582,11.954138,-5.9161525,-1.817024,11.632483,-26.834133,22.021362,67.23775,12.771338,6.143022,5.9090104
9,-8.281167030334473,-5.693490505218506,73.0280532836914,-5.20190582901581,-1.350024109884664,-102.05386310865312,-18.948458,16.084476,-13.372804,88.95125,-18.012306,1.2687716,-17.61141,-1.8883308,-10.609205,46.63068,-26.16775,4.6017623,1.481734,1.2973429,5.5882163,12.078486,25.696062,-13.358697,45.233818,11.641971,-6.068889,-1.3243563,10.133479,-27.321558,22.537395,67.55888,12.592077,6.0089793,5.7172775
10,-9.192745208740234,-6.542754173278809,72.90512084960938,-5.348586611370538,-1.1473812328232742,-102.28877226581088,-21.065882,14.670079,-13.812158,89.60312,-18.449686,0.6036831,-16.96826,-1.0434409,-10.8506775,46.812862,-27.333155,4.116386,2.0552201,1.6038809,5.6362696,12.887358,25.165005,-13.186667,46.08907,11.339986,-6.1967883,-0.80475575,8.549155,-27.73496,23.012966,67.93304,12.398605,5.854962,5.5699596
11,-10.09857177734375,-7.395696640014648,72.83080291748047,-5.442317905053831,-0.9901406583694969,-102.49468196376264,-23.145906,13.31396,-13.981437,89.88422,-18.787443,0.15846305,-16.153162,-0.23525424,-11.056531,46.74117,-28.342205,3.6172633,2.6231477,1.8350502,5.7232466,13.749963,24.676752,-13.065752,46.748756,11.043334,-6.3150635,-0.3836618,6.918365,-28.071669,23.434109,68.25808,12.227306,5.715495,5.433818
12,-11.003737449645996,-8.265229225158691,72.80842590332031,-5.527557470695779,-0.8926540026630975,-102.68651618640679,-25.13291,12.217659,-13.809549,89.843346,-19.127653,0.11362214,-15.163395,0.5993925,-11.227021,46.407597,-29.159525,3.0920005,3.2015243,2.0420759,5.842697,14.657727,24.24553,-13.004032,47.140686,10.743941,-6.437739,-0.18765706,5.289432,-28.33398,23.777536,68.42141,12.114742,5.6253214,5.276729
