Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.059822265058755875,-1.8944408893585205,78.36526489257812,0.6559495738861731,4.064164514035298,89.76887108928906,5.898044,1.8398905,11.209361,26.978027,-11.62348,-3.1698248,-25.604498,-14.419324,-22.295776,42.425976,-9.873877,2.196402,-7.897871,-0.47880617,8.190172,1.8111249,33.59663,-23.14895,-34.842525,-7.486949,-5.8548884,-1.1120819,23.245934,-33.50896,24.648575,-31.25814,3.7089036,-5.7390766,-11.421416
1,0.1926984339952469,-0.6247753500938416,78.63416290283203,0.7134996043738605,4.167844418232528,89.74460664266743,6.7283616,1.8906406,11.235761,26.60433,-9.535127,-3.2226102,-25.031734,-13.330806,-22.555826,37.303925,-8.3035145,3.4941773,-8.185456,-0.38988012,8.005345,2.0207567,33.743538,-23.328506,-35.01724,-7.5789065,-5.866627,-1.6217338,23.867237,-33.577343,24.52984,-31.751211,3.9809546,-5.7427244,-11.510558
2,0.3227066397666931,0.6641475558280945,78.87364959716797,0.7962282356151317,4.258083456087386,89.73667940277382,7.6058044,1.9024998,11.244204,26.159779,-7.4115114,-3.2914476,-24.342249,-12.197323,-22.776312,31.83825,-6.627326,4.8141932,-8.480591,-0.33744654,7.846806,2.2534618,33.954994,-23.511293,-35.271122,-7.6589513,-5.886738,-2.1391597,24.553204,-33.65836,24.376986,-32.310703,4.2817082,-5.7483187,-11.600028
3,0.44746556878089905,1.96622633934021,79.07649993896484,0.9408019945790201,4.325254272487799,89.74108459340032,8.474935,1.842882,11.242124,25.768261,-5.3056755,-3.3358922,-23.547838,-11.155513,-22.965826,26.379974,-4.8559465,6.091818,-8.776195,-0.35168055,7.711592,2.550483,34.208885,-23.65708,-35.557682,-7.8047442,-5.8946586,-2.590644,25.235252,-33.74591,24.204422,-32.89653,4.543614,-5.755588,-11.683752
4,0.5730891823768616,3.2773618698120117,79.24125671386719,1.178172570705973,4.364404519561856,89.7502253243632,9.275576,1.6897124,11.242862,25.553118,-3.269685,-3.3167505,-22.709135,-10.336194,-23.141264,21.380917,-3.0417418,7.271873,-9.044118,-0.45316532,7.5950556,2.9260333,34.485092,-23.751705,-35.81714,-8.095229,-5.869791,-2.8956444,25.873823,-33.836872,23.998436,-33.48511,4.701693,-5.7645483,-11.751024
5,0.6908187866210938,4.589304447174072,79.36853790283203,1.5121764646402795,4.386445857448035,89.75833689795667,9.992809,1.438409,11.261166,25.504766,-1.2675804,-3.1896384,-21.854946,-9.770734,-23.37308,16.892479,-1.1714882,8.35864,-9.278332,-0.6402238,7.4820776,3.382149,34.769516,-23.798227,-36.02855,-8.559769,-5.7820997,-3.0149949,26.475454,-33.928368,23.745632,-34.077774,4.712337,-5.7741137,-11.815997
6,0.8016867637634277,5.904055118560791,79.46409606933594,1.9370282924531712,4.3881622685285615,89.77394686274614,10.667828,1.0914967,11.28843,25.549654,0.7276815,-2.9849582,-20.99356,-9.396492,-23.64056,12.776113,0.74681735,9.392106,-9.494821,-0.91043943,7.373955,3.8924909,35.05585,-23.811026,-36.199978,-9.148101,-5.6506515,-3.0017843,27.054838,-34.019672,23.456152,-34.674606,4.617371,-5.7835894,-11.878159
7,0.9068013429641724,7.213400840759277,79.51488494873047,2.4095927522346976,4.363580525576959,89.78873053247972,11.280583,0.70435905,11.3194,25.77233,2.6183927,-2.7809277,-20.182987,-9.155314,-23.842684,9.235612,2.597958,10.354004,-9.676118,-1.2243462,7.2826676,4.4273973,35.335644,-23.796232,-36.31684,-9.821775,-5.5297766,-2.9106476,27.585365,-34.11196,23.150928,-35.265186,4.481581,-5.7945194,-11.905928
8,1.0106736421585083,8.506023406982422,79.53042602539062,2.8616251350563013,4.316866371540501,89.78392293811032,11.7881,0.3648091,11.353482,26.28864,4.2872033,-2.6610155,-19.624615,-9.038801,-23.857193,6.8027496,4.086083,11.212221,-9.794485,-1.5136218,7.2159414,4.9546723,35.597733,-23.761774,-36.357594,-10.541472,-5.473448,-2.7975328,28.032629,-34.20945,22.85154,-35.826912,4.370637,-5.808886,-11.867494
9,1.1122403144836426,9.789590835571289,79.5025863647461,3.2888231644589205,4.261125316969192,89.74406567594424,12.180367,0.07446681,11.403615,27.103899,5.7211576,-2.6505027,-19.8363,-9.275942,-23.607773,6.674372,4.7160206,12.272367,-9.834456,-1.7691623,7.1648636,5.4588237,35.83214,-23.717403,-36.295536,-11.394364,-5.510593,-2.6549752,28.402493,-34.314507,22.550518,-36.37182,4.2864738,-5.8189983,-11.732219
