Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.2136208564043045,-2.0362651348114014,80.46495056152344,-0.3475051787023954,3.3126876233867955,88.21540924308967,10.666197,-4.012994,-6.4958377,23.054718,-6.50741,0.7838728,-31.121834,-4.0149326,-9.635446,51.796417,-4.8579726,-0.24969935,-11.790595,-5.3054795,10.21942,-13.556244,17.4215,-11.242931,-45.34225,2.6424649,4.639731,5.4326253,32.70271,-12.15673,20.829824,-30.313673,-32.654682,-5.93851,1.937062
1,-0.10802778601646423,-0.8230547308921814,80.91636657714844,-0.3583322642596977,3.4486603298657283,88.36018935027411,10.825748,-4.0087633,-7.0599885,23.449986,-4.1766243,0.10864425,-29.63942,-3.0352929,-9.670068,45.770176,-2.4701326,1.2893384,-12.515091,-5.175366,9.832764,-13.733817,17.503304,-11.458466,-45.806644,2.9336486,4.532405,5.6702256,33.647465,-11.905278,20.54173,-31.383211,-32.188316,-5.7354326,1.4902147
2,-0.019940953701734543,0.40627890825271606,81.32722473144531,-0.35177505189945096,3.5729284392398246,88.50824080597259,11.083227,-4.035619,-7.644589,23.680931,-1.7281246,-0.6491497,-28.040215,-2.0679307,-9.63853,39.440216,0.008954215,2.8422897,-13.1896,-5.110734,9.41803,-14.052062,17.621529,-11.775469,-46.138206,3.2277849,4.423214,5.955795,34.533382,-11.444214,20.23273,-32.288662,-31.815401,-5.5653477,1.0922629
3,0.045451778918504715,1.6437920331954956,81.67181396484375,-0.3007902375913921,3.694060270532317,88.6823497919601,11.296294,-4.149219,-8.317619,24.026478,0.555729,-1.3991075,-26.418928,-1.1784228,-9.449483,33.21712,2.4557602,4.323531,-13.793056,-5.1077867,9.000963,-14.37276,17.755451,-12.149794,-46.431103,3.5120087,4.330694,6.1894727,35.329163,-10.844613,19.923576,-33.088634,-31.395489,-5.3958683,0.69572186
4,0.101150281727314,2.867936372756958,81.94373321533203,-0.18379988097559247,3.8218702550478594,88.90267373004012,11.327408,-4.4009657,-9.1257,24.751934,2.394864,-2.0370212,-24.895607,-0.44225347,-9.029621,27.581833,4.715974,5.645645,-14.288335,-5.159086,8.605465,-14.585137,17.877443,-12.553304,-46.75212,3.7770436,4.2719545,6.272809,36.01159,-10.171917,19.618294,-33.848553,-30.787973,-5.1990623,0.25324348
5,0.15163350105285645,4.0719780921936035,82.12955474853516,0.03162835355027173,3.9904908512203834,89.20034267405228,11.075684,-4.861718,-10.17713,25.991564,3.5808825,-2.427869,-23.531637,0.099901915,-8.316968,22.58967,6.7859397,6.8396173,-14.703921,-5.254819,8.203824,-14.655087,17.967102,-12.945613,-47.154106,4.0439334,4.2621727,6.1190195,36.651314,-9.462654,19.298206,-34.6665,-29.856346,-4.9481177,-0.23384106
6,0.2009371519088745,5.256542205810547,82.23735809326172,0.3473992433410443,4.177327722829444,89.55686269550554,10.637595,-5.510811,-11.386258,27.598316,4.3137565,-2.6352801,-22.271362,0.4420838,-7.382507,18.058588,8.701592,7.936185,-15.063292,-5.4069586,7.7998476,-14.627737,18.01942,-13.329618,-47.607697,4.3160067,4.285395,5.789781,37.2696,-8.7406,18.966806,-35.539352,-28.691591,-4.6633663,-0.76044136
7,0.24852488934993744,6.410660743713379,82.28330993652344,0.709662422817055,4.318363151551104,89.90474726795223,10.127328,-6.2264366,-12.49503,29.480665,4.8946443,-2.8556116,-21.135406,0.6139222,-6.383208,14.252052,10.321864,8.851629,-15.311807,-5.607359,7.4627914,-14.509406,18.031834,-13.739066,-48.05108,4.555089,4.3118606,5.4104576,37.761517,-8.043504,18.661215,-36.36964,-27.492592,-4.388574,-1.3677922
8,0.28259986639022827,7.553040981292725,82.27467346191406,1.0277894271725299,4.362163174781173,90.16676516918324,9.633317,-6.8442774,-13.25049,31.566042,5.6067233,-3.2975242,-20.151018,0.71566993,-5.4913273,11.419756,11.524917,9.504468,-15.389536,-5.8113885,7.262392,-14.298126,18.003014,-14.203902,-48.4291,4.722796,4.313065,5.10827,38.018078,-7.419939,18.414352,-37.05962,-26.456408,-4.1651096,-2.0944538
9,0.3292102515697479,8.664013862609863,82.20890045166016,1.2560800593430121,4.308083688204124,90.3306472180428,9.141523,-7.3227267,-13.6221,33.891964,6.6197987,-4.138759,-19.355318,0.82552034,-4.76048,9.661749,12.371652,10.029238,-15.286852,-5.978055,7.22417,-13.975014,17.929455,-14.726363,-48.757313,4.740559,4.2650433,4.9262896,38.023872,-6.903512,18.255318,-37.62823,-25.548882,-3.9746423,-3.0001473
