Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.035468339920044,0.3745996057987213,79.2412109375,3.8820066659063532,9.722714744166542,-164.17861866608996,-13.49528,25.249884,-5.379228,17.912567,13.467586,-15.000033,-36.2304,-46.00608,-28.884735,53.357723,0.9286599,-3.291167,1.0157275,0.2583356,9.541883,49.66326,37.657177,-13.226476,-24.372976,23.946209,-12.340687,28.667152,-52.738914,-48.580418,12.352522,-28.075552,8.227016,-9.457743,-17.838253
1,0.7321871519088745,2.095468521118164,79.31253814697266,3.973030141116915,9.614107755402099,-163.438793035943,-13.586296,26.516516,-3.8115873,18.77937,11.252719,-13.505237,-36.184837,-44.62426,-26.756952,52.685085,1.0818051,-2.6220005,1.0063328,0.27464116,9.867945,47.16051,37.681164,-14.698692,-24.126877,24.459162,-12.405755,28.611792,-50.057766,-48.36481,11.418688,-27.26305,7.4689565,-9.722902,-18.685007
2,0.41146743297576904,3.8050334453582764,79.33182525634766,4.046308141914515,9.49474596068292,-162.6733123458315,-13.932456,27.863945,-2.2588902,20.081097,8.596709,-11.765385,-36.09403,-43.213505,-24.548609,52.01717,1.1782069,-1.9605229,0.9498357,0.2937533,10.19193,44.764748,37.624935,-16.122662,-23.921995,24.96312,-12.457211,28.571571,-47.44363,-47.996746,10.536338,-26.49352,6.6941648,-9.9783325,-19.456892
3,0.07357368618249893,5.5225396156311035,79.3016586303711,4.1235770202676845,9.351127158714405,-161.96823775981528,-14.126237,29.097954,-0.9749358,21.341272,6.1271124,-10.284034,-35.890144,-41.87531,-22.617586,51.43908,1.3008362,-1.2961378,0.87208474,0.29545897,10.524611,42.278027,37.48391,-17.577147,-23.654446,25.501379,-12.51471,28.547852,-44.809025,-47.481728,9.699687,-25.602047,5.817972,-10.206992,-20.24614
4,-0.28569963574409485,7.237448692321777,79.21597290039062,4.200110596254689,9.162109875167593,-161.41378152297597,-14.007024,30.049994,-0.21248862,22.553822,4.258774,-9.298436,-35.535534,-40.698414,-21.295094,51.0475,1.5391212,-0.5980201,0.82031834,0.2839531,10.874731,39.457302,37.24672,-19.187557,-23.184547,26.122522,-12.582363,28.565601,-41.961845,-46.784004,8.828695,-24.490976,4.737239,-10.382863,-21.102615
5,-0.6404674053192139,8.942909240722656,79.08206939697266,4.25473868260764,8.913528044541899,-161.0551085082425,-13.543666,30.712378,-0.05732157,23.768244,3.2065306,-8.901486,-35.048584,-39.75528,-20.791143,50.8696,2.1754556,0.035059627,0.8530354,0.28532657,11.271624,36.200794,36.88574,-20.995016,-22.439157,26.99721,-12.654373,28.653141,-38.822582,-45.849922,7.8945813,-23.088146,3.3016677,-10.458389,-22.08251
6,-1.0017037391662598,10.643531799316406,78.890869140625,4.291542977121845,8.625282526997701,-160.8366827881584,-12.850899,31.183989,-0.32799616,25.000664,2.742463,-8.902998,-34.486877,-38.965927,-20.852745,50.837883,3.0939248,0.63540214,0.9138973,0.29003677,11.701939,32.701225,36.37893,-22.871485,-21.537788,28.048447,-12.727069,28.794195,-35.529346,-44.67085,7.002656,-21.48075,1.5990525,-10.449061,-23.133432
7,-1.3798558712005615,12.338098526000977,78.6330337524414,4.335166794682202,8.32578572020422,-160.69958105161655,-12.0150795,31.462637,-0.88748944,26.252237,2.5982432,-9.110841,-33.87305,-38.183792,-21.124767,50.91101,3.7784417,1.4279512,0.88687825,0.2569779,12.111476,29.14697,35.729412,-24.689194,-20.624111,28.94839,-12.809291,28.946394,-32.244526,-43.28744,6.2850637,-19.774815,-0.11248874,-10.431479,-24.146812
8,-1.7743937969207764,14.027168273925781,78.31645202636719,4.41219786480249,8.042345853801896,-160.58567565925443,-11.107273,31.532953,-1.5988346,27.50877,2.5037243,-9.345054,-33.2231,-37.27289,-21.26667,51.050945,3.7011592,2.6317778,0.6811007,0.1456229,12.441615,25.675276,34.965557,-26.364002,-19.81271,29.368563,-12.912731,29.066854,-29.09574,-41.78102,5.8277416,-18.074074,-1.5714058,-10.498072,-25.028816
9,-2.1823623180389404,15.701417922973633,77.93785095214844,4.534685481448754,7.797257539959274,-160.49994844784533,-10.139125,31.332289,-2.5348823,28.778748,2.5552208,-9.624609,-32.523106,-36.151356,-21.168056,51.194992,2.724145,4.6539435,0.32155472,-0.051088717,12.65814,22.268354,34.108288,-27.944504,-19.0652,29.067593,-13.063239,29.153715,-26.071177,-40.198055,5.6249905,-16.33249,-2.6521842,-10.718617,-25.809532
