Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.33163997530937195,-3.4800820350646973,70.7172622680664,-4.003784563562287,-14.35641824273798,95.0588567205484,-9.068473,13.494743,-7.096926,94.956436,-4.3188167,-15.000033,-9.508374,-7.8186855,-13.217339,60.15452,-27.04045,3.9508176,-5.018165,0.8780759,21.600977,-20.176004,22.020456,-12.1721115,-24.615107,14.222307,-6.1317587,10.837445,13.804656,-27.991978,11.554878,-3.6076605,5.243297,-4.39391,-6.368354
1,-0.25070685148239136,-5.312621116638184,70.73245239257812,-4.11870736282035,-14.547406880561825,95.80723382217809,-5.6269937,13.065643,-7.582815,93.646805,-3.625366,-15.000033,-10.416665,-8.161879,-13.734458,59.24356,-25.547958,3.8557603,-7.3544188,0.33206627,21.08592,-22.28156,22.379179,-12.08339,-24.110567,13.371295,-5.8311415,10.683327,18.214975,-27.9158,11.22136,-6.4623575,5.2257795,-4.3693385,-6.2411547
2,-0.1973331868648529,-7.136613845825195,70.79889678955078,-4.256822149348714,-14.772216163959357,96.56522787473902,-2.0960846,12.6967945,-8.130181,92.42163,-2.9239018,-15.000033,-11.315687,-8.514124,-14.249276,58.42512,-24.152803,3.7509904,-9.72874,-0.28204274,20.532953,-24.398859,22.915861,-12.033353,-23.649857,12.38181,-5.4945493,10.613886,22.501217,-27.707273,11.124916,-9.253306,5.1855326,-4.3691998,-6.0870376
3,-0.1786351501941681,-8.987213134765625,70.919921875,-4.363273815454831,-14.95416424812324,97.24160468631412,1.3499022,12.312193,-8.621221,90.97582,-2.2331758,-15.000033,-12.24216,-8.8559675,-14.670885,57.45622,-22.57035,3.6572511,-12.050353,-0.9460708,19.895035,-26.319778,23.569487,-12.04479,-23.302408,11.500973,-5.190673,10.554358,26.500328,-27.380508,11.1560755,-11.72862,5.183123,-4.344393,-5.913888
4,-0.20187897980213165,-10.84671688079834,71.10054016113281,-4.382272229091902,-15.01402266523784,97.74876449489723,4.5241666,11.812063,-8.960675,89.005745,-1.5686517,-15.000033,-13.234128,-9.168249,-14.911676,56.089806,-20.514496,3.595261,-14.175597,-1.6179357,19.161747,-27.863361,24.30313,-12.1927,-23.171875,10.956611,-4.977593,10.458165,30.237724,-26.952995,11.052387,-13.810165,5.294662,-4.2443123,-5.709124
5,-0.24234077334403992,-12.753459930419922,71.33601379394531,-4.282040859715344,-14.934330924538745,98.10682770093197,7.4419227,11.136678,-9.119195,86.335724,-0.8967764,-15.000033,-14.316018,-9.491898,-14.947471,54.3422,-18.0274,3.540798,-16.082443,-2.312842,18.321646,-29.065578,25.108059,-12.535657,-23.275719,10.880006,-4.898729,10.28432,33.90182,-26.466946,10.644697,-15.572972,5.5451016,-4.0054646,-5.4492106
6,-0.278401643037796,-14.712267875671387,71.6273193359375,-4.103964034815013,-14.751945249505283,98.3502288509813,10.178509,10.322607,-9.185015,83.16519,-0.2250035,-15.000033,-15.472584,-9.808455,-14.829279,52.324055,-15.222128,3.491726,-17.832392,-2.9950104,17.404598,-30.016262,25.960768,-13.020757,-23.56145,11.134236,-4.9159484,10.058418,37.530308,-25.93494,10.019653,-17.126299,5.9033713,-3.6666284,-5.1516833
7,-0.339676171541214,-16.7276554107666,71.96684265136719,-3.8986658664142904,-14.466144757207616,98.42548579954999,12.645193,9.377956,-9.258267,79.75199,0.32264188,-15.000033,-16.66598,-10.016216,-14.589741,49.91395,-11.928664,3.5058262,-19.405296,-3.5555887,16.469988,-30.62381,26.81319,-13.540899,-24.012953,11.537657,-4.963425,9.829507,40.93865,-25.309464,9.27197,-18.444258,6.351942,-3.3310716,-4.8654957
8,-0.42104893922805786,-18.794527053833008,72.3423080444336,-3.7153124638865567,-14.07498165947415,98.28359235582488,14.7384615,8.335985,-9.404405,76.35239,0.63827944,-15.000033,-17.856613,-10.019707,-14.254328,46.98339,-7.965152,3.6474245,-20.757711,-3.9059067,15.578526,-30.818806,27.608643,-14.010295,-24.582043,11.922635,-4.973703,9.643476,43.93354,-24.513176,8.493668,-19.470793,6.8550863,-3.1068907,-4.6310453
9,-0.5162019729614258,-20.9102725982666,72.73970794677734,-3.544163586818274,-13.527398491786235,97.86425718818185,16.407352,7.0826516,-9.658977,72.9111,0.6805181,-15.000033,-19.13702,-9.721672,-13.654196,43.394592,-3.012079,3.6718826,-21.822834,-4.011088,14.704617,-30.606302,28.314432,-14.447444,-25.237507,12.296648,-4.9383082,9.526519,46.56981,-23.470278,7.558983,-20.154747,7.4770317,-3.0313969,-4.440517
10,-0.6353588700294495,-23.080318450927734,73.1359634399414,-3.3654115956076573,-12.833158583989912,97.21993560518779,17.700165,5.674915,-9.937513,69.326904,0.5228359,-15.000033,-20.489613,-9.207536,-12.82892,39.26105,2.736684,3.6451778,-22.58137,-3.940951,13.844039,-30.096424,28.924225,-14.936957,-25.932226,12.758051,-4.891027,9.441035,48.9353,-22.161415,6.4106064,-20.526426,8.182548,-3.0452914,-4.26571
11,-0.7711756825447083,-25.311555862426758,73.51383972167969,-3.1995252196028323,-12.087127898676895,96.4683989824031,18.658518,4.3843102,-10.085556,65.79634,0.22294645,-15.000033,-21.704054,-8.627696,-12.040756,34.784275,8.724252,4.1232343,-23.058868,-3.7798448,13.091501,-29.377861,29.429592,-15.4870825,-26.603952,13.263148,-4.82719,9.337222,50.896988,-20.617569,5.241117,-20.666998,8.789827,-3.1115718,-4.1157146
12,-0.9243354201316833,-27.587574005126953,73.84500885009766,-3.0578096011547076,-11.394012790093232,95.72604130261578,19.345968,3.436386,-9.944989,62.509315,-0.17037578,-15.000033,-22.548788,-8.092747,-11.456292,30.08367,14.447316,5.6995664,-23.303503,-3.6103704,12.541164,-28.513798,29.830645,-16.07378,-27.209908,13.75068,-4.7438154,9.163114,52.3547,-18.910799,4.242499,-20.688353,9.127781,-3.194491,-4.0076942
13,-1.1035435199737549,-29.878156661987305,74.10795593261719,-2.8690070717219576,-10.77216794052784,94.97583970927724,19.796349,2.8469713,-9.311852,59.380486,-0.61781645,-15.000033,-22.724592,-7.5743737,-10.948367,24.28838,20.618103,9.246754,-23.350014,-3.4828675,12.191046,-27.369757,30.124954,-16.614733,-27.858318,14.217645,-4.6266284,8.86426,53.30985,-17.06304,3.3649547,-20.588562,9.139095,-3.3398466,-3.9644861
14,-1.296044111251831,-32.17949676513672,74.28626251220703,-2.583074048021907,-10.202397326540579,94.20290265679418,20.039913,2.3853974,-8.285686,56.32421,-1.1573985,-15.000033,-22.266644,-6.9952607,-10.0922,17.283798,27.375307,14.43412,-23.21123,-3.4261072,11.997283,-25.926964,30.319492,-17.115437,-28.55701,14.688414,-4.485257,8.475236,53.84203,-15.07723,2.5117183,-20.356405,8.9325075,-3.5489857,-3.9807117
