Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.8772488832473755,0.5631586909294128,78.11610412597656,0.2761149493657562,1.5992265091620557,-3.1725262135922336,2.18123,1.4851273,11.365138,11.946564,-16.790915,-1.9691974,-1.4368731,-4.525741,-5.9366302,14.613995,-14.936291,5.2178187,-1.8701806,-1.2365627,4.159086,9.133509,23.328417,-37.888126,49.512077,4.6955304,-0.71580136,1.9578123,0.48868117,-18.981743,39.42311,53.914764,3.6703262,-0.5605174,-2.3089597
1,-1.8889718055725098,0.5509184002876282,78.11182403564453,0.33934108557930776,1.6244745594105572,-3.236721341213125,2.1976295,1.4279848,11.4656925,11.846239,-16.741198,-2.0202272,-1.6794285,-4.5889397,-5.825535,15.0048065,-15.132959,5.1636453,-1.9110997,-1.3116993,4.171057,9.056658,23.353561,-37.973774,49.53238,4.8352675,-0.66936034,1.8853936,0.5025796,-18.987501,39.426014,53.803276,3.643069,-0.5736793,-2.3224163
2,-1.90450119972229,0.5400916337966919,78.10417175292969,0.39816278176193154,1.647330311530816,-3.2978883602569153,2.2173767,1.3752548,11.5634165,11.74586,-16.69264,-2.072621,-1.9074178,-4.6476507,-5.7185087,15.37391,-15.322052,5.1063104,-1.9309098,-1.3832688,4.18057,8.965448,23.381353,-38.078426,49.560787,4.951799,-0.6193886,1.8038038,0.5343804,-18.993103,39.406975,53.688072,3.6143954,-0.5895117,-2.335855
3,-1.931210994720459,0.5259460210800171,78.09354400634766,0.4657456390674627,1.6752527077124373,-3.3651791100510793,2.231151,1.3131945,11.666838,11.64377,-16.640965,-2.1223001,-2.1642792,-4.7151203,-5.601529,15.7835865,-15.525169,5.053481,-1.9593722,-1.4631349,4.1915603,8.864686,23.402615,-38.19902,49.60199,5.094977,-0.57706934,1.744542,0.55077285,-18.996996,39.398216,53.5745,3.5856967,-0.6004374,-2.3491285
4,-1.955424427986145,0.5134174823760986,78.07708740234375,0.5551721163624076,1.7158682352645787,-3.4479999053340697,2.2307305,1.2278252,11.785411,11.537471,-16.581898,-2.1652775,-2.4910824,-4.8045187,-5.460348,16.291586,-15.761721,5.0125413,-1.9915823,-1.5666128,4.2070794,8.732119,23.424978,-38.38821,49.66671,5.2893314,-0.5516151,1.7424772,0.5552021,-19.000519,39.39034,53.441525,3.5484245,-0.5982691,-2.362125
5,-1.9878292083740234,0.493856281042099,78.05863952636719,0.6711617754224048,1.7726615353094943,-3.5490993129903607,2.212533,1.1131623,11.919778,11.422944,-16.51116,-2.1978588,-2.8999934,-4.9201107,-5.2881937,16.911442,-16.03741,4.994279,-2.024122,-1.6996307,4.2287483,8.561313,23.45077,-38.6721,49.761253,5.5475674,-0.55661196,1.8335323,0.54209715,-19.00379,39.386135,53.28772,3.5052927,-0.5740168,-2.370848
6,-2.028050184249878,0.47237342596054077,78.0378189086914,0.8060525273656611,1.8409655090603836,-3.6633257843812097,2.1808991,0.97774816,12.065644,11.304148,-16.433039,-2.2231333,-3.36876,-5.0541825,-5.0931416,17.61244,-16.341383,4.991031,-2.0565422,-1.8543022,4.254529,8.364461,23.479298,-39.02358,49.87605,5.852805,-0.58215314,1.9904717,0.51555634,-19.007212,39.3839,53.120575,3.4572804,-0.5343626,-2.3766675
7,-2.0690035820007324,0.44938790798187256,78.01331329345703,0.9543162768897091,1.917019412847691,-3.7879295893083516,2.1394868,0.82960224,12.223931,11.185629,-16.352942,-2.2473972,-3.887541,-5.2011647,-4.8826294,18.386772,-16.668453,4.982513,-2.0879292,-2.0238943,4.284484,8.141633,23.511896,-39.416454,50.00173,6.1836066,-0.6033481,2.1530185,0.48833257,-19.011406,39.371017,52.93331,3.4008613,-0.4944712,-2.3863666
8,-2.1122727394104004,0.4307897686958313,77.98593139648438,1.1110428300356323,1.9967428581874502,-3.9202685665645762,2.0930905,0.6758582,12.395978,11.070369,-16.275803,-2.2767007,-4.445323,-5.355813,-4.664067,19.225552,-17.012867,4.949034,-2.1144845,-2.203357,4.319724,7.891682,23.553522,-39.82775,50.126476,6.5165973,-0.5957202,2.260002,0.46747798,-19.019075,39.337234,52.722824,3.3384848,-0.46996197,-2.4062743
9,-2.1594631671905518,0.4047880470752716,77.95665740966797,1.2790669460943427,2.0812463545275257,-4.057485927762678,2.039193,0.5130734,12.581337,10.95874,-16.201853,-2.3114536,-5.0423193,-5.5195575,-4.4333963,20.127806,-17.373175,4.905746,-2.1629236,-2.3931525,4.3579135,7.632042,23.598232,-40.22258,50.241825,6.880058,-0.5472292,2.2913666,0.436296,-19.031425,39.313793,52.498627,3.2685075,-0.46934384,-2.4401433
10,-2.207998275756836,0.37592241168022156,77.9230728149414,1.4596629647557546,2.1721613506404926,-4.20173141879056,1.9756793,0.3391076,12.779748,10.850058,-16.129322,-2.348886,-5.682239,-5.693493,-4.1880693,21.095633,-17.751238,4.8568025,-2.2286096,-2.594776,4.398493,7.35789,23.642145,-40.620583,50.35869,7.275406,-0.4736212,2.2806427,0.39260572,-19.047405,39.30134,52.26215,3.1944149,-0.48277578,-2.4842608
11,-2.2565805912017822,0.3467217981815338,77.88697052001953,1.6465945542793758,2.2658863364931348,-4.3575163939451755,1.9102899,0.16156796,12.992264,10.739955,-16.056612,-2.3901527,-6.358425,-5.871037,-3.9383705,22.1229,-18.145912,4.766779,-2.2990417,-2.802589,4.4463425,7.068288,23.688578,-41.024876,50.474796,7.65874,-0.39365622,2.2432327,0.34924212,-19.06771,39.278137,52.0023,3.1247888,-0.49734986,-2.5350268
12,-2.3144915103912354,0.3162011504173279,77.84857177734375,1.8342496492467277,2.3588445482021503,-4.529739526821683,1.849416,-0.0122338,13.220742,10.626684,-15.983256,-2.4362936,-7.065854,-6.0466475,-3.6938365,23.207325,-18.558123,4.6005416,-2.3896277,-3.0092125,4.50304,6.7802863,23.728329,-41.401516,50.589027,7.9988155,-0.32720244,2.193855,0.29788032,-19.085318,39.25442,51.725216,3.0717676,-0.50027514,-2.5912876
13,-2.373910427093506,0.2838035225868225,77.81468963623047,2.023287026751156,2.4511671005371136,-4.720180630691102,1.7936748,-0.18306492,13.467505,10.509056,-15.908776,-2.4894335,-7.8250623,-6.213987,-3.4224608,24.385448,-19.004189,4.306696,-2.4658163,-3.2202735,4.573895,6.470577,23.775703,-41.78942,50.70216,8.269062,-0.27756166,2.1294837,0.2610675,-19.106077,39.194702,51.40943,3.0421126,-0.4835675,-2.6547103
14,-2.4317495822906494,0.24925163388252258,77.7777099609375,2.2175944297509056,2.5446435167405794,-4.9261125589002965,1.7392668,-0.35587624,13.731184,10.3883705,-15.831976,-2.5480714,-8.627948,-6.376306,-3.129572,25.63962,-19.47384,3.9197361,-2.5510263,-3.437888,4.655144,6.1530385,23.826727,-42.165974,50.810127,8.499182,-0.23567903,2.0433228,0.22150995,-19.12709,39.127583,51.068623,3.0306904,-0.45563105,-2.7266245
15,-2.4906675815582275,0.2090788185596466,77.73859405517578,2.4133947412886667,2.638474099183496,-5.145261992823972,1.6908611,-0.52796006,14.00726,10.258272,-15.753004,-2.6084216,-9.426517,-6.5429935,-2.882493,26.885263,-19.92771,3.5327678,-2.6470182,-3.6551154,4.743509,5.831822,23.881456,-42.53914,50.912045,8.698183,-0.198189,1.9505821,0.18557592,-19.147747,39.043808,50.70587,3.0171854,-0.42795426,-2.797441
16,-2.555727005004883,0.1687677502632141,77.70062255859375,2.607267138361932,2.7313240858110364,-5.375573712573917,1.6480008,-0.69578093,14.291134,10.123831,-15.672316,-2.666441,-10.174676,-6.727176,-2.748688,28.042686,-20.332504,3.2380896,-2.759042,-3.8648624,4.8359356,5.5117764,23.937996,-42.913387,51.008255,8.87531,-0.16191195,1.8662065,0.15439776,-19.16751,38.940144,50.327625,2.984075,-0.41223544,-2.8579004
17,-2.6137747764587402,0.1251721829175949,77.66402435302734,2.8012290928089514,2.8218931913031957,-5.618228251914829,1.6089212,-0.8606997,14.583642,9.993152,-15.593282,-2.719921,-10.874689,-6.9238667,-2.704413,29.11955,-20.673092,3.074049,-2.889676,-4.069729,4.9342303,5.1924973,23.994759,-43.289024,51.10048,9.032392,-0.12719217,1.7892565,0.12512444,-19.186195,38.815502,49.92953,2.916567,-0.41073024,-2.9031405
18,-2.678727149963379,0.08630449324846268,77.62788391113281,2.9953350602899866,2.9113015670111735,-5.873880872411381,1.573281,-1.0229313,14.886373,9.863265,-15.514354,-2.7714663,-11.546556,-7.1314077,-2.728752,30.15178,-20.972984,2.987262,-3.0292068,-4.2716656,5.040398,4.867433,24.055956,-43.673634,51.18731,9.160549,-0.09487712,1.7135866,0.10543127,-19.205393,38.66249,49.503757,2.824718,-0.4174043,-2.9382038
19,-2.7434022426605225,0.04072076082229614,77.5903549194336,3.1827141993260537,3.0020564295713172,-6.1391589486983085,1.5415125,-1.1756651,15.196024,9.7293625,-15.435438,-2.8245573,-12.182959,-7.3710537,-2.8921838,31.125792,-21.259514,2.9299886,-3.1828246,-4.460721,5.1470504,4.5431933,24.116371,-44.056595,51.269012,9.2648945,-0.063494556,1.6464412,0.09041747,-19.224182,38.495705,49.071564,2.7373471,-0.43166938,-2.970582
20,-2.8017802238464355,-0.008620986714959145,77.55561065673828,3.3564570583590725,3.096881588654204,-6.410836161865207,1.5145152,-1.3124843,15.509148,9.585087,-15.355441,-2.8824906,-12.775177,-7.6661115,-3.2641008,32.02659,-21.558632,2.8532002,-3.3387825,-4.6276317,5.2500043,4.2140436,24.179344,-44.45171,51.343685,9.34016,-0.03066099,1.5952009,0.09966569,-19.24424,38.301514,48.63283,2.6722796,-0.45242825,-3.005741
21,-2.852996826171875,-0.057290781289339066,77.5247573852539,3.516855749232956,3.195838621944031,-6.685669974453187,1.4959693,-1.4356064,15.823171,9.42303,-15.271377,-2.9452882,-13.316417,-8.027788,-3.8686583,32.850792,-21.882153,2.7439308,-3.5060372,-4.7732234,5.34487,3.884741,24.240967,-44.857964,51.416264,9.378325,0.0051056826,1.5781643,0.1309325,-19.265509,38.084923,48.184414,2.6249177,-0.480131,-3.0437844
22,-2.908047676086426,-0.10751601308584213,77.49671173095703,3.666745193873701,3.2978474772069224,-6.966288095784385,1.4867002,-1.5479697,16.140543,9.24375,-15.182339,-3.0113285,-13.8100195,-8.4464035,-4.6661506,33.608574,-22.215738,2.6267035,-3.6891904,-4.9003873,5.434144,3.5562775,24.29674,-45.266758,51.489105,9.386074,0.042065714,1.5861865,0.17636307,-19.286312,37.851994,47.727875,2.5885894,-0.5150383,-3.0825148
23,-2.9502522945404053,-0.15532425045967102,77.46782684326172,3.803048520395361,3.403347923514351,-7.25832441844882,1.4779396,-1.6420606,16.46539,9.064415,-15.095494,-3.0817566,-14.263996,-8.914703,-5.629241,34.31192,-22.551199,2.5081758,-3.866623,-5.0046406,5.525425,3.216116,24.35317,-45.684673,51.553997,9.377134,0.07816752,1.5854987,0.24330595,-19.309391,37.591698,47.27288,2.579818,-0.55614567,-3.1234388
