Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.5907610058784485,1.2838960886001587,78.23355102539062,1.042582431437553,-0.5653831904105505,-88.51574940016593,3.5664258,4.4554334,12.249729,7.662886,-7.906923,-4.7027926,6.714531,-7.0106363,-23.27851,7.553091,-13.6998005,6.3744683,-3.6754084,-1.748512,7.0318766,-6.399656,17.422873,-39.84465,66.20077,14.577015,-4.580465,-3.8244195,1.2306415,-12.090715,15.604201,62.24575,-14.00462,-2.6930566,2.546266
1,-0.6035780310630798,1.22771155834198,78.2280044555664,1.0431778131256588,-0.5212519544122393,-88.53649557308046,3.5866683,4.4705763,12.270918,7.632147,-7.9299407,-4.734029,6.726245,-6.988293,-23.265594,7.5156126,-13.718015,6.380116,-3.655137,-1.76344,7.007453,-6.368302,17.429583,-39.830276,66.18341,14.552563,-4.5709615,-3.8487875,1.2348806,-12.0907345,15.593856,62.257534,-13.931804,-2.698352,2.5146794
2,-0.6214679479598999,1.1718745231628418,78.22370910644531,1.043695766565417,-0.4762767643575707,-88.55878342093527,3.606452,4.4859548,12.2934265,7.600146,-7.952078,-4.764925,6.736085,-6.9655557,-23.250582,7.477619,-13.735306,6.3849373,-3.6345446,-1.7780112,6.986836,-6.335097,17.440697,-39.805206,66.15863,14.532381,-4.562151,-3.8771632,1.2360709,-12.09135,15.579716,62.2681,-13.858146,-2.7039144,2.4834676
3,-0.6382623314857483,1.1098967790603638,78.21903228759766,1.0443686290565801,-0.4331522901268079,-88.57800627699999,3.6289515,4.500568,12.313552,7.567406,-7.974398,-4.796574,6.7501225,-6.9434476,-23.239641,7.4395843,-13.753981,6.3914475,-3.6200001,-1.7934048,6.9677258,-6.297527,17.455187,-39.77845,66.13063,14.517509,-4.554442,-3.9022038,1.2373782,-12.093078,15.566693,62.27693,-13.794438,-2.7106771,2.456027
4,-0.6483051180839539,1.0489628314971924,78.21435546875,1.0453387823156017,-0.3942761356505179,-88.58950554925325,3.6562634,4.513781,12.3273115,7.5358634,-7.998372,-4.830139,6.7747793,-6.922651,-23.239046,7.399215,-13.773982,6.402213,-3.611196,-1.8099318,6.94427,-6.261906,17.461557,-39.761963,66.12059,14.514117,-4.548212,-3.9146147,1.2455847,-12.094487,15.552466,62.28538,-13.7532425,-2.7193205,2.4345756
5,-0.660615861415863,0.9862139821052551,78.20836639404297,1.04476335822012,-0.36334861464834695,-88.5873728865443,3.693925,4.524823,12.329239,7.501996,-8.024546,-4.8673596,6.8182774,-6.902731,-23.2568,7.3532796,-13.796474,6.419209,-3.6187975,-1.8246278,6.9303775,-6.2115498,17.470697,-39.733704,66.09662,14.548092,-4.5432105,-3.9163232,1.2591516,-12.097915,15.522573,62.283733,-13.7661,-2.7298255,2.4280155
6,-0.6766554713249207,0.9222234487533569,78.20436096191406,1.0453780626234217,-0.3375162457846315,-88.575798604361,3.7373052,4.5349236,12.322735,7.468237,-8.052578,-4.9072165,6.8652563,-6.8873596,-23.286165,7.3250093,-13.831948,6.440571,-3.6345096,-1.8405532,6.9155765,-6.1588464,17.477322,-39.70935,66.08173,14.599735,-4.5403414,-3.9081333,1.2799675,-12.101533,15.490195,62.279156,-13.805216,-2.7412145,2.428855
7,-0.6877057552337646,0.8515329360961914,78.1987533569336,1.0463315470179073,-0.3117895293941476,-88.5647378744025,3.7820647,4.5434203,12.318182,7.4347587,-8.079741,-4.946456,6.901387,-6.878779,-23.313354,7.32329,-13.880492,6.463558,-3.6517527,-1.8576468,6.8980565,-6.1074367,17.481714,-39.68905,66.07491,14.64916,-4.538588,-3.8930893,1.2999084,-12.105453,15.45777,62.275715,-13.849124,-2.7565382,2.4324877
8,-0.6995697617530823,0.7849900126457214,78.19377899169922,1.0494463549580724,-0.28104470305648654,-88.56413208408307,3.8240924,4.54994,12.325856,7.3992953,-8.101041,-4.981985,6.9278245,-6.872132,-23.326258,7.322542,-13.924503,6.4851704,-3.6602662,-1.8753662,6.8778725,-6.061209,17.4863,-39.671135,66.07232,14.680337,-4.5379295,-3.8754816,1.3134049,-12.112182,15.42342,62.273926,-13.874517,-2.7798383,2.436191
9,-0.7115576863288879,0.7212755084037781,78.18911743164062,1.0543678978688196,-0.24337304756814856,-88.58095031906609,3.8621404,4.5550957,12.353389,7.364145,-8.117616,-5.0126677,6.9399214,-6.8669004,-23.316046,7.3233294,-13.962358,6.5035205,-3.656472,-1.8943335,6.851418,-6.0198646,17.489923,-39.659912,66.077,14.681098,-4.536896,-3.8515887,1.3177077,-12.121963,15.396799,62.278202,-13.868199,-2.8195143,2.4400406
10,-0.7239848375320435,0.6554029583930969,78.18565368652344,1.0601317501638592,-0.20157517217049242,-88.6084033125495,3.8981483,4.558927,12.393612,7.329406,-8.130966,-5.040307,6.943408,-6.8633122,-23.291548,7.326288,-13.996836,6.5205503,-3.645242,-1.9111634,6.82286,-5.9799232,17.493576,-39.652092,66.082794,14.664472,-4.537228,-3.822323,1.3188456,-12.139982,15.37159,62.280907,-13.844816,-2.8723705,2.4489973
11,-0.7311933040618896,0.5804485082626343,78.18185424804688,1.068228023217687,-0.15786632403297693,-88.63605922135783,3.9319117,4.5607476,12.434454,7.2948065,-8.1405735,-5.066132,6.944755,-6.8617077,-23.26648,7.328864,-14.029185,6.5388618,-3.634496,-1.9267207,6.7919874,-5.941201,17.496336,-39.645405,66.09044,14.642266,-4.538876,-3.7927568,1.3222677,-12.164797,15.3472,62.276527,-13.813129,-2.9196532,2.4556112
12,-0.7384933829307556,0.5118188261985779,78.17863464355469,1.0769203491250405,-0.11426992316907787,-88.6537937714774,3.9619355,4.5605273,12.463755,7.2620764,-8.146629,-5.091446,6.9502363,-6.862413,-23.254456,7.329333,-14.060958,6.560946,-3.6289377,-1.9414594,6.7616715,-5.904305,17.498243,-39.635204,66.09749,14.630571,-4.5429597,-3.769554,1.335943,-12.190917,15.314089,62.255074,-13.787379,-2.9435468,2.4548457
13,-0.7507233023643494,0.44180479645729065,78.17597198486328,1.0897750471839325,-0.07224033819584517,-88.6568691563904,3.9885516,4.5577855,12.474716,7.2317314,-8.150089,-5.116038,6.9635987,-6.86542,-23.262087,7.326695,-14.093471,6.5873795,-3.6407003,-1.9658775,6.72277,-5.8718815,17.4987,-39.62848,66.12522,14.629724,-4.551261,-3.7473593,1.3401843,-12.196893,15.292439,62.24741,-13.761919,-2.9313614,2.4290314
14,-0.7664623856544495,0.3713155686855316,78.17346954345703,1.1024278625526949,-0.030902744395759903,-88.65162862454677,4.0128455,4.55299,12.47512,7.202432,-8.150315,-5.1394277,6.981536,-6.8706055,-23.280758,7.321633,-14.125309,6.6168685,-3.6411169,-1.9818153,6.697477,-5.843476,17.50184,-39.623753,66.13515,14.649063,-4.562197,-3.7304006,1.3666621,-12.216199,15.225225,62.20166,-13.756338,-2.898717,2.403699
15,-0.7803936004638672,0.3039504289627075,78.17196655273438,1.1192664164002404,0.0128722444883167,-88.64356224878463,4.0334077,4.545936,12.474496,7.1730676,-8.145319,-5.1624727,6.9976645,-6.8780975,-23.302664,7.315822,-14.154854,6.64907,-3.6484158,-2.0048313,6.662634,-5.8167744,17.504488,-39.612682,66.155014,14.6598015,-4.573802,-3.7210402,1.3888798,-12.226255,15.1698475,62.16293,-13.745929,-2.8595965,2.374392
16,-0.7915134429931641,0.2314966470003128,78.17179870605469,1.1372600933042285,0.061564978836030654,-88.63840384929446,4.05036,4.535782,12.482825,7.1400084,-8.131807,-5.1849813,7.00504,-6.889801,-23.319447,7.3129234,-14.180765,6.683988,-3.6471317,-2.0294771,6.6261277,-5.794459,17.508928,-39.584908,66.16818,14.658013,-4.5850983,-3.730518,1.4130462,-12.2379875,15.094181,62.12032,-13.747976,-2.836191,2.364085
17,-0.8058848977088928,0.16033658385276794,78.17399597167969,1.1576428524234814,0.11587928470363268,-88.63619890687187,4.063318,4.523805,12.501335,7.103322,-8.110356,-5.210818,7.003752,-6.9040213,-23.330582,7.3118553,-14.204249,6.7203584,-3.6442544,-2.0575657,6.5825534,-5.772691,17.513996,-39.528633,66.17797,14.634629,-4.598489,-3.7700162,1.4358896,-12.249157,15.010631,62.080147,-13.760264,-2.8326812,2.3798642
18,-0.8223367929458618,0.09373132139444351,78.17485046386719,1.1802423300161724,0.17407577303470154,-88.63444760248368,4.0748777,4.5084867,12.52603,7.059923,-8.079903,-5.23751,6.9970574,-6.9215226,-23.339552,7.310987,-14.224752,6.75884,-3.6407971,-2.0873811,6.5375133,-5.751269,17.520273,-39.448055,66.18034,14.600543,-4.613237,-3.8323984,1.4608176,-12.260711,14.9159355,62.033413,-13.783885,-2.8387337,2.413769
19,-0.8346137404441833,0.030957551673054695,78.17760467529297,1.2055904414739533,0.23640720564484594,-88.63493712170445,4.08073,4.490334,12.555194,7.017987,-8.043108,-5.2628098,6.983305,-6.94266,-23.345663,7.3120747,-14.240121,6.8013215,-3.637477,-2.1203253,6.4860616,-5.7298574,17.52682,-39.357517,66.182816,14.564167,-4.6240406,-3.8946002,1.4803399,-12.2721405,14.823079,61.992493,-13.805501,-2.8491466,2.446668
20,-0.8461612462997437,-0.03456386178731918,78.18136596679688,1.2334778230164118,0.30196959353382385,-88.63957353138015,4.0820117,4.4687924,12.587881,6.9765224,-7.997604,-5.284122,6.962016,-6.968287,-23.347265,7.3153286,-14.246505,6.849954,-3.634212,-2.1540673,6.434399,-5.7089076,17.533855,-39.26935,66.1791,14.536541,-4.6219835,-3.9335647,1.4952554,-12.2841,14.734271,61.949333,-13.824325,-2.856368,2.4615586
21,-0.8602175116539001,-0.10187666863203049,78.18531799316406,1.2624965480222632,0.37432036218589115,-88.64915134948733,4.0749803,4.445233,12.623963,6.935119,-7.95017,-5.2987986,6.9294066,-6.9965305,-23.345778,7.318764,-14.24664,6.9064493,-3.6306932,-2.1858919,6.381574,-5.6864066,17.544271,-39.17767,66.162766,14.526385,-4.600666,-3.947815,1.5047543,-12.302246,14.643643,61.901073,-13.84566,-2.8620164,2.4560816
