Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.5008730888366699,1.694221019744873,120.33988189697266,-0.38449852096236486,0.854470948013559,-94.84193002338017,-7.6078577,4.2839713,8.18998,26.06088,-18.781181,-2.715662,-9.144664,-3.2157745,-5.4182854,23.723036,-16.505623,3.5086286,-1.8368967,-0.13611093,6.580336,-3.1997726,19.792261,-39.61655,61.372833,4.758718,1.002068,4.7677298,-7.362715,-14.287142,42.77534,61.4475,0.22398297,4.226449,-10.193093
1,0.5262413620948792,1.675386905670166,120.34244537353516,-0.391010782461889,0.8602187635815318,-94.7649169203546,-7.626064,4.2436743,8.128686,26.080912,-18.785372,-2.683583,-9.071785,-3.2579234,-5.488173,23.629385,-16.488955,3.54403,-1.9079014,-0.15423897,6.596584,-3.2081528,19.797144,-39.609577,61.333504,4.757762,1.0029776,4.749286,-7.3679447,-14.290326,42.738384,61.48559,0.13017268,4.287553,-10.222998
2,0.5525138974189758,1.6552422046661377,120.34422302246094,-0.3983066532639801,0.8659054755323133,-94.68753991647212,-7.6441464,4.20483,8.067036,26.10053,-18.788813,-2.6517844,-8.99684,-3.2985418,-5.5591908,23.531832,-16.47045,3.578747,-1.9630853,-0.17088915,6.618229,-3.232175,19.798065,-39.61525,61.302647,4.759584,1.0039433,4.72791,-7.357131,-14.302245,42.667656,61.501698,0.018107984,4.3548255,-10.24895
3,0.58253014087677,1.6338891983032227,120.34603118896484,-0.4042670094037833,0.8715092108781382,-94.61075928536914,-7.662425,4.163079,8.006039,26.121265,-18.793886,-2.619373,-8.925675,-3.341859,-5.6282125,23.442162,-16.455822,3.6149461,-2.0186357,-0.1872254,6.637208,-3.256709,19.792164,-39.6227,61.273342,4.757804,1.0043823,4.7117867,-7.350417,-14.318907,42.611416,61.52698,-0.07943101,4.4104486,-10.275069
4,0.6132973432540894,1.6163614988327026,120.34708404541016,-0.40728916392817915,0.8764449679641279,-94.53543491904527,-7.680386,4.1153264,7.946928,26.144108,-18.80249,-2.5857418,-8.864308,-3.391511,-5.6918006,23.37374,-16.451344,3.6547136,-2.0598097,-0.20723206,6.6591163,-3.2966595,19.773157,-39.639534,61.248665,4.752566,1.0030845,4.7052183,-7.335679,-14.353618,42.557133,61.547092,-0.16110055,4.439681,-10.298059
5,0.6489059925079346,1.5958666801452637,120.34734344482422,-0.4057320310607439,0.8797459706022445,-94.461167757268,-7.698054,4.059288,7.8891687,26.170382,-18.814148,-2.5508356,-8.812372,-3.44946,-5.748382,23.327364,-16.458368,3.6992884,-2.1063964,-0.23228393,6.6823483,-3.3289533,19.747904,-39.645298,61.2111,4.742884,0.99967945,4.713537,-7.342026,-14.391435,42.540318,61.601337,-0.20422871,4.4219494,-10.319871
6,0.6851759552955627,1.5762070417404175,120.34672546386719,-0.4016601178125794,0.8818552780412305,-94.38761778185999,-7.7135653,3.9974692,7.832543,26.195158,-18.827692,-2.515047,-8.766541,-3.5128033,-5.800131,23.29589,-16.47311,3.7473383,-2.1500416,-0.25384578,6.7080708,-3.373169,19.697416,-39.648228,61.185745,4.7331467,0.99329704,4.7339373,-7.3436637,-14.45926,42.542828,61.648785,-0.22080877,4.3734446,-10.338429
7,0.7236223816871643,1.5517354011535645,120.34390258789062,-0.39604357631286624,0.8850506758128489,-94.31580102815623,-7.732136,3.932123,7.7777057,26.225574,-18.846071,-2.4779263,-8.731871,-3.5806653,-5.849232,23.285131,-16.496914,3.797121,-2.1903017,-0.2756513,6.73203,-3.4186208,19.640453,-39.649494,61.154137,4.7254224,0.9873995,4.756475,-7.34653,-14.530878,42.55155,61.700325,-0.23363595,4.322181,-10.355554
8,0.770927906036377,1.5345734357833862,120.33956909179688,-0.39106569493760535,0.8915645759015697,-94.24627982165924,-7.7536345,3.8650305,7.7256002,26.257652,-18.871593,-2.4390838,-8.7130785,-3.651743,-5.8979807,23.300606,-16.53104,3.846977,-2.2224238,-0.29486552,6.751185,-3.466569,19.578825,-39.653034,61.113102,4.7248793,0.98446774,4.772698,-7.341304,-14.60627,42.547897,61.74231,-0.26722744,4.298044,-10.370893
9,0.8142746686935425,1.5153539180755615,120.33466339111328,-0.3867195030489374,0.9043559838181956,-94.18044585118035,-7.778791,3.796187,7.6779456,26.286873,-18.903751,-2.3991802,-8.715759,-3.726105,-5.947282,23.346762,-16.575624,3.8961391,-2.2433813,-0.3107302,6.762634,-3.5173433,19.51366,-39.65806,61.05887,4.739603,0.9897377,4.778603,-7.3242917,-14.686504,42.524837,61.76703,-0.3393745,4.3143277,-10.386968
