Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.025101374834775925,1.8352959156036377,77.98605346679688,-0.3256062798393321,-0.6377555234190767,-90.20114923703181,1.9244868,4.9721975,1.6511508,7.6762776,-11.061819,-5.546355,2.7436464,-4.533948,-12.269067,7.069577,-12.414495,4.0749335,-0.15142126,2.0456104,7.7107453,-0.63342077,14.01372,-43.18317,51.693783,-8.7964115,5.81093,14.203135,-7.047308,-8.784662,34.537678,64.97778,8.749339,2.1008196,-10.444686
1,-0.024798378348350525,1.8271468877792358,77.98924255371094,-0.3069040297754975,-0.5412957400775926,-90.22376621289185,1.8476154,4.951865,1.6811296,7.6287704,-11.037547,-5.528558,2.6402,-4.552037,-12.218978,7.070748,-12.475881,4.1133184,-0.13458337,2.025816,7.6486144,-0.6304404,14.024185,-43.178932,51.664646,-8.792503,5.8352036,14.225326,-7.0930414,-8.781798,34.549885,64.98636,8.73736,2.1156664,-10.425915
2,-0.024967024102807045,1.821768045425415,77.98950958251953,-0.28880396061774055,-0.44579409098672057,-90.24479657441867,1.7726623,4.9328623,1.7098981,7.5793138,-11.011949,-5.511758,2.539857,-4.569001,-12.171387,7.069609,-12.5367155,4.153803,-0.12139152,2.0082948,7.5873075,-0.6253479,14.034849,-43.171986,51.633896,-8.7854395,5.86126,14.248724,-7.136985,-8.780732,34.567104,64.99367,8.731606,2.1325655,-10.405898
3,-0.026113633066415787,1.8183106184005737,77.98744201660156,-0.2718841843004053,-0.34845712437423887,-90.26862776928809,1.6964765,4.9139132,1.7400813,7.5283766,-10.986007,-5.494671,2.4348357,-4.5845695,-12.12,7.0703745,-12.597132,4.1902037,-0.105522074,1.9900937,7.525473,-0.6244724,14.042065,-43.164864,51.60825,-8.7833185,5.882793,14.268638,-7.179973,-8.7816305,34.58296,64.99413,8.718181,2.1463163,-10.388456
4,-0.021827492862939835,1.8178750276565552,77.98658752441406,-0.2526755100908607,-0.24585276117158805,-90.29966729977667,1.6158776,4.894531,1.7739518,7.4774184,-10.961793,-5.4772654,2.3202863,-4.597337,-12.058735,7.0709987,-12.65433,4.216292,-0.08683568,1.9676232,7.4622006,-0.6282805,14.047848,-43.154408,51.586777,-8.795475,5.8932037,14.279777,-7.2229476,-8.783633,34.598297,64.98057,8.6842575,2.1516159,-10.378399
5,-0.025784719735383987,1.8099795579910278,77.98591613769531,-0.2353136835580901,-0.13534567230409092,-90.33995950476972,1.5291984,4.8788767,1.8104699,7.42169,-10.935228,-5.463397,2.190969,-4.6037316,-11.986048,7.0713787,-12.702833,4.224634,-0.07225393,1.9459891,7.3987765,-0.6278508,14.056667,-43.13039,51.55794,-8.826947,5.889573,14.278608,-7.274049,-8.787783,34.62469,64.95754,8.622178,2.1408005,-10.379664
6,-0.02775168977677822,1.8030743598937988,77.99120330810547,-0.22086283644608395,-0.0193536898359731,-90.38699966414022,1.4368598,4.867233,1.8486593,7.3660393,-10.909053,-5.452218,2.0508995,-4.6055584,-11.904767,7.072399,-12.745858,4.219345,-0.051900383,1.9242439,7.3335824,-0.6342601,14.063835,-43.106766,51.536026,-8.874608,5.8748493,14.268754,-7.325114,-8.791791,34.648457,64.92492,8.5365925,2.118379,-10.389068
7,-0.026760220527648926,1.8024041652679443,77.98832702636719,-0.195711460669702,0.09781898033942245,-90.43808019736267,1.3463087,4.844819,1.8927678,7.307885,-10.884366,-5.434094,1.9084668,-4.6168804,-11.814392,7.074416,-12.793986,4.2120056,-0.03905868,1.8896191,7.2703843,-0.63468015,14.076162,-43.067863,51.504677,-8.921275,5.8557754,14.252847,-7.3784137,-8.798643,34.68077,64.87736,8.450864,2.0990078,-10.399524
8,-0.03153638914227486,1.8058528900146484,77.9779281616211,-0.1527697488257531,0.21165600745007596,-90.49040015983246,1.2608174,4.8045993,1.9453171,7.2533097,-10.867024,-5.4000955,1.7337652,-4.6523476,-11.713176,7.1611733,-12.901586,4.2143183,-0.024570506,1.8351866,7.2095885,-0.6344763,14.091313,-43.025932,51.467785,-8.956179,5.838127,14.236323,-7.425911,-8.806307,34.704018,64.807526,8.379676,2.0966518,-10.403655
9,-0.034373920410871506,1.8029896020889282,77.96127319335938,-0.10605921315711862,0.3359968739468476,-90.54330120831203,0.9450866,4.768771,1.986068,7.6670165,-11.102046,-5.344385,1.508427,-4.698051,-11.602474,7.3366184,-13.059778,4.2292924,-0.009793249,1.7749803,7.1373,-0.6343441,14.109024,-42.98183,51.42937,-8.979696,5.8231196,14.220714,-7.469764,-8.81391,34.71478,64.718025,8.334134,2.1215649,-10.401419
10,-0.04381413385272026,1.7992470264434814,77.94136047363281,-0.05044357678244603,0.4670143974266131,-90.5991410742248,0.5869383,4.7260256,2.0310516,8.1591835,-11.382321,-5.2718816,0.89761746,-4.8298254,-11.451102,8.32768,-13.653631,4.252557,0.009983182,1.704135,7.0563626,-0.6397868,14.123225,-42.940952,51.398357,-8.999399,5.807152,14.205337,-7.509971,-8.8190155,34.712513,64.61396,8.300686,2.163895,-10.396894
11,-0.05622159317135811,1.7925729751586914,77.9168701171875,0.01059530617827031,0.578425022086976,-90.65227810979847,0.23882003,4.6773987,2.0757415,8.683759,-11.684854,-5.191946,0.30852562,-4.9653306,-11.2960205,9.329045,-14.280133,4.276478,0.01854775,1.623573,6.9985795,-0.6330064,14.152869,-42.881123,51.339542,-9.004362,5.7916007,14.183074,-7.549778,-8.828246,34.716244,64.487015,8.267096,2.207896,-10.38535
