Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.2076975256204605,-3.121342420578003,78.02122497558594,1.3260838337293785,-4.343948506770535,89.54902834790231,1.6839073,6.5578485,3.961234,11.866616,-7.458958,-10.063989,3.4056883,-10.106017,-7.4996123,14.8841715,-13.781881,11.314818,-3.555548,0.21499386,7.4509487,-2.2976954,29.06309,-48.60253,44.656578,20.950436,-5.167921,-5.7104044,-0.1301161,-15.59293,27.701353,57.893425,-11.236926,-2.016902,-3.9847493
1,-0.22331558167934418,-3.1511776447296143,78.01583099365234,1.3317195574154483,-4.405576969131188,89.59504721188618,1.6595236,6.5301332,3.9074085,11.994499,-7.4937735,-10.048345,3.43854,-10.139877,-7.5300345,14.94989,-13.799549,11.324777,-3.6001775,0.19568689,7.4507694,-2.1666195,29.153595,-48.551167,44.51933,20.93391,-5.184783,-5.720516,0.023184162,-15.591917,27.552109,57.724453,-11.338176,-1.9162459,-4.074071
2,-0.23466162383556366,-3.172184944152832,78.01094055175781,1.3373844045424013,-4.466677574985324,89.6397473062473,1.6339648,6.5033736,3.853974,12.12481,-7.529758,-10.0341015,3.4707994,-10.172819,-7.5601044,15.015202,-13.817341,11.3341465,-3.6374567,0.17862482,7.4536004,-2.040708,29.23856,-48.503662,44.3872,20.908932,-5.1997323,-5.7286725,0.17599306,-15.597591,27.400213,57.55663,-11.427797,-1.8281512,-4.1490564
3,-0.2504364252090454,-3.19061541557312,78.00778198242188,1.3421594376099035,-4.528768578487045,89.68711556117601,1.6108595,6.474442,3.799905,12.250151,-7.563449,-10.017315,3.505497,-10.207315,-7.591118,15.078455,-13.833178,11.344553,-3.6764984,0.16321705,7.4513893,-1.9258289,29.31545,-48.46692,44.26595,20.898603,-5.218864,-5.7385488,0.3480349,-15.606095,27.238014,57.364815,-11.539796,-1.7142307,-4.248576
4,-0.269436776638031,-3.2100915908813477,78.00519561767578,1.3491351529986626,-4.592828466666141,89.74091403483126,1.5931259,6.440007,3.7441473,12.364385,-7.591648,-9.994021,3.545073,-10.246292,-7.624151,15.139807,-13.84617,11.357254,-3.7165978,0.14542876,7.4405704,-1.8215725,29.40498,-48.453262,44.13474,20.923716,-5.2467732,-5.7553167,0.56851965,-15.616672,27.043613,57.11111,-11.71095,-1.5363849,-4.409157
5,-0.28646406531333923,-3.2377350330352783,78.00157928466797,1.357876564173993,-4.660582886158628,89.8030458876025,1.5869812,6.399855,3.6875997,12.458075,-7.6109324,-9.961947,3.5979342,-10.288486,-7.6600857,15.187405,-13.851447,11.373153,-3.7594388,0.12594028,7.4199595,-1.7329863,29.506166,-48.47236,43.993202,20.991049,-5.2890596,-5.7819796,0.8429635,-15.62447,26.802486,56.78424,-11.940262,-1.277559,-4.648795
6,-0.3115144968032837,-3.2568469047546387,78.00096130371094,1.365898172973505,-4.731042306514249,89.87129746173447,1.5868493,6.3556395,3.6301339,12.541704,-7.6264462,-9.923597,3.6583376,-10.333255,-7.697773,15.228766,-13.853079,11.391229,-3.8020263,0.10334051,7.3930697,-1.6526201,29.621746,-48.514633,43.837383,21.090185,-5.3410954,-5.816074,1.1563721,-15.628495,26.524256,56.40405,-12.212647,-0.9597127,-4.944312
7,-0.33564069867134094,-3.28076171875,78.00204467773438,1.3765798052578406,-4.801181271849993,89.94302686724379,1.5861206,6.306285,3.5702555,12.622215,-7.6386895,-9.882081,3.7150474,-10.3833475,-7.7369084,15.27779,-13.854858,11.410587,-3.8481562,0.07562021,7.358684,-1.5778027,29.752752,-48.567387,43.675953,21.207817,-5.394116,-5.852231,1.496355,-15.63015,26.242031,55.99332,-12.536316,-0.6023148,-5.2721705
8,-0.3564043641090393,-3.3027637004852295,78.0019760131836,1.3886139502891828,-4.868367815899813,90.01590486679154,1.5733544,6.2510114,3.505845,12.716763,-7.6537395,-9.840643,3.75359,-10.441615,-7.7766805,15.354087,-13.863402,11.430315,-3.9021752,0.040939827,7.3152747,-1.5022811,29.898579,-48.613266,43.517036,21.335,-5.4392486,-5.885196,1.8507459,-15.6329365,25.989756,55.57437,-12.919934,-0.2247856,-5.6088142
9,-0.3843223452568054,-3.329345703125,78.00165557861328,1.4034963691725695,-4.92926611719831,90.09089740530537,1.5413495,6.188282,3.432277,12.83097,-7.672257,-9.7995405,3.766908,-10.509702,-7.8181868,15.465112,-13.880173,11.450613,-3.9678602,0.00016223,7.2590547,-1.4254534,30.059767,-48.651318,43.35932,21.48845,-5.4764147,-5.910034,2.2253988,-15.637126,25.764305,55.127804,-13.4058695,0.19697717,-5.9737306
