Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.28955546021461487,2.154595136642456,40.194297790527344,-4.395224690909961,-1.4494637499128495,-90.20737673255452,8.993571,12.84557,-0.9169449,130.35458,-47.55383,5.949713,8.511852,11.292874,7.37494,120.27431,-14.404168,15.000033,-0.12123937,0.123318724,15.245212,-16.690231,9.079793,-56.61691,70.93998,-0.7321275,-3.4977715,-9.128233,-12.880889,-8.306042,48.60644,61.74641,-3.1944966,-1.8819249,-7.5155444
1,-0.28084293007850647,2.133392810821533,40.195953369140625,-4.415891908757617,-1.43228849985983,-90.16952020687089,8.990219,12.867353,-0.93547356,130.3426,-47.554424,5.9655657,8.540584,11.339627,7.3828406,120.20539,-14.399652,15.000033,-0.086167604,0.16880858,15.201288,-16.668186,9.0642805,-56.383556,70.90297,-0.79232866,-3.4837031,-9.092194,-12.858162,-8.285114,48.565117,61.81603,-3.1860952,-1.8508155,-7.48779
2,-0.2705957293510437,2.1120083332061768,40.196922302246094,-4.436709019987699,-1.4147852517767068,-90.13167555737436,8.986057,12.890189,-0.9546607,130.33195,-47.55522,5.9819903,8.568654,11.386908,7.390403,120.136314,-14.395817,15.000033,-0.06714275,0.21469381,15.158721,-16.641981,9.046662,-56.12987,70.86584,-0.8473442,-3.4693003,-9.056624,-12.839741,-8.267304,48.54298,61.88033,-3.1714344,-1.817274,-7.458752
3,-0.25810104608535767,2.088836193084717,40.20003128051758,-4.455410129133759,-1.3978280538922359,-90.09377373212499,8.9836645,12.911007,-0.9726942,130.31877,-47.555817,5.9971166,8.598077,11.433429,7.399212,120.066536,-14.390702,15.000033,-0.03951389,0.2619562,15.115769,-16.617115,9.031541,-55.88152,70.82587,-0.89959913,-3.4558573,-9.020205,-12.814206,-8.255988,48.513958,61.941624,-3.1597464,-1.7853421,-7.433033
4,-0.24833786487579346,2.0628700256347656,40.201499938964844,-4.470058395714024,-1.3823304711109399,-90.05580125007538,8.985861,12.926769,-0.98796195,130.29935,-47.555798,6.008835,8.630947,11.478775,7.4110947,119.99546,-14.382163,15.000033,-0.018714998,0.312801,15.0721655,-16.592451,9.014264,-55.599968,70.78984,-0.9262614,-3.4466803,-8.983489,-12.791364,-8.245895,48.495407,62.01867,-3.1522927,-1.7575059,-7.415461
5,-0.2390870600938797,2.037720203399658,40.20475387573242,-4.476885302826826,-1.3677739561098654,-90.0167288676781,8.993435,12.936186,-0.99901897,130.27315,-47.55581,6.0162253,8.667627,11.523012,7.427715,119.92238,-14.3690405,15.000033,0.008921214,0.3673609,15.0259495,-16.56815,8.998059,-55.295498,70.7502,-0.92625535,-3.4421017,-8.943234,-12.762722,-8.2388115,48.470634,62.112923,-3.1528804,-1.7377474,-7.4125957
6,-0.2308126538991928,2.009450912475586,40.20610046386719,-4.478660430101049,-1.3539636756680558,-89.97692979378304,9.00467,12.940859,-1.0069294,130.24168,-47.555428,6.0206265,8.706898,11.56624,7.4479113,119.84686,-14.352416,15.000033,0.041783415,0.4242467,14.9781275,-16.543488,8.984157,-54.975246,70.70603,-0.9073671,-3.4405406,-8.900595,-12.729802,-8.235074,48.44049,62.219086,-3.160317,-1.7237078,-7.4199567
7,-0.22016596794128418,1.9819600582122803,40.20891189575195,-4.480076671667613,-1.3419594099260228,-89.93832152733681,9.019401,12.9426985,-1.0144341,130.20561,-47.553898,6.0228844,8.749079,11.60755,7.4685435,119.771774,-14.334693,15.000033,0.06549914,0.48342827,14.931054,-16.519672,8.969797,-54.63808,70.66886,-0.8783757,-3.4413588,-8.860822,-12.702739,-8.232832,48.428898,62.331955,-3.1665967,-1.7084986,-7.42695
8,-0.21131746470928192,1.9531320333480835,40.21110916137695,-4.479128691814765,-1.332806872086766,-89.90312917309282,9.038072,12.942843,-1.024121,130.16794,-47.54988,6.0239463,8.793465,11.644544,7.486651,119.69802,-14.31733,15.000033,0.10654805,0.542301,14.88447,-16.505041,8.9597435,-54.348274,70.64358,-0.874522,-3.4413319,-8.827185,-12.673124,-8.232588,48.413197,62.43742,-3.1745515,-1.6866593,-7.423106
9,-0.20655624568462372,1.926593542098999,40.2127799987793,-4.480532987237493,-1.3285870441526935,-89.87330419288267,9.064829,12.941834,-1.0354196,130.12749,-47.54337,6.0237613,8.842944,11.677985,7.503198,119.62544,-14.299781,15.000033,0.18041879,0.59945625,14.835616,-16.50165,8.954906,-54.13945,70.63812,-0.9109661,-3.439384,-8.795665,-12.633137,-8.233286,48.390232,62.532448,-3.1797314,-1.6512419,-7.404525
