Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.8311433792114258,-0.09527460485696793,76.25347900390625,0.08374564283936838,-0.5616711563279597,0.5620091742583893,5.849941,10.355162,18.093906,7.067977,-12.476221,-8.6854515,4.5927806,-7.294287,-19.034206,6.8782396,-8.1608,7.208143,-0.7183289,0.17612192,8.2506,3.8390293,9.212469,-17.53771,63.647327,1.0673153,2.8989103,18.284208,-0.47981253,-6.4738507,10.398869,67.26311,-11.295253,3.0451875,-7.736192
1,-1.8257521390914917,-0.09512288123369217,76.25338745117188,0.07785804355185139,-0.5562183739927973,0.572639729230029,5.84232,10.364413,18.075548,7.0672894,-12.4868,-8.69389,4.5934887,-7.284858,-19.043324,6.877987,-8.167893,7.211752,-0.71797955,0.17844848,8.242629,3.8346498,9.216403,-17.528336,63.649162,1.0398331,2.8685277,18.290308,-0.4757931,-6.4711275,10.390325,67.249985,-11.280403,3.0421016,-7.7448125
2,-1.819878101348877,-0.09363964200019836,76.25210571289062,0.07171986945022293,-0.5501447279484739,0.5824941296019418,5.8337564,10.374161,18.056793,7.0684485,-12.500457,-8.701064,4.5932746,-7.2748246,-19.051619,6.8775616,-8.175226,7.2166667,-0.7158691,0.18110882,8.234728,3.8294342,9.219956,-17.515848,63.651546,1.0103648,2.8342564,18.295385,-0.47060063,-6.468843,10.379033,67.234436,-11.2671585,3.0388856,-7.752955
3,-1.8167370557785034,-0.09509822726249695,76.25009155273438,0.06595798497530148,-0.5453059810358465,0.5939573317878025,5.8265347,10.383048,18.038698,7.0681953,-12.509561,-8.710646,4.5954165,-7.2657876,-19.061586,6.8765793,-8.18171,7.218977,-0.71716076,0.18218318,8.231907,3.8212054,9.226283,-17.499714,63.65271,0.99325216,2.8071992,18.297146,-0.46807972,-6.464976,10.363399,67.21901,-11.25972,3.0349288,-7.7578225
4,-1.8146790266036987,-0.0962928757071495,76.2482681274414,0.06151698796922858,-0.5429593222125931,0.6090513577834193,5.82217,10.38859,18.022333,7.067052,-12.510455,-8.725936,4.6009517,-7.260262,-19.075195,6.8757725,-8.185859,7.2149315,-0.7274724,0.18366534,8.231033,3.8138976,9.23025,-17.494778,63.651424,0.99079806,2.8001177,18.30088,-0.4741101,-6.463124,10.356774,67.21616,-11.248599,3.029727,-7.7617993
5,-1.8092591762542725,-0.09835171699523926,76.24556732177734,0.05796383199912198,-0.5442796631322578,0.6300572023444488,5.820724,10.391173,18.009138,7.0662365,-12.496804,-8.755209,4.6115313,-7.259304,-19.093931,6.8765197,-8.186267,7.198103,-0.75117606,0.18374807,8.237287,3.8054466,9.239257,-17.502293,63.642246,1.0121623,2.8286111,18.299706,-0.4947495,-6.4603834,10.353751,67.22917,-11.236417,3.0206368,-7.7607527
6,-1.8044633865356445,-0.10062260925769806,76.24565887451172,0.05520800190967795,-0.5481833213561027,0.6551811604032002,5.8223004,10.390913,17.998297,7.0639386,-12.472284,-8.794057,4.6257067,-7.261743,-19.116158,6.878001,-8.18379,7.1723804,-0.7855177,0.18535006,8.246059,3.7972896,9.245689,-17.520721,63.629574,1.0496839,2.8827395,18.298141,-0.5209647,-6.460049,10.358711,67.250465,-11.221125,3.00985,-7.758041
7,-1.7987565994262695,-0.10571634769439697,76.24650573730469,0.0540771985746417,-0.5529022846215567,0.6808757833583736,5.82453,10.388566,17.986996,7.061946,-12.448564,-8.827393,4.64104,-7.2659583,-19.140125,6.8790154,-8.181984,7.1492352,-0.81806517,0.1859623,8.2554455,3.790021,9.253632,-17.546566,63.617374,1.089451,2.9335284,18.300856,-0.5499882,-6.461428,10.366793,67.27739,-11.203759,2.999751,-7.75483
8,-1.8053945302963257,-0.10850276798009872,76.2479019165039,0.05559155154978954,-0.5564408112433432,0.7034093759459846,5.825084,10.384541,17.972399,7.060894,-12.436617,-8.840144,4.6542983,-7.2706933,-19.16353,6.8794274,-8.18525,7.14021,-0.8392636,0.18353444,8.264563,3.7858179,9.26415,-17.570229,63.607376,1.1213816,2.9530706,18.312662,-0.57131344,-6.4648495,10.373739,67.29674,-11.19021,2.994024,-7.752376
9,-1.8060085773468018,-0.11174383014440536,76.24887084960938,0.062339274905020295,-0.5599174978187199,0.7221175329016126,5.824328,10.376031,17.951881,7.062169,-12.443253,-8.819672,4.66704,-7.278513,-19.187683,6.879069,-8.197271,7.1558166,-0.8486244,0.17417063,8.273225,3.7790396,9.271974,-17.577965,63.61421,1.1518507,2.9196982,18.342293,-0.58851564,-6.468363,10.378933,67.313835,-11.184393,2.9948196,-7.7534375
10,-1.798866868019104,-0.11222697794437408,76.25016021728516,0.0732134277772289,-0.5639509624268507,0.7386359675849778,5.823595,10.363458,17.92794,7.06457,-12.461503,-8.776821,4.6794505,-7.2892942,-19.212893,6.8792768,-8.215676,7.187457,-0.8496194,0.1602317,8.281856,3.7729125,9.276573,-17.579147,63.62901,1.1836544,2.8541615,18.385386,-0.60124755,-6.4709067,10.383499,67.32856,-11.183675,3.0003834,-7.7571955
11,-1.793760061264038,-0.11369244009256363,76.24822998046875,0.08271871736019698,-0.5658720164443997,0.7539365493605756,5.8205624,10.353521,17.903631,7.0668774,-12.48114,-8.732103,4.6895046,-7.297127,-19.236929,6.878048,-8.233099,7.2178617,-0.8542709,0.14640853,8.2930355,3.7742922,9.291606,-17.574982,63.632526,1.2103626,2.786223,18.420916,-0.62199295,-6.4796424,10.399014,67.346924,-11.179389,3.005625,-7.756301
12,-1.7916563749313354,-0.11462780088186264,76.24613952636719,0.08600499899655105,-0.5625850029247575,0.7678392729699993,5.812013,10.352141,17.883335,7.068418,-12.4922285,-8.705874,4.692299,-7.2972937,-19.256556,6.877291,-8.243928,7.2298164,-0.85761905,0.13937272,8.298252,3.766681,9.300702,-17.577314,63.642406,1.237784,2.74845,18.442907,-0.6457657,-6.485907,10.411048,67.37035,-11.1844845,3.0102992,-7.7559886
13,-1.788486361503601,-0.11538612842559814,76.24413299560547,0.07916134388356806,-0.5504206624418051,0.77926386242267,5.794707,10.364484,17.867727,7.068314,-12.49248,-8.705015,4.683482,-7.2848473,-19.270199,6.876956,-8.244868,7.212968,-0.86748856,0.14352094,8.300556,3.7718954,9.320325,-17.587591,63.6223,1.2629911,2.7569656,18.435736,-0.6746259,-6.5017076,10.43626,67.39196,-11.185734,3.0120943,-7.748679
14,-1.786393642425537,-0.11749261617660522,76.24394989013672,0.06567936479588243,-0.5319516764865484,0.7883046691248619,5.7700253,10.386438,17.85485,7.0684958,-12.487521,-8.718216,4.665513,-7.264036,-19.279541,6.8779078,-8.240185,7.1784334,-0.87364364,0.15505253,8.296429,3.7665656,9.336101,-17.605701,63.610245,1.2907712,2.7909079,18.415222,-0.7087135,-6.5166783,10.458807,67.42137,-11.194316,3.0129728,-7.7412276
