Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.224745750427246,0.12160895764827728,78.30123901367188,-0.25679669057114296,-2.591711676842431,-3.060638933355244,4.271109,2.6099794,7.934047,8.627093,-10.613223,-2.471762,3.254701,-1.8498164,-13.604023,9.022195,-12.347078,-1.5196627,-0.6607651,2.5445118,8.879472,0.06279441,14.284412,-46.679928,52.269535,-3.592252,7.6396303,15.313213,-6.6899962,-8.619993,44.074444,64.35997,11.960285,4.470696,-8.095074
1,-2.238579511642456,0.12989968061447144,78.30372619628906,-0.22635725275341662,-2.5582428388379665,-3.0120913073757687,4.213884,2.540011,7.882572,8.605369,-10.561109,-2.4299996,3.2278874,-1.9286327,-13.664535,8.988569,-12.308708,-1.410696,-0.6750055,2.5456452,8.909514,0.021621192,14.307448,-46.72213,52.236744,-3.6085944,7.636697,15.271061,-6.7425,-8.614098,44.25876,64.45881,12.046153,4.2074876,-8.450826
2,-2.259817361831665,0.14127133786678314,78.3077621459961,-0.19532876028400115,-2.531123211504897,-2.966145270714446,4.164687,2.4703524,7.8323646,8.584916,-10.511273,-2.3861256,3.2080047,-2.0072715,-13.723182,8.95789,-12.273763,-1.3002417,-0.6926005,2.5466065,8.943227,-0.02131105,14.32063,-46.754997,52.219173,-3.620343,7.6312957,15.228,-6.7866073,-8.616932,44.46631,64.54834,12.141541,3.929525,-8.825381
3,-2.2801666259765625,0.18299998342990875,78.31637573242188,-0.16556684362920698,-2.4912944763535827,-2.9152633203232274,4.100772,2.40021,7.779895,8.559446,-10.455633,-2.3464558,3.1756077,-2.085426,-13.785946,8.92087,-12.233759,-1.191188,-0.7139794,2.5515316,8.970258,-0.07777771,14.327126,-46.78723,52.210293,-3.630702,7.6249,15.18424,-6.833568,-8.624976,44.647095,64.62723,12.220616,3.6831994,-9.159845
4,-2.2997851371765137,0.21432970464229584,78.31953430175781,-0.14014615027780478,-2.418769327749946,-2.849506725608384,4.0001693,2.3292,7.71947,8.5182495,-10.383422,-2.3171132,3.1096222,-2.1625586,-13.860656,8.870793,-12.1818,-1.0863973,-0.7652959,2.5697002,8.9750185,-0.13723513,14.330457,-46.815594,52.190865,-3.6498468,7.6189494,15.149965,-6.896673,-8.638868,44.796707,64.69173,12.288929,3.5168908,-9.403965
5,-2.331418037414551,0.2407822459936142,78.3246841430664,-0.11688948281556341,-2.3027133405750795,-2.7704242941232167,3.8520467,2.255238,7.653912,8.456389,-10.290051,-2.3013475,2.9962902,-2.2411792,-13.946165,8.806591,-12.115641,-0.9843621,-0.83595127,2.5950615,8.953623,-0.21632229,14.331701,-46.850014,52.167606,-3.6965156,7.607148,15.127108,-6.978551,-8.6563425,44.863514,64.73031,12.313476,3.463637,-9.51881
6,-2.3545210361480713,0.2733442783355713,78.32694244384766,-0.09607295068342797,-2.155160208108962,-2.680750719169638,3.672062,2.1797493,7.583797,8.374589,-10.17876,-2.2957656,2.8498855,-2.3201275,-14.040157,8.73204,-12.039966,-0.8842591,-0.9220899,2.6270778,8.911259,-0.30555904,14.331971,-46.891956,52.13866,-3.7652726,7.5916805,15.114439,-7.071799,-8.674406,44.87472,64.74959,12.312116,3.491421,-9.543241
7,-2.396782398223877,0.3192025125026703,78.3319320678711,-0.08406845063755221,-1.993288087108385,-2.5780019174138076,3.4684722,2.1099367,7.5046425,8.296563,-10.064866,-2.2976093,2.6900334,-2.3933437,-14.14403,8.64731,-11.954893,-0.79060584,-0.96432704,2.6825583,8.868521,-0.44275737,14.326271,-46.99641,52.12341,-3.826875,7.584275,15.101227,-7.1215434,-8.752801,44.808502,64.69177,12.297907,3.554725,-9.520349
8,-2.4446887969970703,0.371172696352005,78.3262939453125,-0.11704005347882711,-1.8270300516358853,-2.45017709676064,2.9273603,2.1274107,7.3868365,8.915253,-10.314682,-2.3092692,2.546793,-2.4176543,-14.273391,8.517722,-11.843751,-0.7124665,-1.0226667,2.8015482,8.830453,-0.5867315,14.3099165,-47.07015,52.108646,-3.7955155,7.597248,15.060786,-7.174665,-8.852027,44.753345,64.64679,12.296252,3.5991423,-9.496797
9,-2.488516092300415,0.42993682622909546,78.32362365722656,-0.15757938955731957,-1.665925867414579,-2.313886905240471,2.36103,2.1505353,7.2633476,9.598412,-10.601986,-2.3045094,2.400729,-2.4388263,-14.403544,8.408757,-11.737868,-0.6562603,-1.1063175,2.9345918,8.787926,-0.7003751,14.30286,-47.08774,52.07632,-3.604514,7.66587,14.983154,-7.285394,-8.880657,44.740784,64.73128,12.3242445,3.6061676,-9.486549
10,-2.5622384548187256,0.47588375210762024,78.3165054321289,-0.20778061878740683,-1.5015816012131273,-2.167748188288064,1.7464445,2.182917,7.132017,10.372174,-10.94115,-2.29224,2.2515063,-2.4527586,-14.538149,8.298534,-11.625957,-0.6168392,-1.1555257,3.11054,8.75713,-0.86261636,14.251848,-47.12192,52.08128,-3.3070402,7.7683897,14.882575,-7.3262124,-9.020369,44.690197,64.700836,12.362733,3.6196291,-9.452791
11,-2.5867350101470947,0.5448087453842163,78.30902862548828,-0.278452859526632,-1.3349959707382384,-1.9967393226662329,1.0712901,2.2358606,6.9747105,11.245354,-11.321085,-2.3129065,2.10935,-2.447731,-14.6972685,8.162937,-11.499733,-0.57509357,-1.2222794,3.3170173,8.736727,-1.0469182,14.189486,-47.14461,52.10141,-3.027195,7.8430896,14.776268,-7.382337,-9.16835,44.65463,64.687874,12.406113,3.631594,-9.412176
12,-2.6508727073669434,0.6290102601051331,78.29344940185547,-0.38105117272156436,-1.1676563295678775,-1.7862565850984655,0.3326214,2.3194222,6.7736797,12.209601,-11.7253275,-2.4100888,1.9887373,-2.4111035,-14.900542,7.970891,-11.347554,-0.51152813,-1.3063216,3.559129,8.742183,-1.2791585,14.1237,-47.18001,52.144,-2.896416,7.8267236,14.684187,-7.457307,-9.325667,44.628433,64.67983,12.439331,3.6450953,-9.370598
13,-2.7243118286132812,0.7102946043014526,78.2702865600586,-0.5187429255129692,-0.9750543483187897,-1.5155306569492293,-0.53032964,2.4290953,6.499312,13.311584,-12.1711,-2.5661192,1.8715067,-2.33962,-15.169489,7.69657,-11.15627,-0.40653536,-1.4202739,3.8370233,8.763626,-1.5794886,14.063433,-47.24765,52.215405,-3.0090792,7.6816993,14.615414,-7.5594378,-9.492379,44.605606,64.67218,12.446622,3.6649418,-9.32698
14,-2.6993906497955322,0.7736173272132874,78.25767517089844,-0.6809174263827777,-0.7649790097203824,-1.1990166902570227,-1.494418,2.554479,6.17163,14.5393,-12.661454,-2.7690585,1.758422,-2.243201,-15.486869,7.3621044,-10.934456,-0.27491957,-1.5550803,4.142644,8.801346,-1.9277884,14.012,-47.33536,52.30047,-3.277368,7.449896,14.557202,-7.681438,-9.669006,44.584274,64.6666,12.437872,3.6883101,-9.278298
15,-2.885464668273926,0.8740376830101013,78.221923828125,-0.8576331833715459,-0.5872103062536638,-0.8743714425385573,-2.4460545,2.6980917,5.848739,15.81377,-13.16706,-3.0650244,1.6796235,-2.1339016,-15.81333,7.034169,-10.716908,-0.14863013,-1.6874304,4.467087,8.883577,-2.2839057,13.9676,-47.41193,52.37257,-3.5584478,7.187253,14.496528,-7.808085,-9.857667,44.576576,64.66481,12.440046,3.7066097,-9.228848
16,-3.0468058586120605,0.9790263175964355,78.18628692626953,-1.0416139635193564,-0.49114729879452623,-0.5784096529015691,-3.2716305,2.8676138,5.5882487,17.0544,-13.658508,-3.4994853,1.556559,-2.05595,-16.1067,7.017182,-10.664535,-0.057961784,-1.7946368,4.8045692,9.036946,-2.608939,13.924844,-47.4452,52.40892,-3.7090392,6.949296,14.422248,-7.9225674,-10.061245,44.59428,64.667,12.479098,3.7115037,-9.183033
