Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.3873870372772217,2.4837234020233154,78.72648620605469,-0.7609944771140627,0.17213863073459854,-93.44004584870441,5.793395,4.818926,17.084566,7.2562237,-13.367913,-4.5255766,3.9236119,-4.16439,-19.804926,6.932111,-10.276832,4.8059173,-0.014438435,0.19199751,3.8852265,-2.5999799,11.9152565,-41.01767,65.59579,-6.7309704,6.6130047,5.548253,-2.330489,-10.630883,43.549038,66.02349,-1.2831547,1.004452,-6.2251163
1,0.38129723072052,2.5057218074798584,78.732666015625,-0.7616922720710614,0.22263617711813344,-93.4225023737237,5.5946164,4.86783,17.0677,7.489797,-13.39605,-4.5444584,3.842759,-4.1558504,-19.82643,6.931198,-10.2417965,4.771391,-0.009872398,0.19843005,3.8708365,-2.6353114,11.928801,-41.015747,65.58147,-6.746036,6.603187,5.557509,-2.356747,-10.629325,43.565918,66.02887,-1.2758412,0.9916707,-6.24539
2,0.373796284198761,2.5337376594543457,78.73966217041016,-0.7631385862435546,0.27191262042539377,-93.40514213282675,5.371061,4.924275,17.049162,7.783394,-13.458786,-4.564195,3.764459,-4.1482387,-19.847763,6.930313,-10.208448,4.7373614,-0.003922484,0.20555323,3.8548522,-2.6732569,11.936253,-41.01599,65.57529,-6.7613764,6.591832,5.566876,-2.3793283,-10.628556,43.58,66.03362,-1.2697886,0.9786542,-6.2657228
3,0.36297106742858887,2.575993061065674,78.74845886230469,-0.7653919713489284,0.32392993347778104,-93.3870125015722,5.127051,4.988408,17.027563,8.11029,-13.5324135,-4.5846386,3.6807601,-4.137467,-19.869865,6.9293065,-10.171556,4.702043,-0.0028906893,0.21315122,3.8406072,-2.709841,11.950307,-41.010468,65.561356,-6.776565,6.5821366,5.5758753,-2.4094186,-10.627046,43.603844,66.04006,-1.2589425,0.96626765,-6.2860975
4,0.34882888197898865,2.618332624435425,78.75691986083984,-0.7724685109464824,0.38202894953581495,-93.36690495864808,4.834333,5.0709825,16.998293,8.514059,-13.629014,-4.606115,3.5839853,-4.1192536,-19.89385,6.926805,-10.124496,4.6638026,0.0061601736,0.2267889,3.8281078,-2.7570713,11.95903,-41.001915,65.55003,-6.780821,6.576775,5.5862775,-2.443607,-10.626105,43.61594,66.04435,-1.2561074,0.9558794,-6.303448
5,0.3376271724700928,2.664449453353882,78.76473999023438,-0.7853212953251942,0.44644020828754627,-93.3470854815707,4.4879236,5.175525,16.964476,9.007146,-13.757134,-4.6284223,3.472747,-4.0915217,-19.917353,6.924401,-10.067128,4.6230097,0.012153153,0.24470182,3.8223555,-2.80581,11.980934,-40.976807,65.5215,-6.7693276,6.579826,5.5956,-2.4951563,-10.623371,43.63343,66.05074,-1.256795,0.94926965,-6.316113
6,0.3202381730079651,2.7280707359313965,78.7743148803711,-0.8030090253211563,0.5156245615224306,-93.32706751068271,4.1025424,5.2961397,16.926966,9.564606,-13.907765,-4.652053,3.350429,-4.056562,-19.940866,6.922258,-10.00198,4.5802636,0.031533286,0.27009147,3.8148248,-2.8707192,11.991014,-40.96182,65.506805,-6.7522197,6.587693,5.6077657,-2.5475557,-10.622216,43.63903,66.0567,-1.262526,0.94547796,-6.3256745
7,0.30309516191482544,2.7821707725524902,78.78215026855469,-0.8238409632019906,0.5905620893545895,-93.302458375151,3.6774445,5.4301567,16.87743,10.179065,-14.069243,-4.6785307,3.217981,-4.015257,-19.969429,6.91848,-9.930236,4.53377,0.037966967,0.29422188,3.8167856,-2.9282584,12.024176,-40.921307,65.46419,-6.729294,6.595898,5.615568,-2.6137948,-10.617323,43.648186,66.061745,-1.2732714,0.94025123,-6.3346415
8,0.2830580174922943,2.846916675567627,78.79136657714844,-0.8466851851194914,0.6727307799044011,-93.26878848661497,3.210039,5.5758033,16.807734,10.8456955,-14.231227,-4.709317,3.0733387,-3.9696028,-20.007923,6.915258,-9.854027,4.4818277,0.04875354,0.31837624,3.816047,-3.0033903,12.050059,-40.888226,65.44032,-6.723399,6.5943866,5.6231403,-2.672212,-10.612727,43.644146,66.0601,-1.2866107,0.92994344,-6.347909
9,0.25896966457366943,2.9287755489349365,78.7997055053711,-0.871002989123953,0.7683091871018374,-93.22037123850565,2.684375,5.735102,16.708273,11.579902,-14.396617,-4.7464023,2.911234,-3.918788,-20.060394,6.910276,-9.771159,4.424342,0.047020756,0.33999684,3.812311,-3.081579,12.083729,-40.84379,65.41274,-6.7323875,6.583557,5.627104,-2.728767,-10.604912,43.630993,66.05328,-1.3087429,0.910494,-6.3687544
10,0.22836709022521973,3.0000288486480713,78.80982208251953,-0.8978512778661344,0.8747408200157594,-93.1611159437522,2.1066065,5.9078937,16.58554,12.3776865,-14.568168,-4.7889295,2.7332115,-3.8623412,-20.12319,6.905516,-9.682355,4.3617935,0.036657598,0.35530034,3.8087702,-3.159228,12.139006,-40.79195,65.371475,-6.753962,6.566629,5.626318,-2.787634,-10.588442,43.60917,66.04644,-1.3400458,0.8824583,-6.39478
11,0.1974828541278839,3.0870203971862793,78.82273864746094,-0.9271720270931928,0.9794489443438039,-93.10081435894321,1.5111408,6.0876245,16.455465,13.203239,-14.736342,-4.8333125,2.5529854,-3.801033,-20.190449,6.9008174,-9.59121,4.293874,0.035348006,0.37800726,3.8116598,-3.2523115,12.178762,-40.73866,65.34515,-6.7766066,6.544673,5.6282873,-2.8472154,-10.575327,43.581783,66.037056,-1.366802,0.8567164,-6.418957
12,0.167506605386734,3.1771295070648193,78.8326644897461,-0.9585953888461759,1.0699114217806094,-93.04921662827205,0.9291912,6.268961,16.333775,14.027207,-14.893784,-4.875746,2.3837779,-3.7357004,-20.256227,6.896391,-9.501178,4.219858,0.04331009,0.4046919,3.8387723,-3.3335948,12.238184,-40.67236,65.28252,-6.791339,6.5242977,5.632697,-2.9231653,-10.556188,43.560028,66.031456,-1.3817115,0.8414444,-6.4344997
13,0.14094382524490356,3.2650458812713623,78.84111022949219,-0.9920501551550944,1.145831551928736,-93.00647143251891,0.36472896,6.451263,16.223774,14.84067,-15.037243,-4.9151735,2.2269158,-3.666653,-20.324419,6.891896,-9.414322,4.137639,0.07220754,0.44386935,3.885598,-3.4301224,12.279613,-40.607014,65.22742,-6.7962327,6.503098,5.642744,-3.0082686,-10.545321,43.542473,66.02463,-1.362066,0.84405416,-6.436029
14,0.11099134385585785,3.3644661903381348,78.84747314453125,-1.0242008145649557,1.2128676884243323,-92.96862810151461,-0.20308036,6.635311,16.11737,15.672447,-15.1764555,-4.952991,2.0760381,-3.5971663,-20.39546,6.88743,-9.328353,4.048333,0.11162717,0.487333,3.9493659,-3.5310187,12.320587,-40.534927,65.1627,-6.7953095,6.4806733,5.65508,-3.1023347,-10.5374365,43.52786,66.015686,-1.3210938,0.8583564,-6.4282994
15,0.07905149459838867,3.4758105278015137,78.8521499633789,-1.0570184804803149,1.2676008800605347,-92.93809230536341,-0.7616723,6.820643,16.013802,16.507517,-15.30849,-4.9888806,1.9326768,-3.5253987,-20.459894,6.8838964,-9.240594,3.9561994,0.15252216,0.5323043,4.036283,-3.6116753,12.387271,-40.44082,65.05329,-6.7895126,6.458626,5.669567,-3.2084174,-10.529538,43.522778,66.00215,-1.2900126,0.87357813,-6.418705
