Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.4100401401519775,0.10865618288516998,78.31285858154297,-2.5253148057030383,4.367210119011465,-86.19464722811811,-5.2359576,12.663375,-1.9654428,11.743453,-11.877744,-13.038467,-1.9076084,-0.04939618,-10.938509,7.9518247,-9.739118,1.2619458,-1.4209522,3.0190563,6.4773684,-13.114462,22.688023,-54.607727,56.041603,8.755416,7.4710097,3.2804728,-10.113839,-20.45479,51.224216,54.540405,-10.86247,8.841202,-5.514125
1,-2.516531467437744,0.07001960277557373,78.29735565185547,-2.57283223174692,4.3513074352154995,-86.16386139045696,-5.329161,12.812354,-2.0369442,12.008018,-11.985976,-13.114606,-1.826041,0.10946645,-10.987206,7.9055824,-9.790758,1.1635084,-1.4187286,3.0777721,6.4846716,-13.087559,22.708052,-54.599422,55.992214,8.777807,7.4341493,3.2994087,-10.099514,-20.475595,51.220737,54.53133,-10.854064,8.8284445,-5.546443
2,-2.631957530975342,0.04290565103292465,78.28160858154297,-2.6204063346741955,4.3355254618446555,-86.13409164587092,-5.420216,12.961854,-2.1058226,12.267225,-12.092289,-13.1914625,-1.745226,0.26797065,-11.034676,7.8599524,-9.842799,1.0665658,-1.4151489,3.1363637,6.488111,-13.071294,22.714746,-54.59938,55.96576,8.798357,7.3937187,3.3189464,-10.093597,-20.482822,51.22131,54.542603,-10.847184,8.813125,-5.580629
3,-2.739283323287964,-0.01931793987751007,78.26716613769531,-2.6683753700180906,4.319570114559435,-86.10250873374542,-5.5149703,13.110723,-2.180362,12.533504,-12.2004175,-13.26688,-1.6621231,0.42784995,-11.083177,7.811658,-9.893499,0.96672446,-1.4105417,3.1939812,6.4907994,-13.051432,22.717136,-54.595463,55.936497,8.818534,7.357715,3.3392303,-10.087243,-20.485828,51.21946,54.55528,-10.831654,8.800071,-5.6136866
4,-2.8447916507720947,-0.07196000963449478,78.25186157226562,-2.7171351466313602,4.303086237865735,-86.06656527749298,-5.6214733,13.258448,-2.2697055,12.821205,-12.314315,-13.33848,-1.574827,0.59084266,-11.135024,7.758269,-9.941238,0.8596478,-1.4158661,3.2543414,6.49382,-13.032456,22.720596,-54.588043,55.90254,8.815193,7.3295617,3.359122,-10.081058,-20.490845,51.21405,54.567005,-10.803779,8.79094,-5.6407714
5,-2.9607067108154297,-0.11426543444395065,78.23472595214844,-2.7671590946669453,4.286043094964979,-86.02488763748919,-5.7438207,13.403677,-2.3802023,13.139757,-12.43958,-13.402967,-1.479981,0.75765735,-11.19246,7.69514,-9.982862,0.74141383,-1.4250001,3.3156164,6.4971604,-13.001487,22.725159,-54.559784,55.851334,8.804524,7.314038,3.3799698,-10.069265,-20.500937,51.194283,54.567654,-10.738445,8.787393,-5.6658797
6,-3.0719876289367676,-0.1622002273797989,78.21769714355469,-2.8181253702585605,4.268466246484048,-85.97893383563618,-5.87231,13.547977,-2.5050137,13.468543,-12.569284,-13.462573,-1.3794117,0.92761326,-11.253775,7.6255283,-10.021133,0.6152785,-1.4428093,3.3781877,6.498578,-12.9784975,22.7263,-54.538723,55.80366,8.760996,7.307824,3.4025164,-10.059064,-20.5066,51.172104,54.570824,-10.647924,8.789731,-5.6906147
7,-3.184537887573242,-0.2100432962179184,78.19963073730469,-2.869339159033644,4.250591526215175,-85.9308306530787,-6.008378,13.692611,-2.635641,13.808782,-12.697517,-13.522289,-1.2777326,1.0994508,-11.314861,7.5543423,-10.058733,0.48776358,-1.4563483,3.4392698,6.5007424,-12.951403,22.725706,-54.515938,55.751465,8.720185,7.304686,3.4240875,-10.049318,-20.510311,51.14989,54.57879,-10.566329,8.792188,-5.706443
8,-3.303713321685791,-0.26868876814842224,78.18203735351562,-2.9197831974137376,4.232268880120792,-85.88241450606493,-6.150113,13.838817,-2.7627385,14.15652,-12.8176565,-13.58767,-1.1790732,1.2719424,-11.371711,7.4869156,-10.099248,0.3655191,-1.4692767,3.5013077,6.514874,-12.934853,22.72303,-54.494232,55.701954,8.685139,7.2975383,3.4381392,-10.044736,-20.51932,51.12754,54.58949,-10.547214,8.792178,-5.700436
9,-3.4246456623077393,-0.3112633228302002,78.16443634033203,-2.9697455476193584,4.2138958490142,-85.83199225128081,-6.2953634,13.988037,-2.8832083,14.504306,-12.92552,-13.662093,-1.0828302,1.4460939,-11.423784,7.4204726,-10.142791,0.2546133,-1.4774909,3.560542,6.5348353,-12.929084,22.720371,-54.496166,55.66009,8.63582,7.2823825,3.4537332,-10.049089,-20.52527,51.124714,54.616432,-10.59105,8.78856,-5.6731515
10,-3.542149543762207,-0.3436580300331116,78.14707946777344,-3.0198113234762336,4.195420383457456,-85.77924980357237,-6.4459896,14.138884,-3.0020869,14.858413,-13.026761,-13.742227,-0.98789245,1.6222346,-11.473093,7.354109,-10.187839,0.15010263,-1.4825548,3.6195972,6.560699,-12.934596,22.715216,-54.514126,55.624817,8.572678,7.263069,3.4696574,-10.055322,-20.534472,51.127766,54.64743,-10.682191,8.782873,-5.6277556
11,-3.6632373332977295,-0.39681732654571533,78.13152313232422,-3.068351265914727,4.176242578297467,-85.7282069502276,-6.6016083,14.288457,-3.1215696,15.223796,-13.122853,-13.824149,-0.8953052,1.7978982,-11.519145,7.293192,-10.234956,0.04165616,-1.4848161,3.676885,6.5888715,-12.941558,22.70945,-54.53691,55.586613,8.52143,7.2488503,3.4752698,-10.0627775,-20.542818,51.134613,54.68322,-10.79714,8.778153,-5.5720906
12,-3.787485122680664,-0.4373210370540619,78.11400604248047,-3.114413843364624,4.156158941524852,-85.68245391279788,-6.7643576,14.434444,-3.2444794,15.610292,-13.217872,-13.902193,-0.8083672,1.9707583,-11.561779,7.2455554,-10.284826,-0.081018284,-1.4783511,3.73146,6.613381,-12.936849,22.699156,-54.55271,55.53731,8.515795,7.249604,3.4618511,-10.064139,-20.554388,51.140236,54.717995,-10.909032,8.777487,-5.514555
