Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.7693558931350708,1.111047387123108,78.1111068725586,-0.5200975746172601,0.73190463659507,-178.3240876415849,-5.767299,7.4104986,0.65743357,16.272066,-11.739411,-8.917473,-3.2583191,-4.889315,-10.316031,16.779594,-14.31329,3.5061386,-4.457521,0.005677915,5.814209,-9.510146,18.4434,-36.663475,68.92086,2.9139142,-0.5902942,1.2619268,5.099859,-16.33545,19.729544,55.16465,-9.046652,-2.3321676,-1.0433359
1,1.756697654724121,1.1884170770645142,78.09488677978516,-0.6290326175993838,0.7239579261292207,-178.3149817629823,-5.9654355,7.617135,0.56783295,16.706364,-11.96271,-8.993505,-3.2537065,-4.673747,-10.3487835,16.84057,-14.468034,3.2617333,-4.506819,0.058425855,5.870772,-9.48757,18.45659,-36.70512,68.97177,2.8624537,-0.61154336,1.2836007,5.146146,-16.33224,19.735434,54.974903,-8.859611,-2.332541,-0.91492075
2,1.744811773300171,1.278301477432251,78.0752182006836,-0.7328632470602746,0.716365324147283,-178.30549594826306,-6.1499043,7.8167753,0.4809319,17.11066,-12.173099,-9.071168,-3.252193,-4.464735,-10.379108,16.908676,-14.628053,3.0155118,-4.5371118,0.090481184,5.924303,-9.465199,18.497454,-36.785614,69.00446,2.788795,-0.62946033,1.3057941,5.2006,-16.30797,19.719278,54.78745,-8.673793,-2.3331606,-0.7842834
3,1.7283697128295898,1.369091272354126,78.05218505859375,-0.8468563092425417,0.7080369596195052,-178.2969573584914,-6.3570766,8.028853,0.38785964,17.565454,-12.404451,-9.14669,-3.2428465,-4.242368,-10.411863,16.963236,-14.780474,2.773118,-4.5668793,0.11962255,5.9815655,-9.428709,18.564873,-36.853966,69.02321,2.7283094,-0.64804214,1.3190356,5.23556,-16.25717,19.71023,54.622803,-8.502165,-2.3360136,-0.66593045
4,1.7086784839630127,1.461264729499817,78.0272445678711,-0.9876324210374929,0.6981428367869922,-178.29065304244367,-6.622152,8.273468,0.2792975,18.145987,-12.688726,-9.216415,-3.213494,-3.9853506,-10.452428,16.979368,-14.909658,2.5402014,-4.59457,0.18362409,6.040758,-9.393624,18.610334,-36.88763,69.07777,2.7109697,-0.6740681,1.3196335,5.2660966,-16.221579,19.728775,54.46182,-8.339336,-2.3416548,-0.5686832
5,1.69358229637146,1.5555779933929443,78.00175476074219,-1.157162733580603,0.6847671743548046,-178.28667861092802,-6.9412518,8.5553465,0.15622659,18.851791,-13.032713,-9.2858095,-3.1590235,-3.6877487,-10.5006485,16.951185,-15.014312,2.3090363,-4.617045,0.26150233,6.106524,-9.340326,18.685493,-36.903255,69.13061,2.7291515,-0.70745254,1.2876209,5.2806163,-16.165657,19.774977,54.319904,-8.1959095,-2.3543262,-0.5072908
6,1.6764780282974243,1.6541292667388916,77.96861267089844,-1.3488662290480011,0.6691459203830232,-178.2845355283767,-7.3008914,8.865022,0.02123609,19.649303,-13.419106,-9.354545,-3.0850546,-3.3595285,-10.554208,16.888155,-15.09962,2.0798187,-4.626065,0.37667894,6.1759005,-9.305326,18.721329,-36.90219,69.23117,2.7884977,-0.7497519,1.2383986,5.3148346,-16.14,19.828869,54.155888,-8.05869,-2.3704486,-0.46330467
7,1.6553696393966675,1.74615478515625,77.93187713623047,-1.5622091036315542,0.6543315239329365,-178.284292020019,-7.71646,9.197253,-0.13187107,20.557604,-13.842545,-9.410698,-2.9997075,-3.0067441,-10.614073,16.800245,-15.1668625,1.8695006,-4.643214,0.50665206,6.246655,-9.242809,18.785358,-36.86991,69.314995,2.8614438,-0.7917806,1.1922843,5.3215585,-16.100422,19.915283,54.01954,-7.930271,-2.3870032,-0.4298467
8,1.6311750411987305,1.832296371459961,77.89189910888672,-1.7979022241664881,0.6437292567105047,-178.2861852667886,-8.203937,9.54771,-0.30984348,21.595978,-14.296818,-9.442441,-2.9092221,-2.6337433,-10.681684,16.692284,-15.213499,1.6949239,-4.657237,0.66721743,6.319666,-9.164447,18.85827,-36.80516,69.38813,2.9416494,-0.8291925,1.1764592,5.315772,-16.069717,20.011963,53.892406,-7.8099647,-2.3996665,-0.38384578
9,1.6100106239318848,1.9205881357192993,77.84654235839844,-2.0681537741018943,0.6401674648893853,-178.29226139507023,-8.767862,9.932042,-0.5140484,22.769558,-14.803329,-9.458443,-2.8136332,-2.2248628,-10.760143,16.55447,-15.232911,1.5577958,-4.6657214,0.87820476,6.3903527,-9.076868,18.925692,-36.709778,69.46902,3.0348344,-0.86142766,1.2046196,5.3084807,-16.059954,20.116117,53.76043,-7.6860347,-2.4064991,-0.31273594
