Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.9737850427627563,-0.24059012532234192,78.47650146484375,-0.08069242597398713,0.6738579267282231,174.63810226540178,-1.6319165,4.689918,4.778799,8.53162,-8.167969,-4.664396,1.1304375,-5.683898,-23.347895,7.3118486,-7.2212377,3.545198,0.4082774,1.3207239,7.316816,5.961654,7.7553797,-15.493257,62.043728,6.8602333,-0.8349564,10.213098,-3.2388535,-11.851507,33.196453,67.30516,1.437171,-1.662071,-6.0457654
1,1.9663622379302979,-0.24645158648490906,78.47518157958984,-0.07655187491712999,0.6490447479370087,174.62325709417598,-1.5973692,4.6843376,4.799478,8.542558,-8.187055,-4.653935,1.1596506,-5.692545,-23.33154,7.3147273,-7.2316475,3.5670025,0.41431758,1.3156316,7.3259745,5.9368534,7.7538652,-15.498781,62.018154,6.867346,-0.8280844,10.21463,-3.248275,-11.852609,33.204052,67.29676,1.4188795,-1.6497643,-6.0422335
2,1.9585492610931396,-0.25192782282829285,78.47529602050781,-0.0709730710836168,0.6141381110131657,174.60590260312233,-1.5502865,4.677884,4.823734,8.553027,-8.207769,-4.6427245,1.1986338,-5.702999,-23.31242,7.3202214,-7.2448845,3.5906487,0.41937515,1.3134617,7.349588,5.8964696,7.7456346,-15.523593,62.003517,6.851712,-0.8182068,10.225051,-3.2631319,-11.85696,33.23908,67.28883,1.4188658,-1.6345179,-6.0475917
3,1.9512379169464111,-0.2568073272705078,78.47573852539062,-0.06685771387003825,0.58509374243202,174.58942025909485,-1.5097365,4.6723466,4.8456826,8.562076,-8.2268,-4.6331024,1.2315625,-5.7116966,-23.294224,7.3242855,-7.255643,3.611517,0.4196885,1.3156552,7.358387,5.8685503,7.73265,-15.54434,61.98826,6.842073,-0.8092113,10.236511,-3.2757425,-11.862017,33.2732,67.287384,1.4198334,-1.6220698,-6.0517993
4,1.9440306425094604,-0.2608160376548767,78.47862243652344,-0.06516205016574439,0.5585406747879507,174.57144748780135,-1.472025,4.6693053,4.865901,8.570603,-8.245384,-4.62777,1.2599243,-5.718022,-23.274284,7.331859,-7.2652154,3.6258326,0.42282304,1.3158911,7.371337,5.8442006,7.7275057,-15.554506,61.966026,6.8525414,-0.79914314,10.2449465,-3.2897975,-11.8635645,33.288345,67.279945,1.4140917,-1.6135637,-6.0530753
5,1.937559962272644,-0.26476815342903137,78.4804458618164,-0.06791558673358375,0.538850225858757,174.55330274825155,-1.4410365,4.6700797,4.8813,8.575281,-8.260861,-4.6299076,1.2791455,-5.719673,-23.253517,7.341735,-7.270975,3.6302779,0.42259315,1.3191135,7.3739605,5.8257103,7.725648,-15.560222,61.946697,6.8737745,-0.788474,10.255396,-3.3033063,-11.8639965,33.29529,67.27352,1.412067,-1.6098897,-6.05584
6,1.93097722530365,-0.27085259556770325,78.48100280761719,-0.07309939476740406,0.5150706570311522,174.5311309181653,-1.4057014,4.6738167,4.8972607,8.581796,-8.278669,-4.637513,1.2999278,-5.7186284,-23.22784,7.3556504,-7.2755685,3.6280758,0.4247275,1.3279511,7.3865232,5.801777,7.717956,-15.575754,61.930714,6.8996325,-0.7732196,10.275675,-3.3248906,-11.865413,33.312897,67.26833,1.4270545,-1.6090171,-6.0655355
7,1.9224730730056763,-0.27777695655822754,78.47998046875,-0.07856608887780078,0.4942603116394572,174.5091379471201,-1.369946,4.677262,4.9128036,8.580076,-8.292124,-4.6445546,1.3176712,-5.717359,-23.203087,7.3698344,-7.2799225,3.6241806,0.42378753,1.3401096,7.3896565,5.780608,7.706557,-15.59154,61.924076,6.923766,-0.7604339,10.296521,-3.3461995,-11.867061,33.328964,67.26978,1.4449815,-1.6109997,-6.073865
8,1.9134621620178223,-0.28544172644615173,78.47738647460938,-0.08167454027811238,0.47070278205950283,174.48602975794836,-1.3353373,4.678985,4.9316244,8.589288,-8.313211,-4.6454196,1.3381757,-5.718966,-23.178946,7.384588,-7.286897,3.62407,0.42351732,1.3488017,7.3955107,5.7615075,7.696361,-15.6031475,61.920612,6.949277,-0.75187737,10.311275,-3.363922,-11.868161,33.339634,67.267746,1.4567988,-1.6142828,-6.075831
9,1.9040684700012207,-0.2947070300579071,78.47477722167969,-0.0810694684154509,0.44240288636193237,174.46019309521608,-1.2924232,4.676974,4.956633,8.596808,-8.337624,-4.6365104,1.365191,-5.724423,-23.155455,7.3978834,-7.2968144,3.6296866,0.42412096,1.3519148,7.4069266,5.7453723,7.6902323,-15.613265,61.91859,6.975237,-0.74793655,10.318932,-3.3820024,-11.868648,33.34946,67.26502,1.4672749,-1.6196103,-6.0690255
10,1.8967605829238892,-0.30262231826782227,78.47305297851562,-0.07843032913544767,0.4116218584248741,174.4322625348719,-1.2519041,4.673546,4.984851,8.617589,-8.371424,-4.621583,1.3938552,-5.732386,-23.132238,7.4135466,-7.30988,3.6380327,0.42381307,1.3523788,7.420759,5.7340074,7.6859903,-15.62224,61.9164,7.0022125,-0.7469485,10.321778,-3.3974535,-11.868794,33.35822,67.25869,1.4760092,-1.6267263,-6.056408
11,1.889723300933838,-0.3090059459209442,78.47122192382812,-0.07511740786949786,0.3793561190978673,174.40482089920368,-1.2047721,4.6694183,5.014385,8.628723,-8.400141,-4.605853,1.4253016,-5.7407627,-23.108978,7.427511,-7.32302,3.6469252,0.4225295,1.3555465,7.4321938,5.721749,7.676134,-15.639259,61.924267,7.016029,-0.7482898,10.327537,-3.4152486,-11.868708,33.376526,67.25973,1.4939524,-1.6351129,-6.0465374
12,1.8822063207626343,-0.31475865840911865,78.46953582763672,-0.07345019192162727,0.3494582551895891,174.3815908778396,-1.1639377,4.6675596,5.0404587,8.643749,-8.426904,-4.5945797,1.4540023,-5.7476363,-23.086613,7.441605,-7.335626,3.6539187,0.42167956,1.3588196,7.4434032,5.708748,7.6669784,-15.649771,61.933823,7.023385,-0.7511896,10.330733,-3.4307616,-11.868409,33.392273,67.25609,1.5119318,-1.6424054,-6.0410137
13,1.874487280845642,-0.3198615312576294,78.46802520751953,-0.07358530903188922,0.3207522331330444,174.36399468426902,-1.1228501,4.668272,5.063397,8.65167,-8.444927,-4.5893316,1.4809666,-5.7529526,-23.064217,7.4571147,-7.348943,3.6579647,0.4234562,1.3603295,7.457362,5.6944685,7.66232,-15.654883,61.942585,7.0173354,-0.7576677,10.329051,-3.4416604,-11.868113,33.40401,67.241776,1.5335057,-1.6484855,-6.042277
14,1.8675340414047241,-0.32542216777801514,78.46617126464844,-0.07518271572650727,0.292937511679538,174.3502898100614,-1.0865233,4.6712923,5.084044,8.6655,-8.462931,-4.5872884,1.5084378,-5.7564235,-23.04223,7.47037,-7.361652,3.6603024,0.4269346,1.3619736,7.471717,5.6827435,7.6591587,-15.6579275,61.949833,7.0013537,-0.76653403,10.324329,-3.4503193,-11.86788,33.414207,67.222885,1.5577973,-1.6542764,-6.047547
