Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.1320375204086304,3.9773471355438232,77.7499771118164,1.263132664575362,1.4160789534180596,-12.365639446552903,3.7527192,0.14057687,11.906947,7.0090127,-11.371489,-3.258793,-0.0021251282,-13.269546,-14.492791,7.2610173,-7.159326,11.045608,-2.3072734,-0.83660734,5.0664644,-0.6479039,14.271135,-40.630527,56.33189,5.7351804,-1.9677904,-4.934285,-6.5198054,-13.139819,36.773502,58.633358,-12.730324,8.218821,2.1197503
1,-1.1047420501708984,4.081692695617676,77.74027252197266,1.3020415268458305,1.4262558060071229,-12.314717611014562,3.7331357,-0.010292032,11.871646,7.0096283,-11.38617,-3.1429527,-0.015337914,-13.42639,-14.509512,7.293126,-7.1179576,11.152745,-2.290901,-0.889049,5.110451,-0.6307795,14.320554,-40.64158,56.27601,5.6194415,-1.9642591,-4.906248,-6.5468497,-13.132605,36.749233,58.603813,-12.787699,8.230316,2.118578
2,-1.0795749425888062,4.188908576965332,77.72755432128906,1.3406070694599983,1.4370251809665813,-12.263434028747636,3.713107,-0.16115095,11.83601,7.0101986,-11.400774,-3.0258179,-0.027013378,-13.583923,-14.526231,7.3207636,-7.0736775,11.259137,-2.2753873,-0.9365463,5.1482515,-0.6305795,14.341132,-40.651543,56.254772,5.498848,-1.9637698,-4.8732953,-6.5748787,-13.1280775,36.72929,58.58152,-12.845661,8.242581,2.1167285
3,-1.0518203973770142,4.29694938659668,77.7152099609375,1.3791277354222724,1.4463614311786754,-12.212807837938291,3.6942823,-0.3115083,11.800966,7.0108438,-11.415248,-2.911192,-0.036320478,-13.740148,-14.5444,7.346016,-7.028806,11.366656,-2.253258,-0.98560673,5.1890407,-0.63166803,14.366863,-40.669376,56.23207,5.392279,-1.9613835,-4.844865,-6.601218,-13.120137,36.70105,58.558193,-12.900048,8.253433,2.115525
4,-1.0292145013809204,4.401503562927246,77.70349884033203,1.4180142024996176,1.4528122777622532,-12.16319314072323,3.6792042,-0.4613298,11.767402,7.0109735,-11.430066,-2.802774,-0.045239884,-13.896791,-14.564504,7.3750806,-6.9864163,11.47803,-2.2310646,-1.0352857,5.2336674,-0.6380225,14.390378,-40.686954,56.22375,5.3264937,-1.958334,-4.828348,-6.6281023,-13.1097765,36.676464,58.53412,-12.936708,8.2616205,2.114967
5,-1.0071020126342773,4.5047149658203125,77.69073486328125,1.4567997590216741,1.4550137097965885,-12.113567311560683,3.668631,-0.6101265,11.734331,7.011583,-11.445547,-2.7043366,-0.04171233,-14.052358,-14.590943,7.38764,-6.938394,11.596534,-2.2075577,-1.0873414,5.2847123,-0.64552474,14.420537,-40.708115,56.220085,5.318134,-1.9524871,-4.829423,-6.6602483,-13.091604,36.654823,58.516323,-12.951458,8.268495,2.1146576
6,-0.9820404648780823,4.604684352874756,77.67890167236328,1.4960054826492617,1.4543011311320895,-12.06427293574399,3.661977,-0.75871277,11.701772,7.0105834,-11.460361,-2.6129215,-0.03547766,-14.208072,-14.62066,7.4017277,-6.8937993,11.720165,-2.186605,-1.144094,5.339524,-0.64890826,14.461204,-40.728405,56.214687,5.3502088,-1.9444284,-4.843647,-6.702435,-13.061182,36.638783,58.511925,-12.950934,8.273977,2.1134214
7,-0.9611270427703857,4.709794998168945,77.66572570800781,1.5351666175354954,1.4522252422769646,-12.017054239295334,3.6560967,-0.906381,11.67153,7.012237,-11.477492,-2.5223851,-0.032679334,-14.365115,-14.648957,7.425251,-6.852341,11.843295,-2.1656451,-1.2003218,5.395964,-0.65673256,14.49723,-40.744816,56.223564,5.397982,-1.9370755,-4.8617196,-6.7440677,-13.029639,36.625595,58.503407,-12.938341,8.274768,2.112879
8,-0.9371494650840759,4.8119025230407715,77.64990234375,1.5802451037032057,1.451623109589667,-11.974849878338851,3.6500127,-1.0599558,11.647209,7.0127263,-11.495286,-2.4260416,-0.14183185,-14.555196,-14.643618,7.678606,-6.92595,11.961393,-2.139798,-1.2701746,5.450722,-0.6594459,14.550486,-40.76027,56.229782,5.428622,-1.9306778,-4.8769584,-6.7902412,-12.979235,36.604507,58.50077,-12.925372,8.265635,2.111319
9,-0.9106245636940002,4.917949676513672,77.63468170166016,1.6269187629847746,1.452338804766789,-11.936625714425908,3.6426644,-1.2150892,11.628061,7.014059,-11.514308,-2.3198254,-0.24685055,-14.745983,-14.635978,7.9169664,-6.9838204,12.072418,-2.1073203,-1.3383622,5.5049996,-0.67634827,14.589404,-40.77454,56.26464,5.4370084,-1.9278389,-4.883722,-6.8203125,-12.941348,36.574192,58.470863,-12.902819,8.247759,2.109332
10,-0.8879461288452148,5.02072286605835,77.61666107177734,1.6739046443591459,1.4532240018734983,-11.901586052463246,3.636226,-1.3703592,11.612813,7.015193,-11.534569,-2.2081144,-0.34455854,-14.93529,-14.627983,8.137676,-7.0272665,12.179062,-2.067489,-1.4154418,5.5601854,-0.6894749,14.648334,-40.79404,56.295227,5.4321895,-1.9250582,-4.888889,-6.8549724,-12.884408,36.53116,58.447823,-12.874943,8.2210655,2.1044018
11,-0.8704988956451416,5.122204303741455,77.59822082519531,1.720238277566662,1.452549785227224,-11.870185519280263,3.631736,-1.5235395,11.6,7.0173173,-11.556697,-2.0977879,-0.4436298,-15.1207285,-14.614239,8.361255,-7.069094,12.281256,-2.0276048,-1.492673,5.617542,-0.7021236,14.708871,-40.806793,56.332188,5.431193,-1.9238198,-4.8957343,-6.888622,-12.826282,36.491592,58.41852,-12.846852,8.186357,2.10436
12,-0.8513734936714172,5.2225236892700195,77.58097076416016,1.763997762235345,1.4484165015454666,-11.842762489603619,3.6328464,-1.6717204,11.588182,7.0183167,-11.580651,-1.9960132,-0.5487475,-15.303059,-14.589408,8.602286,-7.1190047,12.378906,-1.991362,-1.5719298,5.678041,-0.7042467,14.781925,-40.80833,56.36131,5.4448085,-1.9234557,-4.909063,-6.931423,-12.755868,36.461086,58.398724,-12.832493,8.14261,2.1140146
13,-0.8255453705787659,5.321748733520508,77.56703186035156,1.8018094009383367,1.438796329309756,-11.81703887777035,3.640477,-1.8111379,11.573161,7.0203705,-11.607422,-1.9058266,-0.63667876,-15.471357,-14.562169,8.816067,-7.155444,12.471237,-1.9645396,-1.646371,5.7437897,-0.6996313,14.857974,-40.793488,56.391846,5.4938064,-1.9268545,-4.9369354,-6.9856677,-12.68248,36.44922,58.38759,-12.830965,8.08022,2.1420116
14,-0.8044095635414124,5.4203057289123535,77.54879760742188,1.8355321796014987,1.4253039447908824,-11.793436589627023,3.6534386,-1.9443942,11.5571,7.0214515,-11.635335,-1.8230267,-0.7192613,-15.633361,-14.529646,9.024607,-7.186698,12.558542,-1.9430531,-1.7180014,5.8139143,-0.69001836,14.937375,-40.766083,56.424347,5.5666914,-1.9331876,-4.974748,-7.0441947,-12.604535,36.446392,58.37722,-12.840001,8.002884,2.183226
15,-0.7832024097442627,5.513764381408691,77.53047943115234,1.8715534003585268,1.4114268600893156,-11.777128298284623,3.6685896,-2.077855,11.54759,7.022856,-11.665868,-1.7438409,-0.83329576,-15.799874,-14.477625,9.293567,-7.2471104,12.6413965,-1.9177612,-1.7944605,5.883312,-0.67764485,15.020982,-40.733234,56.45868,5.627679,-1.9380733,-5.006328,-7.103843,-12.521573,36.44928,58.366013,-12.851662,7.930023,2.2235215
16,-0.7635235786437988,5.603744983673096,77.51226043701172,1.9165501539681578,1.4007844618923109,-11.773141785482165,3.6838021,-2.2186093,11.552384,7.024201,-11.700312,-1.6642972,-1.0278507,-15.988941,-14.387291,9.715448,-7.379933,12.720374,-1.879132,-1.8829652,5.947541,-0.6639987,15.109792,-40.70093,56.49308,5.6422663,-1.9368117,-5.0156755,-7.158414,-12.432803,36.45231,58.347393,-12.859548,7.881232,2.2489784
17,-0.7366591691970825,5.691274642944336,77.4921646118164,1.974806489023114,1.397625400198751,-11.78099925031258,3.694986,-2.371715,11.57229,7.023918,-11.737141,-1.5838959,-1.3268542,-16.212555,-14.254791,10.332044,-7.6147566,12.797105,-1.8235186,-1.9873762,6.0024743,-0.6498187,15.204519,-40.6732,56.524883,5.588031,-1.9253002,-4.991183,-7.2016335,-12.336475,36.447098,58.31863,-12.862524,7.866558,2.2566524
