Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.02748231031000614,2.668243408203125,76.79548645019531,-1.979942321693702,-3.806724630403026,-83.36349682008955,-19.964043,9.809243,-1.381191,81.89423,-11.833312,-2.0956786,0.0053096255,-0.6653019,-14.106452,16.501503,-13.190062,1.9822887,-0.49961048,0.43577886,6.344593,20.884073,8.372791,-87.06646,17.263428,15.439833,4.322957,-12.444185,22.328363,-11.3775,78.06397,11.806985,-19.189272,-2.0131223,17.942251
1,0.0025509402621537447,2.070239543914795,76.8193359375,-1.9879070487668442,-4.150490400016517,-83.39483512397237,-20.208422,9.438526,-1.3984958,80.44,-12.113192,-2.485059,1.44561,-0.41912845,-14.065878,15.369258,-13.190444,2.0485666,-0.3418832,0.5217891,6.715641,21.060167,8.379447,-86.907974,17.174189,15.542282,4.3370924,-12.497786,22.386763,-11.433596,78.09753,11.715051,-19.206356,-1.9221483,18.04337
2,-0.022132107987999916,1.4650758504867554,76.83313751220703,-1.9910621698672213,-4.497436972506947,-83.4242858956671,-20.45217,9.065996,-1.4203192,79.010605,-12.404734,-2.8686264,2.908896,-0.175516,-14.022588,14.200671,-13.173304,2.1212122,-0.18283205,0.6057403,7.0864277,21.244614,8.386708,-86.739136,17.07813,15.645686,4.3528957,-12.554737,22.44735,-11.484309,78.13123,11.624051,-19.215961,-1.8248606,18.155733
3,-0.03967275097966194,0.8649166822433472,76.83035278320312,-1.9939880349255847,-4.837896921768415,-83.4600982029013,-20.679806,8.720061,-1.4303772,77.50975,-12.676151,-3.2358365,4.348809,0.06028886,-13.970976,13.06312,-13.167058,2.192838,-0.033831894,0.6890556,7.4555798,21.41675,8.395196,-86.57921,16.990839,15.749941,4.36428,-12.607809,22.499344,-11.536646,78.17715,11.540374,-19.238976,-1.7392377,18.242973
4,-0.051838066428899765,0.27233293652534485,76.80955505371094,-1.9981246966600104,-5.16266562348687,-83.51073257132754,-20.874851,8.427833,-1.4124451,75.84042,-12.895382,-3.5769854,5.722537,0.2829522,-13.905754,12.015935,-13.198135,2.2573404,0.10589364,0.775917,7.8208413,21.552969,8.400274,-86.46374,16.936752,15.852734,4.3660784,-12.646494,22.531803,-11.56636,78.23256,11.49873,-19.29822,-1.685169,18.270855
5,-0.06696490943431854,-0.32651641964912415,76.77913665771484,-2.006280729457074,-5.487257592871151,-83.5768171318537,-21.0099,8.191907,-1.3698609,73.97161,-13.078395,-3.898259,7.049476,0.49582076,-13.826093,11.054812,-13.2643175,2.3158736,0.20535417,0.8620723,8.199731,21.658245,8.40668,-86.35925,16.908195,15.955633,4.353452,-12.682898,22.536541,-11.605444,78.33934,11.475263,-19.395412,-1.669164,18.212074
6,-0.06607724726200104,-0.9089509844779968,76.73039245605469,-2.014876047241238,-5.810288745468318,-83.65483285512178,-21.09943,7.9972863,-1.3079066,71.95414,-13.233671,-4.20352,8.342374,0.69734746,-13.734476,10.154462,-13.35499,2.373736,0.29764566,0.9531114,8.586219,21.734632,8.410676,-86.292046,16.906322,16.052988,4.332489,-12.711018,22.527378,-11.6329775,78.45538,11.480027,-19.525211,-1.6828573,18.096296
7,-0.0714302659034729,-1.4922693967819214,76.67127227783203,-2.0218224192638146,-6.096663748857364,-83.74679439357254,-21.189661,7.8446827,-1.2145988,69.816284,-13.320016,-4.4828362,9.536949,0.8738069,-13.631353,9.368666,-13.490097,2.429155,0.38355106,1.0413657,8.947157,21.780888,8.412414,-86.25705,16.92992,16.1567,4.305086,-12.721296,22.503738,-11.649348,78.57319,11.506611,-19.677547,-1.7125826,17.95455
8,-0.06562654674053192,-2.066889524459839,76.60319519042969,-2.020140404288399,-6.311807339815255,-83.85304306188021,-21.325108,7.733136,-1.0789313,67.581505,-13.294189,-4.7286925,10.567168,1.0142914,-13.519639,8.755435,-13.69373,2.4775221,0.44619027,1.1139123,9.24986,21.803402,8.412369,-86.2314,16.972706,16.283731,4.2732615,-12.706269,22.458214,-11.664785,78.70905,11.544194,-19.836208,-1.7396437,17.81076
9,-0.047466155141592026,-2.6462602615356445,76.5313491821289,-2.014242024490482,-6.448244131940676,-83.98038910600123,-21.511986,7.6766934,-0.86901253,65.2397,-13.130053,-4.9322743,11.407867,1.1192594,-13.394832,8.346706,-13.981982,2.504633,0.49932948,1.1744894,9.488223,21.79599,8.407719,-86.225136,17.045483,16.43415,4.234757,-12.659629,22.39034,-11.682208,78.85664,11.591318,-20.018206,-1.7628603,17.657448
