Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.6023086905479431,2.460256576538086,77.10403442382812,2.7237954155163107,-1.3014571781702646,-87.08630227091898,1.2015467,-0.8759934,3.041847,21.719925,-19.37916,-5.0590854,-2.2251184,-17.199627,-7.3105354,28.17755,-17.42973,13.492976,-2.8037286,-4.9416943,5.250779,16.426117,9.161743,-90.92083,20.942135,18.07095,0.35253158,-10.305693,20.620085,-8.852177,77.639854,15.278695,-22.395632,-4.9183784,16.638939
1,-0.4749133586883545,2.349429130554199,77.18656921386719,2.6077876229461108,-1.1602368296931411,-87.07145326723254,1.2147692,-0.8399277,3.0297973,21.518414,-19.113024,-5.090387,-1.9275584,-17.089647,-7.414957,27.39248,-16.982939,13.520389,-2.8146784,-4.875021,5.094513,16.403189,9.177314,-90.95688,20.856173,18.022278,0.31933558,-10.306711,20.738787,-8.887161,77.474434,15.089232,-22.366716,-4.8822103,16.783905
2,-0.34953343868255615,2.2390260696411133,77.27021789550781,2.49434117459646,-1.017986587481643,-87.0524224786798,1.2287822,-0.8075928,3.0160239,21.311668,-18.843666,-5.125419,-1.638799,-16.98312,-7.5235543,26.628416,-16.541552,13.549524,-2.8353298,-4.8134003,4.9331203,16.37964,9.191178,-90.989655,20.775877,18.004908,0.2805962,-10.302131,20.855536,-8.904871,77.31197,14.919396,-22.341276,-4.847908,16.9233
3,-0.2348981499671936,2.1310853958129883,77.35294342041016,2.3758287144774592,-0.877960709677111,-87.0421383427705,1.2428226,-0.7650415,3.0040603,21.114098,-18.580338,-5.1536303,-1.3320898,-16.861774,-7.6230903,25.823084,-16.08881,13.577231,-2.8261642,-4.7392254,4.7822843,16.354328,9.219555,-91.04149,20.67483,17.922337,0.25354728,-10.307266,20.975323,-8.928594,77.131516,14.739522,-22.310589,-4.8127785,17.07445
4,-0.12718890607357025,2.0293614864349365,77.43476867675781,2.2450762968655016,-0.7434581674559255,-87.05326467390482,1.2597656,-0.69946235,2.9976182,20.932186,-18.328018,-5.1644297,-0.9859815,-16.70974,-7.6982365,24.925303,-15.609262,13.600919,-2.8174148,-4.6542673,4.6489296,16.350834,9.241264,-91.04765,20.55947,17.694538,0.24881476,-10.351067,21.070993,-8.942746,77.0067,14.581744,-22.251326,-4.7646494,17.230337
5,-0.021770963445305824,1.9241578578948975,77.51795959472656,2.0952177189372008,-0.6158788200303894,-87.0863461147949,1.2769822,-0.6044187,2.9907784,20.779617,-18.089016,-5.14561,-0.5837177,-16.510288,-7.743956,23.90681,-15.103353,13.610782,-2.7865958,-4.5429115,4.5372148,16.365095,9.265698,-91.02929,20.408768,17.207722,0.28183308,-10.446727,21.153093,-8.957522,76.90441,14.42812,-22.15138,-4.7008114,17.407734
6,0.08689775317907333,1.8158297538757324,77.60188293457031,1.9320366483060525,-0.49358887579393335,-87.13542880954591,1.2947681,-0.488303,2.9841497,20.647758,-17.859568,-5.105872,-0.13932659,-16.276842,-7.76873,22.798752,-14.576225,13.613175,-2.744691,-4.4142756,4.440847,16.393686,9.29412,-90.98645,20.230162,16.539616,0.3426799,-10.580248,21.22337,-8.9752865,76.82553,14.277381,-22.021614,-4.624632,17.599037
7,0.19526927173137665,1.7144707441329956,77.68242645263672,1.7643811771298992,-0.37488748962111473,-87.20399894050685,1.3175099,-0.35960713,2.990974,20.515766,-17.638744,-5.065763,0.32637712,-16.02534,-7.780711,21.634352,-14.019264,13.628335,-2.6893327,-4.284214,4.3607674,16.43214,9.322069,-90.92746,20.051392,15.877465,0.40969798,-10.722669,21.275238,-8.993543,76.78203,14.134319,-21.890415,-4.545978,17.787235
8,0.275272399187088,1.6193515062332153,77.76348876953125,1.6002550808864917,-0.25823618612328,-87.29548677943052,1.3487263,-0.2271792,3.0245185,20.365036,-17.42719,-5.045827,0.7911158,-15.774722,-7.7869053,20.447662,-13.423938,13.6765375,-2.6149642,-4.1678905,4.2981467,16.474737,9.351718,-90.863625,19.893007,15.408428,0.46002522,-10.846535,21.3022,-9.012876,76.78084,14.000222,-21.785538,-4.47582,17.957655
9,0.35259324312210083,1.5344570875167847,77.84024810791016,1.4365985545423563,-0.1556855767643194,-87.41103834320242,1.4045947,-0.086843304,3.0880342,20.190815,-17.229183,-5.060726,1.2884454,-15.519363,-7.791572,19.198767,-12.7712555,13.763842,-2.5241077,-4.0688004,4.264273,16.524832,9.405993,-90.78502,19.737885,15.219462,0.4770066,-10.944322,21.298607,-9.046318,76.83993,13.856838,-21.70525,-4.4127026,18.115686
