Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.48608943819999695,-2.4729206562042236,76.52256774902344,5.80469113082049,-4.005590428091538,88.19316120285116,-4.6219425,0.35009122,28.779642,22.449568,-12.5949335,4.1691008,14.596953,-25.993244,-23.53381,61.531258,-15.768833,2.132684,4.955147,-5.718448,5.6834984,15.235625,18.335537,-24.811235,73.19101,9.686563,-3.486755,9.540071,-2.0738068,-13.32738,19.686905,61.13536,-8.104935,-2.4996414,-11.260921
1,0.6450016498565674,-3.1348395347595215,76.42286682128906,5.757267643225932,-3.605084187036697,88.14087278849951,-6.2544847,0.9499533,28.827354,23.797293,-12.545614,4.426746,15.588255,-25.417034,-24.40112,58.30737,-15.086685,2.3928216,5.2028265,-5.6905613,5.3199744,15.557413,18.343199,-24.679123,73.08369,10.068381,-3.381668,9.49269,-2.1644335,-13.318955,19.608044,61.047832,-8.20457,-2.4758887,-11.328765
2,0.8222947716712952,-3.820037364959717,76.3050765991211,5.692352942257665,-3.2053458931068732,88.10252302681675,-7.888361,1.5622221,28.845219,25.150417,-12.502895,4.693014,16.600138,-24.808079,-25.32164,55.080143,-14.35565,2.5973313,5.4328814,-5.6456556,4.9427333,15.875791,18.335222,-24.542278,73.003136,10.484312,-3.2678764,9.442256,-2.2527423,-13.312877,19.53716,60.96535,-8.30962,-2.4500751,-11.401684
3,1.0111342668533325,-4.5259809494018555,76.1807632446289,5.63029084535769,-2.8104249622562985,88.04162794039794,-9.488183,2.1718693,28.879595,26.432854,-12.420854,4.949803,17.55065,-24.126324,-26.101896,51.86037,-13.748984,2.9714463,5.670375,-5.6009154,4.5858645,16.178686,18.315845,-24.393227,72.91956,10.84614,-3.1779788,9.404163,-2.363159,-13.308922,19.475077,60.89233,-8.399423,-2.4272068,-11.465789
4,1.1965219974517822,-5.236634254455566,76.05025482177734,5.5944078095119005,-2.42340299647476,87.92174543968567,-11.007146,2.7528489,28.97419,27.536171,-12.229718,5.1841607,18.366964,-23.337914,-26.546602,48.63815,-13.416973,3.7414784,5.9316387,-5.5745254,4.2814317,16.454113,18.282871,-24.212269,72.81078,11.073364,-3.1461573,9.396434,-2.530092,-13.309435,19.434605,60.842278,-8.4497175,-2.4123342,-11.507017
5,1.3928368091583252,-5.955870628356934,75.92442321777344,5.605387108728036,-2.0237519848610717,87.71750653896277,-12.462595,3.3004687,29.16901,28.461012,-11.923445,5.3917313,19.05674,-22.389645,-26.53965,45.248024,-13.349517,5.1702647,6.2509484,-5.590214,4.0208864,16.696491,18.242561,-24.008581,72.67716,11.068905,-3.210792,9.432789,-2.7487087,-13.317537,19.39811,60.80478,-8.430156,-2.408981,-11.502185
6,1.5910837650299072,-6.72526216506958,75.78750610351562,5.6517025260930485,-1.6154465984694497,87.45315168360656,-13.867463,3.824779,29.435217,29.251411,-11.5317545,5.5799623,19.68495,-21.33468,-26.226196,41.691513,-13.444476,7.058589,6.6059723,-5.6374874,3.7955906,16.918112,18.193447,-23.777205,72.52138,10.907191,-3.3439388,9.500159,-3.0056915,-13.334221,19.368555,60.77231,-8.361491,-2.4137304,-11.463041
7,1.7804208993911743,-7.493523597717285,75.65090942382812,5.705006088187844,-1.2368216542418018,87.16509146215088,-15.179215,4.330678,29.719278,29.892069,-11.058071,5.749129,20.258518,-20.287882,-25.812061,38.216667,-13.7147255,8.945305,6.934389,-5.673385,3.6238215,17.11591,18.108624,-23.51233,72.354225,10.737265,-3.480447,9.579123,-3.310569,-13.372898,19.405182,60.760254,-8.279263,-2.4192476,-11.433668
8,1.9776437282562256,-8.282711029052734,75.51129913330078,5.735375745779108,-0.9262662951787681,86.88954628137184,-16.358734,4.82263,29.96663,30.371138,-10.507135,5.89923,20.756819,-19.35588,-25.488901,35.11141,-14.190954,10.389206,7.2545767,-5.683168,3.5288515,17.275097,18.050306,-23.303574,72.15688,10.667253,-3.5519845,9.635623,-3.62769,-13.4092655,19.472755,60.765778,-8.241577,-2.4216835,-11.459154
9,2.174973726272583,-9.098898887634277,75.37673950195312,5.7605440875737415,-0.6697596875779702,86.5972943021204,-17.40447,5.2954187,30.20487,30.673145,-9.879137,6.033025,21.110146,-18.59019,-25.202826,32.483032,-14.991027,11.290095,7.5452943,-5.6720953,3.492103,17.425648,17.988512,-23.09664,71.91426,10.781221,-3.5198681,9.669811,-3.9888806,-13.455574,19.647932,60.811676,-8.244753,-2.4191098,-11.571173
