Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.6227008700370789,-2.050485610961914,75.19386291503906,-7.688732044057404,-0.989761190306465,94.75386721397989,15.587475,13.105058,1.321005,51.388565,11.442999,-6.714148,-21.713434,4.979045,-21.203331,22.961712,-0.38247752,-7.4191484,-5.0673103,6.284067,6.670753,24.13881,0.66264486,-75.75056,48.213463,31.648287,4.6893797,-7.1051216,22.680714,-8.443235,81.917915,23.87569,-62.00438,-10.944707,30.409323
1,-0.4989800453186035,-0.8581075072288513,75.40377044677734,-8.119384258434277,-1.2133993462992705,95.13053390271428,13.459656,13.819243,0.48677266,54.98755,12.533296,-6.746345,-19.909206,5.7428775,-21.501913,21.94279,-1.026611,-7.493268,-5.3589525,6.6394734,6.97481,24.033712,0.6769299,-76.067474,48.189384,32.733246,4.901821,-7.7702627,23.069048,-8.484711,81.72731,23.77694,-61.67336,-10.768463,30.456072
2,-0.4172779619693756,0.280870646238327,75.61832427978516,-8.568622229705026,-1.443042343623825,95.51124720935539,11.297412,14.566494,-0.3893625,58.69014,13.835826,-6.7441373,-18.0705,6.537617,-21.77435,20.888647,-1.6628317,-7.5643506,-5.6317987,7.0150404,7.289795,23.922335,0.7371287,-76.442726,48.12571,33.79626,5.110392,-8.432785,23.467295,-8.514618,81.50921,23.683117,-61.334038,-10.572343,30.500782
3,-0.3542934060096741,1.3980494737625122,75.83441162109375,-8.95473157445719,-1.6643303814877972,95.87544269857935,9.156349,15.210531,-1.2369282,62.210365,14.688828,-6.676133,-16.222082,7.279971,-21.97453,19.784414,-2.251001,-7.593358,-5.8701077,7.3241096,7.5954704,23.840921,0.8409376,-76.79442,48.013374,34.888027,5.300319,-9.113253,23.866055,-8.526777,81.26763,23.601452,-61.029076,-10.42998,30.550222
4,-0.2714436650276184,2.5114753246307373,76.05796813964844,-9.1981171083732,-1.8649331361339623,96.19959808583774,7.0989957,15.612556,-1.9744121,65.276245,14.419639,-6.532097,-14.401364,7.8846273,-22.067303,18.635586,-2.7588613,-7.54582,-6.024029,7.496704,7.865764,23.818148,0.9736017,-77.08524,47.863895,36.046036,5.458984,-9.825762,24.268803,-8.522548,80.96254,23.526537,-60.809418,-10.424121,30.617548
5,-0.2176818698644638,3.586904764175415,76.28353118896484,-9.280095588377682,-2.0440737240537934,96.5019966877686,5.184673,15.658841,-2.6600308,67.81512,12.444516,-6.3347974,-12.603254,8.328123,-22.071241,17.42328,-3.1705644,-7.409845,-6.0889587,7.516499,8.095581,23.84928,1.1296707,-77.34309,47.688705,37.398243,5.5705347,-10.639364,24.704227,-8.505447,80.543655,23.44184,-60.703564,-10.594237,30.693886
6,-0.16985315084457397,4.64489221572876,76.50845336914062,-9.239475567127093,-2.2084923429355547,96.78867106908174,3.3777225,15.42586,-3.3040066,69.98178,9.255276,-6.1226234,-10.822351,8.647626,-22.014486,16.169922,-3.5162246,-7.210921,-6.0883284,7.423204,8.294962,23.919376,1.3055023,-77.57585,47.492554,38.884586,5.6380286,-11.523016,25.162357,-8.477439,80.043686,23.349936,-60.679348,-10.891472,30.778078
7,-0.14967696368694305,5.7130208015441895,76.73474884033203,-9.088251263239117,-2.3563148203702506,97.02188743402824,1.6003587,15.072171,-3.7507524,71.83377,5.802798,-5.9026403,-9.091532,8.847073,-21.88417,14.937505,-3.833284,-6.9746566,-6.015192,7.232263,8.459848,24.04297,1.4943287,-77.720665,47.271404,40.257168,5.686955,-12.340002,25.589134,-8.44055,79.54227,23.271622,-60.696644,-11.266225,30.894241
8,-0.12891466915607452,6.7730889320373535,76.9659423828125,-8.839527144552925,-2.485499930414721,97.16451010190735,-0.22321557,14.775281,-3.8437836,73.41639,3.037078,-5.67146,-7.4437175,8.931228,-21.664564,13.788248,-4.1595674,-6.728109,-5.865919,6.9596915,8.587057,24.23589,1.6858295,-77.71221,47.02336,41.270065,5.755684,-12.954443,25.931692,-8.397046,79.122185,23.226883,-60.71423,-11.66807,31.06694
9,-0.11752483248710632,7.837913990020752,77.19269561767578,-8.466979851436545,-2.5957596601271167,97.19822323210246,-2.1091642,14.597679,-3.4653263,74.701225,1.2356824,-5.4786363,-5.892569,8.8729105,-21.33612,12.754885,-4.510505,-6.480453,-5.626016,6.582809,8.671711,24.524591,1.8675117,-77.507385,46.758526,41.824707,5.882774,-13.316811,26.170235,-8.350354,78.79872,23.224907,-60.7341,-12.117312,31.31578
10,-0.1226070374250412,8.864632606506348,77.40856170654297,-7.9811973215351095,-2.6889701163340383,97.14570505535835,-4.0000796,14.469723,-2.712079,75.66256,-0.11209793,-5.306537,-4.4195013,8.683736,-20.923351,11.8113365,-4.874838,-6.2285647,-5.306875,6.110277,8.722697,24.893148,2.0305426,-77.14498,46.489216,42.064503,6.0506067,-13.502614,26.335249,-8.303413,78.53402,23.25028,-60.771385,-12.628961,31.623087
11,-0.12225400656461716,9.87571907043457,77.61067199707031,-7.444076798723466,-2.7657434121785314,97.03162444301496,-5.862652,14.3731985,-1.7481465,76.34769,-1.2547247,-5.043215,-3.0100434,8.424466,-20.473425,10.930919,-5.2478924,-5.9785514,-4.940843,5.6024284,8.756402,25.292807,2.1715844,-76.68705,46.216652,42.10474,6.217567,-13.5634365,26.438568,-8.25888,78.32396,23.293514,-60.80581,-13.144797,31.95848
12,-0.13212229311466217,10.877378463745117,77.80340576171875,-6.913844373547966,-2.825848657477365,96.88130189373064,-7.6730604,14.269436,-0.74783266,76.80229,-2.439567,-4.5873203,-1.6468627,8.154091,-20.030376,10.072125,-5.6175256,-5.7314334,-4.5609274,5.115704,8.785706,25.674812,2.292122,-76.194756,45.93748,42.06142,6.3400164,-13.551606,26.494083,-8.218867,78.16532,23.344347,-60.81825,-13.606413,32.291615
13,-0.14637762308120728,11.905793190002441,77.9682846069336,-6.379628833061432,-2.8673844740627557,96.68583950610467,-9.437035,14.103964,0.26893637,77.030785,-3.7427552,-3.8494644,-0.34798378,7.853646,-19.599062,9.262741,-6.000587,-5.4812117,-4.1597695,4.642724,8.807837,26.04556,2.3934212,-75.63601,45.640495,41.89691,6.4165754,-13.466059,26.49029,-8.186101,78.059616,23.405102,-60.77653,-14.011779,32.65217
14,-0.15159070491790771,12.92611026763916,78.11426544189453,-5.819478200413764,-2.889738564375783,96.43893532007412,-11.156338,13.894416,1.38255,77.00315,-5.0336537,-2.9250033,0.8829359,7.502288,-19.160526,8.51985,-6.402914,-5.2292995,-3.7265463,4.1614275,8.820079,26.42459,2.4714093,-74.996414,45.33235,41.57073,6.466826,-13.282779,26.427124,-8.163242,78.0064,23.474253,-60.69986,-14.387676,33.045147
15,-0.16760961711406708,13.918299674987793,78.24095153808594,-5.276035125226324,-2.894703358532066,96.16929852608018,-12.813134,13.705603,2.5625303,76.71655,-6.2472115,-1.9905624,2.0783336,7.155409,-18.72147,7.7921057,-6.790929,-4.9849725,-3.2910817,3.7037177,8.831492,26.782452,2.5335915,-74.356964,45.02522,41.198326,6.477092,-13.022295,26.329573,-8.148412,78.00499,23.544073,-60.647663,-14.717438,33.400173
16,-0.19500337541103363,14.875229835510254,78.3501205444336,-4.791549489939997,-2.8845425824579247,95.9046738056589,-14.390397,13.608289,3.7835605,76.170074,-7.313756,-1.2151121,3.2635405,6.864896,-18.287493,7.04291,-7.1389885,-4.7579794,-2.8698466,3.3066268,8.846788,27.08967,2.5762818,-73.81915,44.74671,40.889133,6.4368386,-12.70242,26.22926,-8.140783,78.036804,23.603807,-60.683617,-14.989077,33.648052
17,-0.20577430725097656,15.8870267868042,78.43559265136719,-4.380056276200259,-2.8489728516747292,95.64877515492535,-15.905292,13.663003,5.085087,75.36167,-8.225278,-0.5906085,4.1052938,6.5413775,-17.875435,6.9799566,-7.798586,-4.5533447,-2.4620407,2.9849045,8.857336,27.341307,2.6042905,-73.40845,44.479458,40.66594,6.3277936,-12.252957,26.128494,-8.137001,78.1042,23.649206,-60.87977,-15.190854,33.73535
18,-0.22021764516830444,16.862781524658203,78.49768829345703,-4.018295876551996,-2.790550068234415,95.38818865834763,-17.352997,13.8099165,6.4747524,74.28786,-9.0132475,-0.04946874,4.913478,6.268168,-17.447983,6.9162173,-8.417707,-4.3713393,-2.0640414,2.7135324,8.861508,27.554968,2.6262743,-73.0655,44.208805,40.47617,6.1591883,-11.691781,26.0119,-8.134993,78.220795,23.69011,-61.184475,-15.330944,33.70842
19,-0.2349841147661209,17.84941864013672,78.53044128417969,-3.6887814904937835,-2.730953329898516,95.12290106435248,-18.690481,13.947295,7.8820534,72.94812,-9.659356,0.34104154,5.720355,6.019757,-17.038527,6.851944,-9.039267,-4.194368,-1.6695307,2.4775043,8.872254,27.729303,2.6401625,-72.78866,43.975655,40.308594,5.967254,-11.164608,25.883837,-8.134145,78.360565,23.735804,-61.480976,-15.431762,33.650673
20,-0.24917644262313843,18.827722549438477,78.53285217285156,-3.3535392324317495,-2.693303823001352,94.84974584404429,-19.886236,13.968458,9.242186,71.35849,-10.151626,0.5227028,6.5511174,5.7506185,-16.678423,6.805486,-9.709678,-4.004646,-1.2921891,2.2330093,8.906094,27.863806,2.650141,-72.53956,43.809338,40.16071,5.7845316,-10.821859,25.74111,-8.134019,78.52973,23.800499,-61.64546,-15.510406,33.64253
21,-0.25759977102279663,19.81955909729004,78.5097885131836,-3.028942963417421,-2.6839795971478124,94.56856524105507,-20.934044,13.911459,10.561023,69.49515,-10.467856,0.47439066,7.3971243,5.46867,-16.400103,6.8140926,-10.4670925,-3.776367,-0.9193668,2.0026472,8.966846,27.948936,2.6572766,-72.33286,43.730305,40.023285,5.6083107,-10.736301,25.585957,-8.134335,78.71906,23.885092,-61.636585,-15.56903,33.73593
22,-0.2613634467124939,20.802705764770508,78.46061706542969,-2.725927261848996,-2.6898811765696493,94.27990535682088,-21.85808,13.81572,11.863713,67.34959,-10.608303,0.23943096,8.255895,5.1950808,-16.17891,6.844097,-11.270921,-3.5279746,-0.5766429,1.7850728,9.046387,27.994864,2.665402,-72.13843,43.705223,39.911354,5.4215927,-10.822082,25.406912,-8.135296,78.96983,23.987614,-61.51464,-15.59056,33.874207
23,-0.27088260650634766,21.796628952026367,78.38245391845703,-2.4581031877284283,-2.704950196749408,93.9901249149442,-22.681704,13.636439,13.062513,64.93672,-10.578305,-0.14105473,9.130319,4.956926,-15.977997,6.8748612,-12.090531,-3.3093288,-0.24499087,1.6053392,9.139225,28.011465,2.6713803,-71.99736,43.718075,39.816936,5.252356,-10.973024,25.220575,-8.136497,79.22106,24.10043,-61.33763,-15.593318,33.989185
24,-0.2800489664077759,22.794523239135742,78.27589416503906,-2.2436266065713184,-2.724482839224793,93.70654292177568,-23.431192,13.339999,14.060736,62.27448,-10.389838,-0.62205756,10.013366,4.7816334,-15.761023,6.905655,-12.904705,-3.1674616,0.03154288,1.4641223,9.243598,28.026865,2.6740832,-71.86175,43.73244,39.75774,5.1178703,-11.093482,25.019684,-8.138617,79.50293,24.22676,-61.145367,-15.576418,34.00298
25,-0.30101099610328674,23.75708770751953,78.15245056152344,-2.0875851801512124,-2.7463853939118885,93.42906666186403,-24.134354,12.933209,14.804507,59.364655,-10.036795,-1.1680577,10.892836,4.676134,-15.507399,6.9389024,-13.720736,-3.1360385,0.27474788,1.3783112,9.361123,28.032547,2.6685455,-71.785355,43.76441,39.77867,5.025735,-11.145269,24.801657,-8.140912,79.78461,24.36637,-60.951664,-15.543749,33.876476
26,-0.3055424094200134,24.750717163085938,78.01231384277344,-1.9817327966811964,-2.774517631988089,93.15304681183983,-24.771473,12.454404,15.3361,56.194412,-9.524959,-1.7879463,11.775182,4.6256876,-15.236461,6.9720025,-14.541523,-3.1795182,0.48404658,1.3353124,9.4919815,28.021494,2.6551566,-71.750595,43.822933,39.862873,4.9633408,-11.185659,24.565733,-8.143221,80.08348,24.521189,-60.730213,-15.490586,33.65494
27,-0.30791354179382324,25.769657135009766,77.84899139404297,-1.9179495094667343,-2.8131275275318264,92.87779919312796,-25.294178,11.920571,15.703151,52.751766,-8.886832,-2.5007346,12.677282,4.621629,-14.971275,7.002038,-15.342353,-3.2350512,0.65530926,1.3252397,9.628074,28.00386,2.629049,-71.70822,43.89272,39.90603,4.9287963,-11.249015,24.328623,-8.146,80.395226,24.681904,-60.480938,-15.427405,33.399567
