Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.4076472520828247,-2.4596216678619385,76.19468688964844,4.533567446236929,-3.062889487064087,88.0597957407573,-15.030432,-3.1329558,17.710367,23.422852,-6.770841,7.730219,3.46978,-17.544868,-14.573847,66.46641,2.833847,-7.7076955,0.46215785,-2.916489,7.798639,-1.1794375,23.784163,-54.814037,56.945595,6.774317,-0.7708225,0.9264854,-4.2772355,-27.553501,54.549957,56.855083,4.9302025,6.8499246,-9.661312
1,0.30374225974082947,-1.7170557975769043,76.25851440429688,4.775600446234756,-3.3395245410077172,88.05547369981736,-13.802205,-3.644336,17.735952,22.873215,-7.2016015,7.725968,2.2562456,-18.551958,-14.487846,68.74812,2.689097,-8.476735,0.30522916,-3.098981,8.047289,-1.7071426,23.898714,-55.229168,56.893364,6.56113,-0.8513853,0.99449724,-3.9225407,-27.622248,54.825848,56.65818,5.2344623,6.8085823,-9.418895
2,0.2064685821533203,-0.9718850255012512,76.3299560546875,5.029082204883738,-3.615893904836763,88.04647989420651,-12.568879,-4.1681967,17.75801,22.315664,-7.631048,7.7301106,1.0328112,-19.62715,-14.384092,71.10035,2.592,-9.292405,0.15543884,-3.296971,8.300094,-2.2273345,24.0376,-55.656013,56.81269,6.329709,-0.9228744,1.0442692,-3.5618227,-27.686144,55.081726,56.456425,5.5479274,6.7788644,-9.155248
3,0.11940252780914307,-0.23792585730552673,76.40765380859375,5.258781835314482,-3.8978130444407104,88.05100493428546,-11.313128,-4.674053,17.74192,21.7183,-8.031805,7.714279,-0.17300516,-20.623796,-14.252638,73.312485,2.3519719,-10.1001005,-0.0061135804,-3.4780173,8.552482,-2.7362423,24.196226,-56.073223,56.703247,6.124338,-1.0082412,1.1238499,-3.208631,-27.74506,55.354572,56.26719,5.8287115,6.7278857,-8.934184
4,0.044251374900341034,0.5055552124977112,76.49434661865234,5.428616763901779,-4.190010616387473,88.08594924437611,-10.020606,-5.125859,17.656578,21.056702,-8.380081,7.6500506,-1.3358184,-21.374645,-14.088464,75.17431,1.7849009,-10.828052,-0.19349715,-3.6093931,8.799649,-3.2333355,24.373684,-56.465908,56.562557,5.9852524,-1.1306524,1.2812645,-2.8828323,-27.795855,55.687447,56.113388,6.044143,6.6215305,-8.819627
5,-0.023442590609192848,1.2397934198379517,76.5863265991211,5.525147919055793,-4.49729607031052,88.15692666426771,-8.685905,-5.5030303,17.493088,20.334435,-8.67398,7.5147767,-2.4481285,-21.79258,-13.876119,76.63902,0.73656785,-11.462967,-0.4149852,-3.6810014,9.04066,-3.724457,24.571682,-56.849804,56.38898,5.9419694,-1.3069018,1.545612,-2.606379,-27.835213,56.136475,56.00714,6.221304,6.4150114,-8.858574
6,-0.08120156824588776,1.9658697843551636,76.6808853149414,5.568382335209845,-4.8147919963361385,88.25301326707623,-7.320746,-5.8220425,17.27473,19.569162,-8.929137,7.3294506,-3.5252845,-21.955564,-13.629078,77.81692,-0.6502564,-12.0179,-0.66543186,-3.7101834,9.2760935,-4.206846,24.78974,-57.223557,56.184273,5.9655933,-1.5208461,1.8863738,-2.3624597,-27.859358,56.66131,55.935867,6.354915,6.137536,-9.006735
7,-0.1359962522983551,2.7172257900238037,76.78401947021484,5.570960946242423,-5.132697245179217,88.36604302297627,-5.936936,-6.098298,17.018457,18.759422,-9.149396,7.1291785,-4.573972,-21.94917,-13.387767,78.73171,-2.1103964,-12.454602,-0.93023306,-3.7064211,9.505189,-4.6622562,25.023598,-57.539505,55.948742,6.024818,-1.7460076,2.262289,-2.1390269,-27.865776,57.19193,55.904026,6.4046903,5.864802,-9.191317
8,-0.1899196356534958,3.4615530967712402,76.88938903808594,5.5480968651029485,-5.441197335851898,88.48821873950763,-4.545403,-6.35004,16.73901,17.901201,-9.336216,6.9474955,-5.599222,-21.873005,-13.196838,79.40767,-3.3824768,-12.745774,-1.1997095,-3.6786535,9.725504,-5.077557,25.26781,-57.75739,55.690533,6.075072,-1.9570665,2.631912,-1.9002395,-27.852966,57.631283,55.903786,6.2989774,5.6737647,-9.340472
9,-0.24100400507450104,4.197649002075195,76.99324798583984,5.496631362863003,-5.7409988541607975,88.62479602470125,-3.1378412,-6.57795,16.430014,16.9771,-9.481275,6.785294,-6.591671,-21.766668,-13.103353,79.83565,-4.3815804,-12.90292,-1.4732484,-3.6237695,9.934211,-5.44937,25.51848,-57.870495,55.41686,6.1350174,-2.1617992,3.010694,-1.6277016,-27.820156,57.968517,55.940586,5.94815,5.5824723,-9.446831
10,-0.28649359941482544,4.933559417724609,77.09599304199219,5.414809884222746,-6.0363463913534225,88.77763163870026,-1.7091945,-6.773847,16.088367,15.989183,-9.585442,6.6248198,-7.548327,-21.583199,-13.0808325,80.006195,-5.2501173,-12.938901,-1.7475735,-3.540027,10.136938,-5.7928624,25.774166,-57.90578,55.131138,6.2190833,-2.368883,3.4126947,-1.3798873,-27.7691,58.299,56.038128,5.4733195,5.550318,-9.545349
11,-0.3347773849964142,5.674105644226074,77.19249725341797,5.310799641821551,-6.323472352584386,88.93474220825732,-0.28164944,-6.9363728,15.733172,14.978078,-9.664798,6.469416,-8.483036,-21.293495,-13.064252,79.940506,-6.067244,-12.831548,-2.0250497,-3.4383123,10.335263,-6.1073003,26.033619,-57.859665,54.834007,6.2753463,-2.555301,3.7930062,-1.1298809,-27.700193,58.549767,56.15639,4.96418,5.568825,-9.627158
12,-0.37736350297927856,6.4049787521362305,77.28520202636719,5.195770217180747,-6.59844848795475,89.08390882102468,1.1247193,-7.0682645,15.3833885,13.97953,-9.736129,6.322367,-9.409848,-20.870525,-12.988237,79.661316,-6.913986,-12.560876,-2.2954617,-3.3290794,10.535048,-6.395689,26.29508,-57.732014,54.523506,6.2598886,-2.6981869,4.1063848,-0.8845902,-27.61603,58.691273,56.270447,4.5698366,5.6278634,-9.683418
13,-0.4102463722229004,7.112112522125244,77.36366271972656,5.0724738439192105,-6.864671768996778,89.225560830683,2.5112865,-7.169204,15.03723,12.995155,-9.797609,6.1799917,-10.3309555,-20.284868,-12.82188,79.16146,-7.844348,-12.086304,-2.5611813,-3.2127867,10.7409935,-6.6545386,26.556597,-57.501247,54.201183,6.1469545,-2.7835908,4.3402247,-0.6307183,-27.518606,58.68786,56.372982,4.2901587,5.7480197,-9.710079
