Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.3328197002410889,1.9797857999801636,76.18971252441406,-2.8850556616942558,-2.643549338557834,-116.62797585461514,16.392492,6.749042,4.312657,27.537054,-20.797785,-1.5009078,-17.831375,-3.6132553,-28.134138,15.21648,1.2017229,-8.813815,-2.8700445,3.582274,6.180334,-6.557569,28.58875,-56.83373,49.98053,8.104538,-3.5022523,5.7903614,3.7818453,-21.443869,55.855354,61.781113,4.2801094,5.864141,-10.414309
1,0.7348140478134155,1.4465925693511963,76.21885681152344,-3.2730539755700856,-2.483263207861869,-116.85524706924573,15.63848,7.570531,4.406229,29.80723,-19.74961,-1.4669533,-17.637012,-2.8402176,-28.147356,15.580887,0.66681236,-9.338172,-2.605843,3.9555387,5.9204893,-6.0082326,28.614477,-56.638664,50.355072,8.215549,-3.353891,5.702009,3.6207643,-21.461138,55.98341,61.805885,4.2935076,5.8509307,-10.384312
2,0.1311018317937851,0.9233464598655701,76.26448059082031,-3.671087827335227,-2.3104829933402216,-117.0797578334229,14.9335985,8.3923435,4.498252,31.980347,-18.723446,-1.4561473,-17.463053,-2.0701005,-28.151848,15.976112,0.12086807,-9.886348,-2.416461,4.3443923,5.646149,-5.4051256,28.635105,-56.356544,50.72334,8.350625,-3.2139773,5.6228304,3.3880599,-21.47101,56.243904,61.880676,4.3726487,5.8321123,-10.355151
3,-0.46774113178253174,0.4068172872066498,76.31558227539062,-4.055787577957398,-2.164086173782675,-117.31984281809552,14.219396,9.19516,4.578439,34.174618,-17.55983,-1.4377378,-17.234774,-1.3041009,-28.13168,16.324223,-0.42666852,-10.385412,-2.1930838,4.70946,5.3856864,-4.8150105,28.636618,-56.082424,51.10495,8.484112,-3.062998,5.5169272,3.2228503,-21.46625,56.370293,61.924747,4.3233714,5.824265,-10.327161
4,-1.0622786283493042,-0.10095470398664474,76.36872863769531,-4.402875803864694,-2.0824666252332262,-117.59325342441525,13.436696,9.959252,4.636114,36.50549,-16.089125,-1.3816587,-16.877388,-0.54106456,-28.071327,16.54134,-0.96021444,-10.761783,-1.9484168,5.027642,5.2023077,-4.1909366,28.626812,-55.70135,51.447124,8.668315,-2.8849041,5.340419,2.9278593,-21.452475,56.61919,62.026146,4.397547,5.8382673,-10.298993
5,-1.6512058973312378,-0.6012558341026306,76.42108154296875,-4.699177035157161,-2.071453083252602,-117.92716456472662,12.572585,10.683821,4.714841,38.997887,-14.167145,-1.2920605,-16.37936,0.22807993,-27.951357,16.59651,-1.4686023,-10.968064,-1.673734,5.285287,5.094228,-3.499331,28.609238,-55.161983,51.738407,8.934054,-2.6610482,5.0743604,2.5796878,-21.430117,56.88548,62.15148,4.4405704,5.8890133,-10.260333
6,-2.249114990234375,-1.107853889465332,76.47826385498047,-4.9547215653443715,-2.1120069777087447,-118.30401575302201,11.655192,11.374073,4.806922,41.591545,-11.911697,-1.1814649,-15.778053,0.9971909,-27.78402,16.533182,-1.9595811,-11.0525465,-1.3226913,5.491433,5.0354214,-2.7999687,28.59094,-54.58232,51.995384,9.238019,-2.4038882,4.7450585,2.244518,-21.4113,57.082436,62.257328,4.4314475,5.9663353,-10.214104
7,-2.8320446014404297,-1.6128466129302979,76.54190826416016,-5.181899537167346,-2.206031750645899,-118.67355502781783,10.690991,12.019601,4.826114,44.262733,-9.544684,-1.0310549,-15.078771,1.7437849,-27.601274,16.392187,-2.4438624,-11.084875,-1.1002501,5.669184,5.050618,-2.0049777,28.569881,-53.810276,52.190384,9.575052,-2.1516118,4.3686705,1.7909755,-21.376436,57.418747,62.40158,4.475314,6.051832,-10.182838
8,-3.406580924987793,-2.1121013164520264,76.60338592529297,-5.393726196186844,-2.355071283822656,-118.98399595535473,9.681565,12.609587,4.685201,47.000404,-7.294418,-0.82003313,-14.292037,2.4458432,-27.436571,16.22185,-2.9391541,-11.135495,-0.83838695,5.814199,5.1230917,-1.3367494,28.559637,-53.235798,52.388535,9.770798,-1.9295888,3.979657,1.3944349,-21.353935,57.59451,62.449924,4.5184655,6.12682,-10.188277
9,-3.9798688888549805,-2.6028401851654053,76.66626739501953,-5.581774743787178,-2.5786996002994305,-119.22417750065546,8.625246,13.116076,4.313714,49.860783,-5.1467433,-0.5247605,-13.391791,3.0956726,-27.294876,16.019869,-3.4539428,-11.22515,-0.6402397,5.9229703,5.2832174,-0.70803326,28.557453,-52.698463,52.562775,9.866037,-1.7285398,3.5488262,0.9920067,-21.338673,57.712105,62.427387,4.601388,6.20217,-10.237244
