Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.7772812247276306,-2.3140244483947754,77.40580749511719,-4.88833702362814,0.06538934883641304,129.43255367319898,-21.741112,10.196427,-3.0210023,82.65588,-18.62199,2.3531833,-3.7982235,12.070594,-10.107263,6.7639527,-6.213991,-10.434281,-4.058193,4.6756682,10.889841,3.6616647,18.612034,-18.381779,55.061893,-7.217475,2.9803314,-3.268899,-11.083122,-11.498023,22.836424,50.66198,5.2373395,8.609065,-1.4166652
1,0.4516351819038391,-1.9501246213912964,77.4275894165039,-4.808037306783485,0.02078854983748485,129.141027236789,-22.717886,10.044591,-3.3309255,81.66553,-18.685009,2.2991347,-3.3253546,12.0620985,-9.707456,6.7746997,-6.57375,-10.310769,-3.7148623,4.5242524,10.954306,3.986216,18.66091,-17.829443,55.165066,-7.605072,2.9840732,-3.2543209,-11.687033,-11.542005,22.788996,49.980686,5.085795,8.594075,-1.307929
2,0.11476799845695496,-1.5797220468521118,77.44700622558594,-4.728040296544763,-0.024584994781370023,128.84721680779265,-23.69114,9.868781,-3.640027,80.6959,-18.749624,2.2242706,-2.8508112,12.052487,-9.305956,6.785213,-6.933295,-10.189283,-3.3818443,4.375996,11.030041,4.347453,18.717258,-17.24278,55.22789,-8.001051,2.989776,-3.2466388,-12.274308,-11.613361,22.766088,49.254467,4.942399,8.580042,-1.1894091
3,-0.22012338042259216,-1.2103209495544434,77.46171569824219,-4.64809647263388,-0.06815854080133008,128.55698262291816,-24.640062,9.706294,-3.9231148,79.653465,-18.805923,2.1785803,-2.3775752,12.037637,-8.908712,6.7953925,-7.293571,-10.064325,-3.0565422,4.2327833,11.112526,4.71376,18.77659,-16.672747,55.27117,-8.3765335,2.995837,-3.2453244,-12.848955,-11.700763,22.744377,48.514877,4.815002,8.572299,-1.0783507
4,-0.5438855886459351,-0.8560579419136047,77.46961212158203,-4.568209040890038,-0.10728921615997289,128.27635258627117,-25.542185,9.59272,-4.153975,78.44249,-18.847242,2.2100835,-1.9088691,12.013089,-8.521902,6.8061924,-7.656571,-9.930357,-2.750615,4.0965943,11.202982,5.072658,18.83987,-16.149265,55.294903,-8.6992035,3.001158,-3.2541075,-13.4145565,-11.797563,22.716564,47.78252,4.7167444,8.577108,-0.99175185
5,-0.8718483448028564,-0.49976009130477905,77.4744644165039,-4.486573341450025,-0.14724976564058123,128.0102676518524,-26.389837,9.540383,-4.317397,77.04045,-18.895739,2.3463104,-1.4389404,11.976086,-8.148231,6.816096,-8.024748,-9.770761,-2.4679961,3.9637353,11.308736,5.4208055,18.909327,-15.673249,55.296352,-8.970587,3.0084882,-3.2767096,-13.975131,-11.900172,22.67648,47.059284,4.660293,8.605982,-0.94019073
6,-1.1954139471054077,-0.13696801662445068,77.4802474975586,-4.404441952364363,-0.18743287925993915,127.75445040084718,-27.194515,9.5259075,-4.42828,75.49748,-18.950762,2.5515954,-0.9692308,11.93037,-7.784623,6.8270545,-8.397823,-9.593471,-2.2012413,3.8336787,11.425146,5.762397,18.985146,-15.232682,55.28034,-9.205021,3.0173604,-3.3094797,-14.53074,-12.00636,22.626602,46.34182,4.633096,8.651862,-0.913427
7,-1.5343329906463623,0.22437046468257904,77.48704528808594,-4.3248478032960715,-0.21576918062480657,127.50136839641367,-27.959705,9.529448,-4.504198,73.82271,-18.969896,2.7801232,-0.51326287,11.879213,-7.428921,6.841158,-8.769713,-9.4304,-1.9470665,3.7104301,11.53627,6.1002564,19.066418,-14.835896,55.253487,-9.388707,3.022279,-3.3457508,-15.080683,-12.114961,22.576136,45.642765,4.611981,8.693388,-0.89721924
8,-1.8769128322601318,0.5879009366035461,77.49398040771484,-4.25218916796085,-0.22050776679683026,127.24385094707507,-28.6909,9.535138,-4.565056,72.02664,-18.910172,2.9888215,-0.08286412,11.828538,-7.077975,6.8567724,-9.132257,-9.313708,-1.7012938,3.6005635,11.62679,6.434628,19.151442,-14.49323,55.2239,-9.508099,3.0172598,-3.3785336,-15.621545,-12.224468,22.532507,44.971237,4.5738244,8.709617,-0.87709695
9,-2.209087610244751,0.9401025176048279,77.48795318603516,-4.1888458064272545,-0.19914282760487387,126.97746753222133,-29.391846,9.570727,-4.5888906,70.102715,-18.762783,3.1833916,0.318376,11.781029,-6.7303934,6.8761206,-9.47987,-9.282695,-1.4625449,3.5082257,11.694387,6.7653966,19.240435,-14.2137575,55.189037,-9.536174,2.9974303,-3.4116533,-16.158598,-12.336085,22.498243,44.336308,4.502517,8.6828985,-0.85125786
