Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.5678956508636475,-0.8923764228820801,76.29930114746094,-1.0604726471647317,-6.954602787553509,165.38412662928135,12.647249,39.142227,30.949146,34.728924,-1.7188205,-10.619729,-12.265716,-4.1397715,4.860814,33.09083,-13.323203,7.4247694,-7.4678545,-5.204999,2.7925453,-13.459499,22.797293,-12.524661,48.948555,-7.548152,6.0732594,6.2212486,-10.059772,-16.603401,5.751932,46.05942,4.2566004,7.3546643,-6.872912
1,2.5974791049957275,-0.613246500492096,76.35316467285156,-0.9728528536514958,-6.775702878891683,165.68315731093512,12.672209,38.752644,31.76929,34.50234,-2.7711642,-10.948246,-12.344343,-4.17377,4.545928,33.08984,-13.403728,7.158243,-7.382045,-5.10554,2.7671301,-13.535102,22.805126,-12.525022,49.198025,-7.6814404,5.959456,6.156765,-10.19584,-16.611866,5.863405,46.237488,4.2313585,7.3452506,-6.9834256
2,2.6212239265441895,-0.34537890553474426,76.4077377319336,-0.8813118036492769,-6.589721396000725,165.9840071435427,12.689892,38.355446,32.586674,34.25006,-3.813727,-11.309576,-12.43202,-4.210694,4.230299,33.09311,-13.487221,6.891066,-7.3721094,-4.9842405,2.70848,-13.567166,22.80831,-12.4618,49.459614,-7.820801,5.837838,6.0975103,-10.437016,-16.647268,6.1277514,46.525955,4.2782493,7.3289924,-7.133733
3,2.6374826431274414,-0.08784603327512741,76.4656982421875,-0.7975211512057403,-6.417309867186583,166.2825825237672,12.726257,37.957287,33.40966,34.027946,-4.851847,-11.637811,-12.499167,-4.2398887,3.9138029,33.083664,-13.566441,6.6261373,-7.362339,-4.844661,2.6650028,-13.569979,22.798885,-12.376553,49.682995,-7.947605,5.7226367,6.0219936,-10.661667,-16.699104,6.371823,46.777355,4.3100014,7.3219233,-7.2509336
4,2.6557321548461914,0.1603999137878418,76.52210235595703,-0.7338502107815671,-6.279599596856399,166.57485337468043,12.805318,37.56516,34.241913,33.89298,-5.8924475,-11.866549,-12.514563,-4.2499666,3.5961673,33.04271,-13.633218,6.3663077,-7.3440733,-4.6896544,2.6342576,-13.558533,22.783691,-12.310939,49.890415,-8.089256,5.6201577,5.921518,-10.871617,-16.755272,6.5845203,46.997017,4.320167,7.33212,-7.3066397
5,2.6734554767608643,0.4099997580051422,76.57562255859375,-0.6928005315081778,-6.18681575385956,166.85650226873983,12.950496,37.190277,35.1154,33.86456,-6.958074,-11.953752,-12.463204,-4.237662,3.279782,32.961155,-13.684322,6.1118345,-7.330716,-4.514814,2.6190526,-13.508342,22.768715,-12.253245,50.06157,-8.250011,5.5379815,5.776656,-11.090656,-16.817434,6.7867174,47.203247,4.315619,7.359415,-7.274735
6,2.696068286895752,0.6524693965911865,76.62664794921875,-0.6680751691300083,-6.126093875961956,167.13070501474195,13.140466,36.825108,36.01086,33.913944,-8.043817,-11.942013,-12.364113,-4.2090025,2.9642646,32.85142,-13.725093,5.861485,-7.3159304,-4.3329315,2.614746,-13.43724,22.760231,-12.210801,50.21127,-8.42783,5.470946,5.601131,-11.311884,-16.875357,6.97096,47.39831,4.2937894,7.3987594,-7.180537
7,2.712970733642578,0.8811866641044617,76.6747817993164,-0.6595234682239011,-6.0834981329080575,167.40403579591117,13.332047,36.452553,36.85653,34.02888,-9.118296,-11.888834,-12.237864,-4.166168,2.6445467,32.72419,-13.75749,5.6158414,-7.3037806,-4.144994,2.6163177,-13.346281,22.756405,-12.170651,50.341785,-8.615072,5.407788,5.4235816,-11.516502,-16.926273,7.134255,47.560627,4.2513604,7.4532385,-7.070514
8,2.722254514694214,1.1071326732635498,76.72247314453125,-0.6672605170864143,-6.045556980920241,167.68291826860724,13.480872,36.058693,37.58257,34.200405,-10.149617,-11.849701,-12.103119,-4.1107,2.3152418,32.58796,-13.782941,5.375297,-7.3031263,-3.9462943,2.6196172,-13.229394,22.753048,-12.112003,50.45008,-8.803729,5.3369627,5.2716584,-11.6906595,-16.978271,7.284339,47.669632,4.1921186,7.526553,-6.9909525
9,2.7377686500549316,1.3317785263061523,76.76527404785156,-0.6972183808174293,-6.010165017372748,167.96698355040547,13.583094,35.66226,38.209164,34.455166,-11.14545,-11.818357,-11.958753,-4.035597,1.974474,32.435905,-13.796848,5.1396008,-7.295324,-3.7407472,2.621661,-13.107854,22.749775,-12.060384,50.555584,-9.011399,5.2537804,5.1662908,-11.811089,-17.013489,7.3861217,47.702053,4.096601,7.6292653,-6.9531856
