Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,3.806013345718384,0.6466281414031982,74.75521850585938,-1.3617791607593586,-21.065006360426562,-168.16226731696864,22.192806,26.27229,32.898685,31.622005,-18.555296,-12.058071,11.839358,-18.591677,-20.550165,33.97985,-19.715788,11.213386,-3.012771,-2.7030988,2.2609022,7.583593,36.842384,-2.0557299,-0.8292362,-34.168545,8.030061,-3.6130614,-2.8811193,-35.062435,2.561578,5.487035,22.905106,9.278334,12.5446615
1,3.7126283645629883,1.0090786218643188,74.74457550048828,-1.4868109540364634,-21.06820909897753,-168.0991284462098,22.142822,26.715345,32.721157,31.625172,-18.425861,-11.969794,11.831267,-18.188353,-20.723293,34.21183,-20.035723,10.915718,-3.0480509,-2.599993,2.2411053,7.513747,36.839314,-1.9779555,-0.79859185,-34.14446,8.087232,-3.6716332,-2.8539827,-35.041943,2.5029392,5.471418,22.848412,9.325329,12.636177
2,3.616326332092285,1.3667713403701782,74.73342895507812,-1.6113100357235866,-21.073145662457627,-168.03919393927634,22.09481,27.157253,32.54598,31.625635,-18.296741,-11.875965,11.822756,-17.782217,-20.889717,34.44139,-20.355322,10.615539,-3.099431,-2.5169559,2.2678802,7.556689,36.813145,-1.7816147,-0.90300345,-34.0799,8.168577,-3.7513463,-2.7826366,-34.948597,2.3814285,5.3683205,22.72038,9.386459,12.764475
3,3.5167031288146973,1.7129946947097778,74.71977233886719,-1.7363884571552193,-21.07331492879265,-167.97244076037603,22.035696,27.598173,32.36085,31.626192,-18.164333,-11.792832,11.811886,-17.378574,-21.063185,34.67264,-20.674934,10.320161,-3.1689172,-2.4399068,2.2800412,7.596383,36.782753,-1.5935444,-0.983625,-33.99767,8.237797,-3.8313808,-2.751939,-34.829178,2.2988482,5.307748,22.588129,9.4344015,12.868637
4,3.4216256141662598,2.065180778503418,74.70004272460938,-1.863719318761141,-21.065316843130866,-167.88883139275467,21.950829,28.038685,32.152702,31.631758,-18.026682,-11.735404,11.797404,-16.987768,-21.257093,34.907505,-20.993795,10.037386,-3.252704,-2.366174,2.2860134,7.6292567,36.760853,-1.4266338,-1.0485716,-33.89553,8.28055,-3.9183202,-2.720568,-34.70354,2.2287996,5.244968,22.486729,9.458899,12.923383
5,3.327183723449707,2.416229486465454,74.67710876464844,-1.9974786738724584,-21.0444851582272,-167.78309582561485,21.830757,28.483994,31.909214,31.64982,-17.88432,-11.708696,11.779127,-16.604767,-21.480228,35.14517,-21.31001,9.767887,-3.344403,-2.2861369,2.287221,7.6378508,36.75449,-1.2985603,-1.084532,-33.761227,8.283835,-4.0258636,-2.6576257,-34.594265,2.1560066,5.15128,22.453268,9.4497385,12.906264
6,3.2227895259857178,2.7597548961639404,74.65596771240234,-2.134963248473215,-21.014521848192082,-167.66151303513342,21.687782,28.929129,31.640549,31.668287,-17.736403,-11.704885,11.756694,-16.229136,-21.72343,35.3863,-21.624855,9.508218,-3.442622,-2.2167757,2.2914672,7.644493,36.76736,-1.1834888,-1.120282,-33.598427,8.26176,-4.148885,-2.562201,-34.460846,2.066274,5.022576,22.442493,9.417775,12.844936
7,3.1377601623535156,3.108466863632202,74.62568664550781,-2.2689730445123937,-20.978391590404524,-167.5315942330543,21.530514,29.368227,31.364557,31.685465,-17.583408,-11.717558,11.727926,-15.864852,-21.974976,35.631092,-21.940126,9.25892,-3.5382395,-2.1378045,2.2886064,7.61925,36.78837,-1.111768,-1.1255668,-33.464188,8.226665,-4.2556195,-2.4653933,-34.3734,1.9864426,4.8989916,22.471827,9.379654,12.760811
8,3.0472583770751953,3.4568588733673096,74.59064483642578,-2.390750443586649,-20.939682320735045,-167.4008309333008,21.370535,29.790958,31.099524,31.691172,-17.42226,-11.742683,11.6917305,-15.517842,-22.223286,35.879025,-22.257446,9.020399,-3.6313953,-2.0717576,2.2889948,7.592294,36.819126,-1.054774,-1.1411401,-33.38761,8.201724,-4.320553,-2.3758464,-34.28512,1.9037184,4.7843814,22.476364,9.355267,12.696208
9,2.9593677520751953,3.8055579662323,74.55567169189453,-2.494746566853542,-20.903457022428015,-167.26686386639557,21.217205,30.188997,30.850727,31.678429,-17.253372,-11.776264,11.656938,-15.196579,-22.469137,36.129333,-22.579386,8.802358,-3.7254522,-2.0291412,2.2944527,7.565147,36.865906,-1.0161864,-1.168492,-33.402218,8.195053,-4.321217,-2.3053896,-34.189693,1.8268951,4.6927643,22.438953,9.357482,12.65771
