Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.980643093585968,0.5725913047790527,54.310997009277344,-6.714420719227312,32.714345050982466,-9.719661061425459,-99.23059,14.83677,-7.832484,100.633446,-34.518448,-5.257105,-93.46995,-12.614111,-12.351672,95.47376,-32.268955,-2.0069416,3.2423558,4.5212655,29.793802,-95.88881,38.18418,-36.53788,1.6790767,25.71771,-14.415003,48.169193,-93.30108,-35.764614,35.05186,-6.5190506,-20.81423,-7.376516,-41.27674
1,0.9917762875556946,0.5698676705360413,54.30926513671875,-6.69051536040381,32.70164821185487,-9.706247326964299,-99.2099,14.835087,-7.808597,100.65039,-34.52948,-5.2390246,-93.472206,-12.621734,-12.322858,95.50551,-32.289627,-2.0211608,3.2276855,4.524603,29.793802,-95.893814,38.17141,-36.57612,1.7635266,25.71102,-14.462689,48.203674,-93.33393,-35.792656,35.086456,-6.4109554,-20.756279,-7.3846045,-41.253113
2,0.9931497573852539,0.5754441618919373,54.30819320678711,-6.667664141377986,32.690831879982774,-9.692129709218218,-99.192215,14.832129,-7.7857757,100.668144,-34.539692,-5.219731,-93.47598,-12.629963,-12.295055,95.537224,-32.31095,-2.0371456,3.2263155,4.5369554,29.793802,-95.89809,38.159664,-36.617256,1.8336506,25.693848,-14.510653,48.24924,-93.342705,-35.875214,35.122597,-6.3442893,-20.678074,-7.386679,-41.238834
3,0.9996992349624634,0.5761419534683228,54.30717468261719,-6.647528561333836,32.68075274414481,-9.680624461418423,-99.1753,14.830506,-7.765561,100.68468,-34.550003,-5.203209,-93.478584,-12.637534,-12.2702875,95.56603,-32.3298,-2.050151,3.2304218,4.5522075,29.793802,-95.890396,38.159798,-36.649456,1.8824649,25.676956,-14.553406,48.283302,-93.33376,-35.973602,35.14702,-6.2978535,-20.60483,-7.3905044,-41.220284
4,1.0070960521697998,0.5784614682197571,54.30485153198242,-6.634178405804962,32.67138340767447,-9.67597276362522,-99.15914,14.832544,-7.751751,100.69928,-34.561375,-5.1936555,-93.47669,-12.640487,-12.253895,95.5867,-32.34257,-2.055824,3.2448585,4.5722165,29.793802,-95.87803,38.169098,-36.67551,1.9140556,25.666323,-14.5815735,48.29547,-93.304436,-36.08213,35.156776,-6.2700577,-20.552248,-7.3953347,-41.198193
5,1.0194655656814575,0.5768316984176636,54.302181243896484,-6.629534644746944,32.661642230182096,-9.681675549852159,-99.14246,14.840499,-7.746183,100.709145,-34.574226,-5.1947575,-93.46843,-12.638926,-12.248027,95.597626,-32.345898,-2.0490525,3.2717144,4.597002,29.793802,-95.86365,38.185257,-36.694317,1.9302655,25.66952,-14.586339,48.270855,-93.25691,-36.187748,35.14747,-6.2513275,-20.536425,-7.408767,-41.16397
6,1.020255208015442,0.5812105536460876,54.29956817626953,-6.631075504305108,32.651760437697085,-9.694728858375633,-99.12561,14.852405,-7.7467704,100.71807,-34.589024,-5.2036285,-93.45555,-12.633499,-12.250165,95.60167,-32.343124,-2.0340652,3.307407,4.6248612,29.793802,-95.84638,38.207706,-36.7079,1.9337951,25.682358,-14.574423,48.220528,-93.19441,-36.292988,35.12369,-6.240108,-20.546274,-7.428059,-41.12136
7,1.0267055034637451,0.5745653510093689,54.300941467285156,-6.635134639890739,32.64234087881234,-9.70929524615271,-99.10835,14.865009,-7.74919,100.72304,-34.602406,-5.2138305,-93.44055,-12.6255665,-12.255106,95.601494,-32.33885,-2.0183842,3.3414493,4.6513767,29.793802,-95.83259,38.234325,-36.723545,1.9395483,25.695206,-14.560672,48.168842,-93.134186,-36.38907,35.100086,-6.2276225,-20.562927,-7.4395165,-41.08568
8,1.0277959108352661,0.5736600756645203,54.30120849609375,-6.639060421696069,32.63524018911732,-9.719950104582377,-99.09383,14.876469,-7.751389,100.72664,-34.612644,-5.2192006,-93.426605,-12.617944,-12.258949,95.59997,-32.338364,-2.010588,3.3698478,4.675179,29.793802,-95.8205,38.2699,-36.745872,1.9455628,25.694427,-14.559469,48.141396,-93.07199,-36.49737,35.08279,-6.2331996,-20.559338,-7.42857,-41.073124
9,1.0357322692871094,0.567525327205658,54.30440902709961,-6.642434324527098,32.62806406966217,-9.72509234764678,-99.07957,14.884731,-7.7524624,100.728546,-34.618538,-5.2172976,-93.412056,-12.608804,-12.260394,95.598526,-32.34468,-2.0162678,3.3829222,4.6924067,29.793802,-95.820335,38.30406,-36.782494,1.9793627,25.684576,-14.58005,48.151707,-93.040855,-36.584644,35.095062,-6.2213717,-20.54443,-7.3712687,-41.106037
