Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.8879249691963196,-0.39189186692237854,53.05492401123047,0.02013100473739315,14.949409654360657,173.35478960286395,-80.05713,3.3000207,-6.6932883,104.50578,-36.823883,-6.2429333,-82.82027,-11.249731,0.987547,102.16451,-34.704136,2.9510381,1.1362919,-1.6861582,29.793802,-61.42421,38.29537,-35.79564,-12.70998,11.467891,-4.9200053,14.976507,-66.93225,-32.194645,32.79976,-2.1708632,1.212323,-7.494506,-20.05218
1,0.8903689384460449,-0.4295795261859894,53.1649055480957,0.050277434697640074,14.951167649453105,173.29536774954488,-79.93142,3.3740554,-6.5433764,104.271805,-36.587826,-6.07188,-82.68109,-11.183767,1.041509,101.87306,-34.575035,2.9746404,1.1157373,-1.7490635,29.793802,-61.35233,38.31743,-35.75448,-12.707142,11.430779,-4.997045,14.982402,-66.91482,-32.139366,32.80342,-2.1695528,1.2779336,-7.5286856,-20.031557
2,0.894752025604248,-0.44848793745040894,53.284690856933594,0.08951142096917954,14.947568824632526,173.2424263616453,-79.80496,3.4430475,-6.381232,104.04714,-36.350273,-5.890916,-82.54444,-11.123433,1.108321,101.59701,-34.457317,2.9965568,1.08497,-1.8189983,29.793802,-61.29137,38.33368,-35.713875,-12.685257,11.383484,-5.080213,14.986314,-66.91096,-32.06321,32.817554,-2.1459982,1.344161,-7.564743,-20.00962
3,0.9019497036933899,-0.4794868528842926,53.42523956298828,0.1109981270707755,14.951087870258,173.17654172473357,-79.674576,3.5225673,-6.240127,103.80465,-36.11919,-5.7286444,-82.39869,-11.053165,1.1517462,101.29273,-34.31968,3.0207105,1.0713186,-1.8738428,29.793802,-61.25179,38.342636,-35.67728,-12.65311,11.342777,-5.152761,14.987686,-66.90709,-31.987492,32.82358,-2.121108,1.3909274,-7.5976825,-19.989332
4,0.918549120426178,-0.5240871906280518,53.577518463134766,0.09128463353179424,14.97335383894946,173.0784614970039,-79.5361,3.6289997,-6.1488194,103.51608,-35.9037,-5.6116133,-82.23459,-10.955506,1.1408342,100.91653,-34.12942,3.0527828,1.0842113,-1.9061311,29.793802,-61.205696,38.34456,-35.63375,-12.629927,11.354827,-5.197056,14.984391,-66.91538,-31.904188,32.813892,-2.0930386,1.3994833,-7.62396,-19.9733
5,0.9374903440475464,-0.5598310828208923,53.74811935424805,0.02058586366818288,15.013261056487416,172.94105602671334,-79.38196,3.76691,-6.1204267,103.173454,-35.71277,-5.5582237,-82.03882,-10.82931,1.0608712,100.45627,-33.902107,3.0829155,1.140072,-1.9025341,29.793802,-61.15717,38.336765,-35.58223,-12.618436,11.441507,-5.2019243,14.965693,-66.908424,-31.83138,32.77693,-2.0816836,1.3458852,-7.63695,-19.964123
6,0.9575845003128052,-0.5895318984985352,53.93655776977539,-0.08682538119835595,15.064482754634845,172.775224821019,-79.2153,3.927673,-6.1368446,102.79482,-35.540176,-5.5508494,-81.820206,-10.682818,0.93302447,99.93526,-33.64737,3.1115365,1.2261025,-1.8731261,29.793802,-61.135006,38.32169,-35.529755,-12.593172,11.564045,-5.179414,14.933957,-66.90699,-31.75394,32.724415,-2.0618553,1.2475289,-7.6410475,-19.958508
7,0.9792608022689819,-0.6248564124107361,54.13533401489258,-0.22477054068808,15.13790327636719,172.5880063042628,-79.05729,4.106182,-6.1874995,102.38045,-35.366512,-5.564233,-81.60677,-10.513926,0.77388763,99.36374,-33.324554,3.157344,1.3404979,-1.8158443,29.793802,-61.115383,38.308067,-35.480736,-12.590916,11.681398,-5.145863,14.917093,-66.90047,-31.710592,32.659138,-2.0702474,1.1494943,-7.6446548,-19.959423
8,1.0012644529342651,-0.6615164279937744,54.351478576660156,-0.38461490479824373,15.23824963553657,172.38662621214866,-78.92138,4.297134,-6.25891,101.93543,-35.17461,-5.5727205,-81.42091,-10.3197,0.60382676,98.75436,-32.895218,3.2405539,1.4688166,-1.7441089,29.793802,-61.139336,38.28777,-35.448746,-12.570671,11.733919,-5.1208477,14.930251,-66.923676,-31.657293,32.58228,-2.0671196,1.0716516,-7.6599646,-19.95399
9,1.0344618558883667,-0.7021913528442383,54.58113479614258,-0.571224439632904,15.37573540641717,172.1696333990009,-78.81849,4.500013,-6.3547697,101.45678,-34.96177,-5.572146,-81.259964,-10.139531,0.38137272,98.089455,-32.38209,3.3175645,1.6161819,-1.64444,29.793802,-61.199085,38.278477,-35.427574,-12.568534,11.682929,-5.09956,14.994296,-66.98028,-31.633842,32.508743,-2.0711153,1.0520242,-7.699728,-19.953632
10,1.0755332708358765,-0.7418631911277771,54.82539367675781,-0.7856408236079307,15.543546792389044,171.9338808999018,-78.73783,4.717531,-6.47786,100.942,-34.735394,-5.5750556,-81.11599,-9.964398,0.117434226,97.369194,-31.795942,3.395078,1.7808783,-1.5307395,29.793802,-61.270405,38.270733,-35.41505,-12.58259,11.588313,-5.0751367,15.092856,-67.05325,-31.618921,32.418617,-2.0854962,1.0583875,-7.7557034,-19.948658
11,1.1153367757797241,-0.7885543704032898,55.07666015625,-1.0210782558486156,15.727352553113384,171.68334940912976,-78.66861,4.9486585,-6.621003,100.401764,-34.497936,-5.5828,-81.008545,-9.714068,-0.09546985,96.63021,-31.080313,3.5697966,1.9634731,-1.3975338,29.793802,-61.37546,38.266968,-35.417423,-12.584641,11.458574,-5.060923,15.202955,-67.13904,-31.615034,32.32198,-2.1084313,1.0627127,-7.80116,-19.946804
12,1.1613922119140625,-0.8272906541824341,55.339866638183594,-1.2700261266733108,15.91381387990954,171.4219749093261,-78.60143,5.1939692,-6.776141,99.846695,-34.250233,-5.5954685,-80.95653,-9.3061,-0.1623044,95.90706,-30.181847,3.9427426,2.1619568,-1.2453192,29.793802,-61.509476,38.26856,-35.438297,-12.564636,11.324285,-5.069469,15.303309,-67.227234,-31.62363,32.222256,-2.1446693,1.0365762,-7.8097634,-19.952631
13,1.2135009765625,-0.8666782379150391,55.60935592651367,-1.5371860396476356,16.10691327332454,171.14387415664115,-78.537735,5.458581,-6.9441977,99.26992,-33.990562,-5.6129055,-80.96618,-8.76859,-0.13335352,95.21907,-29.115093,4.3903775,2.3900862,-1.0814905,29.793802,-61.69944,38.28064,-35.500935,-12.508913,11.167552,-5.1108146,15.393891,-67.297325,-31.662806,32.097855,-2.2282133,0.968502,-7.7588058,-19.967798
14,1.2722991704940796,-0.9025805592536926,55.88591766357422,-1.825432032318193,16.31236861610385,170.8485053727445,-78.48347,5.7404675,-7.1291656,98.66892,-33.71909,-5.6358504,-81.02688,-8.125495,-0.026535867,94.54213,-27.90817,4.9221435,2.636347,-0.89369,29.793802,-61.88001,38.30022,-35.56565,-12.469003,11.008434,-5.176783,15.481562,-67.36743,-31.732023,31.975412,-2.345736,0.8768676,-7.6674895,-19.999308
15,1.3317584991455078,-0.9431824088096619,56.16425323486328,-2.1297909315392047,16.517566702777955,170.54749982960806,-78.435295,6.0312476,-7.3341227,98.06157,-33.43843,-5.6665564,-81.11725,-7.2742467,0.30171537,93.84141,-26.546764,5.8466377,2.904439,-0.67361027,29.793802,-62.100048,38.330963,-35.651524,-12.414464,10.833602,-5.249612,15.569858,-67.42581,-31.840376,31.843386,-2.484045,0.7884301,-7.5705924,-20.028746
16,1.3953934907913208,-0.97011399269104,56.44137191772461,-2.442635668816593,16.710168865447343,170.2530299514304,-78.389595,6.322125,-7.56008,97.4656,-33.151924,-5.706856,-81.2038,-6.096295,1.0060883,93.08412,-25.043385,7.4814353,3.17675,-0.42671424,29.793802,-62.318405,38.362995,-35.752872,-12.355154,10.702776,-5.3093796,15.663937,-67.48246,-31.970047,31.706755,-2.6183147,0.7293876,-7.5043516,-20.041561
17,1.4665839672088623,-0.9928827285766602,56.717628479003906,-2.7703625544063284,16.893569900906957,169.96042118073788,-78.34918,6.6188307,-7.8116407,96.87568,-32.853493,-5.7541146,-81.28756,-4.3861217,2.2335114,92.28361,-23.404594,9.960221,3.4599502,-0.14741385,29.793802,-62.54679,38.392906,-35.878113,-12.283181,10.629705,-5.3489923,15.766727,-67.533806,-32.122093,31.556206,-2.7506905,0.70456004,-7.4797115,-20.023897
18,1.5363069772720337,-1.0041167736053467,56.98743438720703,-3.120619386474799,17.06943239458437,169.666317072932,-78.31456,6.9239984,-8.095232,96.287315,-32.544353,-5.809679,-81.310455,-2.227205,3.8919287,91.458176,-21.760395,13.142467,3.7652662,0.17490673,29.793802,-62.837845,38.426468,-36.03678,-12.172634,10.557017,-5.3803425,15.873672,-67.586525,-32.30354,31.393194,-2.8769963,0.7017223,-7.4770017,-19.985905
