Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.40482431650161743,-2.0354034900665283,77.62525177001953,-2.4027852676682793,2.585511891055271,91.54983065205111,-7.082429,4.666738,3.325195,23.944874,-20.741209,0.11497355,2.7700791,-2.7898505,-16.773273,7.344099,-12.564493,4.487158,-3.2122781,4.0834184,6.3731985,-4.6681647,21.025145,-50.729164,57.590096,7.079307,-0.8111224,-5.686841,2.149341,-15.912796,32.725075,61.78498,-19.38765,-2.1101089,1.341616
1,-0.40971437096595764,-2.0235304832458496,77.62629699707031,-2.399398744669567,2.5975173406669674,91.56891578506008,-7.0647926,4.6514535,3.3191216,23.89633,-20.747171,0.118676186,2.7915912,-2.795771,-16.789545,7.3017955,-12.589959,4.5247507,-3.2146072,4.078083,6.3529353,-4.6409936,21.03681,-50.71364,57.575268,7.0494227,-0.79786456,-5.7014422,2.183803,-15.914228,32.707024,61.76169,-19.36492,-2.09068,1.3559687
2,-0.4128981828689575,-2.0168819427490234,77.62699127197266,-2.395461193658295,2.6073946676160262,91.5867047069031,-7.042897,4.6363554,3.31564,23.843307,-20.751167,0.12234404,2.8083656,-2.8039908,-16.805614,7.273305,-12.621757,4.563038,-3.216185,4.072137,6.3339496,-4.6159306,21.044226,-50.700027,57.563725,7.0166173,-0.78206176,-5.715288,2.2174547,-15.913952,32.688637,61.73904,-19.338612,-2.0697675,1.3680103
3,-0.42253345251083374,-2.002239942550659,77.62831115722656,-2.391735658390894,2.6214812058059644,91.60675179057175,-7.028647,4.6197414,3.3076706,23.797342,-20.758064,0.12632316,2.8211749,-2.8128877,-16.820805,7.246039,-12.655447,4.6004195,-3.2147045,4.065909,6.316609,-4.5866055,21.063581,-50.680935,57.53567,6.9943767,-0.7699031,-5.7329464,2.2537699,-15.911739,32.655876,61.713455,-19.33152,-2.0523763,1.3856748
4,-0.4325699508190155,-1.9864877462387085,77.62693786621094,-2.3881416016029173,2.6463254004130676,91.63262173096811,-7.0317364,4.5994167,3.2883396,23.764227,-20.769468,0.13108687,2.8264182,-2.8216875,-16.833828,7.216749,-12.69104,4.635443,-3.2165153,4.061906,6.2885876,-4.552143,21.08206,-50.658245,57.506283,6.98524,-0.7684819,-5.751901,2.2910948,-15.908165,32.625584,61.69564,-19.34568,-2.0408838,1.4119717
5,-0.4455476403236389,-1.96760094165802,77.62567138671875,-2.386940581599935,2.6834548542898427,91.6637636176663,-7.0546646,4.5759816,3.25494,23.746897,-20.786892,0.13435471,2.8222644,-2.828063,-16.839132,7.1855893,-12.728936,4.664686,-3.2202985,4.0621657,6.2441654,-4.5183406,21.087538,-50.636375,57.492924,6.994391,-0.7879227,-5.774757,2.333502,-15.906348,32.60206,61.68275,-19.391403,-2.035278,1.4537995
6,-0.45905807614326477,-1.9494781494140625,77.62348937988281,-2.386886450447361,2.729022538311891,91.69867018024995,-7.0922713,4.550296,3.2113264,23.742283,-20.809343,0.13668297,2.8115938,-2.8327827,-16.83937,7.1523585,-12.7674885,4.690212,-3.223005,4.064685,6.201192,-4.4768987,21.101728,-50.592503,57.461113,7.0373254,-0.821091,-5.807753,2.3805344,-15.90237,32.552715,61.66388,-19.48692,-2.0359998,1.5113009
7,-0.4741612374782562,-1.9301867485046387,77.61929321289062,-2.3864014785438625,2.7829891277584973,91.73978581528317,-7.144489,4.5200443,3.1609592,23.749107,-20.835783,0.14285642,2.7954059,-2.8403351,-16.845163,7.1188745,-12.808822,4.7186937,-3.2295618,4.0692487,6.1491227,-4.4351835,21.111526,-50.5551,57.431465,7.073071,-0.85188454,-5.8343496,2.4264526,-15.899947,32.51385,61.655712,-19.573463,-2.041449,1.5663123
8,-0.4904167354106903,-1.909346342086792,77.61277770996094,-2.3835302944559493,2.844278342576078,91.78932756972421,-7.2114644,4.482594,3.107208,23.768415,-20.866795,0.15778047,2.7733645,-2.856652,-16.86693,7.089218,-12.856577,4.757028,-3.2426543,4.077017,6.0935225,-4.3933992,21.11524,-50.523285,57.394802,7.0895,-0.8616471,-5.846807,2.4667861,-15.899607,32.480686,61.66463,-19.632336,-2.0520453,1.6064515
9,-0.5133399963378906,-1.8860939741134644,77.6048355102539,-2.3817542589028697,2.9173529422147038,91.84950551872541,-7.305488,4.4407167,3.048769,23.812843,-20.90718,0.18228406,2.7412772,-2.880018,-16.911278,7.0638914,-12.909979,4.809435,-3.2632473,4.09303,6.0392585,-4.350395,21.118675,-50.479935,57.336094,7.097325,-0.84074676,-5.846286,2.500587,-15.902928,32.435577,61.686195,-19.66473,-2.0723026,1.6308807
